w	k	kdef	endef
twelve tribes of Israel	អំបូរទាំង១២នៃប្រទេសអ៊ីស្រាអែល	 <p>ពាក្យថា «អំបូរទាំង១២នៃប្រទេសអ៊ីស្រាអែល» សំដៅទៅលើកូនប្រុសទាំង១២របស់ យ៉ាកុបនិងពូជពង្សរបស់ពួកគេ។</p> <ul> <li>យ៉ាកុប គឺជាចៅរបស់ អ័ប្រាហាំ។ ក្រោយមក ព្រះជាម្ចាស់បានប្ដូរឈ្មោះរបស់ យ៉ាកុបទៅជា អ៊ីស្រាអែល វិញ។</li> <li>ទាំងនេះគឺជាឈ្មោះនៃអំបូរទាំងនោះ រ៉ូបេន ស៊ីម្មាន លេវី យូដា ដាន់ ណែបថាលី កាឌ់ អេស៊ើ អ៊ីសាខារ សាប់យូឡូន យ៉ូសែប និងបេនយ៉ាមីន។</li> <li>ខ្សែស្រឡាយរបស់លេវីមិនត្រូវបានទទួលនូវមរតកជាដីធ្លីនៅក្នុងតំបន់កាណានឡើយ ពីព្រោះពួកគេជាអំបូរនៃសង្ឃ ដែលត្រូវបានញែកដោយឡែកសំរាប់បំរើព្រះជាម្ចាស់ និងប្រជាជនរបស់ពួកគេ។</li> <li>យ៉ូសែបបានទទួលនូវមរតកដីធ្លី២ដង ដែលត្រូវបានផ្ទេរទៅអោយកូន ប្រុសទាំង២របស់គាត់ គឺ អ៊ីប្រាអ៊ីម និងម៉ាណាសេ។</li> <li>មានកន្លែងជាច្រើននៅក្នុងព្រះគម្ពីរដែលបញ្ជីរនៃអំបូរទាំង១២ មានលក្ខណះខុសគ្នាតិចតួច។ មានកន្លែងខ្លះ លេវី យ៉ូសែប ឬដាន់ មិនត្រូវបានរាប់បញ្ចូលក្នុងបញ្ជីរ ហើយមានកន្លែងខ្លះទៀត កូនប្រុសទាំង២ របស់យ៉ូសែប គឺអ៊ីប្រាអ៊ីម និងម៉ាណាសេត្រូវបានរាប់បញ្ចូល។</li> </ul>  	 <h3 id="related-ideas">Related Ideas:</h3> <p>children of Israel, descendants of Israel, people of Israel, twelve tribes, twelve tribes of the children of Israel, twelve tribes of the sons of Israel</p> <h3 id="definition">Definition:</h3> <p>The term "twelve tribes of Israel" refers to the twelve sons of Jacob and their descendants.</p> <ul> <li>Jacob was Abraham's grandson. God later changed Jacob's name to Israel.</li> <li>These are the names of the tribes: Reuben, Simeon, Levi, Judah, Dan, Naphtali, Gad, Asher, Issachar, Zebulun, Joseph and Benjamin.</li> <li>The descendants of Levi did not inherit any land in Canaan because they were a tribe of priests who were set apart to serve God and his people.</li> <li>Joseph received a double inheritance of land, which was passed on to his two sons, Ephraim and Manasseh.</li> <li>There are several places in the Bible where the list of the twelve tribes is slightly different. Sometimes Levi, Joseph, or Dan is left out of the list and sometimes Joseph's two sons Ephraim and Manasseh are included in the list.</li> </ul> <p>(See also: <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#inherit" data-section="kt" data-hash="inherit" data-crossref="true">inherit</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#israel" data-section="kt" data-hash="israel" data-crossref="true">Israel</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#jacob" data-section="names" data-hash="jacob" data-crossref="true">Jacob</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#priest" data-section="kt" data-hash="priest" data-crossref="true">priest</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#tribe" data-section="other" data-hash="tribe" data-crossref="true">tribe</a>)</p> <h3 id="bible-references">Bible References:</h3> <ul> <li><span href="rc://en/tn/help/act/26/07">Acts 26:07</span></li> <li><span href="rc://en/tn/help/gen/49/28">Genesis 49:28</span></li> <li><span href="rc://en/tn/help/luk/22/28">Luke 22:28-30</span></li> <li><span href="rc://en/tn/help/mat/19/28">Matthew 19:28</span></li> </ul> <h3 id="word-data">Word Data:</h3> <ul> <li>Strong's: H1121, H3478, H7626, H8147, G1427, G2474, G5443</li> </ul> <h3 id="forms-found-in-the-english-ulb">Forms Found in the English ULB:</h3> <p>children of Israel, descendants of Israel, people of Israel, twelve tribes, twelve tribes of Israel, twelve tribes of the children of Israel, twelve tribes of the sons of Israel</p>  
Aaron	លោក​អើរ៉ុន​	 <p>លោក​អើរ៉ុន​គឺជាបងប្រុសរបស់លោកម៉ូសេ។ ព្រះជាម្ចាស់បានជ្រើសរើសលោក​អើរ៉ុន​ឲ្យធ្វើជាសម្តេច​សង្ឃដំបូងគេ សម្រាប់ប្រជាជនអ៊ីស្រាអែល។</p> <ul> <li>លោក​អើរ៉ុន​បានជួយលោកម៉ូសេក្នុងការចរចារជាមួយស្តេចផារ៉ោន ពីការដោះលែងជនជាតិអ៊ីស្រាអែលឲ្យមានសេរីភាព។</li> <li>នៅក្នុងអំឡុងពេលដែលជនជាតិអ៊ីស្រាអែលធ្វើដំណើរឆ្លងកាត់ទីរហោស្ថាន លោកអើរ៉ុនបានធ្វើបាប ដោយសារគាត់បានធ្វើរូបព្រះឲ្យប្រជាជនថ្វាយបង្គំុុំ។</li> <li>ព្រះជាម្ចាស់បានតែងតាំងលោកអើរ៉ុន និងពូជពង្សរបស់គាត់ឲ្យធ្វើជា <a href="https://bibleineverylanguage.org/resources/languages/km?resource-type=wa-catalog/km_tn&amp;book=GEN&amp;chapter=1#priest" data-section="kt" data-hash="priest" data-crossref="true">សង្ឃ</a> នៃប្រជាជនអ៊ីស្រាអែលផងដែរ។</li> </ul>  	 <h3 id="facts">Facts:</h3> <p>Aaron was Moses' older brother. God chose Aaron to be the first high priest for the people of Israel.</p> <ul> <li>Aaron helped Moses speak to Pharaoh about letting the Israelites go free.</li> <li>While the Israelites were traveling through the desert, Aaron sinned by making an idol for the people to worship.</li> <li>God also appointed Aaron and his descendants to be the priests for the people of Israel.</li> </ul> <p>(Translation suggestions: <a href="https://read.bibleineverylanguage.org/WA-Catalog/en_tm?section=jit#translate-names" target="_blank" data-is-rc-link="" data-repo="en_tm" data-user="WA-Catalog" data-page="jit" data-topic="translate-names" data-type="tm">translate-names</a>)</p> <p>(See also: <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#priest" data-section="kt" data-hash="priest" data-crossref="true">priest</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#moses" data-section="names" data-hash="moses" data-crossref="true">Moses</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#israel" data-section="kt" data-hash="israel" data-crossref="true">Israel</a>)</p> <h3 id="bible-references">Bible References:</h3> <ul> <li><span href="rc://en/tn/help/1ch/23/14">1 Chronicles 23:14</span></li> <li><span href="rc://en/tn/help/act/07/38">Acts 07:38-40</span></li> <li><span href="rc://en/tn/help/exo/28/01">Exodus 28:1-3</span></li> <li><span href="rc://en/tn/help/luk/01/05">Luke 01:05</span></li> <li><span href="rc://en/tn/help/num/16/45">Numbers 16:45</span></li> </ul> <h3 id="examples-from-the-bible-stories">Examples from the Bible stories:</h3> <ul> <li><strong><span href="rc://en/tn/help/obs/09/15">09:15</span></strong> God warned Moses and <strong>Aaron</strong> that Pharaoh would be stubborn.</li> <li><strong><span href="rc://en/tn/help/obs/10/05">10:05</span></strong> Pharaoh called Moses and <strong>Aaron</strong> and told them that if they stopped the plague, the Israelites could leave Egypt.</li> <li><strong><span href="rc://en/tn/help/obs/13/09">13:09</span></strong> God chose Moses' brother, <strong>Aaron</strong>, and Aaron's descendants to be his priests.</li> <li><strong><span href="rc://en/tn/help/obs/13/11">13:11</span></strong> So they (the Israelites) brought gold to <strong>Aaron</strong> and asked him to form it into an idol for them!</li> <li><strong><span href="rc://en/tn/help/obs/14/07">14:07</span></strong> They (the Israelites) became angry with Moses and <strong>Aaron</strong> and said, "Oh, why did you bring us to this horrible place?"</li> </ul> <h3 id="word-data">Word Data:</h3> <ul> <li>Strong's: H175, G2</li> </ul> <h3 id="forms-found-in-the-english-ulb">Forms Found in the English ULB:</h3> <p>Aaron, Aaron's</p>  
Abel	អេបិល	 <p>អេបិលជាកូនប្រុសទី២របស់អ័ដាម និងអេវ៉ា។ គាត់ជាប្អូនប្រុសរបស់​កាអ៊ីន ។</p> <ul> <li>អេបិលគឺជាអ្នកគង្វាលចៀម។</li> <li>អេបិលបានថ្វាយយញ្ញបូជាចេញពីសត្វរបស់គាត់ខ្លះ ដើមី្បធ្វើជាតង្វាយដល់ព្រះជាម្ចាស់។</li> <li>ព្រះ‌ជាម្ចាស់សព្វ​ព្រះ‌ហឫ‌ទ័យ​នឹង​អេបិល ព្រម​ទាំង​តង្វាយ​របស់​គាត់។</li> <li>កូនប្រុសច្បងរបស់ អ័ដាម និងអេវ៉ា គឺកាអ៊ីនបានសម្លាប់អេបិល។</li> </ul>  	 <h3 id="facts">Facts:</h3> <p>Abel was Adam and Eve's second son. He was Cain's younger brother.</p> <ul> <li>Abel was a shepherd.</li> <li>Abel sacrificed some of his animals as an offering to God.</li> <li>God was pleased with Abel and his offerings.</li> <li>Adam and Eve's firstborn son Cain murdered Abel.</li> </ul> <p>(Translation suggestions: <a href="https://read.bibleineverylanguage.org/WA-Catalog/en_tm?section=jit#translate-names" target="_blank" data-is-rc-link="" data-repo="en_tm" data-user="WA-Catalog" data-page="jit" data-topic="translate-names" data-type="tm">translate-names</a>)</p> <p>(See also: <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#cain" data-section="names" data-hash="cain" data-crossref="true">Cain</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#sacrifice" data-section="other" data-hash="sacrifice" data-crossref="true">sacrifice</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#shepherd" data-section="other" data-hash="shepherd" data-crossref="true">shepherd</a>)</p> <h3 id="bible-references">Bible References:</h3> <ul> <li><span href="rc://en/tn/help/gen/04/02">Genesis 04:02</span></li> <li><span href="rc://en/tn/help/gen/04/09">Genesis 04:09</span></li> <li><span href="rc://en/tn/help/heb/12/24">Hebrews 12:24</span></li> <li><span href="rc://en/tn/help/luk/11/49">Luke 11:49-51</span></li> <li><span href="rc://en/tn/help/mat/23/35">Matthew 23:35</span></li> </ul> <h3 id="word-data">Word Data:</h3> <ul> <li>Strong's: H1893, G6</li> </ul> <h3 id="forms-found-in-the-english-ulb">Forms Found in the English ULB:</h3> <p>Abel, Abel's</p>  
Abiathar	​អ័បៀ‌ថើរ	 <p>អ័បៀថើរ ជាសម្តេចសង្ឃសម្រាប់ជនជាតិអ៊ីស្រាអែល ក្នុងរាជ្យស្តេចដាវីឌ។</p> <ul> <li>ពេលស្តេចសូលសម្លាប់ពួកសង្ឃ លោកអ័បៀថើរបានរត់រួច ហើយទៅរកដាវីឌនៅទីរហោស្ថាន។</li> <li>លោកអ័បៀថើរ និងសម្តេចសង្ឃម្នាក់ទៀតឈ្មោះសាដុកបានបម្រើស្តេចដាវីឌយ៉ាងស្មោះត្រង់ក្នុងរាជ្យទ្រង់។</li> <li>បន្ទាប់ពីស្តេចដាវីឌអស់ព្រះជន្ម អ័បៀថើរបានព្យាយាមជួយអ័ដូ‌នីយ៉ាឲ្យបានឡើងគ្រងរាជ្យជំនួសអោយសាឡូម៉ូនជាអ្នកសោយរាជ្យ។</li> <li>ដោយមូលហេតុនេះ ស្តេចសាឡូម៉ូនបានដកអ័បៀថើរចេញពីតំណែងជាសង្ឃ។</li> </ul> <p>(សូមមើល<a href="https://bibleineverylanguage.org/resources/languages/km?resource-type=wa-catalog/km_tn&amp;book=GEN&amp;chapter=1#zadok" data-section="names" data-hash="zadok" data-crossref="true">សាដុក</a> · <a href="https://bibleineverylanguage.org/resources/languages/km?resource-type=wa-catalog/km_tn&amp;book=GEN&amp;chapter=1#saul" data-section="names" data-hash="saul" data-crossref="true">សូល (OT)</a> · <a href="https://bibleineverylanguage.org/resources/languages/km?resource-type=wa-catalog/km_tn&amp;book=GEN&amp;chapter=1#david" data-section="names" data-hash="david" data-crossref="true">ដាវីឌ</a> · <a href="https://bibleineverylanguage.org/resources/languages/km?resource-type=wa-catalog/km_tn&amp;book=GEN&amp;chapter=1#solomon" data-section="names" data-hash="solomon" data-crossref="true">សាឡូម៉ូន</a> · <a href="https://bibleineverylanguage.org/resources/languages/km?resource-type=wa-catalog/km_tn&amp;book=GEN&amp;chapter=1#adonijah" data-section="names" data-hash="adonijah" data-crossref="true">អ័ដូនីយ៉ា</a>)</p>  	 <h3 id="facts">Facts:</h3> <p>Abiathar was a high priest for the nation of Israel during the time of King David.</p> <ul> <li>When King Saul killed the priests, Abiathar escaped and went to David in the wilderness.</li> <li>Abiathar and another high priest named Zadok served David faithfully throughout his reign.</li> <li>After David's death, Abiathar helped Adonijah try to become king instead of Solomon.</li> <li>Because of this, King Solomon removed Abiathar from the priesthood.</li> </ul> <p>(See also: <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#zadok" data-section="names" data-hash="zadok" data-crossref="true">Zadok</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#saul" data-section="names" data-hash="saul" data-crossref="true">Saul (OT)</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#david" data-section="names" data-hash="david" data-crossref="true">David</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#solomon" data-section="names" data-hash="solomon" data-crossref="true">Solomon</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#adonijah" data-section="names" data-hash="adonijah" data-crossref="true">Adonijah</a>)</p> <h3 id="bible-references">Bible References:</h3> <ul> <li><span href="rc://en/tn/help/1ch/27/32">1 Chronicles 27:32-34</span></li> <li><span href="rc://en/tn/help/1ki/01/07">1 Kings 01:07</span></li> <li><span href="rc://en/tn/help/1ki/02/22">1 Kings 02:22-23</span></li> <li><span href="rc://en/tn/help/2sa/17/15">2 Samuel 17:15</span></li> <li><span href="rc://en/tn/help/mrk/02/25">Mark 02:25-26</span></li> </ul> <h3 id="word-data">Word Data:</h3> <ul> <li>Strong's: H54, G8</li> </ul> <h3 id="forms-found-in-the-english-ulb">Forms Found in the English ULB:</h3> <p>Abiathar, Abiathar's</p>  
Abijah	អ័ប៊ីយ៉ា	 <p>អ័ប៊ីយ៉ាជាឈ្មោះស្តេចសាសន៍យូដាមួយអង្គសោយរាជ្យពីឆ្នាំ៩១៥-៩១៣ មុនគ្រិស្តសករាជ។ ទ្រង់ជាបុត្រស្តេច​រេហូ‌បោម។ ក្នុងគម្ពីរសម្ព័ន្ធមេត្រីចាស់មានមនុស្សមួយចំនួនទៀតមានឈ្មោះ អ័ប៊ីយ៉ាដែរ។</p> <ul> <li>កូនប្រុសរបស់សាំយូអែលគឺ អ័ប៊ីយ៉ា និងយ៉ូអែលជាអ្នកគ្រប់គ្រងលើសាសន៍អ៊ីស្រាអែលនៅត្រង់បៀរ-សេបា។ ដោយសាអ័ប៊ីយ៉ា និងបងប្រុសជាមនុស្សមិនស្មោះត្រង់ហើយមានភាពលោភលន់ នោះប្រជាជនបានសូមសាំយ៉ូអែល ឲ្យតាំងឲ្យមានស្តេចគ្រប់គ្រងជំនួសវិញ។</li> <li>អ័ប៊ីយ៉ា ម្នាក់ទៀតគឺជាសង្ឃក្នុងចំណោមសង្ឃប្រចាំព្រះវិហារ នៅជំនាន់ស្តេចដាវីឌ។</li> <li>អ័ប៊ីយ៉ាជាឈ្មោះបុត្រមួយអង្គរបស់ស្តេចយេរ៉ូបោម។</li> <li>អ័ប៊ីយ៉ា ក៏ជាឈ្មោះមេលើពួកសង្ឃម្នាក់ដែលបានត្រឡប់មកក្រុងយេរូសាឡិមវិញជាមួយសូរ៉ូបាបិល ក្រោយពីបានរួចពីភាពជាឈ្លើយនៅបាប៊ីឡូន។</li> </ul>  	 <h3 id="facts">Facts:</h3> <p>Abijah was a king of Judah who reigned from 915 to 913 B.C. He was a son of King Rehoboam. There were also several other men named Abijah in the Old Testament:</p> <ul> <li>Samuel's sons Abijah and Joel were leaders over the people of Israel at Beersheba. Because Abijah and his brother were dishonest and greedy, the people asked Samuel to appoint a king to rule them instead.</li> <li>Abijah was one of the temple priests during the time of King David.</li> <li>Abijah was one of King Jeroboam's sons.</li> <li>Abijah was also a chief priest who returned with Zerubbabel to Jerusalem from the Babylonian captivity.</li> </ul> <p>(Translation suggestions: <a href="https://read.bibleineverylanguage.org/WA-Catalog/en_tm?section=jit#translate-names" target="_blank" data-is-rc-link="" data-repo="en_tm" data-user="WA-Catalog" data-page="jit" data-topic="translate-names" data-type="tm">translate-names</a>)</p> <h3 id="bible-references">Bible References:</h3> <ul> <li><span href="rc://en/tn/help/1ki/15/03">1 Kings 15:03</span></li> <li><span href="rc://en/tn/help/1sa/08/01">1 Samuel 08:1-3</span></li> <li><span href="rc://en/tn/help/2ch/13/02">2 Chronicles 13:02</span></li> <li><span href="rc://en/tn/help/2ch/13/19">2 Chronicles 13:19</span></li> <li><span href="rc://en/tn/help/luk/01/05">Luke 01:05</span></li> </ul> <h3 id="word-data">Word Data:</h3> <ul> <li>Strong's: H29, G7</li> </ul> <h3 id="forms-found-in-the-english-ulb">Forms Found in the English ULB:</h3> <p>Abijah, Abijah's</p>  
Abimelek	អ័ប៊ីម្ម៉ាឡិច	 <p>អ័ប៊ីម្ម៉ាឡិច ជាស្តេចសាសន៍ភីលីស្ទីនសោយរាជ្្យក្នុងស្រុកកេរ៉ា នៅជំនាន់លោកអ័ប្រាហាំ និងលោកអ៊ីសាករស់នៅក្នុងស្រុកកាណាន។</p> <ul> <li>លោកអ័ប្រាហាំ បានកុហកស្តេចអ័ប៊ីម្ម៉ាឡិច ដោយនិយាយប្រាប់ទ្រង់ថា នាងសារ៉ាជាប្អូនស្រីគាត់ ជំនួសអោយប្រាប់ថានាងជាប្រពន្ធគាត់។</li> <li>លោកអ័ប្រាហាំ និង ស្តេចអ័ប៊ីម្ម៉ាឡិចបានតាំងសញ្ញានឹងគ្នាពីដំណើរកម្មសិទ្ធិអណ្តូងនៅបៀរ-សេបា។</li> <li>ច្រើនឆ្នាំក្រោយមក លោកអ៊ីសាក ក៏បានកុហកស្តេចអ័ប៊ីម្ម៉ាឡិចនិងមនុស្សនៅក្រុងកេរ៉ាថា នាងរេបិកាជាប្អូនស្រី មិនមែនជាប្រពន្ធគាត់ទេ។</li> <li>ស្តេចអ័ប៊ីម្ម៉ាឡិចបានបន្ទោស លោកអ័ប្រាហាំ ហើយក្រោយមក បន្ទោសដល់លោកអ៊ីសាក ពីការដែលពួកគេបានកុហកទ្រង់។</li> <li>បុរសម្នាក់ទៀតឈ្មោះ អ័ប៊ីម្ម៉ាឡិចជាកូនរបស់លោកគេឌាន គាត់មានប្អូនប្រុសឈ្មោះយ៉ូថាម។ ក្នុងការបកប្រែពេលខ្លះគេសរសេរឈ្មោះគាត់ឲ្យប្លែកបន្តិច ដើម្បីកុំឲ្យច្រឡំនឹងស្តេចអ័ប៊ីម្ម៉ាឡិច។</li> </ul>  	 <h3 id="facts">Facts:</h3> <p>Abimelek was a Philistine king over the region of Gerar during the time when Abraham and Isaac were living in the land of Canaan.</p> <ul> <li>Abraham deceived King Abimelek by telling him that Sarah was his sister rather than his wife.</li> <li>Abraham and Abimelek made an agreement regarding ownership of wells at Beersheba.</li> <li>Many years later, Isaac also deceived Abimelek and the other men of Gerar by saying that Rebekah was his sister, not his wife.</li> <li>King Abimelek rebuked Abraham, and later Isaac, for lying to him.</li> <li>Another man by the name of Abimelek was a son of Gideon and a brother of Jotham. Some translations may use a slightly different spelling of his name to make it clear that he is a different person from King Abimelek.</li> </ul> <p>(Translation suggestions: <a href="https://read.bibleineverylanguage.org/WA-Catalog/en_tm?section=jit#translate-names" target="_blank" data-is-rc-link="" data-repo="en_tm" data-user="WA-Catalog" data-page="jit" data-topic="translate-names" data-type="tm">translate-names</a>)</p> <p>(See also: <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#beersheba" data-section="names" data-hash="beersheba" data-crossref="true">Beersheba</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#gerar" data-section="names" data-hash="gerar" data-crossref="true">Gerar</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#gideon" data-section="names" data-hash="gideon" data-crossref="true">Gideon</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#jotham" data-section="names" data-hash="jotham" data-crossref="true">Jotham</a>, <a href="https://bibleineverylanguage.org/resources/languages/en?resource-type=wycliffeassociates/en_ulb&amp;book=GEN&amp;chapter=1#philistines" data-section="names" data-hash="philistines" data-crossref="true">Philistines</a>)</p> <h3 id="bible-references">Bible References:</h3> <ul> <li><span href="rc://en/tn/help/2sa/11/21">2 Samuel 11:21</span></li> <li><span href="rc://en/tn/help/gen/20/03">Genesis 20:03</span></li> <li><span href="rc://en/tn/help/gen/20/05">Genesis 20:05</span></li> <li><span href="rc://en/tn/help/gen/21/22">Genesis 21:22</span></li> <li><span href="rc://en/tn/help/gen/26/11">Genesis 26:11</span></li> <li><span href="rc://en/tn/help/jdg/09/54">Judges 09:54</span></li> </ul> <h3 id="word-data">Word Data:</h3> <ul> <li>Strong's: H40</li> </ul> <h3 id="forms-found-in-the-english-ulb">Forms Found in the English ULB:</h3> <p>Abimelek, Abimelek's</p>  
Abner	លោកអ័ប៊ីនើរ	 <p>លោកអ័ប៊ីនើរជាជីដូនមួយនឺងស្តេចសូលក្នុងគម្ពីរសម្ព័ន្ធមេត្រីចាស់។</p> <ul> <li>លោកអ័ប៊ីនើរជាមេបញ្ជាការកងទ័ពរបស់សូល ហើយបាននាំដាវីឌទៅជួបស្តេចសូល បន្ទាប់់ពីដាវីឌបានសម្លាប់កូលីយ៉ាត។</li> <li>បន្ទាប់ពីស្តេចសូលសុគត លោកអ័ប៊ីនើរបានជ្រើសយកអ៊ីស-បូសែតជាបុត្រសូលតាំងឡើងជាស្តេចលើអ៊ីស្រាអែល ក្នុងពេលដែលដាវីឌត្រូវបានតែងតាំងឲ្យធ្វើជាស្តេចលើយូដា។</li> <li>ក្រោយមក លោកអ័ប៊ីនើរត្រូវបានលោកយ៉ូអាប់ដែលជាមេទ័ពរបស់ដាវីឌ ប្រើល្បិចថោកទាបសម្លាប់គាត់។</li> </ul>  	 <h3 id="facts">Facts:</h3> <p>Abner was a cousin of King Saul in the Old Testament.</p> <ul> <li>Abner was the chief commander of Saul's army, and introduced young David to Saul after David killed Goliath the giant.</li> <li>After King Saul's death, Abner appointed Saul's son Ishbosheth as king in Israel, while David was appointed king in Judah.</li> <li>Later, Abner was treacherously killed by David's chief commander, Joab.</li> </ul> <p>(Translation suggestions: <a href="https://read.bibleineverylanguage.org/WA-Catalog/en_tm?section=jit#translate-names" target="_blank" data-is-rc-link="" data-repo="en_tm" data-user="WA-Catalog" data-page="jit" data-topic="translate-names" data-type="tm">translate-names</a>)</p> <h3 id="bible-references">Bible References:</h3> <ul> <li><span href="rc://en/tn/help/1ch/26/26">1 Chronicles 26:26-28</span></li> <li><span href="rc://en/tn/help/1ki/02/05">1 Kings 02:5-6</span></li> <li><span href="rc://en/tn/help/1ki/02/32">1 Kings 02:32</span></li> <li><span href="rc://en/tn/help/1sa/17/55">1 Samuel 17:55-56</span></li> <li><span href="rc://en/tn/help/2sa/03/22">2 Samuel 03:22</span></li> </ul> <h3 id="word-data">Word Data:</h3> <ul> <li>Strong's: H74</li> </ul> <h3 id="forms-found-in-the-english-ulb">Forms Found in the English ULB:</h3> <p>Abner, Abner's</p>  
