1CH 1:1	លោក​អ​ដាំ លោក​សេ​ថ លោក​អេ​ណុស
2SA 7:25	បពិត្រ​ព្រះអម្ចាស់ ដ៏​ជា​ព្រះ​អើយ! សូមឲ្យ​ព្រះបន្ទូល​សន្យា ដែល​ទ្រង់​បាន​សន្យា​ជាមួយ​អ្នកបម្រើ​របស់​ទ្រង់ និង​គ្រួសារ​របស់​គេ​បាន​រឹងមាំ​រហូត​តទៅ សូម​ទ្រង់​សម្រេច​តាម​ព្រះបន្ទូល​សន្យា​នេះ​ផង​។
2SA 7:26	សូមឲ្យ​ព្រះបន្ទូល​របស់​ទ្រង់​បាន​ឧត្តុង្គ​ឧ​ត្តុ​ម​ជានិច្ច ដូច្នេះ មនុស្សម្នា​នឹង​ពោល​ថា​៖ «ព្រះអម្ចាស់​នៃ​ពិភព​ទាំងមូល​គឺជា​ព្រះ​នៃ​ជនជាតិ​អ៊ីស្រាអែល» នៅពេល​ដែល​ពូជពង្ស​របស់​ទូលបង្គំ ដាវីឌ អ្នកបម្រើ​របស់​ទ្រង់ បាន​ស្ថិតស្ថេរ​នៅ​ចំពោះ​ព្រះអង្គ រហូត​តទៅ​។
2SA 7:27	បពិត្រ​ព្រះអម្ចាស់​នៃ​ពិភព​ទាំងមូល ជា​ព្រះ​នៃ​ជនជាតិ​អ៊ីស្រាអែល​អើយ! ទ្រង់​បាន​ប្រទាន​ឲ្យ​អ្នកបម្រើ​របស់​ទ្រង់​ដឹង​ថា ទ្រង់​នឹង​ធ្វើឲ្យ​មានពូជ​ពង្ស​របស់​ទូលបង្គំ​ឡើង​គ្រងរាជ​បន្ត​ពី​ទូលបង្គំ​។ ដូច្នេះហើយ​ទូលបង្គំ ជា​អ្នកបម្រើ​របស់​ព្រះអង្គ មានចិត្ត​ក្លាហាន​អធិស្ឋាន​ពាក្យ​នេះ​ថ្វាយ​ដល់​ទ្រង់​។
2SA 7:28	ឱ​ព្រះអម្ចាស់​អើយ ទ្រង់​គឺជា​ព្រះ ហើយ​ព្រះបន្ទូល​របស់​ទ្រង់​គឺ​សុទ្ធតែ​ពិត ហើយ​ព្រះអង្គ​ក៏​នឹង​សម្រេច​ពាក្យសន្យា​នេះ​សម្រាប់​អ្នកបម្រើ​របស់​ទ្រង់​។
2SA 7:29	ឥឡូវនេះ សូម​ព្រះអង្គ​ប្រទាន​ពរ​ដល់​ពូជពង្ស​របស់​ទូលបង្គំ ដើម្បីឲ្យ​បាន​ស្ថិតស្ថេរ​នៅ​ចំពោះ​ព្រះ​ភក្រ្ត​របស់​ព្រះអង្គ​រហូត​តរៀងទៅ​។ ឱ​ព្រះអម្ចាស់​អើយ! ស្របតាម​ព្រះបន្ទូល​ទាំងអស់​នេះ ពូជពង្ស​របស់​ទូលបង្គំ​នឹង​ទទួល​ព្រះពរ​អស់​កល្ប​ជានិច្ច»។
2SA 8:1	គ្រានោះ​ព្រះបាទ​ដាវីឌ ត្រឡប់​ពី​វាយ​ពួក​សាសន៍​ភី​លី​ស្ទីន ហើយ​ទ្រង់​បាន​យកជ័យជម្នះលើ​ពួកគេ​។ ព្រះបាទ​ដាវីឌ​ដណ្តើម​បាន​ក្រុង​កា​ថ និង​ភូមិ​នានា​ដែល​ស្ថិត​ក្រោម​ការគ្រប់គ្រង​របស់​ជនជាតិ​ភី​លី​ស្ទីន​។
2SA 8:2	ហើយ​ទ្រង់​ក៏បាន​វា​ឈ្នះ​ជន​ជា​តិ​ម៉ូ​អាប់ ទ្រង់​បាន​សម្លាប់​ពួកគេ​ដោយ​ឲ្យ​ពួកគេ​ដេក​លើ​ដី ជា​បី​ខ្សែ​។ គឺ​ពីរ​ភាគ​បី​ត្រូវ​សម្លាប់ និង​មួយភាគបី​ទុកឲ្យ​នៅ​រស់​។ ដូច្នេះ​ជន​ជា​តិ​ម៉ូ​អាប់​ក្លាយទៅជា​អ្នកបម្រើ​របស់​ព្រះបាទ​ដាវីឌ ហើយ​ចាប់ផ្តើម​បង់​សួយសារអាករ​ទៅ​ទ្រង់​។
2SA 8:3	ព្រះបាទ​ដាវីឌ ក៏​វាយ​ឈ្នះ​ហា​ដា​ដេ​ស៊ើរ បុត្រ​របស់​ព្រះ‌បាទ​ហា​ដា‌រេ​ស៊ើរ ស្តេច​ក្រុង​សូ​បា ក្នុងអំឡុងពេល​ដែល​ព្រះបាទ​ហា​ដា​ដេ​ស៊ើ​រកំ​ពុង​តែ​កាន់កាប់​តំបន់​ទន្លេ​អ៊ឺ​ប្រា​ត​ឡើងវិញ​។
2SA 8:4	ព្រះបាទ​ដាវីឌ​ចាប់បាន​ទ័ពសេះ​របស់​ទ្រង់​ចំនួន មួយ​ពាន់​ប្រាំពីរ​រយ និង​ទ័ពថ្មើរជើង​ពីរ​ម៉ឺន​នាក់​។ ទ្រង់​បាន​កាត់​សសៃ​កែងជើង​សេះ​ទាំងអស់ ដោយ​ទុក​តែមួយ​រយ​ក្បាល​ប៉ុណ្ណោះ​។
2SA 8:5	នៅពេល​នោះ​ជនជាតិ​ស៊ីរី​នៅ​ក្រុង​ដា​ម៉ាស​បាន​មក​ជួយ​ព្រះបាទ​ហា​ដា​ដេ​ស៊ើរ បុត្រ​ព្រះបាទ​សូ​បា ព្រះបាទ​ដាវីឌ​សម្លាប់​ពួកគេ​ចំនួន​ពីរ​ម៉ឺន​នាក់​។
2SA 8:6	ព្រះបាទ​ដាវីឌ​បាន​ដាក់​ទេសាភិបាល ឲ្យ​ត្រួតត្រាលើ​ស្រុក​ស៊ីរី នៅ​ក្រុង​ដា​ម៉ាស់ ហើយ​ជនជាតិ​ស៊ីរី​បាន​ធ្លាក់​ជា​ចំណុះ​ព្រះបាទ​ដាវីឌ ហើយ​ត្រូវ​នាំ​សួយសារអាករ​ថ្វាយ​ទ្រង់​ផង​។ ព្រះអម្ចាស់​ប្រទាន​ជ័យ​ជម្ន​អ​ឲ្យ​ព្រះបាទ​ដាវីឌ នៅ​គ្រប់កន្លែង​ដែល​ស្តេច​ទៅ​។
2SA 8:7	ព្រះបាទ​ដាវីឌ​រឹបអូស​យក​ខែល​មាស ពី​ពួក​បរិវារ​របស់​ព្រះបាទ​ហា​ដា​ដេ​ស៊ើរ ហើយ​នាំ​របស់​ទាំងនោះ​ទៅ​ក្រុង​យេ​រូ​សា​ឡិម​។
2SA 8:8	ព្រះបាទ​ដាវីឌ​ក៏​រឹបអូស​យក​លង្ហិន​យ៉ាងច្រើន​សន្ធឹក​សន្ធាប់​ពី​ក្រុង​បេ​ថាស និង​ក្រុង​បេ​រូ​ថាយ​។
2SA 8:9	កាលនោះ ព្រះបាទ​ថូ​អ៊ី ជា​ស្តេច​នៃ​ស្រុក​ហា​ម៉ាស បានឮ​ថា​ព្រះបាទ​ដាវីឌ​បាន​វាយ​ឈ្នះ​កងទ័ព​ទាំងមូល​របស់​ព្រះបាទ​ហា​ដា​ដេ​ស៊ើរ
2SA 8:10	នោះ​ទ្រង់​ក៏​ចាត់​ព្រះបាទ​ហា​ដូ​រ៉ាម បុត្រ​របស់​ទ្រង់​ឲ្យ​មក​ចូល​គាល់​ព្រះបាទ​ដាវីឌ ដើម្បី​អបអរសាទរ​ចំពោះ​ជ័យជម្នះ​របស់​ទ្រង់ ព្រោះ​ព្រះបាទ​ដាវីឌ​បាន​វាយ​ឈ្នះ​កងទ័ព​ទាំងមូល​របស់​ព្រះបាទ​ហា​ដា​ដេ​ស៊ើរ និង​ព្រះបាទ​ហា​ដា​ដេ​ស៊ើរ​ផង ក៏ដោយ​សារព្រះ​បាទ​ហា​ដា​ដេ​ស៊ើរ ធ្វើសឹក​សង្រ្គាម​ជាមួយ​ព្រះបាទ​ថូ​អ៊ី​។ ព្រះបាទ​ហា​ដូ​យ៉ា​បាន​នាំទៅ​ជាមួយ​ទ្រង់​នូវ​វត្ថុ​ដែល​ធ្វើ​ពី​ប្រាក់ មាស និង​លង្ហិន​។
2SA 8:11	ព្រះបាទ​ដាវីឌ​បាន​យក​របស់​ទាំងនោះ​ទៅ​ថ្វាយព្រះ​អម្ចាស់ ជាមួយគ្នា​នោះ ស្តេច​ថ្វាយ​ប្រាក់ មាស ដែល​បាន​ពី​ជាតិសាសន៍​នានា​ដែល​បាន​ពី​ការ​វាយ​ឈ្នះ​ពី
2SA 8:12	ជនជាតិ​ស៊ីរី ជន​ជា​តិ​ម៉ូ​អាប់ ពី​ប្រជាជន​អាំ​ម៉ូន ពី​ពួក​ភី​លី​ស្ទីន និង ពួក​អា​ម៉ា​ឡេ​ក រួមគ្នា​ជាមួយ​នឹង​ជ័យ​ភ័​ណ្ឌ​ដែល​រឹបអូស​បាន​ពី​ព្រះបាទ​ហា​ដា​ដេ​ស៊ើរ បុត្រ​ព្រះបាទ​រេ​ហូប ជា​ស្តេច​ស្រុក​សូ​បា​។
2SA 8:13	ព្រះ​កិត្តិនាម​របស់​ព្រះបាទ​ដាវីឌ​កាន់តែ​ល្បីល្បាញ​ថែមទៀត នៅពេល​ដែល​ទ្រង់​ត្រឡប់​ពី​ច្បាំង​ឈ្នះ​ជនជាតិ​ស៊ីរី នៅ​ជ្រលងភ្នំ​អំបិល​វិញ ជាមួយ​កងទ័ព​របស់​ពួកគេ​ប្រាំបី​ពាន់​នាក់​។
2SA 8:14	ទ្រង់​បាន​ដាក់​ទេសាភិបាល​ត្រួតត្រាលើ​ស្រុក​អេ​ដុ​មទាំ​ង​មូល ហើយ​ជន​ជា​តិ​អេ​ដុ​មទាំ​ង​អស់​មក​ជា​ចំណុះ​របស់​ព្រះបាទ​ដាវីឌ​។ ព្រះអម្ចាស់​ប្រទាន​ឲ្យ​ស្តេច​ដាវីឌ​មានជ័យ​ជម្នះ​គ្រប់​ទីកន្លែង​ដែល​ទ្រង់​ទៅ​។
2SA 8:15	ព្រះបាទ​ដាវីឌ​សោយរាជ្យ​លើ​អ៊ីស្រាអែល​ទាំងមូល ហើយ​ទ្រង់​គ្រប់គ្រង​លើ​ប្រជាជន​ដោយ​សុ​ច្ច​រិត​និង​ទៀងត្រង់​។
2SA 8:16	លោក​យ៉ូ​អាប់ កូន​របស់​អ្នកស្រី​សេ​រូ​យ៉ា មានមុខ​ងារ​ជា​មេបញ្ជាការ​កងទ័ព ហើយ​លោ​ក​យេ​ហូ​សា​ផា​ត កូន​របស់​លោក​អ​ហ៊ី​លូដ ជា​អ្នកនាំ​ព្រះរាជសារ​របស់​ស្តេច​។
2SA 8:17	លោក​សា​ដុក កូន​របស់​លោក​អ​ហ៊ី​ទូប និង​លោក​អ​ហ៊ី​មេ​ឡែក កូន​របស់​លោក​អ​បៀ​ថើរ មានមុខ​ងារ​ជា​បូជា​ចារ្យ ចំណែក​ឯ​លោក​សេ​រ៉ា​យ៉ា ជា​លេខាធិការ​។
2SA 8:18	លោក​បេ​ណា​យ៉ា​ជា​កូន​របស់​លោ​ក​យេ​ហូ​យ៉ា​ដា ជា​មេបញ្ជាការ​លើ​ក្រុ​មកេ​រេ​ធីម និង ក្រុម​ពេល​លេ​ធីម ហើយ​ចំណែក​ឯ​បុត្រា​ទាំងឡាយ​របស់​ព្រះបាទ​ដាវីឌ មានមុខ​ងារ​ជា​មេក្រុម​លើ​អ្នកណែនាំ​របស់​ព្រះមហាក្សត្រ​។
2SA 9:1	ព្រះបាទ​ដាវីឌ​មាន​រា​ជ​ឳ​ង្កា​រថា​៖ «តើមាន​នរណា​ម្នាក់​ក្នុង​ញាតិវង្ស​របស់​ព្រះបាទ​សូល ដែល​នៅ​រស់រាន​មានជីវិត ដែល​យើង​អាច​សម្តែង​សេចក្តី​សប្បុរស​ចំពោះ​គេ ដោយ​យល់​ដល់​សម្តេច​យ៉ូណាថាន​ឬទេ?»
2SA 9:2	កាលនោះ​គេ​បាន​នាំ​បុរស​ម្នាក់​មក​ជួប​ព្រះរាជា គឺ​អ្នកបម្រើ​ម្នាក់​ក្នុង​ញាតិវង្ស​របស់​ព្រះបាទ​ដាវីឌ​ដែល​មានឈ្មោះ​ថា ស៊ី​បា​។ ព្រះបាទ​ដាវីឌ​មាន​រាជឱង្ការ​សួរ​គាត់​ថា​៖ «តើ​អ្នក​ឬ​ជា​ស៊ី​បា?» គាត់​ទូល​ស្តេច​ថា​៖ «បពិត្រ! គឺ​ទូលបង្គំ​នេះ​ហើយ»។
2SA 9:3	នោះ ព្រះរាជា​មាន​រាជឱង្ការ​ថា​៖ «តើ​ក្នុង​វង្ស​ញាតិ​របស់​ព្រះបាទ​សូល មិន​មាន​អ្នកណា​ម្នាក់​នៅ​មានជីវិត ដែល​យើង​អាច​សម្តែង​សេចក្តី​សប្បុរស​នៃ​ព្រះ​ចំពោះ​គេ​បានទេ​ឬ?» លោក​ស៊ី​បា​ទូល​ទៅ​ស្តេច​វិញ​ថា​៖ «សម្តេច​យ៉ូ​ណា​ថាន់ នៅ​មាន​បុត្រា​មួយ​អង្គ ដែល​ពិការ​ជើង»។
2SA 9:4	ព្រះរាជា​សួរ​លោក​ថា​៖ «តើ​គេ​នៅឯណា?» លោក​ស៊ី​បា​ទូល​ថា​៖ គឺ​លោក​ស្នាក់នៅ​ក្នុង​ផ្ទះ​របស់​លោក​ម៉ា​កៀរ ជា​កូនប្រុស​របស់​លោក​អាំ​មាល ក្នុង​ក្រុង​ឡូ​រ​ដេបា»។
2SA 9:5	នោះ​ព្រះបាទ​ដាវីឌ​បាន​ចាត់​គេ​ឲ្យ​ទៅ​រក​គាត់ និង​នាំ​ពី​ផ្ទះ​របស់​លោក​ម៉ា​កៀរ ជា​កូន​របស់​អាំ​មាល ពី​ក្រុង​ឡូ​រ​ដេបា​មក​។
2SA 9:6	សម្តេច​មេ​ភី​បូ​សែត ជា​បុត្រ​របស់​សម្តេច​យ៉ូ​ណា​ថាន់ និង​ជា​ចៅ​របស់​ព្រះបាទ​សូល បាន​ចូល​គាល់​ព្រះបាទ​ដាវីឌ លោក​បាន​ឱន​ចុះ​ក្រាប​មុខ​ដល់​ដី​ថ្វាយបង្គំ​ស្តេច​។ ព្រះបាទ​ដាវីឌ​មាន​រាជឱង្ការ​សួរ​ថា​៖ «តើ​អ្នក​ឬ​ជា​មេ​ភី​បូ​សែត?» លោក​ទូល​ថា​៖ «បពិត្រ​ព្រះករុណា! ទូលបង្គំ​ជា​អ្នកបម្រើ​របស់​ព្រះករុណា!»
2SA 9:7	ព្រះបាទ​ដាវីឌ​មាន​រាជឱង្ការ​ថា​៖ «កុំ​ភ័យខ្លាច​យើង​ធ្វើអ្វី យើង​នឹង​ប្រព្រឹត្ត​ចំពោះ​អ្នក​ដោយ​សប្បុរស ដោយ​យល់​ដល់​សម្តេច​យ៉ូ​ណា​ថាន់ ជា​បិតា​របស់​អ្នក ហើយ​យើង​នឹង​ប្រគល់​ដីធ្លី​ទាំងប៉ុន្មាន​ដែល​ជា​របស់​ព្រះបាទ​សូល ជា​ជីតា​របស់​អ្នកឲ្យ​ទៅ​អ្នក​វិញ នោះ​អ្នក​នឹង​បរិភោគ​រួម​តុ​ជាមួយ​យើង​ជា​រៀងរាល់ថ្ងៃ​រហូត​តទៅ»។
2SA 9:8	សម្តេច​ចមេ​ភី​បូ​សែត​ក្រាប​ថ្វាយបង្គំ ហើយ​ទូល​ស្តេច​ថា​៖ «បពិត្រ​ព្រះករុណា! តើ​ទូលបង្គំ​នេះ​មានឋានៈជា​អ្វី ដែល​ព្រះករុណា​យកចិត្ត​ទុកដាក់​ជាមួយ ទូលបង្គំ​ប្រៀប​បាន​នឹង​ឆ្កែ​ងាប់​មួយ​ក្បាល​តែប៉ុណ្ណោះ?»
2SA 9:9	ពេលនោះ ស្តេច​បាន​ត្រាស់​ហៅ​លោក​ស៊ី​បា ជា​អ្នកបម្រើ​របស់​ព្រះបាទ​សូល​មក ហើយ​មាន​រាជឱង្ការ​ថា​៖ គ្រប់​ទាំង​អ្វី​ៗ​ទាំងអស់ ដែល​ជា​សម្បត្តិ​របស់​ព្រះបាទ​សូល​និង​ញាតិ​របស់​ទ្រង់ យើង​បាន​ប្រគល់ឲ្យ​ទៅ​ចៅ​របស់​ចៅហ្វាយ​របស់​លោក​ហើយ​។
2SA 9:10	លោក​និង​កូនចៅ​របស់​លោក​ព្រមទាំង​អ្នកបម្រើ​របស់​លោក​ត្រូវ​នាំគ្នា​ធ្វើស្រែ​ចំការ​នោះ​ឲ្យ​លោក ហើយ​ប្រមូល​ភោគផល​ទុក​សម្រាប់​គាត់ ដូច្នេះ ចៅហ្វាយ​របស់​លោក​នឹង​មាន​អាហារ​សម្រាប់​បរិភោគ​។ សម្រាប់​សម្តេច​មេ​ភី​បូ​សែត ចៅប្រុស​ចៅហ្វាយ​របស់​លោក​ត្រូវ​បរិភោគ​រួម​តុ​ជាមួយ​យើង​ជា​រៀងរាល់ថ្ងៃ»។ លោក​ស៊ី​បា​មានកូន​ប្រុស​ចំនួន​ដប់ប្រាំ​នាក់ និង​អ្នកបម្រើ​ម្ភៃ​នាក់​។
2SA 9:11	នោះ​គាត់​ទូល​ស្តេច​ថា​៖ «បពិត្រ​ព្រះករុណា ទូលបង្គំ​ជា​អ្នកបម្រើ​របស់​ទ្រង់ នឹង​ប្រព្រឹត្ត​តាម​បញ្ជា​ទាំងប៉ុន្មាន​ដែល​ព្រះករុណា​បង្គាប់​មក​ទូលបង្គំ​។ ស្តេច​បន្ថែម​ទៀត​ថា​៖ «ឯ​មេ​ភី​បូ​សែត​ដែល​នឹង​ត្រូវ​បរិភោគ​រួម​តុ​ជាមួយ​យើង​រាល់ថ្ងៃ គឺ​ដូចជា​បុត្រា​មួយ​អង្គ​របស់​ព​ព្រះរាជា​ដែរ»។
2SA 9:12	លោក​មេ​ភី​បូ​សែត​មានកូន​ប្រុស​ម្នាក់ ឈ្មោះ​មីកា​។ មនុស្ស​ទាំងអស់​ដែល​រស់នៅ​ក្នុង​ផ្ទះ​របស់​លោក​ស៊ី​បា សុទ្ធតែ​ជា​អ្នកបម្រើ​របស់​លោក​មេ​ភី​បូ​សែត​។
2SA 9:13	លោក​មេ​ភី​បូ​សែត​បាន​ស្នាក់នៅ​ក្រុង​យេរូសាឡឹម ហើយ​លោក​តែងតែ​រួម​តុ​អាហារ​ជាមួយ​ស្តេច ជើង​របស់​សម្តេច​មេ​ភី​បូ​សែត​ទាំងពីរ​គឺ​ពិការ​។
2SA 10:1	ក្រោយ​បន្តិចមក ស្តេច​នៃ​ជនជាតិ​អាំ​ម៉ូ​នបាន​ចូលទិវង្គត ហើយ​បុត្រា​របស់​ទ្រង់ព្រះ​នាម​ហា​នូន បាន​គ្រងរាជ្យ​បន្ត​។
2SA 10:2	ព្រះបាទ​ដាវីឌ​មាន​រាជឱង្ការ​ថា​៖ «យើង​នឹង​សម្តែង​សេចក្តី​សប្បុរស ចំពោះ​ហា​នូន ជា​កូន​របស់​ណា​ហាស ដូចជា​បិតា​ទ្រង់​ធ្លាប់​បាន​សម្តែង​សេចក្តី​សប្បុរស​ចំពោះ​យើង»។ ដូច្នេះ ព្រះបាទ​ដាវីឌ បាន​ចាត់​រាជទូត​របស់​ទ្រង់​ទៅ​ជួយ​សម្រាលទុក្ខ​របស់​ទ្រង់​ដោយ បិតា​របស់​ទ្រង់​បាន​សុគត​។ ពួក​រាជទូត​បាន​ចូល​ទៅ​ក្នុងទឹក​ដី​របស់​ពួក​អាំ​ម៉ូន​។
2SA 10:3	ប៉ុន្តែ ពួក​អ្នកដឹកនាំ​របស់​សាសន៍​អាំ​ម៉ូន បាន​ទូល​ទៅ​ហា​នូន ជា​ចៅហ្វាយ​របស់​ពួកគេ​ថា​៖ «តើ​ទ្រង់​ពិតជា​ជឿ​ថា ស្តេច​ដាវីឌ​ចង់​លើកតម្កើង​បិតា​ទ្រង់ ដោយ​ចាត់​រាជទូត​មក​សម្រាលទុក្ខ​ទ្រង់​ឬ? តើ​ដាវីឌ មិនមែន​បញ្ជូន​ទូត​របស់​គេ​មក​ដើម្បី​អង្កេត ស៊ើប​មើល​ទីក្រុង ក្នុង​គោលបំណង​វាយ​ដណ្តើម​ទីក្រុង​ទេ​ឬ?»
2SA 10:4	ដូច្នេះ លោក​ហា​នូន​បាន​ចាប់​ពួក​រាជទូត​របស់​ស្តេច​ដាវីឌ កោរពុកចង្កា​ររបស់​ពួកគេ​មួយ​ចំហៀង និង​កាត់​សម្លៀកបំពាក់​ពួកគេ​ផ្តាច់​ត្រឹម​គូថ រួច​លែង​ពួកគេ​ទៅ​។
2SA 10:5	នៅពេល​ដែល​ពួកគេ​ទូល​រឿង​នេះ​ដល់​ព្រះបាទ​ដាវីឌ ទ្រង់​បាន​ចាត់​មនុស្ស​ឲ្យ​ទៅ​ទទួល​ពួកគេ ព្រោះ​ពួកគេ​មាន​សេចក្តី​អៀន​ខ្មាស់​ជា​ខ្លាំង​។ ស្តេច​បាន​បង្គាប់​មក​ថា​៖ «ចូរ​អ្នករាល់គ្នា​ស្នាក់នៅ​ក្រុង​យេ​រី​ខូ រហូតដល់​ពុកចង្កា​ររបស់​អ្នករាល់គ្នា​បាន​ដុះឡើង​វិញ រួច​ចាំ​ត្រឡប់មកវិញ»។
2SA 10:6	កាល​ពួក​ជនជាតិ​អាំ​ម៉ូន ឃើញថា​ពួកគេ​បាន​ទៅជា​ទី​គួរ​ស្អប់ខ្ពើម​របស់​ស្តេច​ដាវីឌ​ហើយ​នោះ ជនជាតិ​អាំ​ម៉ូន បាន​ចាត់​អ្នកនាំសារ​ឲ្យ​ទៅ​ជួល​ជនជាតិ​ស៊ីរី ពី​ក្រុង បេត រេ​ហូប និង​ក្រុង​សូ​បា បាន​ទ័ពថ្មើរជើង​ចំនួន​ពីរ​ម៉ឺន​នាក់ កងទ័ព​របស់​ស្តេច​ម៉ា​កា ចំនួន​មួយ​ពាន់​នាក់​។
2SA 10:7	ពេល​ដែល​ព្រះបាទ​ដាវីឌ បានឮ​ដំណឹង​នេះ ទ្រង់​បាន​ចាត់​លោក​យ៉ូ​អាប់ និង​កងទ័ព​ទាំងអស់​។
2SA 10:8	ពួក​សាសន៍​អាំ​ម៉ូន បាន​ចេញ​មក​បោះទីតាំង​ទ័ព នៅ​ច្រកចូល​ទីក្រុង​របស់​ពួកគេ ដែល​ពេលនោះ​ទ័ពថ្មើរជើង​ស៊ីរី នៃ​សូ​បា និង រេ​ហូប និង​ម៉ា​កា បាន​ចេញ​មក​ត្រៀមខ្លួន​នៅ​តាម​ទីវាល​។
2SA 10:9	ពេល​ដែល​លោក​យ៉ូ​អាប់​បានឃើញ​ថា លោក​ត្រូវ​ប្រឈមមុខ​ច្បាំង​តទល់​ទាំងពីរ​មុខព្រួញ​ដូច្នេះ លោក​ក៏បាន​ជ្រើសរើស​ពួក​ទាហាន​ដែល​ជំនាញ​បំផុត​ពី​កងទ័ព​អ៊ីស្រាអែល ហើយ​រៀបចំ​ពួកគេ​ជា​ក្បួនទ័ព​ចេញទៅ​តទល់​នឹង​កងទ័ព​ស៊ីរី​។
2SA 10:10	រី​ឯ​ពួក​ទាហាន​ដែល​នៅសល់ លោក​បាន​ប្រគល់​ទៅ​ក្នុង​ការដឹកនាំ​របស់​លោក​អ​ប៊ី​សាយ ប្អូនប្រុស​របស់​លោក ចេញទៅ​តទល់​នឹង​ជន​ជា​តិ​អាំ​មូន​។
2SA 10:11	លោក​យ៉ូ​អាប់​មានប្រសាសន៍​ទៅ លោក​អ​ប៊ី​សាយ ជា​ប្អូន​ថា​៖ «ប្រសិនបើ​ជនជាតិ​ស៊ីរី​មាន​កម្លាំង​ខ្លាំង​ជាង​បង នោះ​ប្អូន លោក​អ​ប៊ី​សាយ​ត្រូវ​ទៅ​ជួយ​បង​ផង​។ ផ្ទុយទៅវិញ​ជនជាតិ​អាំ​ម៉ូន ខ្លាំង​ជាង​ឯង នោះ​បង​នឹង​ទៅ​ជួយ​ឯង​។
2SA 10:12	ចូរ​មាន​កម្លាំង និង​ចិត្តក្លា​ហាន​ប្រយុទ្ធ ដើម្បី​ប្រជារាស្ត្រ​របស់​យើង និង​ទីក្រុង​របស់​ព្រះ​នៃ​យើង សូម​ព្រះអម្ចាស់​សម្រេច​តាម​ព្រះហឫទ័យ​របស់​ព្រះអង្គ​ចុះ»។
2SA 10:13	ដូច្នេះ លោក​យ៉ូ​អាប់ និង​ពលទាហាន​របស់​លោក បាន​ចេញទៅ​ប្រយុទ្ធ​ជាមួយ​ជនជាតិ​ស៊ីរី គឺ​អ្នក​ដែល​បាន​បាក់ទ័ព​រត់​នៅ​ខាងមុខ​ពល​ទ័ព​អ៊ីស្រាអែល​។
2SA 10:14	នៅពេល​ដែល​កងទ័ព​ជន​ជា​តិ​អាំ​មូន​ឃើញថា​កងទ័ព​ស៊ីរី បាក់ទ័ព​ដូច្នេះ ពួកគេ​ក៏​រត់ចេញ​ពីមុខ​លោក​អ​ប៊ី​សាយ ត្រឡប់​ចូល​ទៅ​ក្នុង​ទីក្រុង​វិញ​។ លោក​យ៉ូ​អាប់​ក៏បាន​ត្រឡប់​ពី​វាយប្រហារ​ជនជាតិ​អាំ​ម៉ូន ហើយ​ត្រឡប់ទៅ​ក្រុង​យេ​រូ​សា​ឡិម​វិញ​។
2SA 10:15	ពេល​ដែល​ពួក​ស៊ីរី​ឃើញថា​ពួកគេ​ចាប់ផ្តើម​ចាញ់​ដៃ​ជនជាតិ​អ៊ីស្រាអែល នោះ​ពួកគេ​ក៏​ប្រមូល​ផ្តុំគ្នា​ឡើងវិញ​។
2SA 10:16	ពេលនោះ ព្រះបាទ​ហា​ដា​រេ​ស៊ើបា​ន​ចាត់​គេ​ឲ្យ​ទៅ​ប្រមូល​ពល​ទ័ព​ស៊ីរី​ដែល​នៅ​ឯនាយ​ទន្លេ​អឺ​ប្រា​តមក​ជួយ​។ ពួកគេ​បាន​មកដល់​ហេ​ឡាម ដែល​មាន​លោក​សូ​បាក់ ជា​មេបញ្ជាការ​កងទ័ព​លើ​ពលទាហាន​របស់​ព្រះបាទ​ហា​ដា​រេ​ស៊ើ ជា​មេដឹកនាំ​របស់​ពួកគេ​។
2SA 10:17	មាន​គេ​នាំ​ដំណឹង​នេះ​មក​ទូុ​លព្រះ​បាទ​ដាវីឌ ទ្រង់​ក៏បាន​ប្រមូល​កងទ័ព​អ៊ីស្រាអែល​ទាំងអស់​ឆ្លងទន្លេ​យ័រ​ដាន់ ហើយ​បាន​ទៅដល់​ហេ​ឡាម​។ ពួក​ស៊ីរី​បាន​រៀបចំ​ទ័ព​ប្រឈមមុខ​ជាមួយនឹង​ទាហាន​របស់​ព្រះបាទ​ដាវីឌ ហើយ​វាយប្រហារ​ទ្រង់​។
2SA 10:18	កងទ័ព​ស៊ីរី បាន​បាក់ទ័ព​រត់​នៅមុខ​ទ័ព​អ៊ីស្រាអែល​។ ព្រះបាទ​ដាវីឌ សម្លាប់​ទាហាន​បររទេះ​សេះ​អស់​ប្រាំពីរ​រយ​នាក់ និង​ពល​ទ័ពសេះ​អស់​បួន​ម៉ឺន​នាក់​។ លោក​សូ​បាក់​ជា​មេបញ្ជាការ​របស់​ពួកគេ​ក៏​ស្លាប់​នៅ​ទីនោះ​ដែរ​។
2SA 10:19	ពេល​ដែល​ស្តេច​ទាំងឡាយ​ដែល​ជា​ចំ​នុះ​របស់​ព្រះបាទ​ហា​ដា​រេ​ស៊ើរ ឃើញថា​ពួកគេ​ចាញ់​កងទ័ព​អ៊ីស្រាអែល​ដូច្នេះ ពួកគេ​ក៏​បែរមក​ចុះ​សន្ធិសញ្ញា​សន្តិភាព​ជាមួយ​អ៊ីស្រាអែល ហើយ​ចុះចូល​ជាមួយនឹង​ស្តេច​។
