1CH 1:1	លោក​អ​ដាំ លោក​សេ​ថ លោក​អេ​ណុស
1CH 1:34	លោក​អ​ប្រា​ហាំ​ជា​ឪពុក​របស់​លោក​អ៊ី​សាក ហើយ​កូន​របស់​លោក​អ៊ី​សាក​គឺ​លោក​អេ​សាវ និង​លោក​អ៊ីស្រាអែល​។
1CH 1:35	កូ​នប្រុសៗ​របស់​លោក​អេ​សាវ​មាន អេ​លី​ផាស រេ​ហួល យេ​អូស យ៉ា​ឡាម និង​កូ​រ៉ា​។
1CH 1:36	កូ​នប្រុសៗ​របស់​លោក​អេ​លី​ផាស​មាន ថេ​ម៉ាន អូ​ម៉ា​រ សេ​ផូ កេ​ថាម កេ​ណាស ធី​មណា និង​អា​មា​ឡេ​ក​។
1CH 1:37	កូ​នប្រុសៗ​របស់​លោក​រេ​ហួល​មាន ណា​ហាត់ សេ​រ៉ា​ស សាំ​ម៉ា និង​មី​សសា​។
1CH 1:38	កូ​នប្រុសៗ​របស់​លោក​សៀរ​មាន ឡូ​ថាន សូ​បាល ស៊ី​បៀន អណា ឌី​សសុន អេ​ស៊ើរ និង​ឌី​សាន​។
1CH 1:39	កូ​នប្រុសៗ​របស់​លោក​ឡូ​ថាន​មាន ហូរី និង​ហោ​ម៉ា​ម​។​ប្អូនស្រី​របស់​លោក​ឡូ​ថាន ឈ្មោះ​នាង​ធី​មណា​។
1CH 1:40	កូ​នប្រុសៗ​របស់​លោក​សូ​បាល​មាន អាល់​វ៉ាន ម៉ា​ណា​ហាត់ អេ​បាល សេ​ផូ និង​អូ​ណាម​។ កូ​នប្រុសៗ​របស់​លោក​ស៊ី​បៀន​មាន អៃយ៉ា និង​អ​ណា​។
1CH 1:41	កូ​នប្រុសៗ​របស់​លោក​អ​ណា​គឺ ឌី​សុន កូ​នប្រុសៗ​របស់​លោ​ក​ឌី​សុ​ន​មាន ហា​មរ៉ាន អែស​បាន់ អ៊ី​ត​រ៉ា​ន និង​កេរ៉ា​ន​។
1CH 1:42	កូ​នប្រុសៗ​របស់​លោក​អេ​ស៊ើ​រមាន ប៊ី​ល​ហាន សា​វ៉ាន និង​យ៉ា​កាន​។ កូ​នប្រុសៗ​របស់​លោ​ក​ឌី​សសាន គឺ​អ៊ូ​ស និង​អ​រ៉ា​ន​។
1CH 1:43	ស្តេច​ដែល​គ្រងរាជ្យ​នៅ​ស្រុក​អេ​ដុម​មុន​ពេល​ដែល​មាន​ស្តេច​គ្រងរាជ្យ​លើ​ជនជាតិ​អ៊ីស្រាអែល​មាន​ដូចតទៅ ព្រះបាទ​បេឡា ជា​បុត្រ​លោក​បេ​អ៊រ គ្រងរាជ្យ​នៅ​ក្រុង​ឌីន​ហា​បា​។
1CH 1:44	ពេល​ព្រះបាទ​បេឡា​សោយទិវង្គត​ទៅ ព្រះបាទ​យ៉ូ​បាប់ ជា​បុត្រ​របស់​លោក​សេ​រ៉ា អ្នកក្រុង​បូស​រ៉ា ឡើង​គ្រងរាជ្យ​ជំនួស​។
1CH 1:45	ពេល​ព្រះបាទ​យ៉ូ​បាប់​សោយទិវង្គត ព្រះបាទ​ហ៊ូ​សាម ជា​អ្នកស្រុក​ថេ​ម៉ាន ឡើង​គ្រងរាជ្យ​ជំនួស​។
1CH 1:46	ពេល​ព្រះបាទ​ហ៊ូ​សាម​សោយទិវង្គត ព្រះបាទ​ហា​ដាដ ជា​បុត្រ​របស់​លោក​បេ​ដាដ មក​ពី​ក្រុង​អា​វីត ឡើង​គ្រងរាជ្យ​ជំនួស គឺ​ស្តេច​នេះ​ហើយដែល​វាយ​ឈ្នះ​ពួក​មី​ឌាន នៅ​ស្រុ​ម​ម៉ូ​អាប់​។
1CH 1:47	ពេល​ព្រះបាទ​ហា​ដា​ដ​សោយទិវង្គត ព្រះបាទ​សាំ​ឡា ជា​អ្នកស្រុក​ម៉ាស​រេ​កា ឡើង​គ្រងរាជ្យ​ជំនួស​។
1CH 1:48	ពេល​ព្រះបាទ​សាំ​ឡា​សោយទិវង្គត ព្រះបាទ​សូល​ជា​អ្នកស្រុក​រ៉េ​ហូបូ​ត ដែល​នៅ​មាត់ទន្លេ ឡើង​គ្រងរាជ្យ​ជំនួស​។
1CH 1:49	ពេល​ព្រះបាទ​សូល​សោយទិវង្គត ព្រះបាទ​បាល-ហា​ណាន់​ជា​បុត្រ​របស់​លោក​អក​បោរ​ឡើង​គ្រងរាជ្យ​ជំនួស​។
1CH 1:50	ពេល​ព្រះបាទ​បាល-ហា​ណាន់​សោយទិវង្គត ព្រះបាទ​ហា​ដា ជា​អ្នកក្រុង​ប៉ាវ ឡើង​គ្រងរាជ្យ​ជំនួស​។ មហេសី​របស់​ស្តេច​មាន​នាម​ថា មហេ​ថា​បែល ជា​បុត្រី​របស់​លោកស្រី​ម៉ាត​រ៉េ​ត និង​ជា​ចៅស្រី​របស់​លោក​មេសា​ហាប់​។
1CH 1:51	បន្ទាប់មក ព្រះបាទ​ហា​ដា​សោយទិវង្គត​។ រី​ឯ​មេកន្ទ្រាញ​របស់​ជន​ជា​តិ​អេ​ដុម​មាន លោក​ធី​មណា លោ​ក​អាល់​វ៉ា លោក​យេ​ថេ​ត
1CH 1:52	លោក​អ​ហូលី​បា​ម៉ា លោក​អេ​ឡា លោក​ពី​ណូន
1CH 1:53	លោ​ក​កេ​ណាស លោក​ថេ​ម៉ាន លោ​ក​មី​ប​សារ
1CH 1:54	លោក​ម៉ា​ក​ឌាល លោក​អ៊ី​រ៉ាម​។ លោក​ទាំងនោះ​សុទ្ធតែ​ជា​មេកន្ទ្រាញ​របស់​ជន​ជា​តិ​អេ​ដុម​។
1CH 2:1	កូ​នប្រុសៗ​របស់​លោក​អ៊ីស្រាអែល​មាន រូ​បេន ស៊ី​ម្មាន លេ​វី យូដា អ៊ី​សា​ខារ សាប់​យូ​ឡូន
1CH 2:2	ដាន់ យ៉ូសែប បេន​យ៉ា​មីន ណែ​បថា​លី កាឌ និង​អេ​ស៊ើរ​។
1CH 2:3	កូ​នប្រុសៗ​របស់​លោក​យូដា​មាន អ៊ើ​រ អូ​ណាន់ និង​សេ​ឡា​។ អ្នក​ទាំង​បី​នេះ ជា​កូន​ដែល​កើត​ពី​ស្ត្រីជន​ជាតិ​កា​ណាន ជា​កូនស្រី​របស់​លោក​ស៊ូ​អា​។ លោក​អ៊ើ​រដែ​លត្រូវ​ជា​កូនច្បង​របស់​លោក​យូដា ជា​មនុស្ស​អាក្រក់​មិន​គាប់​ព្រះហឫទ័យ​ព្រះអម្ចាស់ ដូច្នេះ ព្រះអង្គ​ក៏​ដក​ជីវិត​គាត់​ទៅ​។
1CH 2:4	ក្រោយមក​លោក​យូដា​បាន​យក​នាង​តា​ម៉ា​រ​ជា​កូនប្រសា ហើយ​នាង​បង្កើត​បា​នពេ​រេស និង​សេ​រ៉ា​ស​។ ដូច្នេះ លោក​យូដា​មានកូន​ទាំងអស់​ប្រាំ​នាក់​។
1CH 2:5	កូ​នប្រុសៗ​របស់​លោ​ក​ពេ​រេស​មាន ហេ​ស្រុ​ន និង​ហា​មុល​។
1CH 2:6	កូ​នប្រុសៗ​របស់​លោក​សេ​រ៉ា​សមាន ស៊ី​មរី អេ​ថាន ហេ​ម៉ាន កាល់​កូល និង​ដារ៉ា គឺ​ទាំងអស់​មាន​ប្រាំ​នាក់​។
1CH 2:7	កូ​នប្រុសៗ​របស់​លោក​កើ​មី​គឺ​អេ​កាន ជា​អ្នកនាំ​ទុក្ខទោស​មក​លើ​ជនជាតិ​អ៊ីស្រាអែល ដោយ​បាន​លួច​យក​វត្ថុ​ដែល​ត្រូវ​បំផ្លាញ​ថ្វាយ​ផ្តាច់​ដល់​ព្រះជាម្ចាស់​។
1CH 2:8	កូនលោក​អេ​ថាន គឺ​អ​សា​រ៉ា​។
1CH 2:9	កូ​នប្រុសៗ​របស់​លោក​ហេ​ស្រុ​ន​មាន យេ​រ៉ាម្​អែល រ៉ាម និង​កា​លែប​។
1CH 2:10	លោក​រ៉ាម​ជា​ឪពុក​របស់​លោក​អ​មី​ណា​ដាប់ លោក​អ​មី​ណា​ដាប់​ជា​ឪពុក​របស់​លោក​ណា​សូន ដែល​ជា​ប្រមុខ​លើ​ពួក​កូនចៅ​យូដា
1CH 2:11	លោក​ណា​សូន​ជា​ឪពុក​របស់​លោក​សា​លម៉ូន លោក​សា​លម៉ូន​ជា​ឪពុក​របស់​លោក​បូ​អូស
1CH 2:12	លោក​បូ​អូស​ជា​ឪពុក​របស់​លោក​អូ​បិឌ លោក​អូ​បិឌ​ជា​ឪពុក​របស់​លោក​អ៊ី​សាយ​។
1CH 2:13	លោក​អ៊ី​សាយ​ជា​ឪពុក​របស់​លោក​អេ​លាប ជា​កូនច្បង អ​ប៊ី​ណា​ដាប់​ជា​កូន​ទីពីរ សាំ​ម៉ា​ជា​កូន​ទីបី
1CH 2:14	នេ​ថា​នេល​ជា​កូន​ទី​បួន រ៉ា​ដាយ​ជា​កូន​ទី​ប្រាំ
1CH 2:15	អូ​សែ​ម​ជា​កូន​ទី​ប្រាំមួយ និង​ដាវីឌ​ជា​កូន​ទី​ប្រាំពីរ​។
1CH 2:16	រី​ឯ​បងប្អូន​ស្រី​របស់​ពួកគេ​គឺ​នាង​សេ​រ៉ូ​យ៉ា និង​អ​ប៊ី​កែល​។ កូ​នប្រុសៗ​របស់​នាង​សេ​រ៉ូ​យ៉ា​មាន​បី​នាក់​គឺ អ​ប៊ី​សាយ យ៉ូ​អាប់ និង​អេ​សា​អែល​។
1CH 2:17	នាង​អ​ប៊ី​កែ​លប​ង្កើត​អ​ម៉ា​សា រី​ឯ​ឪពុក​របស់​អ​ម៉ា​សា​ឈ្មោះ​យេ​ធើរ ជា​ជនជាតិ​អ៊ី​ស្មា​អែល​។
1CH 2:18	លោក​កា​លែប​ជា​កូន​របស់​លោក​ហេ​ស្រុ​ន ព្រមទាំង​នាង​អ​ស៊ូ​បា​ជា​ភរិយា បង្កើត​បានកូន​ស្រី​មួយ​ឈ្មោះ យេ​រី​អូត និង​កូនប្រុស​បី​នាក់​គឺ យេ​ស៊ើរ សូ​បាប និង​អើ​ដូន​។
1CH 2:19	ពេល​នាង​អ​ស៊ូ​បា​ស្លាប់​ទៅ លោក​កា​លែប​មាន​ភរិយា​មួយទៀត​ឈ្មោះ​នាង​អេ​ប្រា នាង​បង្កើត​បានកូន​ប្រុស​មួយ​ជូន​លោក ដែល​មានឈ្មោះ​ថា​ហ៊ើរ​។
1CH 2:20	លោ​ក​ហ៊ើរ​ជា​ឪពុក​របស់​លោក​យូ​រី ហើយ​លោក​យូ​រី​ជា​ឪពុក​របស់​លោក​បេត​សា​លាល​។
1CH 2:21	ក្រោយមក លោក​ហេ​ស្រុ​នបា​នយ​កកូន​ស្រី​ម្នាក់​របស់​លោក​ម៉ា​គារ ដែល​ត្រូវជា​ឪពុក​របស់​លោក​កាឡា​ដម​ក​ធ្វើជា​ភរិយា​។ ពេលនោះ​លោក​មាន​អាយុ៦០ឆ្នាំ​ហើយ នាង​បង្កើត​បានកូន​ប្រុស​មួយ​ជូន​លោក​ដែល​មានឈ្មោះ​ថា សេ​គូប​។
1CH 2:22	លោក​សេ​គូប​ជា​ឪពុក​របស់​លោក​យ៉ា​អៀរ ដែល​ជា​អ្នកគ្រប់គ្រង​លើ​ភូមិ​ម្ភៃ​បី​នៅ​ស្រុក​កា​ឡាដ​។
1CH 2:23	ជន​ជា​តិ​កេសួ​រី និង​ជនជាតិ​អើ​រ៉ាម បាន​វាយ​យក​ភូមិ​ទាំងប៉ុន្មាន​របស់​លោក​យ៉ា​អៀរ ព្រមទាំង​ក្រុង​កេ​ណាត​និង​ស្រុកភូមិ​នៅ​ជុំវិញ​ដែល​មាន​ចំនួន​ទាំងអស់៦០​។ ប្រជាជន​ដែល​រស់នៅ​ក្នុង​ក្រុង​នោះ​សុទ្ធតែ​ជា​ពូជពង្ស​របស់​លោក​ម៉ា​គារ​ជា​ឪពុក​របស់​លោក​កា​ឡាដ​។
1CH 2:24	បន្ទាប់ពី លោក​ហេ​ស្រុ​ន​ស្លាប់​ទៅ លោក​កា​លែប​បាន​គេង​ជាមួយ​អេ​ប្រា​តា ជា​ភរិយា​លោក​ហេ​ស្រុ​ន​ជា​ឪពុក​គាត់ ហើយ​នាង​បង្កើតកូន​ប្រុស​មួយ​ជូន​គាត់​មានឈ្មោះ​ថា អាស​ហើរ ដែល​ត្រូវជា​ឪពុក​របស់​លោ​ក​ត្កូ​អា​។
1CH 2:25	រី​ឯ​កូនចៅ​របស់​លោក​យេ​រ៉ា​មែល ជា​កូនច្បង​របស់​លោក​ហេ​ស្រុ​ន​មាន រ៉ាម ជា​កូនច្បង ប៊ូ​ណា អូរែ​ន អូ​សេម និង​អ​ហ៊ី​យ៉ា​។
1CH 2:26	លោក​យេ​រ៉ា​មែ​លមា​នប្រ​ពន្ធ​មួយទៀត​ឈ្មោះ​នាង​អ​ថា​រ៉ា ដែល​ត្រូវជា​ម្តាយ​របស់​លោក​អូ​ណាម​។
