Chendamony	ចិន្ដាមណី  F  philosopher's stone; magic or power to fulfill all desires 
Chenibot	ជិនបុត្រ   M  son of the victorious
Chenivong	ជិនវង្ស  M  Family of the victorious
Chet	ចិត្ត  M  heart (as the seat of emotions), feelings, emotions; mind, spirit, will (power); intention; thought, opinion; nature, disposition;
Chhann	ឆាន់  U  to eat / drink / consume; I / me / my (elder Buddhist monk addressing younger one)
Chhaom	ឆោម  F  figure, shape; image, portrait; structure (esp. in the sense of a pleasing shape, a beautiful figure)
Chhaomchay	ឆោមឆាយ  F  to be charming, fascinating, attractive, seductive, have a beautiful figure (of a woman) 
Chhay	ឆាយ  M  to be beautiful, ravishing, fine; rare
Chhaya	ឆាយា  U  shadow, shade; reflection 
Chhean	ឈាន  U  to step forward
Chhey	ជ័យ  M  victory; prayer for victory 
Chhorpunreangsey	ឆព្វណ្ណរង្សី  F  six colors of light (blue, yellow, red, white, reddish, diamond color)
Chhorvy	ឆវី  F  to be ringing, resonant, sonorous; ray (of light), beam, gleam
Chomnan	ចំណាន  U  to be capable, expert, skilled, good at 
Chompei	ចំប៉ី   F  frangipani (Plumeria rubra; a plant with very fragrant white or red flowers)      
Chouk	ឈូក   F  lotus
Choukrath	ឈូករតន៍  F  sunflower
Chubleak	ជបលក្ខណ៍  M  child in the Ramayana legend created magically by a Brahman hermit to replace Ramalaksmi.
Chulsa	ជលសា  F  sea, ocean
Chumpu	ជំពូ  F  a kind of tropical fruit tree that grows in Cambodia and has white, red or pink fruit
Chutekmea	ជុតិមា   M  glorious
Da	ដា  F  rock, stone
Daen	ដែន  M  territory, region
Dara	ដារា  U  star; precious
Darareaksmey	តារារស្មី   F  bright shining star
Duong	ដួង  F  globe
Duongchevan	ដួងជីវន្ត  U  darling
Duongchhann	ដួងច័ន្ទ   F  disc of the moon
Duongdara	ដួងតារា  U  star
Duongkeo	ដួងកែវ  F  dear
Ekreach	ឯករាជ្យ  M  independence
Enthanou	ឥន្ទធនូ  F  rainbow
Enthrey	ឥន្ទ្រី  M  eagle
Entreakjit	ឥន្រ្ទជិត  M  name of monster in the Ramayana (son of Ravana)
Eravann	ឯរាវ័ណ  M  Eravan (Indra's three-headed elephant)
Eth	ឥដ្ឋ  M  to be desirable; pleasing, likable, preferable, satisfying; necessary; ideal; dear, beloved, favorite 
Etthipul	ឥទ្ធិពល  M  power, influence, authority;
Eysarn	ឦសាន  M  northeast
Gnagn	ញាញ់  U  kinky, (សក់ក្រញាញ់)
Haeum	ហើម  M  swell
Hak	ហាក់   M  like, as
Hap	ហាប់   M  full
Haung	ហង្ស   M  mythological bird
Hean	ហ៊ាន  M  brave, to dare
Heeng	ហ៊ីង  M  kind of burrowing toad (Callula pulchra) 
Heng	ហេង  M  lucky
Huoch	ហួច  M  whistle
Huot	ហួត  M  draw out, dry
Kagna	កញ្ញា  F  beauty, virgin, girl, Miss
Kakada	កក្កដា  U  July
Kaliyan	កល្យាណ  F  sweet darling; morally good; charming
Kalya	កល្យា  U  healthy, physically fit, robust
Kalyana	កល្យាណា  M  beautiful, attractive, lovely
Kambu	កម្ពុ  M  the hermit Prince Kambu Svayambhuva from India who is the eponymous ancestor of the inhabitants of Kambujadesha (present-day Cambodia)
Kambuja	កម្ពុជា  M  Sanskrit name for ancient Cambodia
Kanika	កណិការ  F  fragrance flower similar to jasmine, Kanak Champa
Kanitha	កន្និដ្ឋា  F  endearment for woman; younger sister, revered sister
Kantooch	កន្ទូច   F  Being Little
Kantop	កន្តុប   F  small and short
Karl	ខាល   M  tiger
Karuna	ករុណា  U  compassion, tolerance, mercy, kindness, chivalry
Kavi	កវី  M  poet, lyricist, verse maker
Kenorei	កិន្នរី   F  kinnara (legendary creature having the figure of a human and the wings of a bird or the body of a human and the head of a horse; they were of great beauty and skilled as dancers)
Keo	កែវ  U   glass, precious crystal; superior, extraordinary, precious, exquisite, delicate, special, uncommon
Keo	កែវ   F  glass, precious crystal; jewelry     
Keomony	កែវមនី   F  precious stone
Keopunlok	កែវពន្លក  F  as a term of endearment: dear, darling, beloved, precious 
Keriya	កិរិយា   F  attitude, behavior,personal characteristics
Kesa	កេសា  F  head
Kesei	កេសី  F  hair
Kesor	កេសរ   F  pollen of flowers; beautiful, heavenly lady (but with a touch of vanity)
Kesor	កេសរ  F  pollen of flowers
Khemara	ខេមរា  M  of or belonging to the Khmer race; people with happiness
Khettiya	ខត្តិយា  U  royalty, monarchy, kingship, sovereignty
Khon	ខុន  M  king (in chess)
Khouch	ខួច   F  a small round-mouthed; dimple
Khun	ឃុន  M  title for a royal concubine; title of the next to lowest official in the Cambodian court
Kiri	គីរី  U  mountain
Kok	កុក   M  a kind of heron; egret
Kol	កុល  U  Kol is a name prefix meaning exquisite, superior, virtuous
Kolab	កុលាប   F  rose
Kolab	កុលាប  F  rose
Kolbot	កុលបុត្រ  M  son of a good (or noble) family
Kolthida	កុលធីតា  F  daughter of a respectable family; young woman; kol + thida (daughter) : virtuous daughter, good daughter, righteous daughter
Komplorng	កំប្លង់   F  an attractive girl
Komsan	កំសាន្ត   M  amusement, entertainment, relaxation 
Komsoth	កំសត់   M  sad
Kosal	កុសល  M  merit (usually gained in return from what you  have given)
Kosal	កុសល   U  merit (usually gained in return from what you  have given)
Kravann	ក្រវាន់  F  tiny golden brown flower fragrant in the evening, kind of climbing plant with fragrant flowers (Artabotrys odoratissimus), Hara-champa
Ksatra	ក្សត្រា  M  prince
Ksatrey	ក្សត្រិយ៍   F  princess
Kumpheak	កុម្ភៈ   U  February
Kungkea	គង្គា  U  river
Kunneary	គន្ធនារី  F  kun (good deed, kindness, favor) + neary (female)
Kunthea	គន្ធា  F  fragrance, aroma, bouquet , the fragrance of a flower, sweet smelling; good deed, kindness, favor
Kuntheary	គន្ធារី  F  variant of Kunthea
Kuy	កុយ   M  horn
Leak	លក្ខណ  F  attribute, characteristic, quality
Leak	លក្សណ៍  F  attribute, characteristic, quality
Leakena	លក្ខណា  F  attribute, characteristic, quality
Leap	លាភ  U  good luck, good fortune, success
Lev	ឡេវ    cheap, low, poor, slaves
Lomorng	លម្អង  F  pollen, powder
Louy	លុយ  M  money
Makara	មករា  U  January
Malay	មាល័យ  F  lei (flower necklace)
Maletey	មាលតី  F  kind of plant with large, fragrant, jasmine-like flowers
Malis	ម្លិះ  F  jasmine
Malislear	ម្លិះលា  F  single-flowered jasmine
Malisruot	ម្លិះរួត  F  jasmine that has multi-layered flowers
Maly	មាលី  F  flower blossom, wearing a garland of flower
Mao	ម៉ៅ  U  dark skin
Meakha	មាគ៌ា  F  way
Mealea	មាលា  F  lei, garland, braid of flowers     
Mean	មាន  U  wealthy
Meas	មាស  U  gold
Measponloke	មាសពន្លក  M  dearest, darling
Meayeat	មារយាទ  F  behavior
Mesa	មេសា  F  April
Meta	មេត្តា  M  mercy
Metrey	មេត្រី  F  friendliness
Metreypheap	មេត្រីភាព  F  friendliness
Minea	មីនា  F  March
Mitona	មិថុនា  F  June
Mittapheap	មិត្តភាព  M  friendship
Mono	មនោ  M  mind, sense, conscience
Monorom	មនោរម្យ  M  delightful, enjoyable
Mony	មណី  U  gem, precious stone 
Mony	មុនី  M  scholar
Monyroth	មណីរ័ត្ន  F  most valuable diamond or precious stone
Mungkol	មង្គល  M  happiness
Muny	មន្នី  U  precious stone, gem
Naen	ណែន  M  full
Neakrin	នរិន្ទ  M  reigning king
Neang	នាង  F  miss
Nearidey	និរតី  F  southwest direction
Neary	នារី  F  girl, gentle girl
Nearyroth	នារីរ័ត្ន, នារីរត្ន  F  perfect girl, girl with divine beauty comparable to a diamond
Netra	នេត្រា  F  eyes
Nguor	ងួរ  U  nasal voice
Nich	និច្ច  U  true, sure, often
Nimol	និមល  U  flawless
Niron	និរន្ត  F  infinite
Nisay	និស្ស័យ  M  gifted, talented, be lucky
Nith	និត្យ  U  often
Norodom	នរោត្តម  M  Name of a Khmer king
Nuon	នួន  F  sweet; pleasant
Oklareak	ឱឡារិក  M  great
Oksakphear	ឧសភា  M  May
Omreth	អម្រឹត  F  immortal
Oudom	ឧត្តម  M  excellent, supreme, magnificent, plentiful
Oudor	ឧត្តរ  M  North
Ouktyean	ឱទ្យាន  M  garden
Pachem	បស្ចិម  M  west
Pagna	បញ្ញា  U  knowledge
Peayup	ពាយ័ព្យ  M  northwest
Phal	ផល  M  result
Phala	ផល្លា  M  prosperous
Phally	ផល្លី  F  prosperity
Phanet	ផាណិត  U  sugarcane / sugar palm juice, molasses 
Pheakdei	ភក្តី  U  loyalty, honesty
Pheup	ភ័ព្វ  U
Pheupsomnang	ភ័ព្វសំណាង  U
Phirum	ភិរម្យ  U  Peacefulness, serenity     
Pich	ពេជ្រ  U  diamond
Pichey	ពិជ័យ  M  victory
Pidor	ពិដោរ  F  aromatic
Pirun	ពិរុណ  M  rain; god of rain
Pisey	ពិសី  F  little darling; supreme, special; beloved, dearest
Pisit	ពិសិដ្ឋ  U  sacred, magnificent
Pkar	ផ្កា  F  flower
Pkaypreak	ផ្កាយព្រឹក  M  the star Sirius
Poeuv	ពៅ  U  youngest
Pogneakraek	ពញាក្រែក  M  name of an ancient Khmer hero who become king
Ponleu	ពន្លឺ  U  light; illumniation
Ponloke	ពន្លក  U  darling
Prak	ប្រាក់  M  silver
Preaksa	ព្រឹក្សា  F  tree; forest
Preap	ព្រាប  U  pigeon; dove
Pros	ប្រុស  M  male; boy; man
Putrea	ពុទ្រា  F  the jujube tree
Rachana	រចនា   U  art, fine arts, artistic decoration
Rachany	រជនី   F  night
Rachseyma	រជ្ជសីមា  M  limit of a kingdom under a reigning king
Rainsey	រង្សី   U  ray of light, sun-ray
Ranarith	រណឫទ្ធិ   M  power of war
Rathana	រតនា   U  all precious stones
Rathanak	រតនៈ​   M  precious stones, jewels
Rathanakrangsey	រតនរង្សី   F  diamond’s sparkle
Rathanakreasey	រតនរាសី   F  pile of stones, glass
Rathanaksambath	រតនសម្បត្តិ   M  treasury
Rathanaksovann	រតនសុវណ្ណ   M  gold or an object made of gold decorated with precious stones or diamonds.
Ravy	រាវី  U  to be ringing, resonant, sonorous 
Reakreay	រីករាយ  M  happy
Reaksmey	រស្មី   U  ray of light, sunshine
Reasey	រាសី   F  fortune, luck
Reathrey	រាត្រី   F  night
Rith	រឹទ្ធិ  M  power, strength, courage, prosperity
Rith	ឫទ្ធ  M  power
Ritheak	ឫទ្ធិ  M  strength
Roamany	រមណី   F  beautiful young woman
Rotha	រដ្ឋា   U  beautiful country
Roumduol	រំដួល   F  type of flower (typically grows around Angkor Wat)
Roumjong	រំចង់   F  water plant with white/purplish-blue flower
Rous	រស់   M  live, to be alive
Saart	ស្អាត  U  clean, Pure
Saenthy	សែនទ្វី  M  very, extremely; to be double, extreme, very 
Sak	សក្តិ   M  rank, grade
Saksith	ស័ក្តិសិទ្ធិ   M  effective
Sambath	សម្បត្តិ   M  great wealth or asset; fortune
Samnang	សំណាង  M  lucky, fortunate, destiny
San	សាន្ត   M  peaceful, quiet, comfortable
Sangha	សង្ហា   M  handsome
Sao	សៅរ៍   M  Saturday     
Sarak	សារៈ   U  substance, essence, main point, choicest part; to be strong, virile; brave; superior, excellent.
Sareth	សារេត  U  to be important; to be strong, virile; brave; superior, excellent.
Sarika	សារិកា   F  a kind of black bird
Satya	សត្យា   U  true words, frank words; Satya (another name of Rama's wife in the Ramayana)
Sdaung	ស្តើង  M  thin
Sdoksdom	ស្តុកស្តម្ភ  M  prosperous
Seda	សេដា  F  eggfruit; supreme
Sela	សិលា   M  rock
Serey	សិរី   U  freedom, born free; beauty, charm, splendor; peace, prosperity; power, authority
Serey	សេរី   M  free
Sereysophear	សិរីសោភា   U  splendor of beauty
Sereyvuth	សិរីវុឌ្ឍិ   M  prosperity due to luck
Setha	សីតា   F  wife of Rama
Seum	សឹម   M  then, Later
Seung	សិង្ហ   M  lion
Seyha	សីហា   U  August
Seyhak	សីហៈ   M  lion
Seyma	សីមា   M  boundary
Sgnuon	ស្ងួន  F  care for
Sith	សិទ្ធ   M  accomplished
Sithik	សិទ្ធិ   U  right
Sithisak	សិទ្ធិស័ក្តិ   M  effectiveness, power to achieve a gold
Soam	សោម   M  moon
Soben	សុបិន   F  dream
Socheata	សុជាតា   F  name of one of Indra’s wives
Sohear	សុធា   U  clean, pure; bright; light ray; ambrosia; generous
Sok	សុក្រ   M  Friday
Sok	សុខ   U  well, peaceful, happy 
Sokha	សុខា   U  peaceful, content, health
Sokhem	សុខេម   U  hope
Sokhom	សុខុម   F  bright, smooth, subtle
Soksan	សុខសាន្ត   M  peaceful and calm
Som	សម   M  fitting, decent, right, correct
Somaly	សុមាលី   F  decorated with garland of flower, beloved girl, the name of the best rice in Cambodia
Sombo	សម្បូរ   M  fullness of wealth, plentiful
Somdei	សម្ភី  U  try hard
Somethear	សុមេធា   M  wisdom
Somkann	សំខាន់   M  Important
Somnop	សំណប់   M  satisfying
Somphors	សម្ផស្ស   F  perception
Somphy	សំភី   U  try hard
Somreth	សម្រិត  U  purity
Somrith	សំរឹទ្ធិ   U  bronze
Somsuon	សមសួន   M  fitting, decent, right, correct
Sonith	សុនីតិ   F  good conduct or manners
Soniya	សន្យា   F  promise
Sop	សុភ  U  good, charm, happiness
Sophal	សុផល   U  good product, cultivation
Sophat	សុជាត   U  well born, well grown
Sophat	សុផាត   U  soft, gentle     
Sopheakmongkol	សុភមង្គល   M  happiness
Sopheaktra	សុភត្រា  M  gentle face
Sopheap	សុភាព   U  modest, soft, gentle, lovely; proper, well-mannered
Sophear	សោភា  F  beautiful
Sopheara	សុភារា   M  handsome, attractive
Sopheary	សុភារី   F  lovely, attractive, beautiful girl
Sophiny	សោភិនី   F  beautiful lady
Sophon	សោភ័ណ  F  beauty
Sophy	សោភី   F  beautiful
Sopor	សុពណ៌   F  gold, beautiful color
Soportevy	សុពណ៌ទេវី  F  beautiful, angelic, a beautiful girl like an angel
Sor	ស   U  white
Soriya	សុរិយា  U  sun
Soriyavong	សុរិយាវង្ស  M  lineage of the sun
Soth	សុទ្ធ   M  pure
Sothear	សទ្ឋា   U  compassion
Sothy	សុធី   U  intelligence, cleverness; scholar, sage
Sovann	សុវណ្ណ   M  gold; dream
Sovanna	សុវណ្ណា  F  golden; dream
Sovannara	សុវណ្ណារ៉ា   F  dream
Sovannarith	សុវណ្ណារឹទ្ធិ  M  golden boy
Sovannary	សុវណ្ណារី   F  golden girl
Sovanndary	សុវណ្ណដារី  F  gold star
Sovannmealea	សុវណ្ណមាលា  F  gold flower garland
Sovath	សុវត្ថិ   M  peace, prosperity
Srey	ស្រី  F  girl, feminine
Sreyduong	ស្រីឌួង   F  young coconut girl
Sreymao	ស្រីម៉ៅ   F  black girl
Sreymom	ស្រីមុំ   F  beloved girl
Sreynuon	ស្រីនួន   F  tender girl
Sreypich	ស្រីពេជ្រ   F  diamond girl
Sroraem	ស្រឯម   F  beautiful brown skin color
Sros	ស្រស់   U  charmingly beautiful
Sruoch	ស្រួច   M  sharp
Suon	សួន  F  garden, park, appropriate, suitable
Suor	សួគ៌  M  paradise
Suorkea	សួគ៌ា   F  heaven
Suorsdey	សួស្តី  U  hello
Surin	សុរិន្ទ  U  god, deity; Indra (king of the gods) , Surin (name of an ancient Cambodian town, now located in Thailand in the province of the same name, which still has a large Cambodian-speaking population)
Teaksen	ទក្សិណ  F  south
Techivant	តេជវន្ត  M  powerful
Tevy	ទេវី  F  angel, angelic
Thavary	ថាវរី  F  តេជវន្ត
Theany	ធានី  F  city, capital
Thear	ធារ  U  water current; support
Theary	ធារី  F  helper; aide
Thida	ធីតា  F  girl born of royalty, daughter of the gods; angelic girl
Thit	ទិត្យ  U  Sunday
Thnou	ធ្នូ  M  December
Thom	ធំ  U  oldest one; large, big 
Thorn	ធន  M  wealth
Thy	ធី  M  to take an examination / test, compete 
Tipsap	ទិព្វសព្ទ  M  celestial voice(s) / melody / harmony 
Tipsoat	ទិព្វសោត  M  supernatural hearing 
Tipvant	ទិព្វវ័ន  M  celestial garden 
Toch	@Touch	តូច  U  little, young one, small
Tola	តុលា  M  October
Vanna	វណ្ណា   U  golden
Vannak	វណ្ណៈ   M  having class
Vathana	វឌ្ឍនា   F  progressiveness
Vathanak	វឌ្ឍន   M  progressiveness
Veasna	វាសនា   U  destiny, fate
Vibol	វិបុល  M  abundant; large, many
Vichear	វិជ្ជា   M  knowledge or education
Vicheka	វិច្ឆិកា   F  November
Vichet	វិចិត្រ   M  magnificent, very beautiful; colorful
Vimean	វិមាន  F  royalty or grandeur
Viphearvy	វិភាវី  F  scholar
Vireak	វីរ   M  hero, brave
Visal	វិសាល  M  excellent, large, vast
Viseth	វិសិដ្ឋ  M  excellent, superb, marvelous
Visoth	វិសុទ្ធ   M  heavenly, pure
Vithu	វិទូ   M  wise, intelligent, scholarly, erudite
Vithyear	វិទ្យា   M  knowledge or education
Yeak	យក្ស  M  ogre
Yut	យុទ្ធ  M  combat
