w	def
កករ	[kɑkɑɑ] <br>1). n slime, mud, ooze, mire;<br> dregs, sediment, residue, debris
កករចិត្ត	[kɑkɑɑ cət] [[កករ]] [[ចិត្ត]] <br>1). See: ចិត្តកករល្អក់
កកាត	[kɑkaat] <br>1). adv almost gone, only a little left ទឹកសំឡនៅសល់កកាតនឹងបាតឆ្នាំង (There's) only a little soup left at the bottom of the pot.
កកាយ	[kɑkaay] <br>1). v to scratch rapidly (like a chicken), dig (like a dog), paw (the ground), scrape out
កកាយកកូរ	[kɑkaay kɑkoo] [[កកាយ]] [[កកូរ]] <br>1). See: កកូរកកាយ
កកិចកកុច	[kɑkəc - kɑkoc] <br>1). adj to be sly, cunning, tricky;<br> wicked, capricious, changeable
កកិត	[kɑkət] <br>1a). adj to be very close to, barely touching, be neck and neck. <br>1b). v to chafe, rub;<br> to sideswipe (as two cars)
កកិល	[kɑkəl] <br>1). v to move something little by little;<br> to slide along while seated, edge forward on one's buttocks
កកិលចូលជិត	[kɑkəl cool cɨt] [[កកិល]] [[ចូល]] [[ជិត]] <br>1). to slide up close to
កកី	[kɑɑ kəy] [[ក]] [[កី]] <br>1). the front two posts of the frame of a loom which support the ផ្សំ
កកូរ	[kɑkoo] <br>1). v to stir (something) around
កកូរកកាយ	[kɑkoo kɑkaay] [[កកូរ]] [[កកាយ]] <br>1a). to move things around, churn, stir up;<br> to rummage around, scratch around (looking for something). <br>1b). to stir up old memories;<br> to try to dig up something bad (about someone) ... ប៉ុន្តែខ្មែរក្រហមមកតាមផ្លូវការមកកកូរកកាយហើយ​ ចូលមកក្រុងភ្នំពេញ ... …but the Khmer Rouge have come, officially, and are stirring things up in Phnom Penh .... រឿងនោះបានស្ងប់រួចយូរណាស់មកហើយ តែអ្នកកាន់ខាងក្រោយបានមកកកូរកកាយឲ្យមានរឿងឡើងវិញ That matter had been quiet for a very long time, but the new leaders came along and stirred things up again.
កកើត	<br>1). See: ក <br>1). to grow, develop;<br> development;<br> structure
កកេបកកាប	[kɑkeep - kɑkaap] <br>1). i loud talking that sounds like the quacking of ducks
កកេរ	[kɑkee] <br>1). v to nibble, gnaw at
កកេះ	[kɑkeh] <br>1a). v to scratch often;<br> to pick out / off. <br>1b). to insist on
កកែកករ	[kɑkae - kɑkɑɑ] <br>1). v to babble (as a child learning to talk)
កកែងកកោង	[kɑkaeŋ - kɑkaoŋ] <br>1). adj to be rude, pretentious
កកែប	[kɑkaep] <br>1). n fetlock
កកោក	[kɑkaok] <br>1). adv loudly, noisily
កកោកកកាក	[kɑkaok kɑɑ kaak] [[កកោក]] [[ក]] [[កាក]] <br>1). to jabber
កកោស	[kɑkɑh] <br>1). v to scrape carelessly
កកោះ	[kɑkɑh] <br>1). n kind of tree (Nauclea orientalis or Sindora sumatrana, or S. cochinchinensis, the wood of which is used for house-building and making furniture)
កក់	[kɑk] <br>1). v to wash, shampoo;<br> to clean, soak (in order to get clean);<br> to wet (of the rain) <br>2). v to give an advance, make a deposit / down payment <br>3). n kind of reed (Cyperus or Mariscus sp.) used for making mats <br>4). n shower head, sprinkler <br>5a). adj to be warm, comfortable;<br> affectionate. See: កក់ក្ដៅ <br>5b). v to keep warm;<br> to comfort, console. <br>5c). adv affectionately
កក់ចែងម៉ែង	[kɑk caeŋ maeŋ] [[កក់]] [[ចែងម៉ែង]] <br>1). kind of reed (Mariscus cyperoides)
កក់លុយ	[kɑk luy] [[កក់]] [[លុយ]] <br>1). to put a deposit / down payment on something
កក៌ដ	[kaʔreaʔkat] <br>1). See: កក្កដ
កក្កដ	[kakkaʔdaʔ] <br>1). n crab;<br> zodiacal sign of the crab (= Cancer) corresponding to July See: កក៌ដ
កក្កដា	[kakkadaa] <br>1). n July (seventh month of the solar calendar according to Western reckoning but fourth month according to Cambodian reckoning)
កក្ខលភាព	[kakkʰaʔlaʔpʰiep] <br>1). n hardness, toughness;<br> lasting value
កក្ងិច	[kɑɑ kŋəc] [[ក]] [[ក្ងិច]] <br>1). to have a bent neck
កក្រិត	[kɑkrət] <br>1). See: ខ្មៅកក្រិត
កក្រើក	[kɑkraək] <br>1). v to tremble, shake, shudder, vibrate;<br> to fluctuate, oscillate;<br> to rumble
កក្រើកទឹកកក្រើកដី	[kɑkraək tɨk kɑkraək dəy] [[កក្រើក]] [[ទឹក]] [[កក្រើក]] [[ដី]] <br>1). causing the heavens and the earth to tremble
កក្រើករំពើក	[kɑkraək rumpəək] [[កក្រើក]] [[រំពើក]] <br>1). See: កក្រើក
កក្រោក	[kɑkraok] <br>1). n kind of plant (Ampelocissus arachnoidea, the roots of which are used to prepare medications for treating venereal diseases) See: វល្លិកក្រោក
កក្រោះ	[kɑkrɑh] <br>1). adj to be tasteless, dry / insipid / dull (of taste or literary style);<br> to be unappealing
កក្លាក់	[kɑklak] <br>1). v to drool, dribble
កក្វិសកក្វាស់	<br>1). See: កខ្វេសកខ្វាស
កក្អាក	[kɑkʔaak] <br>1). adv which intensifies the actions of laughing or raining See: កក្អៀក See: ក្អៀកៗ
កក្អាកកក្អាយ	[kɑkʔaak ------ ] [[កក្អាក]] [[កក្អាយ]] <br>1). (of laughing) with abandon, uproariously;<br> (of raining) heavily
កក្អិល	[kɑkʔəl] <br>1). adv fluently (of a baby which has just learned to talk or someone who is learning a foreign language);<br> easily (of laughing) See: ក្អិល
កក្អឹក	[kɑkʔək] <br>1a). i sound of gulping. <br>1b). adv shaking with irrepressible laughter
កក្អឹកកក្អិល	[------ kɑkʔǝl] [[កក្អឹក]] [[កក្អិល]] <br>1). to get along well together;<br> cordially, warmly, in a friendly manner
កក្អៀក	<br>1). See: កក្អាក
កក្អៀច	[kɑkʔiec] <br>1a). adj to be wet and dirty, filthy. <br>1b). adv in a swarm / teeming mass (as maggots in a piece of rotten meat) <br>2). adj to be glistening / soaked with sweat See: ក្រក្អៀច See: បែកញើសកក្អៀច
កក្អែ	[kɑkʔae] <br>1a). v to babble, prattle, blather, jabber. <br>1b). i sound of constant babbling
កខក់	[kɑkʰɑk] <br>1a). v to choke (on some liquid). <br>1b). i sound of choking
កខិក	[kɑkʰək] <br>1). adj to be broken, dislocated
កខិកកខក់	[kɑkʰək - kɑkʰɑk] <br>1a). adj to be loose (as the blade of a knife). <br>1b). i rattling sound of choking or of something loose
កខិត	[kɑkʰət] <br>1). v to have a little scratch (e.g. on a new car) <br>2). v to move closer to
កខិប	[kɑkʰəp] <br>1a). v to bend. <br>1b). adj to be bent
កខិបកខុប	[kɑkʰəp - kɑkʰop] <br>1). See: អរកខិបកខុប
កខឹក	[kɑkʰək] <br>1). See: សើចកខឹក
កខុប	[kɑkʰop] <br>1). n kind of fruit tree (Ficus politoria) <br>2). n kind of aquatic insect
កខូច	[kɑkʰooc] <br>1). adj to be corrupt, depraved, thoroughly evil, wicked to the core
កខូស	<br>1). See: រខូស
កខ្លាក់	[kɑklak] <br>1). v to flow freely
កខ្លេះកខ្លោញ	[kɑkleh - kɑklaoɲ] <br>1). adj to be careless, inattentive;<br> frivolous See: កខ្លេះកខ្លោះ, កខ្លេះកខ្លុញ
កខ្វក់	[kɑkvɑk] <br>1). adj to be dirty, polluted, stained;<br> wicked See: ក្រខ្វក់
កខ្វាស	[kɑkvaah] <br>1). adv slowly and laboriously (as a turtle crawling)
កខ្វិកកខ្វក់	[kɑkvək - kɑkvɑk] <br>1). adj to be dirty
កខ្វិនកខ្វង់	[kɑkvən - kɑkvɑŋ] <br>1). adj to be twisted, bent
កខ្វើក	[kɑkvaək] <br>1). adv slowly and steadily
កខ្វេងកខ្វាក់	[kɑkveeŋ - kɑkvak] <br>1). adj to be tangled, intricate
កខ្វេសកខ្វាស	[kɑkveeh - kɑkvaah] <br>1). v to struggle to crawl or climb See: កក្វិសកក្វាស់
កង	[kɑɑŋ] <br>1). n ring, circle;<br> bracelet, necklace, anklet;<br> circumference, periphery <br>2). n group, team, crew;<br> unit <br>3a). v to carry (with the arms held up to the chest);<br> to clasp (with the hands or arms);<br> to form a circle;<br> to encircle. <br>3b). clf an armful;<br> bundle;<br> bale <br>4a). adj to be echoing, reverberating;<br> roaring. <br>4b). adv loudly and in disorder
កង (បាញ់​) គាំទ្រ	<br>1). fire support unit
កងក	[kɑɑŋ kɑɑ] [[កង]] [[ក]] <br>1). necklace
កងការពារ	[kɑɑŋ kaa pie] [[កង]] [[ការពារ]] <br>1). body guards, protection unit
កងការពារអាកាស	[kɑɑŋ kaa pie ʔaakaah] [[កងការពារ]] [[អាកាស]] <br>1). anti-aircraft corps
កងកាំភ្លើងធំ	[kɑɑŋ kampləəŋ tʰom] [[កង]] [[កាំភ្លើងធំ]] <br>1). artillery corps, artillery unit
កងកុមារ	[kɑɑŋ koʔmaa] [[កង]] [[កុមារ]] <br>1). children's unit (KR - consisted of children between 7 and 15 who tended livestock and did other light chores)
កងកេង	[kɑɑŋ - keeŋ] <br>1). n toucan See: កេងកង
