ភូមិ​^បត់ត្រង់ធំលិច	@បត់ត្រង់	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Bat Trang Thum Lech	@Bat Trang	@Mangkul Bourei	@Banteay Meanchey	@01020208
ភូមិ​^បត់ត្រង់ធំកើត	@បត់ត្រង់	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Bat Trang Thum Kaeut	@Bat Trang	@Mangkul Bourei	@Banteay Meanchey	@01020209
ភូមិ​^បត់ត្រង់តូច	@បត់ត្រង់	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Bat Trang Touch	@Bat Trang	@Mangkul Bourei	@Banteay Meanchey	@01020210
ភូមិ​^ព្រែកជីក	@បត់ត្រង់	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Preaek Chik	@Bat Trang	@Mangkul Bourei	@Banteay Meanchey	@01020211
ភូមិ​^ប្រឡាយចារ៍	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Pralay Char	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020301
ភូមិ​^រង្វានលិច	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Rongvean Lech	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020302
ភូមិ​^រង្វានកើត	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Rongvean Kaeut	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020303
ភូមិ​^ចំណោមលិច	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Chamnaom Lech	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020304
ភូមិ​^ចំណោមកើត	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Chamnaom Kaeut	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020305
ភូមិ​^រោងគោដើម	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Roung Kou Daeum	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020306
ភូមិ​^រោងគោកណ្ដាល	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Roung Kou Kandal	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020307
ភូមិ​^រោងគោចុង	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Roung Kou Chong	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020308
ភូមិ​^ពាមរោងគោ	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Peam Roung Kou	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020309
ភូមិ​^តាសល់	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ta Sal	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020310
ភូមិ​^ជួរខ្ចាស់	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Chuor Khchas	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020311
ភូមិ​^បឹងត្រស់	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Boeng Tras	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020312
ភូមិ​^ដងត្រាង	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Dang Trang	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020313
ភូមិ​^ស្រែព្រៃ	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Srae Prey	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020314
ភូមិ​^បុស្បទន្លាប់	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Bos Tonloab	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020315
ភូមិ​^តាប៊ុន	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ta  Bun	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020316
ភូមិ​^គោកពន្លៃ	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Kouk Punley	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020317
ភូមិ​^សាយសាម៉ន	@ចំណោម	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Saysaman	@Chamnaom	@Mangkul Bourei	@Banteay Meanchey	@01020318
ភូមិ​^គោកបល្ល័ង្ក	@គោកបល្ល័ង្គ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Kouk Ballang	@Kouk Ballang	@Mangkul Bourei	@Banteay Meanchey	@01020401
ភូមិ​^តាអន	@គោកបល្ល័ង្គ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ta An	@Kouk Ballang	@Mangkul Bourei	@Banteay Meanchey	@01020402
ភូមិ​^ប្រឡាយជ្រៃ	@គោកបល្ល័ង្គ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Pralay Chrey	@Kouk Ballang	@Mangkul Bourei	@Banteay Meanchey	@01020403
ភូមិ​^ជើងចាប	@គោកបល្ល័ង្គ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Cheung Chab	@Kouk Ballang	@Mangkul Bourei	@Banteay Meanchey	@01020404
ភូមិ​^ផាត់សណ្ដោង	@គោកបល្ល័ង្គ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Phat Sandaong	@Kouk Ballang	@Mangkul Bourei	@Banteay Meanchey	@01020405
ភូមិ​^ចារថ្មី	@គោកបល្ល័ង្គ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Char Thmei	@Kouk Ballang	@Mangkul Bourei	@Banteay Meanchey	@01020406
ភូមិ​^ផ្អាវថ្មី	@គោកបល្ល័ង្គ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ph'av Thmei	@Kouk Ballang	@Mangkul Bourei	@Banteay Meanchey	@01020407
ភូមិ​^តាសល់	@គោកបល្ល័ង្គ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ta Sal	@Kouk Ballang	@Mangkul Bourei	@Banteay Meanchey	@01020408
ភូមិ​^គយម៉ែង	@គយម៉ែង	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Koy Maeng	@Koy Maeng	@Mangkul Bourei	@Banteay Meanchey	@01020501
ភូមិ​^ស្ដីលើ	@គយម៉ែង	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Sdei Leu	@Koy Maeng	@Mangkul Bourei	@Banteay Meanchey	@01020502
ភូមិ​^ផ្លូវសៀម	@គយម៉ែង	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Phlouv Siem	@Koy Maeng	@Mangkul Bourei	@Banteay Meanchey	@01020503
ភូមិ​^តានង	@គយម៉ែង	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Ta Nong	@Koy Maeng	@Mangkul Bourei	@Banteay Meanchey	@01020504
ភូមិ​^អង្ករខ្មៅ	@គយម៉ែង	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Angkar Khmau	@Koy Maeng	@Mangkul Bourei	@Banteay Meanchey	@01020505
ភូមិ​^កសាងថ្មី	@គយម៉ែង	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Kasang Thmei	@Koy Maeng	@Mangkul Bourei	@Banteay Meanchey	@01020506
ភូមិ​^ស្ទឹងចាស់	@គយម៉ែង	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Stueng Chas	@Koy Maeng	@Mangkul Bourei	@Banteay Meanchey	@01020507
ភូមិ​^ស្ដីក្រោម	@គយម៉ែង	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Sdei Kraom	@Koy Maeng	@Mangkul Bourei	@Banteay Meanchey	@01020508
ភូមិ​^ភ្នំធំត្បូង	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Phnum Thum Tboung	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020601
ភូមិ​^ភ្នំប្រាសាទ	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Phnum Prasat	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020602
ភូមិ​^ភ្នំធំជើង	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Phnum Thum Cheung	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020603
ភូមិ​^ចំការលោក	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Chamkar Louk	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020604
ភូមិ​^ភ្នំធំថ្មី	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Phnum Thum Thmei	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020605
ភូមិ​^អន្លង់ស្ដី	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Anlung Sdei	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020606
ភូមិ​^គោកធ្លង់កើត	@អូរប្រាសាទ	@មង្គលបូរី	@បន្ទាយមានជ័យ	@Kouk Thlong Kaeut	@Ou Prasat	@Mangkul Bourei	@Banteay Meanchey	@01020607
