ben	bdef
Babylonian Talmud	<p-l>សូមមើល</p-l> Talmud Tavi
background	(the social, historical, or technical circumstances that lead up to or help to explain something) <p-l>ស្ថានភាពដើម ប្រវត្តិ។</p-l>
backslide	(vb) (to lapse from faith) <p-l>ឈប់ជឿ បោះបង់ជំនឿ</p-l>
baked offering	<p-l>ដង្វាយនំដែលចំអិនក្នុងពុម្ព</p-l>
Balaam	<p-l>បាឡាម</p-l>
Balak	<p-l>បាឡាក</p-l>
balance	(n) (a weighing device consisting of a horizontal beam pivoted at its centre, from the ends of which two pans are suspended) <p-l>ជញ្ជឹង។</p-l>
ban	(an official proclamation of prohibition) <p-l>បម្រាម (ការហាមឃាត់)</p-l>
banish	(vb) (to expel from a place by official decee) <p-l>បណ្តេញ</p-l>
banner	(the flag of a nation, army etc. used as a standard or ensign) <p-l>ទង់</p-l>
banquet	(a lavish and sumptuous meal) <p-l>ពិធីជប់លៀង</p-l>
baptise	(vb) (to immerse, typically in water, in order to cleanse) <p-l>ធ្វើជ្រមុជទឹក</p-l> baptism <p-l>ជ្រ</p-l>
មុជទឹក (ceremony of...)	<p-l>ពិធីជ្រមុជទឹក</p-l> baptisand (person who receives baptism) <p-l>អ្នកទទួលជ្រមុជទឹក។</p-l>
Baptist, the...	(title of John the Baptist) <p-l>បាទីស្ទ</p-l>
Baptist, the...	(reference to John the Baptist) <p-l>យ៉ូហាន-បាទីស្ទ</p-l>
Baptist Church	<p-l>និកាយបាទីស្ទ</p-l>
Bar Kokhba	[Jewish leader of a revolt against the Roman Empire in 132 AD, establishing a Jewish state which he ruled for three years (c. 135 AD)] <p-l>បារ កូក្សារ។</p-l>
Barada River	(the main river of Damascus) <p-l>ទន្លេបារ៉ាដេ</p-l>
Barak	<p-l>បារ៉ាក</p-l>
barley	<p-l>ស្រូវឱក [(គ.បៈ : ស្រូវឱក (គ.ខ.បៈ : ស្រូវ ស្រូវស្រាល ស្រូវពោត)]</p-l>
Barnabas	<p-l>បាណាបាស</p-l>
barren	(adj) (physically unable to have a child) <p-l>អារ (ដែលមិនអាចបង្កើតកូន)</p-l>
Barrett, C. K.	[British NT theologian and Professor of Divinity at University of Durham (1917-2011)] <p-l>បណ្ឌិតបារែត។</p-l>
Barth, Karl	[Swiss Reformed theologian who emphasized the sovereignty of God and wrote much of the Barmen Declaration rejecting the influence of Nazism on German Christianity (1886-1968)] <p-l>បណ្ឌិតខាលបាត</p-l> (short) <p-l>បាត។</p-l>
Bartholomew	<p-l>បារថូប៉ូមេ</p-l>
Baruch	(Jer. 45) <p-l>បារួច</p-l>
Baruch, Book of...	(from the Apocrypha) <p-l>កណ្ឌបារួច</p-l>
Baruch, 2nd Book of...	(a Jewish pseudepigraphical text probably written soon after the destruction of the Temple in AD 70, commonly attributed to Baruch, Jeremiah's scribe) <p-l>ឯកសារ «បារួចទី២»។</p-l>
Baruch, 3rd Book of...	(a Jewish pseudopigraphical text probably written after the fall of Jerusalem in 130 AD, commonly attributed to Baruch) <p-l>ឯកសារ «បារួចទី៣»។</p-l>
base	(adj) (devoid of honour or morality) <p-l>អាក្រក់</p-l>
Basil the Great	[Greek bishop of Caesarea Mazaca in Cappodocia, Asia Minor, was an influential theologian and philosopher who supported the Nicene Creed and opposed Arianism (c. 339-379)] <p-l>បាស៊ីលដ៏ឆ្នើម។</p-l>
basin	(a round container open and wide at the top in which liquids are mixed or stored) <p-l>ក្លា (គ.បៈ ក្លា គ.ខ.បៈ អាង)។</p-l>
basis	(something that underlies, supports, or is essential to something else) <p-l>មូលដ្ឋាន</p-l>
basis	(a principle on which something depends or from which something has issued) <p-l>មូល ហេតុ។</p-l>
basket	(container made of interwoven strips) <p-l>កំប្រោង</p-l>
Bathsheba	<p-l>នាងបាតសេបា</p-l>
Bathshua	(alternate spelling of Bathsheba found in most Hebrew manuscripts) <p-l>បាតសេបា</p-l>
batman	(an officer's personal assistant in the armed forces) <p-l>អ្នកបំរើសំរាប់មេទ័ព</p-l>
battery	(action of hitting someone repeatedly with a club) <p-l>ការវាយនឹងដំបង</p-l>
Baur, Ferdinand Christian	[a German theologian and leader of the Tübigen school of theology, arguing that 2<sup>nd</sup> Century Christianity represented the synthesis of Jewish (Petrine) Christianity and Gentile (Pauline) Christianity (1792-1860)] <p-l>បណ្ឌិតបោរ។</p-l>
BC	(abbreviation "Before Christ") <p-l>មុនគ.ស (មុនគ្រីស្ទសករាជ)</p-l>
bear	(vb) (to support or sustain) <p-l>ទ្រាំ</p-l> borne (vb) <p-l>បានបន្តទ្រាំ</p-l>
beast, the...	(in Revelation there are two beasts mentioned who align with the dragon in opposition to God) <p-l>សត្វសាហាវ (គ.ប : សត្វសាហាវ គ.ខ.បៈ : សត្វតិរច្ឆាន)។</p-l>
Beatitudes, the...	(the teachings by Jesus expressed as eight blessings in the Sermon on the Mount in Matthew, and four similar blessings in the Sermon on the Plain in Luke) <p-l>ព្រះពរដែលព្រះយេស៊ូវបានបង្រៀន។</p-l>
Bede, the Venerable...	[an English monk, author and scholar in the Kingdom of Northumbia who wrote the *Ecclesiastical History of the English People* (c. 672-735)] <p-l>លោកសង្ឃប៊ីដ។</p-l>
Bedouin	(the nomadic tribes of Arabs inhabiting the deserts of Arabia, Jordan, Syria and parts of the Sahara) <p-l>ពួកអារ៉ាប់</p-l> bedouin (adj) <p-l>នៃពួកអារ៉ាប់។</p-l>
Beer-lahai-rot, well of...	(Gen. 16:14) <p-l>ក្បាលទឹកឡាហាយ - រយ</p-l>
Beersheba, City of...	<p-l>ក្រុងបៀរ-សេបា</p-l>
beget	(vb) (Old English "to cause or create”) <p-l>បង្កើត</p-l> (div) <p-l>ប្រសូត</p-l> begotten (past participle of "beget”) <p-l>ដែលបានបង្កើត។</p-l>
Behemoth	(a beast mentioned in Job 40:15-24) <p-l>សត្វដំរីទឹក</p-l>
behold	(imp) (to draw attention to something) <p-l>មើល</p-l>
being	(the state or fact of existing) <p-l>អត្ថភាព</p-l>
being	(essential nature of a person) <p-l>ជីវិត</p-l>
being	(something that exists) <p-l>សត្វ</p-l>
Beirut	(capital city of modern Lebanon) <p-l>ក្រុងបែរុត</p-l>
Bel and the Dragon, Book of the Idol...	(from the Apocrypha) <p-l>កណ្ឌរូបព្រះបិល និងនាគរាជ</p-l>
Bela, City of...	(Gen. 14:2) <p-l>ក្រុងបេឡា</p-l>
believe	(vb) (to accept as true) <p-l>ជឿ ទទួលជឿ</p-l> believer (n) <p-l>អ្នកជឿ</p-l> belief (n) <p-l>ជំនឿ</p-l>
believers' baptism	(the baptism of only those who "believe”) <p-l>ពីធីជ្រមុជទឹកឲ្យអ្នកជឿ</p-l>
Beloved/beloved	(a description/reference applied to Jesus) <p-l>ស្ងួនភ្លា (គ.ប : ស្ងួនភ្លា គ.ខ.ប : ទី ស្រឡាញ់)។</p-l>
Belshazzar, King...	<p-l>ស្តេចបេលសាសារ</p-l>
Ben-Ammi	(Gen. 19:38) <p-l>បេន-អាមី</p-l>
Benedicite	(a canticle used in worship using "The Song of The Three Children" verses 35-66) <p-l>បទចម្រៀងបេណេឌីកអែត។</p-l>
Benedict of Nursia	[founded twelve communities for monks at Subiaco, Italy, and developed the "Rule of St Benedict" containing precepts for monks, which became one of the most influential religious rules in western monasticism (c. 480-547)] <p-l>លណេទឹក។</p-l>
benediction	(a calling for divine blessing) <p-l>ការប្រសិទ្ធពរ</p-l>
Benedictus,	(the prophecy of Zechariah in Luke 1:68-79 named from the first word in the Latin version) <p-l>«ទំនាយសាការី»។</p-l>
beneficent	(adj) (charitable, generous) <p-l>ដែលធ្វើអំពើល្អ</p-l> beneficence (n) <p-l>ទង្វើអំពើល្អ</p-l> (div) <p-l>ព្រះ រាជកិច្ចល្អប្រពៃ។</p-l>
benevolence	(inclination to do good to others) <p-l>សុជនភាព (ភាពជាជនដែលប្រព្រឹត្តល្អ)</p-l>
Ben-hadad, King...	(Syrian King of Aram, 885-865 BC) <p-l>ស្តេចបេន ហាដាឌ</p-l>
Ben Hasan	(an Ancient Egyptian cemetery site primarily used during the Middle Kingdom) <p-l>ឈាបនដ្ឋានប៊ែន ហាសាន។</p-l>
Benjamin	<p-l>បេនយ៉ាមីន</p-l> (tribe of...) <p-l>អំបូរបេនយ៉ាមីន</p-l>
Benoni/Ben-oni	<p-l>បេន-អូនី</p-l>
Ben Sirach, Joshua	(a Jew living in Jerusalem in 2nd Century BC, was the author of the deuterocanonical Wisdom of Sirach) <p-l>យ៉ូស្វេ ប៊ែន-ស៊ីរ៉ា។</p-l>
Ben Sirach, The Wisdom...	(a Hebrew work which forms a link between the OT and the Rabbinic writing, also known as Ecclesiasticus) <p-l>ឯកសារ «ប្រាជ្ញានៃប៊ែន-ស៊ីរ៉ា»។</p-l>
Bera, King...	(Gen. 14:2) <p-l>ស្ដេចបេរ៉ា</p-l>
Berea, town of...	<p-l>ក្រុងបេរា</p-l>
Bered	(place name - Gen. 16:14) <p-l>បារែឌ</p-l>
Beriah	<p-l>បេរា</p-l>
Bernice, Queen...	<p-l>ព្រះនាងបេរេនីស</p-l>
Berossus	(a Hellenistic-era Babylonian writer, priest of Bel Marduk and astronomer who wrote a history later used by Eusebius of Alexandria for his *Chronological Canons*) <p-l>បេរ៉ូស៊ីស។</p-l>
bestiality	(sexual activity between a person and an animal) <p-l>ការរួមភេទជាមួយសត្វ</p-l>
bestow	(vb) (to present a gift or confer an honour) <p-l>អោយ</p-l> (div) <p-l>ប្រទានអំណោយទាន</p-l> bestowal <p-l>ការឲ្យទុក។</p-l>
Bethany, village of...	<p-l>ភូមិបេថានី</p-l>
Beth-aven	(the "house of idols", a place in the mountains of Benjamin, east of Bethel) <p-l>ក្រុងបេតអាវេន។</p-l>
Bethel, City of...	<p-l>ក្រុងបេត-អែល</p-l>
Bethlehem, town of...	<p-l>ភូមិបេផ្លេហិម</p-l>
Bethphage, village of...	<p-l>ភូមិបេតផាសេ</p-l>
Bethsaida, City of...	<p-l>ក្រុងបេតសៃដា</p-l>
Beth-shemesh, City of...	<p-l>ក្រុងបេត-សេមែស</p-l>
Beth-shan/Beth-shean, City of...	(located in the northern district of modern Israel, at the junction of the Jordan River Valley and the Jezreel Valley) <p-l>ក្រុងបេតសាន។</p-l>
Bethuel	(Gen. 22:23) <p-l>បេធូអែល</p-l>
Bethulia	(a city whose deliverance by Judith, when besieged by Holofernes, forms the subject of the Book of Judith) <p-l>ក្រុងបេធូលា។</p-l>
betoken	(vb) (to indicate, to signify) <p-l>ជាគ្រឿងសម្គាល់ពន្លឺ បង្ហាញឲ្យឃើញ</p-l>
betray	(vb) (to hand over or expose treacherously to an enemy) <p-l>ក្បត់ (គ.ប : បញ្ជូន គ.ខ.ប : ក្បត់)។</p-l>
betrothal	(a mutual promise to marry) <p-l>ការភ្ជាប់ពាក្យ</p-l>
Beza, Theodore	[a French Protestant theologian who played an important role in the Reformation (1519- 1605)] <p-l>បណ្ឌិត បេហ្សេ។</p-l>
Bezalel	<p-l>បេតសាលាល</p-l>
Bible	(sixty-six books of the canon considered as the inerrant Word of God) <p-l>ព្រះគម្ពីរ</p-l>
Bible, Holy	(<p-l>សូមមើល</p-l> Bible) <p-l>ព្រះគម្ពីរបរិសុទ្ធ</p-l>
Bible commentary	(an explanatory series of notes on the Bible, generally forming a book) <p-l>សៀវភៅអត្ថាធិប្បាយព្រះគម្ពីរ។</p-l>
Bible Society	(an organization devoted to translating, publishing and distributing the Bible, while advocating its credibility and trustworthiness) <p-l>សមាគមព្រះគម្ពីរ។</p-l>
biblical criticism	(the scholarly study and investigation of biblical writings) <p-l>ការវិភាគអំពីព្រះ គម្ពីរ។</p-l>
biblical Greek	(also known as Koine Greek, was the common form of Greek spoken and written during hellenistic and Roman antiquity, developed following the conquests of Alexander the Great) <p-l>ភាសាក្រេកពីសម័យព្រះគម្ពីរសញ្ញាថ្មី។</p-l>
biblical inspiration	(the doctrine concerning the origin of the Bible) <p-l>លទ្ធិនៃការបណ្តាលឲ្យតែង ព្រះគម្ពីរ។</p-l>
biblical scholar	(scholar who undertake the study and investigation of biblical writings) <p-l>សាស្ត្រាចារ្យព្រះគម្ពីរ។</p-l>
biblical setting	(the background or particular original location of a particular passage or text) <p-l>ស្ថានភាពដើមនៃព្រះគម្ពីរ។</p-l>
biblical theology	(study of the Bible from the perspective of a progressive history of God revealing himself to humanity, with a final fulfillment in the life, death, resurrection, ascension and second coming of Jesus Christ) <p-l>ទេវសាស្ត្រនៃព្រះគម្ពីរ។</p-l>
biblical tradition	(teaching focused on the Bible) <p-l>សេចក្តីបង្រៀនដែលសំដៅទៅលើព្រះគម្ពីរ</p-l>
biblical world	(the original situation of biblical events) <p-l>ស្ថានភាពដើមសម័យព្រះគម្ពីរ</p-l>
bibliography	<p-l>ឯកសារ និងសៀវភៅស្រាវជ្រាវ</p-l>
Bichri	<p-l>ប៊ីគ្រី</p-l>
Big Bang theory	(the prevailing cosmological model for the development of the universe whereby the characteristics of the universe can be calculated back in time to extreme temperatures and densities) <p-l>ទ្រឹស្តីប៉ះទង្គិច។</p-l>
Bildad the Shuhite	(one of Job's three friends) <p-l>ប៉ីលដាឧសាសន៍ស៊ូអា</p-l>
Bilhah	<p-l>នាងប៊ីលហា</p-l>
bind	(vb) (to make or become secure) <p-l>ចង (គ.បៈ ចងទុក គ.ខ.ប : ចង)</p-l>
binitarian	(adj) (describing the idea that God exists in two distinct persons) <p-l>នៃទ្វេទេព និយម</p-l>
biology	<p-l>ជីវសាស្ត្រ</p-l> biological (adj) <p-l>នៃជីវសាស្ត្រ</p-l>
Bir Eyyub, spring of...	<p-l>ក្បាលទឹកបៀរអើយប់</p-l>
Biridiya	(ruler of Megiddo in 14th Century BC who authored five of the Amarna Letters) <p-l>ប៊័រឌីយា។</p-l>
Birsha	(king of Gomorrah - Gen. 14:2) <p-l>ស្ដេចប៉ីរសា</p-l>
birth	(the act of bringing into the world) (div) <p-l>ប្រសូត ព្រះរាជកំណើត</p-l>
bishop	(a person who has spiritual and administrative responsibility over a diocese) <p-l>អភិបាល (គ.បៈ : អ្នកត្រួតត្រា គ.ខ.ប : អភិបាល)។</p-l>
Bishop's Bible, the...	(an English translation of the Bible produced under the authority of the Church of England in 1568) <p-l>ព្រះគម្ពីររបស់ពួកអភិបាល។</p-l>
bitter herbs	(vegetables eaten at the Passover) <p-l>រុក្ខជាតិល្វីង</p-l>
bitumen	(a viscuous mixture of naturally accurring hydrocarbons) <p-l>ជ័រ (គ.ប: ជ័រ គ.ខ.ប : ប្រេង)</p-l>
BJ	(Latin abbreviation: *Bellum Judaicum* "the Jewish War”) <p-l>«សង្គ្រាមសាសន៍យូដា»</p-l>
black magic	(the use of supernatural powers for evil and selfish purposes) <p-l>មន្តអាគម អាក្រក់</p-l>
blame	(vb) (to express condemnation) <p-l>បន្ទោស</p-l> (n) <p-l>ការស្តីបន្ទោស</p-l>
blameless	(adj) (free from blame, innocent) <p-l>ឥតកន្លែងបន្ទោស [(គ.ប : គ្រប់លក្ខណ៍ ឥតកន្លែង បន្ទោស ឥតធ្វើឲ្យអ្នកណាអាក់អន់ចិត្ត) (គ.ខ.ប ឥតមានទោសពៃរ៍ ឥតសៅហ្មង ឥតមានកំហុស ឥតកំហុស)]។</p-l>
blasphemy	(showing contempt or disrespect towards God) <p-l>សំដីប្រមាថព្រះជាម្ចាស់</p-l> blasphemer <p-l>អ្នកដែលសំដីប្រមាថព្រះជាម្ចាស់។</p-l>
blemish	(a defect, flaw, stain) <p-l>ភាពមានខ្ចោះ [(គ.បៈ : វិកលវិការ មានស្លាកស្នាម សៅហ្មង) (គ.ខ.បៈ ភាពពិការ ខ្ចោះ)]។</p-l>
bless	(vb) (to render beneficial or prosperous) <p-l>ប្រទានពរ</p-l> blessing <p-l>ព្រះពរ</p-l> blessed (adj) <p-l>ដែល មានពរ។</p-l>
blind	(adj) (without sight) <p-l>ខ្វាក់</p-l>
Blomberg, Craig L.	[an American conservative evangelical NT scholar and Professor of NT at Denver Seminary in Colorado (1957-)] <p-l>បណ្ឌិត ក្រេក ប៊ូមបើក</p-l> (short) <p-l>ប៊ូម បើក។</p-l>
blood	<p-l>ឈាម</p-l> (div) <p-l>ព្រះលោហិត</p-l>
blood-offering	(<p-l>មើល</p-l> blood-offering) (an offering where life has been taken through the spilling of blood) <p-l>ដង្វាយដោយឈាម។</p-l>
blood-sacrifice	<p-l>សូមមើល</p-l> blood-offering
BM	(abbreviation: British Museum) <p-l>សារមន្ទីរជាតិនៃស្រុកអង់គ្លេស</p-l>
Boaz	<p-l>ឬអូស</p-l>
Boanerges	<p-l>បានអើកេ</p-l>
body	(mind vs. body) <p-l>រូបកាយ</p-l>
body	(a corpse) <p-l>សព</p-l> (div) <p-l>ព្រះរាជសព</p-l>
Body of Christ	(literal meaning) <p-l>រូបកាយរបស់ព្រះគ្រីស្ទ</p-l>
boil	(red painful swelling with pus-filled core) <p-l>បូស</p-l>
bondage	(slavery, servitude) <p-l>ទាសភាព (គ.ប : ចំណង គ.ខ.ស : វិនាសអន្តរាយ គ.ខ.ប : វិនាស អន្តរាយ គ.គ.ខ: ភាពជាបាវបំរើ)។</p-l>
bondservice	(work of a slave) <p-l>ការបំរើដូចជាទាសករ</p-l>
Boniface	(known as the apostle of the Germans, was a missionary in the Frankish Empire during the 8th Century, and became the first Archbishop of Mainz) <p-l>បូនីហ្វេស។</p-l>
Book of Common Prayer	(originally published in 1549, was the first prayer book to include the complete forms of service for daily worship in English) <p-l>«សៀវភៅ អធិស្ឋានរួមគ្នា»។</p-l>
book of life	(Rev. 20) <p-l>«បញ្ជីជីវិត»</p-l>
born	(adj) (royal) <p-l>ដែលប្រសូតមក</p-l>
borne	(vb) <p-l>សូមមើល</p-l> bear
bosom	(the chest of a man) <p-l>ដើមទ្រូង</p-l> (div) <p-l>ព្រះឱរា/ឧរា</p-l>
bow	(weapon for shooting arrows) <p-l>ធ្នូ</p-l>
bow	(vb) (to lower one's head one's knee as a sign of respect) <p-l>គ.ប : ក្រាបផ្កាប់មុខ គ.ខ.ប : ក្រាប ចុះ អោនមុខ)។</p-l>
bowels	(innards, entrails) <p-l>ពោះវៀន</p-l>
Branch, the...	(represents the object of prophetic Messianic hope) <p-l>អង្គលំពង់</p-l>
breach	(violation of duty by a person in a position of trust or faith) <p-l>ការបំពាន</p-l>
bread of affliction	(a description of the unleavened bread used in the Passover) <p-l>នំប៉័ងនៃ សេចក្តីវេទនា។</p-l>
bread of life	(a description Jesus gives to himself) <p-l>នំប៉័ងជីវិត</p-l>
bread of the Presence	(Ex. 25:30) <p-l>«នំប៉័ងតាំងទុក» (គ.ប : នំប៉័ងតាំងទុក គ.ខ.ប : នំប៉័ង... ជាតង្វាយ អចិន្ត្រៃយ៍)។</p-l>
breaking of bread, the...	(reference to the dividing of bread that represents the body of Jesus at the celebration of the Lord's Supper) <p-l>«ការកាច់នំប៉័ង»</p-l> (indirect reference to the Lord's Supper) <p-l>ពិធីលៀងព្រះអម្ចាស់។</p-l>
breastpiece of the High Priest”	<p-l>«ប្រដាប់បាំងដើមទ្រូងរបស់សម្តេចសង្ឃ»</p-l>
breastplate	(piece of armour covering the chest) <p-l>ប្រដាប់បាំងដើមទ្រូង</p-l>
breath	(air inhaled or exhaled during respiration) <p-l>ខ្យល់ដង្ហើម (គ.ប : អសាសៈ គ.ខ.បៈ : ព្យុះ សង្ឃរា)។</p-l>
breath of life	(life force) <p-l>ដង្ហើមជីវិត (គ.បៈ ដង្ហើមជីវិត គ.ខ.បៈ : ជីវិត)</p-l>
brethren	(fellow members of a church) <p-l>សមាជិកក្រុមជំនុំខ្លួន</p-l> (informal) <p-l>បងប្អូនខ្លួន</p-l>
brick	(a rectangular block of clay mixed with sand and baked in the sun or a kiln) <p-l>ឥដ្ឋ</p-l> (a roofing tile) <p-l>ក្បឿង។</p-l>
bride	(a woman who is about to be, or has just been married) <p-l>កូនក្រមុំ (គ.ប : ប្រពន្ធថ្មី ប្រពន្ធថ្មោងថ្មី) (គ.ខ.បៈ កូនក្រមុំ ភរិយាថ្មោងថ្មី)]។</p-l>
Bride of Christ	(a figurative reference to the Church) <p-l>កូនក្រមុំរបស់ព្រះគ្រីស្ទ</p-l>
bride price/bridal price	(money or property given by the groom to the family of the bride) <p-l>បណ្តាការ</p-l> (informal) <p-l>តម្លៃកូនក្រមុំ។</p-l>
bridegroom	(a man who is about to be, or just has been married) <p-l>កូនកម្លោះ [គ.ប : ប្តីថ្មោងថ្មី (គ.ខ.បៈ : កូនកម្លោះ ស្វាមីថ្មោងថ្មី)]។</p-l>
bridesmaid	(an unmarried girl or woman who attends to a bride at a wedding) <p-l>អ្នកកំដរស្រី</p-l>
bridle	(headgear for a horse) <p-l>បង្ហោះរ</p-l>
brimstone	(alternative name for sulfur) <p-l>ស្ពាន់ធ័រ</p-l>
broad context	(view of a selected passage from a wider perspective or understanding) <p-l>បរិបទឆ្ងាយ។</p-l>
bronze	(an alloy of copper and tin) <p-l>លង្ហិន សំរឹទ្ធ</p-l>
Bronze Age	(period 3300-1200 BC characterized by the use of bronze as the chief hard material of some implements and weapons) <p-l>យុគសំរឹទ្ធ។</p-l>
brother	(a fellow member of a Christian community) <p-l>បងប្អូនក្នុងព្រះគ្រីស្ទ</p-l>
Bruce, F. F.	[Scottish biblical scholar and one of the founders of the modern evangelical understanding of the Bible (1910-1990)] <p-l>បណ្ឌិតប្រុស។</p-l>
Brunner, Heinrich Emil	[a Swiss Reformed theologian commonly associated with neoorthodoxy (1889-1966)] <p-l>បណ្ឌិត អេមើល ប្រ៊ូណើរ</p-l> (short) <p-l>ប្រ៊ូណើរ។</p-l>
bull	(any male bovine animal that is mature) <p-l>គោឈ្មោល</p-l>
bullock	<p-l>គោស្ទាវ (គ.បៈ គោស្ទាវ គ.ខ.បៈ គោឈ្មោល)</p-l>
Bultmann, Rudolf	[a German theologian of Lutheran background who was Professor of NT Studies at the University of Marburg (1884-1976)] <p-l>បណ្ឌិត រូដូហ្វ ប៊ុលផ្ទាន់</p-l> (short) <p-l>ប៊ុលផ្ទាន់។</p-l>
burden	(something difficult or oppressive to bear) <p-l>បន្ទុក</p-l> "burial and mourning” <p-l>«ការបញ្ចុះសព និងទំនួញសោក»</p-l> Burnaburiash (the first Kassite king to rule over Babylonia, commencing c. 1500 BC) <p-l>ស្តេចបើណាប៊ូជៀសទី១</p-l>
burnt-offering	(an offering consumed by fire and regarded as ascending to God while being consumed) <p-l>ដង្វាយដុត។</p-l>
Byblos	(Greek name of the Phoenician city Gebal, founded around 5000 BC, and commonly believed to be the oldest continuously inhabited city in the world) <p-l>ក្រុង បីបួស។</p-l>
Byblos syllabary	(an undeciphered writing system known from ten inscriptions found in Byblos) <p-l>តារាងតួអក្សរពីក្រុងប៊ីប្លូស។</p-l>
Byzantine	(an empire in southeastern Europe and Asia Minor, formed from the eastern part of the Roman Empire, falling to the Ottoman Turks in 1453 AD) <p-l>ចក្រភព ប៊ីហ្សាន់ ទីន។</p-l>
c.	[abbreviation: *circa* (Latin) “about, approximately”] <p-l>ប្រហែល</p-l>
c.	(abbreviation “concubine”) <p-l>ច. (ប្រពន្ធចុង)</p-l>
Cadmus	(Greek mythology: a Phoenician prince who founded the City of Thebes and introduced the original alphabet to the Greeks who adapted it to form their Greek alphabet) <p-l>ខាត់មុស។</p-l>
Caesar	(title adopted by the Roman emperors) <p-l>អធិរាជសេសារ</p-l>
Caesarea, City of...	(built by Herod the Great to serve as the administrative centre of the Judaean Province) <p-l>ក្រុងសេសារា។</p-l>
Caesarea-Philippi, City of...	<p-l>ក្រុងសេសារា-ភីលីព</p-l>
Caesars, the...	(reference to the Roman emperors) <p-l>ព្រះចៅអធិរាជរ៉ូមទាំងអស់គ្នា</p-l> "Caesar's household" (NBD) (people living together in Caesar's house) <p-l>ក្រុមគ្រួសាររបស់សេសារ</p-l>
Caiaphas	(High Priest at the time of Jesus' condemnation and crucifixion) <p-l>សម្តេចសង្ឃកៃជា។</p-l>
Cain	(Adam and Eve's first son) <p-l>កាអ៊ីន</p-l>
Cainan	(the son of Arpachshad, mentioned in most manuscripts of Luke 3:26, and present in the Septuagint and Samaritan versions of Genesis) <p-l>កៃណាន។</p-l>
Cairo	(capital city of modern Egypt) <p-l>ក្រុងគែរ</p-l>
Cairo Geniza	[a collection of some 210, 000 Jewish manuscript fragments found in the storeroom (or *geniza*) of the Ben Ezra Synagogue in Old Cairo in Egypt] <p-l>ខែហ្គេនីហ្សា។</p-l>
Calah	(city built by Nimrod) <p-l>ក្រុងកាឡាស</p-l>
Caleb	<p-l>កាលែប</p-l>
calendar year	(the period reckoned from January 1 to December 31 according to the Gregorian calendar) <p-l>ឆ្នាំប្រតិទិន។</p-l>
Caligula, Gaius	[Emperor of Rome from 37 to 41AD (12-41AD)] <p-l>អធិរាជកាលីហ្គូឡា</p-l>
call	(vb) (to summon to a specific office or task) <p-l>ត្រាស់ហៅ (គ.បៈ ទ្រង់ហៅ គ.ខ.បៈ : ត្រាស់ហៅ)</p-l> calling <p-l>ការត្រាស់ហៅ។</p-l>
call on/call upon	(vb) (to ask earnestly) <p-l>អំពាវនាវ (គ.បៈ : អំពាវនាវ គ.ខ.ប : គោរបបម្រើ)</p-l>
call	(vb) (to speak loudly so as to attract attention) <p-l>ស្រែក (គ.ប : ស្រែកហៅ គ.ខ.បៈ : ស្រែក)</p-l>
Calneh	(a center of Nimrod's kingdom) <p-l>ក្រុងកាលនេ</p-l>
Calvary	(Latin: the place where Jesus was crucified) <p-l>ភ្នំកាលវ៉ារី</p-l>
Calvin, John	[French Reformer based in Geneva (1509-1564)] <p-l>បណ្ឌិតចន កាលវិន</p-l> (short) <p-l>កាលវិន។</p-l>
Calvinism	(also known as the Reformed tradition, a major branch of the Western Church, following the tradition and practice of several Reformers, but differed with Lutherans on the real presence of Christ in the Lord's Supper) <p-l>កាលវិននិយម</p-l>
Calvinist	(adj) <p-l>នៃពួកកាលវិននិយម</p-l> (n) <p-l>អ្នកកាលវិននិយម។</p-l>
calyx	(any cup shaped cavity or structure) <p-l>ត្របកផ្កា (គ.ខ.ប : ត្របកផ្កា)</p-l>
Cambyses	(son of Cyrus the Great and King of Persia 530-522 BC who captured Pharaoh Psamtik III) <p-l>ស្តេចខាំបីសេស។</p-l>
camel	<p-l>សត្វអូដ្ឋ</p-l>
camp, the...	(a reference to the immediate location where Israel made a place to stay when crossing the Wilderness) <p-l>ជំរំ (គ.ប: ទីដំឡើងត្រសាល គ.ខ.បៈ : ជំរំ)។</p-l>
Cana, village of...	<p-l>ភូមិកាណា</p-l>
Canaan	(son of Ham) <p-l>កាណាន</p-l>
Canaan, Land of...	(the territory between the Mediterranean Sea and the Jordan River and territory east of the Jordan River) <p-l>ស្រុកកាណាន</p-l> Canaanite (adj) <p-l>របស់ពួកសាសន៍ កាណាន</p-l> Canaanites <p-l>ពួកសាសន៍កាណាន។</p-l>
candlestick	(a holder with a spike or socket for a candle) <p-l>ជើងចង្កៀង</p-l>
canon	(list of writings officially recognised as genuine) <p-l>គម្ពីរសាសនបញ្ញត្តិ</p-l> canonical (adj) <p-l>នៃគម្ពីរសាសនបញ្ញត្តិ។</p-l>
Canon, the...	(list of writings officially recognized as the Bible) <p-l>ព្រះគម្ពីរសាសនបញ្ញត្តិ</p-l> “canon of the Old Testament” <p-l>«សាសនបញ្ញត្តិព្រះគម្ពីរសញ្ញាចាស់»</p-l> “canon of the New Testament” <p-l>«សាសនបញ្ញត្តិព្រះគម្ពីរសញ្ញាថ្មី»។</p-l>
Canon of Ptolemy	(list of rulers of ancient Babylonia and the Near East, used by the astronomer Ptolemy of Alexandria to date astronomical phenomena) <p-l>សាសន បញ្ញត្តិ-របស់ចូលេមី។</p-l>
