ben	bdef
អាចទទួលខុសត្រូវ [(គ.បៈ :	<p-l>ជាប់មានទោស ទារពីដៃ រៀបរាប់ប្រាប់) (គ.ខ.ប: ទទួលទោស... ទារ ត្រូវធ្វើរបាយការណ៍)]។</p-l>
accursed	(adj) (subject to a curse, doomed) <p-l>ដែលត្រូវបណ្តាសា</p-l>
accuse	(vb) (to charge with a fault or a crime) <p-l>ចោទប្រកាន់</p-l> accused (n) <p-l>អ្នកដែលគេចោទប្រកាន់</p-l>
accuser	(n) <p-l>អ្នកចោទប្រកាន់។</p-l>
Achaemenid Empire	(also known as the First Persian Empire, founded in 6th Century BC by Cyrus the Great who overthrew the Median Federation and at c. 500 BC extended from the Indus Valley to the border of Greece) <p-l>ចក្រភពអាឃីមែនីដ។</p-l>
Achaia, Country of...	(a Roman province enbracing almost all of Greece) <p-l>ស្រុកអាខៃ</p-l>
Achan	(an Israelite who pillaged goods that were consecrated to the Lord - Joshua 7) <p-l>អេកាន</p-l>
Achish, King...	(two Philistine rulers of Gath) <p-l>ស្តេចអីគីស</p-l>
Achsah	(daughter of Caleb) <p-l>នាងអាកសា</p-l>
Achzib, City of...	(located in Judah, in the lowlands west of Dead Sea) <p-l>ក្រុងអាក់ស៊ីប</p-l>
acknowledge	(vb) (to recognize or admit the existence, truth or reality of) <p-l>ទទួលស្គាល់</p-l>
acquit	(vb) (to deliver and release a person appearing before a court on a charge of crime, as by a finding of not guilty) <p-l>សម្រេចឲ្យរួចទោស</p-l> acquittal (n) <p-l>ការឲ្យរួចខ្លួនជ្រះ ស្រឡះ សេចក្តីសម្រេចគ្មានទោស។</p-l>
acrostic	(a number of lines of writing, such as a poem, certain letters of which form a word) <p-l>បន្ទាត់មួយចំនួនពីកំណាព្យដែលតំណាងពាក្យមួយ។</p-l>
action/act	(an action or deed that is done) (div) <p-l>ព្រះរាជសកម្មភាព</p-l> (short) <p-l>រាជកិច្ច</p-l>
Actium, Battle of...	(the decisive confrontation of the final war of the Roman Republic, enabling Octavian to consolidate power and eventually be awarded the title Augustus by the Senate) <p-l>សង្គ្រាមអាកទាម។</p-l>
active	(adj) (grammar: denoting a voice of verbs used to indicate that the subject of a sentence is performing the action or causing the event or process) <p-l>សកម្ម</p-l> active voice <p-l>វាចកសកម្ម។</p-l>
active	(adj) (...will of God) <p-l>សកម្ម</p-l>
Acts, Book of...	<p-l>កណ្ឌកិច្ចការ</p-l> (abbreviation) <p-l>កិច្ច</p-l>.
Acts of the Apostles	<p-l>កណ្ឌកិច្ចការរបស់ពួកសាវក</p-l> "Acts of Paul and Thecla" (a 2<sup>nd</sup> Century apocryphal story of Paul's influence on a young virgin named Thecla) <p-l>ឯកសារ «កិច្ចការនៃសាវកប៉ុល និងនាងថេកក្លា»។</p-l>
Acts of Peter	(an apocryphal Acts of the Apostles that describes a miracle contest between Peter and Simon Magnus, and the first record of Peter crucified head down) <p-l>ឯកសារ «កិច្ចការសាវកពេត្រុស»។</p-l>
actual author	(literary criticism: the person who wrote the original manuscript) <p-l>អ្នកនិពន្ធដ៏ពិត។</p-l>
AD	(abbreviation for Latin *anno domini*) <p-l>នៃគ.ស. (ឆ្នាំនៃគ្រិស្តសករាជ)</p-l>
ad hoc	(adj) (Latin "something lacking justification”) <p-l>ដែលអត់មានហេតុផល</p-l>
ad loc	(adj) (abbrevation for the Latin phrase *ad locum*, a term used in a citation to indicate the location of a reference) <p-l>នៅកន្លែង។</p-l>
