ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ពោលគឺថា,"[pool kɨɨ tʰaa] [[ពោល]] [[គឺ]] [[ថា]] <br>1). that is to say."
រំដោះ,"[rumdɑh] <br>1). p to free
បារភក់,"[baa pʰʊək] [[បារ]] [[ភក់]] <br>1). to remove mud (from the bottom of a stream)
ជជែកបែកផ្សែង,"[cɔcɛɛk baek psaeŋ] [[ជជែក]] [[បែកផ្សែង]] <br>1). to argue noisily and heatedly (of a group or a crowd)."
ថាលាល័យ,"[tʰaalaalay] <br>1). n record cabinet. Pali thāla;<br> ālaya 'house
ខ្លែងអែក,"[klaeŋ ʔaek] [[ខ្លែង]] [[អែក]] <br>1). a flying kite which makes a noise by means of vibrating cords affixed to it. See: ខ្លែងឯក"
កែង​,"[kaeŋ] <br>1). n a carpenter's angle-iron. <br>2). n an angle of the foot or arm (= elbow
ព្រហ្មទេយ្យ,"[preaʔmeaʔtey ~ prummeaʔtey] <br>1). n honors list
សើន,"[saǝn] <br>1). n lighthouse
វធូ,"[veaʔtʰuu] <br>1). n married woman
ពាក្យកំបាំង,"[piek kɑmbaŋ] [[ពាក្យ]] [[កំបាំង]] <br>1). secret word
ដំឡើងប្ញទ្ធិ,"[dɑmlaəŋ rɨt] [[ដំឡើង]] [[ឫទ្ធិ]] <br>1). to show power
អង្គុយស្រមៀននៅកៀនជញ្ជាំង,"[ʔɑŋkuy srɑmiən nɨv kien cʊəɲceaŋ] [[អង្គុយ]] [[ស្រមៀន]] [[នៅ]] [[កៀន]] [[ជញ្ជាំង]] <br>1). to sit quietly in a corner."
ញ័រមាត់ប៉ប៉ប់,"[ɲoa moat pɑpɑp] [[ញ័រមាត់]] [[ប៉ប៉ប់]] <br>1). to have trembling lips (because of cold or anger)."
វាសនា,"[viehsnaa] <br>1). n destiny
គោតមសម្ពុទ្ធ,"[kootaʔmaʔsamput] <br>1). n title given to the Buddha. Sanskrit
សារលិខិតអាពាហ៍ពិពាហ៍,"[saa~saaraʔ liʔkʰət ------] [[សារលិខិត]] [[អាពាហ៍ពិពាហ៍]] <br>1). marriage license."
ដាក់ផ្ងារ,"[dak pŋaa] [[ដាក់]] [[ផ្ងារ]] <br>1). to put (something down) face up."
រវើម,"[rɔvəəm] <br>1). a slowly and furtively (of a gait)."
សើយ,"[saǝy] <br>1). p to turn up
ខន្ធទាំងប្រាំ,"[kʰan teaŋ pram] [[ខន្ធ]] [[ទាំង]] [[ប្រាំ]] <br>1). the five components of intelligent being: រូបក្ខន្ធ 'form
កោរ​មុខ​,"<br>1). to shave the face."
អព្យយៈ,"[ʔappyeaʔyeaʔ] <br>1). n particle
លេញ្ជា,"[lǝɲcie] <br>1). p to poke fun at someone
អាប់ប៉ត្រាប់,"[ʔap-patrap] <br>1a). p dirty
ឆាយាមិត្រ,"[cʰaayaamɨt] <br>1). n umbrella ( friend of the shade'). Sanskrit chāyā-mitra'"
អសាធារណនាម,"[ʔɑɑ saa tʰie nɑɑ niem] [[អ]] [[សាធារណនាម]] <br>1). proper noun."
មួយសណ្ដោងជាល,"[muə yɔɔ sɑndaoŋ ciel] [[មួយ]] [[សណ្ដោង]] [[ជាល]] <br>1). one group
តៀង,"[tiəŋ] <br>1). n kind of bed."
ឡើង​ភ្នំ​,"<br>1). to ascend/climb a mountain."
ម្រេច,"[mrɨc] <br>1). n pepper (of the genus Piper). Sanskrit
ក្បាច់ល្បក,"[kbac lbɑɑk] [[ក្បាច់]] [[ល្បក]] <br>1). design made of grooves."
ក្រាក់ៗ,"[krak-krak] <br>1). i sound of water boiling. See: គ្រាក់ៗ"
ផ្ចោត,"[pcaot] <br>1). p to make steep;<br> to look down (on) from above. See: ចោត 'steep.'"
អាភាទូរលេខ,"[ʔaapʰie tuu leek] [[អាភា]] [[ទូរលេខ]] <br>1). phototelegraphy."
សព្ទ,"[sap] <br>1). n sound
បិដ្ឋី,"[bettʰəy] <br>1). n the back Pali piṭṭhi;<br> piṭṭhī"
សម្មាចារ,"[sammaa caa] [[សម្មា]] [[ចារ]] <br>1). proper conduct
ចូឡាក័ន្ត,"[coolaa ------] [[ចូឡា]] [[Aក័ន្ត]] <br>1). ceremony at which a tuft of hair is removed."
ស្រីពេស្យា,"[srǝy peehsyaa] [[ស្រី]] [[ពេស្យា]] <br>1). ពេស្យា"
ការប្រកាស,"[kaaprɑkaah] <br>1). n public declaration. See: ប្រកាស."
ម្រេញ,"[mrɨɲ] <br>1). n cancer
អ្ហ៊ឹះ,"[ʔhɨh] <br>1). i grunting and groaning sound.<br>#..). i prolonged moaning sound."
សំបកធម៌,"[sɑmbɑɑk tʰoa] [[សំបក]] [[ធម៌]] <br>1). empty or meaningless principles/ laws / morality."
វង្សវឌ្ឍី,"[vɔǝŋ~vaŋsaʔ ------] [[វង្ស]] [[វឌ្ឍី]] <br>1). one who improves the family. See: វង្សវឌ្ឍិនី"
មាត់គ្រហុប,"[moat krɔhup] [[មាត់]] [[គ្រហុប]] <br>1). toothless (sunken) mouth."
ល្បែងសាកល,"[baeŋ saakɑl] [[ល្បែង]] [[សាកល]] <br>1). common game."
គំនិតរបិញរបុញ,"[kumnit rɔbəɲ-rɔboɲ] [[គំនិត]] [[របិញរបុញ]] <br>1). devious thought (or idea)."
ជរាធម៌,"[ceaʔrietʰoa] <br>1). n the laws of aging;<br> old age or decay as an inevitable occurrence;<br> senility. Sanskrit jarādharma"
ទប់ហ្វ្រ័ង,"[tup fraŋ] [[ទប់]] [[ហ្វ្រ័ង]] <br>1). to stop
ពងខ្យង,"<br>1). See: ពងក្អុក."
ស៊ីមិនមុត,"[sii mɨn mut] [[ស៊ី]] [[មិន]] [[មុត]] <br>1). to be incapable of working
គ្រលែងវែក,"[krɔlɛɛŋ vɛɛk] <br>1). n kind of bird. <br>2). n kind of medicinal plant."
ចេតនារម្មណ៍,"[ceɛtaʔnaa ------] [[ចេតនា]] [[Iអារម្មណ៍]] <br>1). design
សទ្ទានុក្រម,"[satteaʔ ʔaʔnuʔkrɑm] [[សទ្ទ]] [[អនុក្រម]] <br>1). lexicon
រាគចរិត,"[riek caʔret] [[រាគ]] [[ចរិត]] <br>1). passionate person."
ពើងភ្នំ,"[pəəŋ pnum] [[ពើង]] [[ភ្នំ]] <br>1). an overhang of rock on a mountain or hill."
មរិចរស,"[meaʔrɨcrʊəh] <br>1). n hot taste of black pepper
សព្វ,"[sɑp] <br>1a). pt (also pronounced sɑppeaʔ) all
ប្រពាក់,"<br>1). See: ពពាក់."
ភោគ,"[pʰook] <br>1). n wealth
ហួតហែង,"[huǝt haeŋ] [[ហួត]] [[ហែង]] <br>1). completely dry."
ស្វាសរោគ,"[svaasaʔrook] <br>1). n asthma. See: សាសរោគ
កំហល់,"[kɑmhɑl] <br>1). n anger
ភ្លេចមុខ,"[plɨc muk] [[ភ្លេច]] [[មុខ]] <br>1). to forget someone's face."
តៀប,"[tiəp] <br>1). n turned or carved wooden plate with legs and a cover."
កាព្យឃ្លោង,"[kaap klooŋ] [[កាព្យ]] [[ឃ្លោង]] <br>1). poetry<br>#..). poetry;<br> poetic."
ប្រកិត,"[prɑkət] <br>1a). p very close
ឆាប់ឡើង!,"[cʰap ------ ] [[ឆាប់]] [[ឡើង!]] <br>1). Hurry up!"
សកវាទិនី,"<br>1). See: សកវាទី."
ល្បើក,"[lbaǝk] <br>1). n distance (that a person or animal can walk or run at full speed)
របោច,"[rɔbaoc] <br>1). p pulled or torn away
ទុក្ខសច្ច,"[tukkʰaʔsac] <br>1). n truth of the existence of suffering. Pali dukkha;<br> sacca 'real
ស្រយើល,"<br>1). See: ស្រយឺល."
ឆ្លៀតពេល,"[cliət peel] [[ឆ្លៀត]] [[ពេល]] <br>1). to avail oneself of time (to do something)."
កន្ត្រៃចៀរដែក,"[kɑntray ciə daek] [[កន្ត្រៃ]] [[ចៀរ]] [[ដែក]] <br>1). metal-cutting shears<br>#..). tin shears
អាចម៍សត្វ,"[ʔac sat] [[អាចម៍]] [[សត្វ]] <br>1). ripe pepper grains that have been eaten by certain birds and pass through the digestive system unaffected. Some people collect them and
ស្វ័យប្រវត្តិកម្ម,"[svaypravoatteʔkam] <br>1). n automation."
សំដីរញ៉ាំ,"[sɑmdəy rɔɲam] [[សំដី]] [[រញ៉ាំ]] <br>1). repetitious words."
ក្របួចក,"[krɑbuəc kɑɑ] [[ក្របួច]] [[ក]] <br>1). to shake someone by the neck<br>#..). to shake someone by the neck
តៀម,"[tiəm] <br>1). n shop
ធ្វើមុខព្រហួម,"[tvəə muk prɔhuəm] [[ធ្វើមុខ]] [[ព្រហួម]] <br>1). to have an unhappy expression;<br> to be yawning and lazy;<br> to have a sour look."
អញ្ញាត,"[ʔaɲɲaataʔ] <br>1). p unknown;<br> unexpected;<br> unaware;<br> not understood;<br> uncertain
ហរនេត្រ,"[haa rɔɔ neet] [[ហ]] [[រ]] [[នេត្រ]] <br>1). Siva's eyes."
មនុស្សមានពៀរ,"[mɔnuh~meaʔnuh~mɔnɨh mien piə] [[មនុស្ស]] [[មាន]] [[ពៀរ]] <br>1). vindictive person."
ជម្លោះ,"[cumlʊəh] <br>1). n quarrel
រអា,"[rɔʔaa] <br>1a). p sick and tired
កំរើកខ្លួន,"[kɑmraək kluən] [[កំរើក]] [[ខ្លួន]] <br>1). to move (oneself) slowly."
ដំរីរនាម,"[dɑmrəy rɔniem] [[ដំរី]] [[រនាម]] <br>1). elephant born in such a jungle."
អ៊ែនស៊ែ,"<br>1). See: ស៊ែ."
អន្តលិក្ខ,"[ʔɑntaʔlik] <br>1). n air
សន្ទិដ្ឋិកធម៌,"[sɑntittʰeʔkaʔ tʰoa] [[សន្ទិដ្ឋិក]] [[ធម៌]] <br>1). applied principle
វិក្កយសាលា,"[vikkaʔyaʔsaalaa] <br>1). n store
បញ្ចោរលើកអាស,"[bɑɲcao lǝǝ kɑɑ ʔaah] [[បញ្ចោរ]] [[លើក]] [[អាស]] <br>1). to insult or to slander someone. See: ជេរលើកអាល"
កៀប​,"[kiəp] <br>1). p to squeeze;<br> to pinch with claws or pincers (of crabs);<br> to crack
មិច្ឆាសង្កប្ប,"[mɨccʰaa saŋkap~saŋkappaʔ] [[មិច្ឆា]] [[សង្កប្ប]] <br>1). incorrect or wrong reasoning or mental analysis."
វារិជជាតិ,"[vieriʔ cɔɔ ciet] [[វារិ]] [[ជ]] [[ជាតិ]] <br>1). anything grown in water;<br> aquatic animals. See: វារិជាតិ"
រឿងកាកី,"[rɨəŋ kaakəy] [[រឿង]] [[កាកី]] <br>1). the story of kaakəy (a story of a beautiful but unfaithful woman named នាងកាកី.)"
ថ្នាក់ទាប,"[tnak tiep] [[ថ្នាក់]] [[ទាប]] <br>1). low class."
ហាង,"[haaŋ] <br>1). p to be bitter (as a wild bamboo shoot)
មនុស្សប្លម,"[mɔnuh~meaʔnuh~mɔnɨh plɑɑm] [[មនុស្ស]] [[ប្លម]] <br>1). impostor;<br> interloper."
តូចល្មម,"[tooc~colloquial tuuc lmɔɔm] [[តូច]] [[ល្មម]] <br>1). small enough."
មនុស្សសុពចៈ,"[mɔnuh~meaʔnuh~mɔnɨh soʔpeaʔcaʔ] [[មនុស្ស]] [[សុពចៈ]] <br>1). teachable person."
បីដូច,"[bəy dooc] <br>1). p similar to
កម្មពៀរ,"[kam~kammeaʔ or kammaʔ piə] [[កម្ម]] [[ពៀរ]] <br>1). misfortune
ខ្លូតត្រសក់ផ្អែម,"[kloot trɑsɑk pʔaem] [[ខ្លូតត្រសក់]] [[ផ្អែម]] <br>1). honeydew melon."
របស់រាវ,"<br>1). See: វត្ថុរាវ."
វាតដី,"[viet dəy] [[វាត]] [[ដី]] <br>1). to enlarge one's territory."
ម្រាម,"[mriem] <br>1). n digit (finger or toe)."
ប្រយោជន៍ជាតិ,"[prɑ- yooc ciet] [[ប្រយោជន៍]] [[ជាតិ]] <br>1). national interests."
ជញ្ជ្រំ,"[cʊəɲcrum] <br>1). a repeatedly
បបែលស្លឹក,"[bɑbael slǝk] [[បបែល]] [[ស្លឹក]] <br>1). kind of flat ray fish with a long tail."
មាត់ឥតគ្រប,"[moat ʔet~ʔǝt krɔɔp] [[មាត់]] [[ឥត]] [[គ្រប]] <br>1). impetuous
វិជយី,"<br>1). x See: វិជយិន"
ថ្ពាល់ទ្រមាកៗ,"<br>1). fleshy cheeks."
ស៊ីលោភ,"[sii loop] [[ស៊ី]] [[លោភ]] <br>1). to eat greedily
កណ្ដាលអាយុ,"[kɑndaal ʔaayuʔ] [[កណ្ដាល]] [[អាយុ]] <br>1). middle-aged."
ច្បាប់សេដ្ឋកិច្ច,"[cbap seɛtʰaʔ kəc] [[ច្បាប់]] [[សេដ្ឋកិច្ច]] <br>1). economic law."
វ៉ង់,"[vɑŋ] <br>1). p very clear (of liquids or solid objects
ទើកមមើក,"[təək-mɔməək] <br>1). p timid
កុម្ភការី,"[kompʰeaʔkaarəy] <br>1). n potter."
សុខវិហារ,"[sok viʔhie] [[សុខ]] [[វិហារ]] <br>1). healthy life (living)."
របោម,"[rɔbaom] <br>1). n horsefly. បំពក់ភ្លើងកុំឲ្យរបោមខាំគោ។ Make the fire smoke so that the horseflies cannot bite the cattle."
ដែកស្វាន,"[daek svaan] [[ដែក]] [[ស្វាន]] <br>1). drill (hand drill
ធ្មើងកំអួក,"[tməəŋ kɑmʔuək] [[ធ្មើង]] [[កំអួក]] <br>1). arrogant and insolent."
សង្ឃរា,"<br>1). See: ព្យុះ."
របោយ,"[rɔbaoy] <br>1). n mixture of vegetables (generally mixed with noodles and sauce). <br>2). a in a slowly disappearing or gradually diminishing manner (of quantity). See: ល្បោយ
ចំហាយក្ដៅ,"[cɑmbaay kdav] [[ចំហាយ]] [[ក្ដៅ]] <br>1). heat."
ឧស្សវពិធី,"[--i4-- ] [[ឧស្សវពិធី]] <br>1). exhibition. See: ឧស្សវវិធី"
អើហ្ន៎!,"[ʔaə ------ ] [[អើ]] [[ហ្ន៎!]] <br>1). gee! oh! See: យីហ្ន៎!"
ខណិកសមាធិ,"[------ saʔmaatʰiʔ] [[ខណិក]] [[សមាធិ]] <br>1). momentary concentration of the mind on a certain figure."
ឈ្នះ,"[cneah] <br>1). p to win
អាបុច្ឆនកថា,"[--i4-- ] [[អាបុច្ឆនកថា]] <br>1). departing speech or words."
ដើមស្លាឈ្មោល,"[daəm slaa cmool] [[ដើម]] [[ស្លាឈ្មោល]] <br>1). kind of tree (possibly Daemonorops draco) which gives a red medicinal sap."
អ្នករកឃើញ,"[neak rɔɔk kʰəəɲ] [[អ្នករក]] [[ឃើញ]] <br>1). finder
អស្ចារ្យ,"[ʔɑhcaa] <br>1). p marvelous
អវិន័យ,"[ʔaʔviʔney] <br>1). p illegal
ហាន,"[haan] <br>1). p to dare. See: ហ៊ាន Thai hǎn 'to turn.'"
ស្រាកឈឺ,"[sraak cʰɨɨ] [[ស្រាក]] [[ឈឺ]] <br>1). to lessen pain."
ជាប់ចំណង,"[coap cɑmnɑɑŋ] [[ជាប់]] [[ចំណង]] <br>1). to be tied up (with rope)."
ហាប,"[haap] <br>1). n a unit of weight
វនបុស្ប,"[veaʔneaʔ~voan boh] [[វន]] [[បុស្ប]] <br>1). forest flower."
ទេសភាព,"[teehsaʔpʰiep] <br>1). n landscape
យុទ្ធកោសល្ល,"[yuttʰeaʔkaosɑl] <br>1). n military strategy
ល្បើរ,"<br>1). See: របើរ."
ទ្រមួច,"[trɔmuəc] <br>1). n kind of tree having small fruit used as a sour spice."
គ្រឿងជាងដែក,"[krɨəŋ cieŋ daek] [[គ្រឿង]] [[ជាងដែក]] <br>1). blacksmith's tools."
សះស្បើយ,"[sah sbaǝy] [[សះ]] [[ស្បើយ]] <br>1). completely cured;<br> to cure."
សុល្កាករ,"[solkaʔ ʔaakɑɑ] [[Iសុល្ក]] [[I]] [[អាករ]] <br>1). See: សុង្កាករ."
សត្តក្ខ័យ,"[sattaʔ ------] [[សត្ត]] [[ក្ខ័យ]] <br>1). exhaustion of strength. See: សត្វក្ស័យ"
វាចគ្រាប់សណ្ដែក,"[viec kroap sɑndaek] [[វាច]] [[គ្រាប់]] [[សណ្ដែក]] <br>1). to level a pile of beans."
ផ្កា,"[pkaa] <br>1a). n flower. <br>1b). p to flower
រអៃ,"[rɔʔay] <br>1). a noisily and continuously (in conversation)."
ពន្លឺផ្លេក,"[pʊənlɨɨ pleɛk] [[ពន្លឺ]] [[ផ្លេក]] <br>1). bright light."
ឡើង​គោក​,"<br>1). to land
ហាម,"[haam] <br>1). p to forbid
សព្វលាភ,"[sɑp liep~liepʰeaʔ] [[សព្វ]] [[លាភ]] <br>1). all kinds of luck."
យសស័ក្តិ,"[yʊəhsak] <br>1). n rank structure (as in the military)
ហារ,"[haa] <br>1a). p to take along
ជើងលួច,"[cəəŋ luəc] <br>1). n thief
ហាល,"[haal] <br>1). p to dry (something in the sun or wind)
ស័ងខ្យាល្ពៅ,"[------ lpɨv] [[ស័ងខ្យា]] [[ល្ពៅ]] <br>1). pumpkin custard (Cambodian dessert)."
សមរមិត្រ,"[saʔmaʔraʔ~saʔmɑɑ ------] [[សមរ]] [[មិត្រ]] <br>1). beloved friend"
វៃស្យៈ,"<br>1). See: វេស្សៈ."
ដួលសង់គោល,"[duəl sɑŋ kool] [[ដួល]] [[សង់គោល]] <br>1). to fall very heavily."
ដើមក,"[daəm kɑɑ] [[ដើម]] [[ក]] <br>1). base of the neck."
ហាវ,"[haav] <br>1). p to call. See: ហៅ <br>2). i word used to make an elephant halt. <br>3a). a quickly
សាមញ្ញបដិបត្តិ,"[saamaɲɲeaʔ paʔdeʔbat] [[សាមញ្ញ]] [[បដិបត្តិ]] <br>1). practice of religious mendicancy."
មើលសំបុត្រលះ,"[məəl sɑmbot leah] [[មើលសំបុត្រ]] [[លះ]] <br>1). to read a letter clearly."
ស្ទុះហេចូលទៅ,"[stuh heɛ cool tɨv~toh] [[ស្ទុះ]] [[ហេ]] [[ចូល]] [[ទៅ]] <br>1). to dash in
រៀលស្លាប,"[riəl slaap] [[រៀល]] [[ស្លាប]] <br>1). Mexican piaster. Tandart"
ផ្ដាច់ដោះ,"[pdac dɑh] [[ផ្ដាច់]] [[ដោះ]] <br>1). to take the breast away from (a nursing child)."
បិទគ្រប,"[bet~bət krɔɔp] [[បិទ]] [[គ្រប]] <br>1). to put a cover on."
រាំង,"[reaŋ] <br>1). p to close
ម៉ាស៊ីនភ្លើង,"[maasɨn~maasiin pləəŋ] [[ម៉ាស៊ីន]] [[ភ្លើង]] <br>1). power plant
ចក្ករ័តន៍,"[cak ------] [[ចក្ក]] [[Aរ័តន៍]] <br>1). wheel made of precious stones or glass. See: ចក្ររ័ត្ន"
រនិងរនាំង,"[rɔnɨŋ-rɔneaŋ] <br>1). p stubborn;<br> strong
ហាស,"[haah] <br>1a). i sound of laughter. <br>1b). n laughter
ស្បថប្រណិធាន,"[sbɑt prɑneʔtʰien] [[ស្បថ]] [[ប្រណិធាន]] <br>1). (= ស្បថប្រាំធាន to swear with the formal recitation of some oath formula.<br>#..). to vow
សុពចមិត្ត,"[------ mit~mɨt] [[សុពច]] [[មិត្ត]] <br>1). amenable friend. See: ទុព្វចមិត្ត
លក់ដូរ,"[lʊək doo] [[លក់]] [[ដូរ]] <br>1). to sell
ឆេះរង្គាល,"[cʰeh rʊəŋkiel] [[ឆេះ]] [[រង្គាល]] <br>1). to be ravaged by fire."
ចិន្តាមណី,"[cendaameaʔnii] <br>1). n philosopher's stone;<br> magic or power to fulfill all desires. Sanskrit cintāmaṇi"
ផ្កាសម្ជុល្ល,"[pkaa sɑmpʰol] [[ផ្កា]] [[សម្ជុល្ល]] <br>1). flower in full bloom."
ចល័ត,"[caʔlat] <br>1). p mobile
ញ៉ែងញ៉ង,"[ɲaeŋ-ɲɑɑŋ] <br>1a). p graceful
ចិត្តរីករាយ,"[cət riik riey] [[ចិត្ត]] [[រីករាយ]] <br>1). happy feeling
ឆូតសាច់,"[cʰoot sac] [[ឆូត]] [[សាច់]] <br>1). to make cuts in meat (as is done before it is salted)."
អាបណសញ្ញាឋាពរ,"[ʔaapaʔnaʔ saɲɲaa ------] [[អាបណ]] [[សញ្ញា]] [[Qឋាពរ]] <br>1). transaction on credit."
សន្ធឹកសន្ធាប់,"[sɑntʰɨk sɑntʰoap] [[សន្ធឹក]] [[សន្ឋាប់]] <br>1). very loud noise. <br>2). on a large scale;<br> glorious
ចង់ធ្វើធំ,"[cɑŋ tvəə tʰom] [[ចង់]] [[ធ្វើ]] [[ធំ]] <br>1). to want to be important
ធាក់ប្រមុញ,"[tʰeak prɑmoɲ] [[ធាក់]] [[ប្រមុញ]] <br>1). to kick hard and repeatedly
ហុចសំដីឲ្យដឹងចិត្ត,"[hoc ------ ] [[ហុច]] [[សំដីឲ្យដឹងចិត្ត]] <br>1). to insinuate
កាយសមុដ្ឋាន,"[kaay saʔmuttʰaan] [[កាយ]] [[សមុដ្ឋាន]] <br>1). physical act/action."
អម្រា,"[ʔɑmraa] <br>1). n female character in the Satras
ច្បាប់គយ,"[cbap kɔɔy] [[ច្បាប់]] [[គយ]] <br>1). customs regulation(s)."
ម្ចាស់បំណុល,"[mcah bɑmnol] [[ម្ចាស់]] [[បំណុល]] <br>1). creditor<br>#..). creditor. See: មេបំណុល"
ដែកខៃ,"[daek kʰay] [[ដែក]] [[ខៃ]] <br>1). drill<br>#..). kind of gimlet."
បរិផលតកម្ម,"[paʔreʔpʰɑlətaʔkam] <br>1). n overproduction. Pali pari;<br> phalita 'fruitful;' kamma"
ម្លប់ឈើ,"[mlup cʰəə] [[ម្លប់]] [[ឈើ]] <br>1). shade of a tree."
ធម្មតា,"[tʰoammeaʔdaa] <br>1a). p natural
មនុស្សជា,"[mɔnuh~meaʔnuh~mɔnɨh cie] [[មនុស្ស]] [[ជា]] <br>1). good man
ប្រយូរ,"[prɑyuu] <br>1). n family
ធ្វើការដោយសុប្រយោគ,"[tvəə kaa daoy soppraʔyook] [[ធ្វើការ]] [[ដោយ]] [[សុប្រយោគ]] <br>1). to work expertly."
សមាជិកនៃគណៈមេប្រយោគ,"[saʔmaacɨk ney keaʔnaʔ mee prɑyook] [[សមាជិក]] [[នៃ]] [[គណៈមេប្រយោគ]] <br>1). member of a judging team."
ចីរការ,"[ceɛrɔkaa] <br>1). n the act of working slowly. Sanskrit cirakāra"
បង្អាក់បង្អួល,"[bɑŋʔak bɑŋʔuəl] [[បង្អាក់]] [[បង្អួល]] <br>1). to cause to flounder."
ចីរកាល,"[ceɛkaal] <br>1). n duration
បាងកក,"[baaŋ kɑɑk] <br>1). n Bangkok
វិជ្ជាឋានជីវសាស្ត្រ,"[vɨccie tʰaan cii vɔɔ saah] [[វិជ្ជាឋាន]] [[ជីវសាស្ត្រ]] <br>1). biological institute."
ព្រះកាយាព្រះអង្គ,"[preah kaayaa preah ʔɑŋ] [[ព្រះ]] [[កាយា]] [[ព្រះ]] [[អង្គ]] <br>1). the eucharist. Tandart"
អភិតរុណ,"[ʔaʔpʰiʔtaʔrun] <br>1). p very young
សិង្ហល,"[sǝŋhal ~ sǝŋhaʔlaʔ] <br>1). n Ceylon;<br> people of Ceylon. See: សង្កា
បរិសោធនដ្ឋាន,"[bɑɑreʔsaotʰeaʔneaʔtʰaan] <br>1). n refinery. Pali parisodhana 'purification;' ṭhāna"
សត្តាហកាលិក,"[sattaʔ ------ kaalik] [[សត្ត]] [[អាហៈ]] [[កាលិក]] <br>1). seven-day beverage (beverage that is offered to monks to last for a maximum of seven days)."
អសនីសាទិស,"[ʔaʔsaʔnii~ʔaʔsaʔnǝy saatɨh] [[អសនី]] [[សាទិស]] <br>1). comparable to lightning."
ព្រ័ត្រ,"[proat] <br>1). n strong cord made of animal skin (especially buffalo hide). Sanskrit varatrā 'strap
មិនបានសោះ,"[mɨn baa nɔɔ sɑh] [[មិនបាន]] [[សោះ]] <br>1). absolutely impossible
ឧកញ៉ាក្រឡាហោម,"[ʔokɲaa krɑlaa haom] [[ឧកញ៉ា]] [[ក្រឡាហោម]] <br>1). mandarin in charge of the navy Tandart"
ស្គរជ័យ,"[skɔɔ cey] [[ស្គរ]] [[ជ័យ]] <br>1). victory drum 
សម្រួចចុង,"[sɑmruǝc coŋ] [[សម្រួច]] [[ចុង]] <br>1). to sharpen the end / point (of something)."
ខ្ពាក,"[kpiek] <br>1). i sound of a light object falling."
មមំការ,"<br>1). See: មមង្ការ."
ឥន្ទនិមិត្ត,"[ʔen niʔmit] [[ឥន្ទ]] [[និមិត្ត]] <br>1). type of spirit supposed to take human form. Tandart"
ជាតហិង្គុលខ្វាក់,"[cietaʔhəŋkul kvak] [[ជាតហិង្គុល]] [[ខ្វាក់]] <br>1). block of cinnabar or vermillion."
អំណាច,"[ʔɑmnaac] <br>1). n power
ហសនៈ,"[haʔsaʔnaʔ] <br>1). n laughter;<br> enjoyment;<br> happiness. Pali hasana 'laughter.'"
លោមា,"[loomie] <br>1). n fur
ឧកញ៉ាពហុលទេព្វ,"[ʔokɲaa peaʔhulteep] [[ឧកញ៉ា]] [[ពហុលទេព្វ]] <br>1). former title of the keeper of the raw-rice warehouse. Tandart"
សិល្ប៍សាស្ត្រវិជ្ជាការ,"[------ ------ vɨccie kaa] [[សិល្ប៍]] [[សាស្ត្រ]] [[វិជ្ជា]] [[ការ]] <br>1). art theory;<br> knowledge of arts/ crafts;<br> səl saah science of magic."
ព្រហាម,"[prɔhiem] <br>1). n dawn
លោមចម្ម,"[loomeaʔcam] <br>1). n fur
ធ្នាក,"[tneak] <br>1). n a decoy (bird or mammal)."
និព្វិសោធ,"[nippiʔsaot] <br>1). p transcendental. See: អព្វោហារិក"
សំពត់រុំដំបៅមួយរបុំ,"[sɑmpʊət rum dɑmbav muə yɔɔ rɔbom] [[សំពត់]] [[រុំ]] [[ដំបៅ]] [[មួយ]] [[របុំ]] <br>1). one roll of gauze."
តម្រូវ,"[tɑmrəv] <br>1). p to adjust (to)
កំបាប,"[kɑmbaap] <br>1a). p sinful
ស្លុតី,"[slotdǝy] <br>1). n rhymed welcoming speech made by the Brahmans to the kind during a royal ceremony. <br>2). n greeting
វាចិនឆៅ,"[vie cən cʰav] [[វា]] [[ចិន]] [[ឆៅ]] <br>1). He is completely Chinese (usually of a Chinese who has just come from China)."
ត្រឹមគ្នា,"[trəm knie] [[ត្រឹម]] [[គ្នា]] <br>1). evenly matched (in size)."
ឡាំង,"[laŋ] <br>1). n wooden box/case. <br>2). p to sew."
ផ្សេង,"[pseɛŋ] <br>1). p to differ
ទីសប្បដិភ័យ,"[tii sappaʔdeʔpʰey] [[ទី]] [[សប្បដិភ័យ]] <br>1). terrorized area
ម្ហេតៗ,"<br>1). See: ម្ហេបៗ."
សមុច្ឆេទ,"[saʔmuccʰeɛteaʔ ~ saʔmuccʰaet] <br>1). n eradication
ម៉ដ្ឋសួង,"[------ suǝŋ] [[ម៉ដ្ឋ]] [[សួង]] <br>1). very fine (of grain size). See: ល្អិតសួង"
ទោចក្រយាន,"[too cak yien] [[ទោ]] [[ចក្រយាន]] <br>1). bicycle."
ត្រូវទទួលសុខទុក្ខតាមវេនរបស់កម្ម,"[trəv tɔtuəl sok tuk taam veen rɔbɑh kam~kammeaʔ or kammaʔ] [[ត្រូវ]] [[ទទួល]] [[សុខទុក្ខ]] [[តាម]] [[វេនរបស់កម្ម]] <br>1). to have to accept the consequences of sinful actions in due time."
កប់ប្រាក់,"[kɑp prak] [[កប់]] [[ប្រាក់]] <br>1). to bury money;<br> to invest money
ព្រះកំចាយ,"[preah kɑmcaay] <br>1). n kind of medicinal plant."
ចាំងភ្នែក,"[caŋ ------] [[ចាំង]] [[ភ្នែក]] <br>1). to be blinded by a bright light."
