ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ចែប៉ប្រែ,"[cae pɑprae] <br>1). a repetitiously
កំពីងពួយ,"[kɑmpiiŋ puəy] <br>1). n a kind of aquatic creeping herb with red or white flowers<br>#..). edible aquatic plant."
មមុលចូល,"[mɔmul cool] [[មមុល]] [[ចូល]] <br>1). to keep on advancing
កត់ឈ្មោះ,"[kɑt cmʊəh] [[កត់]] [[ឈ្មោះ]] <br>1). to take note of a name."
ហោតិល,"[haotǝl] <br>1). n hotel. <br>2). n a type of short haircut."
សំយាយព្រៃ,"[sɑmyaay prey] [[សំយាយ]] [[ព្រៃ]] <br>1). edge of the jungle."
កណ្ដូបសេះ,"[kɑndoop seh] [[កណ្ដូប]] [[សេះ]] <br>1). praying mantis."
ធាត់ទ្រលុក,"[tʰoat trɔluk] [[ធាត់]] [[ទ្រលុក]] <br>1). round and fat."
អាក្បាលខ្សៀ!,"[------ ksiə ------ ] [[អាក្បាល]] [[ខ្សៀ]] [[!]] <br>1). (a mild insult)."
សហសម្ពន្ធ,"[saʔhaʔ sɑmpʊən] [[សហ]] [[សម្ពន្ធ]] <br>1). correlation."
ប្រទាំង,"[prɑteaŋ] <br>1a). p opposing or conflicting;<br> contrasting;<br> uneven
អ្នកបញ្ជោរ,"[neak bɑɲcoo] [[អ្នក]] [[បញ្ជោរ]] <br>1). flatterer."
សំឡេងង៉េវ,"[sɑmleɛŋ ------] [[សំឡេង]] [[ង៉េវ]] <br>1). soft weak voice (like the voice of a cat)."
កូន​ពៅ​,"<br>1). the last-born child."
ឆ្មូល,"[cmool] <br>1). See: ប្រមូល <br>1). p to gather
មង្គលកោរសក់ព្រៃ,"[meaŋkʊəl~mʊəŋkʊəl kao sɑk prey] [[មង្គល]] [[កោរ]] [[សក់ព្រៃ]] <br>1). ceremony of shaving a baby's original hair."
សេនាសនទាន,"[seɛnaa sɑɑ nɔɔ tie nɔɔ] [[សេនា]] [[ស]] [[ន]] [[ទា]] [[ន]] <br>1). providing hospitality;<br> offering a place to stay."
វត្ថពន្ធចង្កេះ,"[voattʰaʔ pʊən cɑŋkeh] [[វត្ថពន្ធ]] [[ចង្កេះ]] <br>1). waist belt (for monks' use)."
ល្វែងរាសិចក្រ,"[lvɛɛŋ rieseʔcak] [[ល្វែង]] [[រាសិចក្រ]] <br>1). compartment of the sky
រ៉ាំ,"[ram] <br>1). a often
រំសាយទ័ព,"[rumsaay toap] [[រំសាយ]] [[ទ័ព]] <br>1). to spread out troops."
