أجا|أَجَا	أَجَا / إِجَا، يِجي[P, G] إِجَا / جَا، يِجي[S] إِجَا، يِجِي، جَيِّة، اسم الفاعل: جاي، المؤنث: جايِة
أجا|أَجَا	أَجَا / [P, G] إِجَا / جَا، يِجي[S] إِجَا،يِجِي، جَيِّة، اسم الفاعل: جايِة
أجا|أَجَا	أَجَا / إِجَا، يِجي[P, G] إِجَا / جَا، يِجي[S] إِجَا،يِجِي، جَيِّة، اسم الفاعل: جاي، المؤنث: جايِة
أجار|أَجَار	أَجَار، ج أَجَارَات[L] آجَار[S] إِجَاْر / أَجَاْر، ج إِجَاْرَاْت / أَجَاْرَاْت
أجبر|أَجْبَر	أَجْبَر، يِجْبِر
أجر|أَجَّر	أَجَّر، يْؤَجَّر[S] أَجَّر، يْؤَجِّر، إِيْجَاْر / إِجَاْر
أجرة|أُجرَة	أُجرَة، ج أُجُوْر
أجرد|أَجْرَد	أَجْرَد، ججِرِد(جِرْد)، المؤنث: جَرْدَا
أجرى|أَجرَى	أَجرَى، يِجري
أجل|أَجَّل	أَجَّل، يْؤَجِّل
أجلى|أَجلَى	أَجلَى، يِجلي
أجلى|أَجْلَى	أَجْلَى، يِجْلِي
أجنبي|أَجنَبي	أَجنَبي، ج أَجَانِب، المؤنث: أَجنَبِيِّة
أجير|أَجِيْر	أَجِيْر، ج أُجَرَا[S] أْجِيْر، ج إِجَرَا
أح|أَحّ	أَحّ، يْئِحّ
أحاط|أَحَاْط	أَحَاْط، يِحِيْط
أحال|أَحَاْل	أَحَاْل، يْحِيْل، إِحَاْلِة
أحد|أَحَد	أَحَد، ج آحَاْد
أحدب|أَحدَب	أَحدَب، ج حُدُب، المؤنث: حَدبَا[S] أَحْدَب، جحِدِب(حِدْب) / حِدْبَاْن، المؤنث: حَدْبَا
أحدث|أَحْدَث	أَحْدَث، يِحْدِث
أحرز|أَحرَز	أَحرَز، يِحرِز
أحرى|أَحرَى	أَحرَى / أَحرَى
أحسن|أَحسَن	أَحسَن، المؤنث: حُسنَى
أحسن|أَحسَن	أَحسَن، يُحسِن
أحصى|أَحصَى	أَحصَى، يِحصي
أحلث|أَحْلِث	أَحْلِث / أحْلِت
أحلس|أَحْلَس	أَحْلَس، المؤنث: حَلْسَا
أحمر|أَحمَر	أَحمَر، ج حُمُر، المؤنث: حَمرَا[S] أَحْمَر، جحِمِر(حِمْر)، المؤنث: حَمْرَا
أحمق|أَحْمَق	أَحْمَق، جحِمِق(حِمْق)، ج المؤنث: حَمْقَا
أحول|أَحوَل	أَحوَل، ج حُوْل، المؤنث: حَوْلَا[S] أَحْوَل، ج حُوْل، المؤنث: حَوْلَا
أحيا|أَحْيَا	أَحْيَا، يِحْيِي
أخ|أَخّ	أَخّ، ج أخوِة / إِخوَان[L] خَيّ، ج إِخْوِة[S]أَخّ/أَخ/ أَخُو، ج إِخْوِة / إِخْوَاْت / إِخْوَاْن
