#desc	2022 version of the <a href="https://play.google.com/store/apps/details?id=com.optimiskh.chuonnathdictionary&hl=en-US">Chuon Nath Digital Dictionary</a>
#priority	1
#word	khph	def
ធម្មបថ	[ធ័ម-មៈ-បត់]	<ul><li><strong>ន.</strong> គន្លងធម៌, ផ្លូវធម៌។</li></ul>
ធម្មបទ	[ធ័ម-មៈ-បត់]	<ol><li>ផ្លូវធម៌, លំអានធម៌។</li></ol>
ធម្មបទ	[ធ័ម-មៈ-បត់]	<ul><li>២)ឈ្មោះគម្ពីរព្រះពុទ្ធសាសនាក្នុងសុត្តន្តបិដកខាងពួកខុទ្ទកនិកាយ ហៅថា ខុទ្ទកនិកាយ ធម្មបទ, ជាពុទ្ធភាសិតសុទ្ធតែជាគាថាទាំងអស់ ហៅថា ធម្មបទគាថា ឬ គាថាធម្មបទ។</li></ul>
ធម្មបទដ្ឋកថា	[ធ័ម-មៈ-ប៉ៈ-ទ័ត-ឋៈ-កៈ-ថា]	<ul><li><strong>ន.</strong> ឈ្មោះអដ្ឋកថា គឺគម្ពីរអធិប្បាយសេចក្ដីគាថាធម្មបទ, អដ្ឋកថានេះមានពីរភាគ, ភាគខាងដើមហៅថា ធម្មបទដ្ឋកថាបុព្វភាគ, ភាគខាងចុងហៅថា ធម្មបទដ្ឋកថាបច្ឆិមភាគ។</li></ul>
ធម្មបរិយាយ	[ធ័ម-មៈ-ប៉ៈ-រ៉ិ-យ៉ាយ] ឬ [ធ័ម-មៈ-ប-រ៉ិ-យ៉ាយ]	<ul><li><strong>ន.</strong> បរិយាយនៃធម៌, សេចក្ដីអធិប្បាយវែកញែកនូវធម៌, ការពន្យល់សេចក្ដីតាមដំណើរធម៌<em> :ធម្មបរិយាយនេះមិនត្រូវតាមរបៀបទេ, ធម្មបរិយាយនោះពីរោះជ្រាលជ្រៅល្អណាស់។</em></li></ul>
ធម្មបាមោជ្ជ	[ធ័ម-មៈ-ប៉ា-ម៉ោច]	<ul><li>(<strong>បា.</strong> ធម្មប្បាមោជ្ជ; <strong>សំ.</strong> ធម៌ប្រមោទ ឬ ធម៌ប្រាមោទ្យ)<strong>ន.</strong> សេចក្ដីរីករាយចំពោះធម៌។</li></ul>
ធម្មបាល	[ធ័ម-មៈ-បាល]	<ul><li><strong>ន.</strong> អ្នករក្សាធម៌។</li></ul>
ធម្មបាលកុមារ	[ធ័ម-មៈ-បាល-កុ-ម៉ា]	<ul><li>(< ធម្ម + បាល + កុមារ)<strong>ន.</strong> ឈ្មោះតួអង្គឯកក្នុងរឿងធម្មបាលកុមារ។
ធម្មបីតិ	[ធ័ម-មៈ-ប៉ី-តិ]	<ul><li>(<strong>បា.</strong> ធម្មប្បីតិ; <strong>សំ.</strong> ធម៌ប្រីតិ)<strong>ន.</strong> ដំណើរក្រេបផឹករសធម៌; សេចក្ដីរីករាយចំពោះធម៌<em> :អ្នកមានធម្មបីតិក្នុងសន្តាន រមែងសម្រេចឥរិយាបថទាំង ៤ ជាសុខ។</em></li></ul>
ធម្មបូជា	[ធ័ម-មៈ-បូ-ជា]	<ul><li><strong>ន.</strong> បូជាចំពោះធម៌, បូជាចំពោះអ្នកចេះធម៌ឬចំពោះអ្នកប្រព្រឹត្តធម៌<em> :វត្ថុនេះជាធម្មបូជារបស់ខ្ញុំ។</em></li></ul>
ធម្មប្បដិបត្តិ	[ធ័ម-ម័ប-ប៉ៈ-ដិ-ប៉័ត-តិ] ឬ [ធ័ម-ម័ប-ប៉ៈ-ដិ-បាត់]	<ul><li><strong>ន.</strong> ការប្រតិបត្តិធម៌, ការប្រព្រឹត្តតាមច្បាប់<em> :ព្រះពុទ្ធទ្រង់លើកយកធម្មប្បដិបត្តិមកជាគោលធំបំផុត។</em></li></ul>
ធម្មប្បដិរូប	[ធ័ម-ម័ប-ប៉ៈ-ដិ-រូប]	<ul><li><strong>ន.</strong> ការប្រៀបប្រដូចស្រដៀងនឹងធម៌, ធម៌ប្លម, ធម៌ក្លែងក្លាយ<em> :សេចក្ដីត្រង់ឃ្លានេះ គឺជាធម្មប្បដិរូបទេ។</em></li></ul>
ធម្មប្បដិសម្ភិទា	[ធ័ម-ម័ប-ប៉ៈ-ដិ-សាំ-ភិ-ទា]	<ul><li><strong>ន.</strong> ការបែកប្រាជ្ញាយល់ធ្លុះធ្លាយក្នុងធម៌, ប្រាជ្ញាបែកភ្លឺស្វាងឥតទើសទាក់ក្នុងធម៌។</li></ul>
ធម្មភេទ	[ធ័ម-មៈ-ភេត]	<ul><li><strong>ន.</strong> ការបំបែកជាក្រុមតូចៗនៃក្រុមណាមួយដោយសារគោលបំណងនិងជំនឿមិនដូចគ្នា, ការបែកជាពួកក្នុងលទ្ធិសាសនា។</li></ul>
ធម្មមន្ទីរ	[ធ័ម-មៈ-មន់-ទី]	<ul><li>(<strong>បា.</strong> ធម្មមន្ទិរ)<strong>ន.</strong> ផ្ទះ, កន្លែងតម្កល់ធម៌ គឺបណ្ណាល័យតម្កល់គម្ពីរផ្សេងៗ។</li></ul>
ធម្មមន្ទីរ	[ធ័ម-មៈ-មន់-ទី]	<ul><li><strong>ន.</strong> តួគម្ពីរ ឬទូដែលតម្កល់គម្ពីរ, ក្រាំង, សៀវភៅធម៌ជាពុទ្ធសាសនា។</li></ul>
ធម្មមាមកៈ	[ធ័ម-មៈ-មា-មៈ-កៈ]	<ul><li>(<strong>បា.</strong> ធម្មមាមក)<strong>ន.</strong> អ្នកដែលរាប់អានគោរពថាព្រះធម៌ជារបស់អាត្មាអញ គឺអ្នកដែលជឿធម៌ជាពុទ្ធសាសនាស៊ប់ចិត្ត ឥតមានងាកបែរ។</li></ul>
ធម្មមូល	[ធ័ម-មៈ-មូល]	<ul><li><strong>ន.</strong> ឫសគល់នៃធម៌, ទីតាំងនៃធម៌<em> :សេចក្ដីដឹងគុណគោរពអ្នកមានគុណ ជាធម្មមូល។</em></li></ul>
ធម្មមោទនា	[ធ័ម-មៈ-មោ-ទៈ-នា]	<ul><li><strong>ន.</strong> សេចក្ដីរីករាយចំពោះធម៌។</li></ul>
ធម្មយុត្ត	[ធ័ម-មៈ-យុត]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធម៌យុក្ដ)<strong>ន.</strong>, <strong>គុ.</strong> អ្នកប្រកបដោយធម៌; ដែលប្រកបដោយធម៌។</li></ul>
ធម្មយុត្តិ	[ធ័ម-មៈ-យុត]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> ធម្មយុត្ត)។</li></ul>
ធម្មយុត្តិកនិកាយ	[ធ័ម-មៈ-យុត-តិ-កៈ-និ-កាយ]	<ul><li>(<strong>បា.</strong>)<strong>ន.</strong> ឈ្មោះគណៈបព្វជិតក្នុងព្រះពុទ្ធសាសនាសម័យសព្វថ្ងៃនេះ ដែលជាគូគ្នានឹងមហានិកាយ។(<strong>ម.ព.</strong> មហានិកាយ)។</li></ul>
ធម្មរក្ខិត	[ធ័ម-មៈ-រ័ក-ខិត]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធម៌រក្សិត)<strong>គុ.</strong>, <strong>ន.</strong> អ្នករក្សាធម៌។ ពាក្យនេះច្រើនប្រើជាឈ្មោះភិក្ខុឬសាមណេរក្នុងព្រះពុទ្ធសាសនា។ ជួនកាលប្រើជាសមណស័ក្ដិទីរាជាគណៈក៏មាន។</li></ul>
ធម្មរក្ខិតា	[ធ័ម-មៈ-រ័ក-ខិ-តា]	<ul><li><strong>ន.</strong> ស្ត្រីដែលជនអ្នកប្រព្រឹត្តធម៌ត្រូវគ្នា គ្រប់គ្រងរក្សាជាធំត្រួតត្រាលើ<em> :ស្ត្រីធម្មរក្ខិតា។</em></li></ul>
ធម្មរក្សា	[ធ័ម-មៈ-រ័ក-សា]	<ul><li>(<strong>សំ.</strong> ធម៌ + រក្ស)<strong>ន.</strong> ការរក្សាធម៌។ ពាក្យនេះសព្វថ្ងៃ ខ្មែរយើងប្រើជាងារមន្ត្រីក្នុងក្រុមសង្ឃការី<em> :ព្រះធម្មរក្សា។</em></li></ul>
ធម្មរតនៈ	[ធ័ម-មៈ-រៈ-តៈ-ណៈ]	<ul><li>(<strong>បា.</strong> ធម្មរតន; <strong>សំ.</strong> ធម៌រត្ន)<strong>ន.</strong> កែវគឺព្រះធម៌ ឬព្រះធម៌ដែលទុកជាកែវដ៏វិសេស។</li></ul>
ធម្មរតិ	[ធ័ម-មៈ-រៈ-តិ]	<ul><li>អំណរចំពោះធម៌។</li></ul>
ធម្មរស	[ធ័ម-មៈ-រស់]	<ul><li><strong>ន.</strong> រសធម៌។</li></ul>
ធម្មរាជ	[ធ័ម-មៈ-រាច]	<ul><li><strong>ន.</strong> លោកដែលជាស្ដេចព្រោះត្រាស់ដឹងធម៌ (ព្រះសព្វញ្ញុពុទ្ធ)<em> :ព្រះសម្ពុទ្ធជាធម្មរាជ។</em></li></ul>
ធម្មរ័តន៍	[ធ័ម-មៈ-រ័ត]	<ul><li>(<strong>បា.</strong> ធម្មរតន; <strong>សំ.</strong> ធម៌រត្ន)<strong>ន.</strong> (<strong>ម.ព.</strong> ធម្មរតនៈ)។</li></ul>
ធម្មលាភ	[ធ័ម-មៈ-លាប]	<ul><li>(<strong>បា.</strong> ធម្ម + លាភ)<strong>ន.</strong> លាភដែលកើតដោយធម៌, ការបានអ្វីៗ ដោយនូវធម៌<em> :ទ្រព្យនេះជាធម្មលាភរបស់ខ្ញុំ។</em></li></ul>
ធម្មលិខិត	[ធ័ម-មៈ-លិ-ខិត]	<ul><li>(<strong>បា.</strong> ធម្ម + លិខិត)<strong>ន.</strong> អ្នកសរសេរ, កត់ត្រា, ចម្លងធម៌។ ពាក្យនេះខ្មែរយើងប្រើជាសមណស័ក្ដិខាងបព្វជិតទីរាជាគណៈជាន់ខ្ពស់<em> :ព្រះធម្មលិខិត។(ចួនកាលព្រះករុណាជាម្ចាស់ជីវិតទ្រង់ប្រោសព្រះរាជទានតាំងដល់ទីសម្ដេចក៏មាន ដូចជា សម្ដេចព្រះធម្មលិខិត)។</em></li><li><strong>ន.</strong> ឋានន្តរព្រះរាជាគណៈសម្រាប់ឯកមួយអង្គក្នុងកម្ពុជរដ្ឋ<em> :ព្រះធម្មលិខិត ...។</em></li></ul>
ធម្មវិធី	[ធ័ម-មៈ-វិ-ធី]	<ul><li><strong>ន.</strong> បែបផែននៃធម៌, វិធីប្រតិបត្តិធម៌។</li></ul>
ធម្មវិភាគ	[ធ័ម-មៈ-វិ-ភាក]	<ul><li><strong>ន.</strong> ការចែកធម៌ជាពួកជាកង; ចំណែកធម៌, កងធម៌។</li></ul>
ធម្មសង្គាយនា	[ធ័ម-មៈ-សង់-គា-យៈ-នា]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> ធម្មសង្គីតិ)។</li></ul>
ធម្មសង្គាហកត្ថេរ	[ធ័ម-មៈ-សង់-គា-ហៈ-ក័ត-ថេ-រ៉ៈ] ឬ [ធ័ម-មៈ-សង់-គា-ហៈ-ក័ត-ថែ]	<ul><li><strong>ន.</strong> ពួកព្រះថេរៈអ្នកសង្គាយនាធម៌ គឺពួកព្រះថេរានុត្ថេរៈ ដែលប្រជុំគ្នាផ្ទៀងព្រះត្រៃបិដក ដូចកាលប្រជុំធ្វើបឋមសង្គាយនាជាដើម។</li></ul>
ធម្មសង្គីតិ	[ធ័ម-មៈ-សង់-គី-តិ]	<ul><li><strong>ន.</strong> ការប្រជុំផ្ទៀងធម៌គឺការផ្ទៀងផ្ទាត់រួបរួមធម្មវិន័យឱ្យមានរបៀបត្រឹមត្រូវតាមបែបដើម (ហៅថា ធម្មសង្គាយនា ក៏បាន)។</li></ul>
ធម្មសង្គីតិកាចារ្យ	[ធ័ម-មៈ-សង់-គី-តិ-កា-ចា]	<ul><li>(<strong>បា.</strong> <strong>សំ.</strong>; <strong>បា.</strong> ធម្មសង្គីតិកាចរិយ)<strong>ន.</strong> ពួកលោកអាចារ្យអ្នកផ្ទៀងផ្ទាត់រួបរួមធម៌ (ពាក្យនេះជាវេវចនៈនៃ ធម្មសង្គាហកត្ថេរ)។</li></ul>
ធម្មសភា	[ធ័ម-មៈ-សៈ-ភា]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធម៌សភា)<strong>ន.</strong> សាលាសម្រាប់ប្រជុំប្រឹក្សាអំពីធម៌។ សាលាយុត្តិធម៌ សាលាជំនុំក្ដី។</li></ul>
ធម្មសាកច្ឆា	[ធ័ម-មៈ-សា-ក័ច-ឆា]	<ul><li><strong>ន.</strong> ការសន្ទនាអំពីធម៌, ការប្រឹក្សា, សាកសួរអំពីធម៌<em> :ធ្វើធម្មសាកច្ឆា, ស្ដាប់ធម្មសាកច្ឆា។</em></li></ul>
ធម្មសាត្រ	[ធ័ម-មៈ-សាត]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> ធម្មសាស្ត្រ{¥¥}២{££})។</li></ul>
ធម្មសាមី	[ធ័ម-មៈ-សា-ម៉ី]	<ul><li>(<strong>បា.</strong> ធម្មស្សាមី; <strong>សំ.</strong> ធម៌ស្វាមិន៑)<strong>ន.</strong> ម្ចាស់លើគេព្រោះបានត្រាស់ដឹងធម៌ (ព្រះសព្វញ្ញុពុទ្ធ)<em> :ព្រះធម្មសាមី; ព្រះសម្មាសម្ពុទ្ធទ្រង់ជាធម្មសាមី។</em></li></ul>
ធម្មសារ	[ធ័ម-មៈ-សា]	<ul><li><strong>ន.</strong> ខ្លឹមធម៌, ធម៌មានខ្លឹម គឺធម៌ដែលនាំអ្នកប្រព្រឹត្តឱ្យរួចចាកទុក្ខ។</li></ul>
ធម្មសាលា	[ធ័ម-មៈ-សា-ឡា]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធម៌សាលា)<strong>ន.</strong> សាលាសម្រាប់សាធុជនប្រជុំស្ដាប់ធម៌, ប្រឹក្សាអំពីធម៌; សាលាសម្រាប់ប្រជុំរៀនធម៌ (រោងរៀនធម៌)។</li></ul>
ធម្មសាសន៍	[ធ័ម-មៈ-សាស]	<ul><li><strong>ន.</strong> ពាក្យប្រដៅប្រកបដោយធម៌, ពាក្យបណ្ដាំឬឱវាទដែលទាក់ទងដោយច្បាប់។</li></ul>
ធម្មសាស្ត្រ	[ធ័ម-មៈ-សាស]	<ul><li>(<strong>បា.</strong> <strong>សំ.</strong>; <strong>សំ.</strong> ធម្មសាស្ត្រ; <strong>បា.</strong>ធម្មសត្ថ)<strong>ន.</strong> ឈ្មោះក្រមច្បាប់យុត្តិធម៌ (ខាងតុលាការ)<em> :ច្បាប់ធម្មសាស្ត្រ។</em></li><li><strong>ន.</strong> ឈ្មោះគម្ពីរសម្ដែងអំពីយុត្តិធម៌ (ខាងតុលាការ)<em> :គម្ពីរធម្មសាស្ត្រ។(ហៅក្លាយជា ធម្មសាត្រ ក៏មាន, គួរប្រើ ធម្មសាស្ត្រ ឬធម៌សាស្ត្រ វិញ ត្រឹមត្រង់តាមប្រភេទនៃពាក្យ!)។</em></li></ul>
ធម្មសេនាបតី	[ធ័ម-មៈ-សេ-ណា-ប៉ៈ-ដី]	<ul><li>(<strong>បា.</strong> ធម្មសេនាបតិ)<strong>ន.</strong> នាមវិសេសរបស់ព្រះសារីបុត្តត្ថេរជាអគ្គសាវ័ក (សាវ័កខាងស្ដាំ) នៃព្រះសក្យមុនីសម្ពុទ្ធ; មានន័យមួយផ្សេងថា ព្រះខីណាស្រពទាំងអស់ក៏សុទ្ធតែមាននាមវិសេសថា ធម្មសេនាបតី បានដែរ ព្រោះលោកច្បាំងឈ្នះសេនាគឺអកុសលធម៌ ដោយកម្លាំងរេហ៍ពលគឺកុសលធម៌ដូចៗគ្នាទាំងអស់; ប៉ុន្តែពាក្យនេះ ដែលប្រើប្រាកដ ចំពោះតែជានាមវិសេសរបស់ព្រះសារីបុត្តត្ថេរប៉ុណ្ណោះ<em> :ព្រះសារីបុត្តជាធម្មសេនាបតី, ព្រះធម្មសេនាបតី។</em></li></ul>
ធម្មសំវេគ	[ធ័ម-មៈ-សង់-វេក] ឬ [ធ័ម-មៈ-សង់-វ៉ែក]	<ul><li><strong>ន.</strong> សេចក្ដីសំវេគចំពោះធម៌ មានទុក្ខំ អនិច្ចំ អនត្តា ជាដើម។(<strong>ម.ព.</strong> សំវេគ ផង)។</li></ul>
ធម្មស្សវនកាល	[ធ័ម-ម័ស-សៈ-វ៉ៈ-ណៈ-កាល]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> <strong>ធម៌ស្រវណកាលន.</strong> កាល, ពេលដែលសាធុជនគួរស្ដាប់ធម៌ (ថ្ងៃសីលឬក្រៅពីថ្ងៃសីលក៏ដោយ ដែលមានពេលឱកាសគួរសាធុជនស្ដាប់ធម៌ ហៅថា ធម្មស្សវនកាល)។</li></ul>
ធម្មាចារ្យ	[ធ័ម-មា-ចា]	<ul><li>(<strong>សំ.</strong> ធម៌ាចាយ៌; <strong>បា.</strong> ធម្មាចរិយ)<strong>ន.</strong> អាចារ្យអ្នកបង្រៀនធម៌, គ្រូព្រះធម៌<em> :លោកជាធម្មាចារ្យរបស់ខ្ញុំ។</em></li></ul>
ធម្មាធិករណ៍	[ធ័ម-មា-ធិ-ក]	<ul><li>(<strong>បា.</strong> ធម្មាធិករណ; <strong>សំ.</strong> ធម៌ាធិករណ)<strong>ន.</strong> អធិករណ៍អំពីធម៌; សាលាយុត្តិធម៌, សាលាជំនុំក្ដី។</li></ul>
ធម្មាធិការ	[ធ័ម-មា-ធិ-កា]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធម៌ាធិការ)<strong>ន.</strong> ដូចគ្នានឹង ធម្មាធិករណ៍ ដែរ។</li></ul>
ធម្មាធិការនាយក	[ធ័ម-មា-ធិ-កា-រ៉ៈ-នា-យក់]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធម៌ាធិការនាយក)<strong>ន.</strong> នាយក (អធិបតីឬចាងហ្វាង) សាលាជំនុំក្ដី។</li></ul>
ធម្មាធិការី	[ធ័ម-មា-ធិ-កា-រ៉ី]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធម៌ាធិការិន៑)<strong>ន.</strong> អ្នកពិភាក្សាក្ដី, អ្នកជំនុំក្ដី (ចៅក្រម)។</li></ul>
ធម្មាធិដ្ឋាន	[ធ័ម-មា-ធិត-ឋាន]	<ul><li><strong>ន.</strong> ការផ្គងតាំងចិត្តចំពោះធម៌; ការលើកយកធម៌ឬយកច្បាប់មកជាទីតាំង, ពាក្យឬប្រយោគដែលនិយាយសំដៅចំពោះអំពើឬចំពោះធម៌ត្រង់ៗតែម្យ៉ាង មិនបាននិយាយដល់រូបបុគ្គលអ្នកធ្វើអ្នកប្រព្រឹត្ត ដូចជាប្រយោគថា<em> :បាបរមែងឱ្យផលអាក្រក់, បុណ្យរមែងឱ្យផលល្អ យ៉ាងនេះជាដើម ហៅថាពាក្យជា ធម្មាធិដ្ឋាន។(</em><strong>ព.ផ្ទ.</strong> បុគ្គលាធិដ្ឋាន។ <strong>ម.ព.</strong> បុគ្គលាធិដ្ឋាន)។</li></ul>
ធម្មាធិបតេយ្យ	[ធ័ម-មា-ធិ-ប៉ៈ-តៃ]	<ul><li><strong>ន.</strong>, <strong>គុ.</strong> អ្នកដែលមានធម៌ជាអធិបតី គឺអ្នកដែលធ្វើអ្វីៗ អាងដល់ធម៌ និងច្បាប់ជាធំ; ដំណើរដែលអាងដល់ធម៌និងច្បាប់ជាធំ។</li></ul>
ធម្មាធិប្បាយ	[ធ័ម-មា-ធិប-បាយ]	<ul><li><strong>ន.</strong> សេចក្ដីអធិប្បាយធម៌, ដំណើរពន្យល់ធម៌។</li></ul>
ធម្មានុរក្ស	[ធ័ម-មា-នុ-រ័ក]	<ul><li>ការរក្សាធម៌, អ្នកកាន់តាមធម៌។</li></ul>
ធម្មានុរូប	[ធ័ម-មា-នុ-រូប]	<ul><li>(<strong>បា.</strong> ធម្ម + អនុរូប)<strong>គុ.</strong> ដែលសមគួរ, ដែលមានទំនងដ៏សមគួរតាមធម៌, ដែលស្របទៅតាមធម៌, ដែលសមរម្យត្រឹមត្រូវតាមច្បាប់។</li></ul>
ធម្មារម្មណ៍	[ធ័ម-មា-រ៉ម់]	<ul><li><strong>ន.</strong> អារម្មណ៍របស់ចិត្ត; អារម្មណ៍គឺធម៌ ឬធម៌ជាអារម្មណ៍។ ក្នុងអភិធម្មត្ថសង្គហៈថា ធម៌ ៦យ៉ាងគឺ បសាទរូប ១សុខុមរូប ១ចិត្ត ១ចេតសិក ១រូប ១និព្វាន ១ហៅថា ធម្មារម្មណ៍។</li></ul>
ធម្មាសនៈ	[ធ័ម-មា-សៈ-ណៈ]	<ul><li>(<strong>បា.</strong> ធម្មាសន)<strong>ន.</strong> អាសនៈសម្រាប់អង្គុយសម្ដែងធម៌ ឬសម្រាប់អង្គុយសូត្រធម៌, គ្រែសម្រាប់អង្គុយសម្ដែងធម៌<em> :អង្គុយលើធម្មាសនៈ; គ្រែធម្មាសន៍!</em></li></ul>
ធម្មាសន៍	[ធ័ម-មាស]	<ul><li><strong>ន.</strong> (<strong>ម.ព.</strong> ធម្មាសនៈ)។</li></ul>
ធម្មា–	[ធ័ម-មា]	<ul><li>(<strong>ម.ព.</strong> ធម្ម)។</li></ul>
ធម្មិក	[ធ័ម-មិក]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធរ្មិក)<strong>គុ.</strong> ដែលប្រកបដោយធម៌<em> :ព្រះបាទធម្មិក, មនុស្សធម្មិក, ទ្រព្យធម្មិក, ភោជនធម្មិក។ល។</em></li></ul>
ធម្មិករាជ	[ធ័ម-មិ-កៈ-រាច]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធរ្មិករាជ)<strong>ន.</strong> ស្ដេចប្រកបដោយធម៌, ស្ដេចទ្រង់ទសពិធធម៌<em> :ព្រះមហាក្សត្រអង្គនុះ ទ្រង់ជាធម្មិករាជ។</em></li></ul>
ធម្មិកលាភ	[ធ័ម-មិ-កៈ-លាប]	<ul><li>(<strong>ម.ព.</strong> ធម្មលាភ)។</li></ul>
ធម្មិ―	[ធ័ម-មិ]	<ul><li>(<strong>ម.ព.</strong> ធម្ម)។</li></ul>
ធម្មុទ្ទេស	[ធ័ម-មុត-ទេស]	<ul><li><strong>ន.</strong> ការលើកយកចំនួនមាតិកាធម៌នីមួយៗមកសម្ដែងប្រាប់ឱ្យដឹងថា ប៉ុណ្ណេះប៉ុណ្ណោះ<em> :ធម្មកថិកមុននឹងអធិប្បាយពន្យល់ធម៌ណាមួយ គប្បីសម្ដែងនូវធម្មុទ្ទេសសិន។(មួយទៀតថា ការលើកយកធម៌៤យ៉ាង មកពិចារណាឬយកមកសម្ដែងតាមការណ៍ពិត ហៅថា ធម្មុទ្ទេស, ធម៌ ៤ នោះគឺ ១- សត្វលោក សុទ្ធតែឥតទៀងទាត់ឋិតថេរចិរកាលទេ តែងតែលុះក្នុងអំណាចនៃជរា-ព្យាធិ-មរណៈ គេចមិនផុតឡើយ; ២- សត្វលោកឥតមានកន្លែងជ្រកពួនឱ្យរួចអំពីការភិតភ័យទេ; ៣- សត្វលោកឥតមានទ្រព្យសម្បត្តិក្រៅពីកុសលកម្មដែលខ្លួនបានកសាងសន្សំទេ រមែងតែលះសរពើទាំងអស់ ហើយចេញចាកលោកនេះទៅៗ; ៤- សត្វលោកជាទាសៈនៃតណ្ហា តែងតែមានការខ្វះកន្លះជានិច្ចមិនដែលពេញចំណង់ខ្លួនទេ។ល)។</em></li></ul>
ធម្មុ―	[ធ័ម-មុ]	<ul><li>(<strong>ម.ព.</strong> ធម្ម)។</li></ul>
ធម្ម—	[ធ័ម-មៈ—]	<ul><li>(<strong>ម.ព.</strong> ធម្ម) បើរៀងភ្ជាប់ពីខាងដើមសព្ទដទៃ។</li></ul>
ធរណិន្ទ	[ធៈ-រៈ-និន]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធរណេន្ទ្រ)<strong>ន.</strong> អ្នកដែលជាធំលើផែនដី (ក្សត្រទ្រង់រាជ្យ)។ (ច្រើនតែប្រើក្នុងកាព្យ)<em> :ព្រះបាទធរណិន្ទ មានហឫទ័យជិន- ណាយក្នុងកិច្ចការ ទ្រង់ត្រាស់ឱ្យហៅ ព្រាហ្មណ៍ព្រឹទ្ធាចារ្យ និងរាជបរិវារ មកគាល់ព្រះអង្គ។</em></li></ul>
ធរណី	[ធ-រៈ-នី]	<ul><li>(<strong>សំ.បា.</strong>)<strong>ន.</strong> ផែនដី<em> :រកស៊ីកកាយធរណី, ព្រះធរណី។</em></li><li><strong>ន.</strong> បង្គោលមួយគូដែលដាប់ជាប្រហោងវែងដាំបញ្ឈរទន្ទឹមគ្នាសម្រាប់វាយស្នៀត គាបស្លឹករឹតឱ្យស្លាប់សាច់។</li></ul>
ធរណីដងគោម	[ធ-រៈ-នី-ដង-គោម]	<ul><li><strong>ន.</strong> បង្គោលមួយគូមានរន្ធមូលពីរឬបីម្ខាងដែលដាំបញ្ឈរទន្ទឹមគ្នា សម្រាប់ស៊កស្នូលកោះភ្ជាប់ដងគោមឱ្យមាំ។</li></ul>
ធរណីដងទង់	[ធ-រៈ-នី-ដង-ទង់]	<ul><li><strong>ន.</strong> បង្គោលមួយគូមានសណ្ឋានដូចគ្នានឹងធរណីដងគោមដែរ សម្រាប់កោះភ្ជាប់ដងទង់ឱ្យមាំ។</li></ul>
ធរណីទ្វារ	[ធ-រៈ-នី-ទ្វា]	<ul><li><strong>ន.</strong> មេទទឹងទ្វារដែលដាក់ផ្ទាល់នឹងផែនដីឬនឹងផ្ទៃខាងក្រោម។</li></ul>
ធរណីមាត្រ	[ធ-រៈ-នី-មាត]	<ul><li><strong>ន.</strong> ផ្នែកមួយនៃគណិតវិទ្យាដែលសិក្សាអំពីលក្ខណៈនិងទំនាក់ទំនងរវាងចំណុច ខ្សែ ផ្ទៃ សូលីដ ... នៅក្នុងប្លង់និងលំហ<em> :ធរណីមាត្រក្នុងលំហ។</em></li></ul>
ធរណីវិទូ	[ធ-រៈ-នី-វិ-ទូ]	<ul><li><strong>ន.</strong> អ្នកប្រាជ្ញខាងធរណីវិទ្យា។</li></ul>
ធរណីវិទ្យា	[ធ-រៈ-នី-វិត-ទ្យា]	<ul><li><strong>ន.</strong> វិទ្យាសាស្ត្រដែលសិក្សាអំពីរចនាសម្ព័ន្ធរូបវន្តនៃផែនដីរួមបញ្ចូលទាំងកំណកំណើត សមាសភាគ ទម្រង់ និងប្រវត្តិរបស់វា តាមរយៈការសិក្សាសិលាផ្សេងៗ<em> :ការសិក្សាអំពីកំណកំណើតជួរភ្នំធំៗជាផ្នែកមួយនៃធរណីវិទ្យា។</em></li></ul>
ធរណីសង្ឃ	[ធ-រៈ-នី-សង់]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong>)<strong>ន.</strong> ទីដីរបស់សង្ឃ គឺទីដីដែលទាយកឬទាយិកាគេបរិច្ចាគដាក់ជាទីដីសម្រាប់វត្ត ទោះដីនោះជាស្រែឬជាចម្ការក្ដី ទីដីនេះរាប់បញ្ចូលជាគរុភណ្ឌរបស់វត្ត ...(<strong>ព.វិ.ពុ.</strong>)។</li></ul>
ធរមាន	[ធៈ-រៈ-មាន]	<ul><li>(<strong>បា.</strong>; <strong>សំ.</strong> ធរមាណ)<strong>ន.</strong> ដែលកំពុងទ្រទ្រង់នៅ, ដែលមានជីវិតរស់នៅ<em> :កាលព្រះសម្មាសម្ពុទ្ធទ្រង់ធរមាននៅឡើយ ...។</em></li></ul>
