#desc	Google Khmer Lexicon via: <a href="https://huggingface.co/datasets/seanghay/google-khmer-lexicon">seanghay</a>.
#priority	2
amerisourcebergen	ʔaa.mɛɛ.rii.soah.ɓəə.gən
ameritrade	ʔaa.mɛɛ.rii.treet
ames	ʔaa.mɛh
ametek	ʔaa.mee.tək
amgen	ʔɛɛm.cən
amica	ʔaa.mii.kaa
amitabh	ʔaa.mii.thɛɛp
amkor	ʔɑm.kɔɔ
amleang	ʔɑɑm.leaŋ
amoled	ʔaa.moo.lɛɛt
ampeae	ʔɑm.pɛɛ
ampeang	ʔɑm.peaŋ
ampear	ʔɑm.pie
ampeng	ʔɑm.peeŋ
amphenol	ʔɑm.phee.nol
ampil	ʔɑm.pɨl
ampoan	ʔɑm.poan
ampok	ʔɑm.pɔɔk
ampor	ʔɑm.pɔɔ
ampov	ʔɑm.pɨw
amprum	ʔɑm.prum
ampu	ʔɑm.puu
ampuep	ʔɑm.pɨp
ampuh	ʔɑm.puh
ampum	ʔɑm.puum
amrae	ʔɑm.rae
amraek	ʔɑm.rɛɛk
amsterdam	ʔam.stəə.ɗam
amtrust	ʔɛɛm.trah
amung	ʔaa.muuŋ
an	ʔɑɑn
ana	ʔaa.naa
anadarko	ʔaa.naa.ɗaa.koo
analog	ʔaa.naa.lɑk
analyze	ʔɛɛn.naa.laaj
anat	ʔaa.naat
ancha	ʔaɲ.caa
and	ʔɛɛn
andaeng	ʔɑn.ɗaeŋ
andaet	ʔɑn.ɗaet
andaeuk	ʔɑn.ɗaək
andaot	ʔɑn.ɗaot
andas	ʔɑn.ɗaah
ander	ʔɛɛn.ɗəə
andersen	ʔɛɛn.ɗəə.sən
andersons	ʔɛɛn.ɗəə.sən
andeth	ʔɑn.ɗaet
andith	ʔɛɛn.ɗɨt
andoal	ʔɑn.ɗaol
andoung	ʔɑn.ɗooŋ
andrew	ʔɛɛn.ɗruu
andria	ʔɛɛn.ɗrie
andro	ʔɛɛn.ɗroo
androgen	ʔɛɛn.ɗroo.cən
android	ʔɛɛn.ɗrɑɑj
andy	ʔɛɛn.ɗii
ange	ʔaŋ
angel	ʔɛɛŋ.cɑɑl
angela	ʔɛɛŋ.cəə.laa
angelina	ʔɛɛn.cəə.lii.naa
angk	ʔɑŋ
angkal	ʔɑŋ.kal
angkam	ʔɑŋ.kaam
angkanh	ʔɑŋ.kaɲ
angkaol	ʔɑŋ.kaol
angkar	ʔɑŋ.kaa
angkar	ʔɑŋ.kɑɑ
angkatogeljitu	ʔɑŋ.kaa.thoo.gɛɛl.jii.tuu
angkear	ʔɑŋ.kie
angkeas	ʔɑŋ.kieh
angkob	ʔɑŋ.kup
angkong	ʔɑŋ.kuŋ
angkor	ʔɑŋ.kɔɔ
angkornet	ʔɑŋ.kɔɔ.nɛɛt
angkrang	ʔɑŋ.krɑɑŋ
angkrong	ʔɑŋ.krɔɔŋ
angkum	ʔɑŋ.kum
angkunh	ʔɑŋ.kuɲ
angkuonh	ʔɑŋ.kuəɲ
angrae	ʔɑŋ.rɛɛ
angrut	ʔɑŋ.rut
angvae	ʔɑŋ.wɛɛ
angveah	ʔɑŋ.weah
anh	ʔaɲ
anhaseh	ʔaɲ.ɲaa.seh
anhchanh	ʔaɲ.caaɲ
anhcheaeng	ʔaɲ.caeŋ
anhchit	ʔaɲ.cɨt
anhchoar	ʔaɲ.cɔɔ
animation	ʔɛɛn.nii.mee.sən
anina	ʔaa.nii.naa
aniston	ʔaa.nii.ston
anixter	ʔaa.nɨc.stəə
ank	ʔɛɛŋ
anlok	ʔɑn.luək
anlong	ʔɑn.luŋ
anloung	ʔɑn.luuŋ
anlung	ʔɑn.luuŋ
anne	ʔɛɛn.nii
anner	ʔɛɛn.nəə
ansa	ʔɑn.saa
ansae	ʔɑn.sae
ansaeap	ʔaan.siəp
ansam	ʔɑn.sɑɑm
ansang	ʔɑn.sɑɑŋ
ansaong	ʔɑn.saoŋ
ant	ʔɛɛn
antangkon	ʔɑn.ɗɑŋ.kun
anteah	ʔɑn.teah
anteak	ʔɑn.teak
anteav	ʔɑn.tiew
antero	ʔɛɛn.thəə.roo
anthem	ʔɛɛn.siim
anthony	ʔɛɛn.thoo.nii
antit	ʔɑn.tɨt
antivirus	ʔɛɛn.tii.waaj.rəh
antonio	ʔɛɛn.thoo.nii.ɲoo
antor	ʔɑn.tɔɔ
antreak	ʔɑn.triek
antreh	ʔɑn.treh
antuel	ʔɑn.tɨl
antung	ʔɑn.tuŋ
antwerp	ʔaan.wəəp
anuk	ʔaa.nuuk
anwar	ʔan.wɑɑ
ao	ʔao
aob	ʔaop
aoi	ʔee.ʔoo.ʔaaj
aok	ʔaok
aolaok	ʔao.laok
aomal	ʔao.mal
aon	ʔaon
aong	ʔaoŋ
aongkar	ʔaoŋ.kaa
aopheasang	ʔao.phie.saŋ
aoral	ʔao.ral
ap	ʔee.phii
apache	ʔaa.pac
apartment	ʔaa.phaat.mən
apartments	ʔaa.phath.mən
apiwat	ʔak.phiʔ.woat
apk	ʔee.phii.khee
apollo	ʔaa.poo.loo
apostle	ʔaa.poo.stɑɑl
app	ʔɛɛp
apparel	ʔaa.phaa.rɛɛl
apple	ʔɛɛp.phɑɑl
application	ʔɛɛp.plii.khee.sən
applications	ʔɛɛp.plii.khee.sən
applied	ʔəp.plaaj
apply	ʔaa.plaaj
aptargroup	ʔɛɛp.thaa.grup
aquarelle	ʔaa.kwaa.rɛɛl
ar	ʔaa
araen	ʔaa.raen
aramark	ʔaa.raa.maak
arang	ʔaa.rɑɑŋ
aranh	ʔaa.raɲ
arc	ʔaak
arcbest	ʔaak.ɓɛh
arcelona	ʔaa.see.loo.naa
arch	ʔaach
archer	ʔaa.chəə
archi	ʔaa.khii
archimedes	ʔaa.khii.mee.ɗɛɛh
archipelago	ʔaa.khii.pee.laa.goo
archive	ʔaa.kaaj
archun	ʔɑɑ.cuun
are	ʔaa
areaks	ʔaa.reak
arei	ʔaa.rəj
arena	ʔaa.ree.naa
argentina	ʔaa.cɛɛn.thii.naa
argon	ʔaa.gon
ariel	ʔaa.riəl
aristotle	ʔaa.rii.stoot
arm	ʔaam
armenian	ʔaa.mee.niən
armour	ʔaa.məə
armstrong	ʔaam.strɑɑŋ
army	ʔaa.mii
arn	ʔaan
arnaud	ʔaa.nɑɑt
arnault	ʔaa.nol
arnett	ʔaa.neet
arney	ʔaa.nəj
arnold	ʔaa.nol
arpa	ʔaa.paa
array	ʔaa.ree
arris	ʔaa.rih
arrow	ʔaa.roo
arsenal	ʔaa.səə.nɑɑl
arsene	ʔaa.seen
art	ʔaat
arthur	ʔaa.thuə
artikelmajalah	ʔaa.tii.keel.maa.jaa.laah
arts	ʔaat
as	
asbury	ʔas.ɓəə.rii
ascena	ʔaah.see.naa
ase	ʔee.ʔɛɛs.ʔii
asen	ʔaa.sɛɛn
ashland	ʔaah.slɛɛn
ashley	ʔaas.lii
ashwood	ʔaas.wuut
asia	ʔaa.zii
asianbookie	ʔaa.siən.ɓuk.khii
ask	ʔaah
assignment	ʔaa.saaɲ.mən
associates	ʔaa.soo.sii.ʔeet
assurant	ʔaa.suə.rən
asus	ʔee.suh
at	ʔat
ata	ʔaa.taa
ateav	ʔaa.tiew
ath	ʔaat
athens	ʔaa.thɛɛn
athily	ʔaa.thii.lii
atit	ʔaa.tɨt
atkinson	ʔaat.khiin.sən
atletico	ʔaat.lee.tii.koo
atmos	ʔat.mooh
attery	ʔaa.təə.rii
attila	ʔaa.tii.laa
attorney	ʔaa.thoo.nii
au	
auction	ʔɑɑk.sən
audi	ʔoo.ɗii
audio	ʔoo.ɗjoo
augustus	ʔɑɑ.gəh.stəh
aurora	ʔaa.roo.raa
auto	ʔoo.too
autodesk	ʔoo.too.ɗɛh
autoliv	ʔoo.too.liiw
automatic	ʔoo.too.maa.tɨc
automation	ʔoo.too.mee.sən
automobiles	ʔoo.too.moo.ɓaaj
automotive	ʔoo.too.moo.thiiw
autonation	ʔoo.too.nee.sən
autorun	ʔoo.too.ran
autos	ʔoo.too
autozone	ʔoo.too.zoon
av	ʔee.wii
avaya	ʔaa.waa.jaa
avd	ʔee.wii.ɗii
avery	ʔaa.wəə.rii
avis	ʔaa.wiih
avon	ʔee.won
aw	
awards	ʔaa.wəət
ax	
axa	
axis	ʔaa.sih
axle	ʔɛɛk.sɑɑl
ay	ʔaaj
ayean	ʔaa.jien
az	ʔee.zii
azharuddin	ʔaa.zaa.ruu.ɗiin
aziz	ʔaa.zih
azure	ʔaa.zuə.rii
b	ɓii
b'er	ɓʔee
b'ier	ɓʔiə
ba	ɓaa
baboh	ɓɔ.ɓoh
babos	ɓɑ.ɓoh
baccarat	ɓac.caa.rat
bach	ɓɛɛc
bacham	ɓɑɑ.caam
bachchan	ɓac.can
background	ɓɛɛk.graon
badak	ɓaa.ɗaak
badin	ɓɑɑ.ɗɨn
baek	ɓaek
baen	ɓaen
baeng	ɓaeŋ
baeuk	ɓaək
baeun	ɓaən
bai	ɓaj
baidu	ɓaj.ɗuu
bak	ɓak
bakan	ɓaa.kaan
bakav	ɓaa.kaaw
baker	ɓeek.khəə
bakham	ɓaa.khɑɑm
bakong	ɓaa.kɔɔŋ
bakr	ɓaak
baksei	ɓak.səj
baku	ɓaa.kuu
bakur	ɓaa.kuu
bal	ɓal
balaingk	ɓal.laŋ
balang	ɓal.laŋ
balat	ɓaa.lat
bale	ɓaa.lee
baliley	paa.leʔ.laj
ball	ɓɑɑl
ballangk	ɓal.laŋ
bambaek	ɓɑm.ɓaek
bamnak	ɓɑm.nɑk
bampenh	ɓɑm.pɨɲ
bampong	ɓɑm.puŋ
ban	ɓaan
banak	ɓaa.nɑɑk
banan	ɓaa.nɑn
banang	ɓaa.nɑŋ
bancorp	ɓɛɛn.khɑɑp
bancshares	ɓɛɛŋ.sɛə
band	ɓɛɛn
bandaoy	ɓɑn.ɗaoj
banderas	ɓɛɛn.ɗəə.rah
bandit	ɓɑn.ɗɨt
bandoh	ɓɑn.ɗoh
bang	ɓaŋ
bang'aek	ɓɑŋ.ʔaek
bang'aong	ɓɑŋ.ʔaoŋ
bangkaeun	ɓɑŋ.kaən
bangkaeuy	ɓɑŋ.kaəj
bangkan	ɓɑŋ.kɑɑn
bangkang	ɓɑŋ.kɑɑŋ
bangkaong	ɓɑŋ.kaoŋ
bangkeab	ɓɑŋ.kiep
bangkong	ɓɑŋ.kɔɔŋ
bangkoul	ɓɑŋ.kool
bangkov	ɓɑŋ.kɨw
bangruh	ɓɑŋ.ruh
bangvaer	ɓɑŋ.wae
banh	ɓaɲ
baniev	ɓaa.niəw
bank	ɓɛɛŋ
bankmandiri	ɓɛɛŋ.mɛɛn.ɗii.rii
banks	ɓɛɛŋ
banla	ɓɑn.laa
banlae	ɓɑn.lae
banlech	ɓɑn.ləc
banlich	ɓɑn.lɨc
banoy	ɓaa.nɑɑj
bansay	ɓɑn.saaj
bantea	ɓɑm.tie
banteay	ɓɑn.tiej
bantoab	ɓɑn.toap
bantoam	ɓɑn.toam
bantoat	ɓɑn.toat
baoh	ɓɑh
baong	ɓaoŋ
baor	ɓao
baos	ɓaoh
baoy	ɓaoj
bapol	ɓɑɑ.pul
bar	ɓɑɑ
barack	ɓaa.rak
baraeng	ɓaa.raeŋ
barang	ɓaa.raŋ
baray	ɓaa.raaj
barcelona	ɓaa.see.loo.naa
barclaycard	ɓaa.klee.khaat
barclays	ɓaa.klee
bard	ɓaat
bargains	ɓaa.gɛɛn
baribour	ɓɑɑ.reʔ.ɓoo
barivat	ɓɑɑ.reʔ.wat
bariveas	ɓɑɑ.reʔ.wah
barku	ɓaa.kuu
barnes	ɓaan
barong	ɓaa.roŋ
barra	ɓaa.raa
barrel	ɓaa.rɛɛl
barrymore	ɓaa.rii.moa
bas	ɓah
basaet	ɓɑɑ.saet
basak	ɓaa.sak
basedth	ɓɑɑ.saet
bat	ɓat
batdambang	ɓat.ɗɑm.ɓɑɑŋ
bath	ɓaah
batheay	ɓaa.thiej
bati	ɓaa.tii
battachi	ɓat.taa.cii
battambang	ɓat.ɗɑm.ɓɑɑŋ
bauhaus	ɓaw.haw
bavel	ɓɑɑ.wəl
bavet	ɓaa.wət
baxter	ɓɛɛk.thəə
bay	ɓaaj
bayab	ɓaa.jaap
bayern	ɓee.jəən
bbc	
bbva	
bd	
bdei	ɓɗəj
bdiek	pɗiək
be	ɓeʔ
beacon	ɓɛɛ.khon
beauty	ɓii.juu.thii
beckinsale	ɓɛɛk.ʔiin.seel
becton	ɓeek.ton
bed	ɓɛɛt
beep	ɓiip
beer	ɓiə
beethoven	ɓee.thoo.wɨn
bei	ɓəj
beichoan	ɓəj.coan
bek	ɓaek
bektleay	ɓaek.tliej
bel	ɓəl
belden	ɓɛɛl.ɗən
belk	ɓɛɛl
bell	ɓɛɛl
beloit	ɓɛɛ.lɔɔj
bemis	ɓee.miih
ben	ɓən
benchmark	ɓɛɛn.cmaak
bendei	ɓən.ɗəj
beng	ɓeeŋ
benjamin	ɓɛɛn.jaa.miin
bentley	ɓɛɛn.tlii
berkley	ɓəə.klii
berkshire	ɓəək.siə
berlin	ɓəə.liin
bernard	ɓəə.naat
berry	ɓəə.rii
best	ɓɛɛh
bet	ɓət
beverage	ɓii.wəə.reec
beyond	ɓii.jɑɑɲ
bezos	ɓee.zooh
bg	
bharti	ɓaa.thii
bi	
bible	ɓaaj.ɓɑɑl
bid	ɓiit
bidvertiser	ɓit.wəə.thaaj.zəə
bie	ɓiə
big	ɓiik
biggs	
bike	ɓaj
bill	ɓiil
bin	ɓiin
bing	ɓiiŋ
bingo	ɓiiŋ.goo
bio	ɓaaj.ʔoo
biogen	ɓaaj.ʔoo.cɛɛn
biomet	ɓaaj.ʔoo.mɛɛt
biphim	ɓaaj.phiim
bismarck	ɓiis.mak
bit	ɓiit
biz	ɓiih
bj	
black	ɓlɛɛk
blackfriday	ɓlɛɛk.fraaj.ɗee
blackrock	ɓlɛɛk.rɑk
blackstone	ɓlɛɛk.stoon
blankfein	ɓlɛɛŋ.feen
blatter	ɓlɛɛt.thəə
blavatnik	ɓlaa.wat.niik
blizzard	ɓlih.zaat
block	ɓlɑk
blog	ɓlok
blogger	ɓlɑk.gəə
blogmarketingsea	ɓlɑk.maa.khii.thiiŋ.sii
blogspot	ɓlɑk.spɑt
bloom	ɓluum
bloomberg	ɓluum.ɓəək
bloomin	ɓluu.miin
blue	ɓluu
bmw	
bni	
board	ɓɑɑt
boats	ɓoot
bocorantogel	ɓoo.koo.rɛɛn.thoo.gɑɑl
body	ɓɑɑ.ɗii
boeing	ɓoo.ʔiiŋ
boeng	ɓəŋ
boeung	ɓəŋ
boh	ɓɑh
boise	ɓɔɔj
bok	ɓok
bol	ɓol
bola	ɓoo.laa
bon	ɓon
bonaparte	ɓoo.naa.paat
bond	ɓon
bongacams	ɓon.gaa.khɛɛm
bongdaplus	ɓɑŋ.ɗaa.plah
bongkol	ɓɑŋ.kool
bongthom	ɓɑɑŋ.thum
bonna	ɓon.naa
boo	ɓoo
book	ɓuk
booking	ɓuk.khiiŋ
boolean	ɓoo.liin
boomjo	ɓuum.coo
boots	ɓuut
booz	ɓuuh
borei	ɓoo.rəj
borgwarner	ɓɑɑk.wɑɑ.nəə
bos	ɓoh
bosbov	ɓoh.sɓəw
boss	ɓoh
boston	ɓoos.ton
bot	ɓɑt
botrei	ɓot.trəj
botum	ɓoʔ.tum
bou	ɓoo
bouk	ɓook
boun	ɓuun
bour	ɓoo
bourei	ɓoo.rəj
boureirom	ɓoo.rəj.rum
bout	ɓoot
boutique	ɓuu.thiik
bowes	ɓoow
boyd	ɓɔɔj
boys	ɓɔɔj
brabos	prɑ.ɓoh
brad	ɓrɛɛt
bradesco	ɓrɛɛ.ɗɛɛs.koo
bradley	ɓrɛɛt.lii
brake	ɓreek
brando	ɓrɛɛn.ɗoo
brands	ɓrɛɛn
braseth	prɑ.sət
brasva	prɑ.swaa
braval	prɑ.waal
bread	ɓrɛɛt
brendan	ɓrɛɛn.ɗən
brennan	ɓrɛɛn.nan
brewing	ɓruu.wiiŋ
bri	
bridge	ɓriic
bridgestone	ɓrɨc.stoon
brin	ɓriin
brink	ɓriiŋ
brinker	ɓriiŋ.khəə
bristol	ɓriis.tool
broadcast	ɓrɑɑt.khɛh
broadcom	ɓrɑɑt.khɑm
broadridge	ɓrɑɑt.riic
brocade	ɓroo.ceet
broccoli	proo.khoo.lii
brohut	prɑ.huut
broker	ɓrook.khəə
brookdale	ɓruk.ɗɛɛl
brosnan	ɓros.nan
brother	ɓraa.ɗəə
brothers	praa.ɗəə
brown	ɓraon
bruce	ɓruuh
brunswick	pruun.swiik
brussels	ɓruu.sɛɛl
bt	
bu	ɓuu
buckeye	ɓak.ʔaaj
budapest	ɓuu.ɗaa.pɛh
buddha	ɓuu.ɗaa
budget	ɓat.cɨt
bueng	ɓəŋ
buffett	ɓuu.fee
build	ɓiəl
builders	ɓiil.ɗəə
bullock	ɓuul.lɑk
bun	ɓun
bung	ɓuŋ
buo	ɓuə
buon	ɓuən
buor	ɓuə
buos	ɓuəh
burlington	ɓəə.liiŋ.ton
business	ɓii.sii.niih
businessinsider	ɓih.sii.nih.ʔiin.saaj.ɗəə
buy	ɓaaj
buzz	ɓah
bw	
by	ɓaaj
bycontext	ɓaaj.khɑn.thəc
bzh	
c	sii
ca	sii.ʔee
cab	khɛɛp
cabela	see.ɓee.laa
cable	khɛɛ.ɓɑɑl
cablevision	khɛɛp.lee.wii.zən
cabot	kaa.ɓot
caci	kaa.kii
caesar	sii.saa
caesars	see.saa
cafe	kaa.fee
café	khaa.fee
cage	kheec
cake	kheek
cal	khal
calcaterra	khal.khaa.tee.raa
calendar	khɛɛ.lɛɛn.ɗaa
caleres	khaa.ləə.rɛɛh
calif	khaa.liif
california	khaa.lii.fɑɑ.ɲaa
call	khɑɑl
calpine	khal.phaaɲ
calumet	kaa.luu.meet
cam	khɛɛm
camasean	khaa.maa.siən
cambodge	cɛɛm.ɓooc
cambodia	khɛɛm.ɓoo.ɗie
cambodiaclick	khɛɛm.ɓoo.ɗie.kliik
cambodiadaily	khɛɛm.ɓoo.ɗie.ɗee.lii
cambodian	khɛɛm.ɓoo.ɗien
cambomag	khɛɛm.ɓoo.mɛɛk
cambomu	khɛɛm.ɓoo.muu
cambosport	khɛɛm.ɓoo.spɑɑt
camdolls	khɛɛm.ɗɔɔl
camegie	khaa.mee.gii
camera	kaa.mee.raa
cameron	khaa.mee.ruun
camfe	khɛɛm.fii
camhr	khɛɛm.ʔeech.ʔɑɑ
camnews	khɛɛm.ɲuu
camp	khɛɛm
campbell	khɛɛm.ɓɑɑl
camtoptec	khɛɛm.thɑɑp.thəc
camzons	khɛɛm.zoon
canadian	khɛɛn.naa.ɗiən
cancerresearch	khɛɛn.səə.rii.səəc
canon	kaa.noŋ
capdi	khap.ɗii
capetown	khɛɛp.thaon
capital	khɛɛ.phii.thɑɑl
caravan	khaa.raa.wɛɛn
card	khaat
cardboard	khaat.ɓɑɑt
cardinal	kaa.ɗii.nal
cards	khaat
care	khɛə
career	khɛɛ.riə
careers	khɛɛ.riə
carefusion	khɛə.fjuu.sən
carell	khaa.rɛɛl
carlisle	khaa.lii.sɑɑl
carlos	khaa.looh
carlyle	khaa.lal
carmax	khaa.mɛɛk
carol	khaa.rool
caroline	khaa.roo.laaɲ
carpenter	khaa.phɛɛn.thəə
carrey	khɛɛ.rii
cars	khaa
carter	khaat.thəə
cartier	khaa.thiə
cas	khah
casa	kaa.zaa
casaherbalife	kaa.saa.həə.ɓɑɑl.laj
cascade	khas.keet
casey	khaa.sii
cash	khaeh
casino	kaa.sii.noo
castle	khaa.sɑɑl
castparts	khaas.phaat
cat	khɛɛt
catalase	khɛɛ.taa.lah
catering	khɛɛ.thəə.riiŋ
caterpillar	khɛɛ.thəə.phii.laa
caughan	caw.gɛɛn
cba	
cc	sii.sii
ccf	sii.sii.ʔɛɛf
cchr	sii.sii.ʔeech.ʔɑɑ
ccr	sii.sii.ʔɑɑ
cd	sii.ɗii
ce	sii.ʔii
ceb	
cec	sii.ʔii.sii
cedac	see.ɗak
cel	sɛɛl
celanese	see.laa.niih
celestial	see.lɛɛ.sɑɑl
celgene	sɛɛl.cɨn
cellcard	sɛɛl.khaat
cen	sii.ʔii.ʔən
centech	sən.təc
centene	sɛɛn.thiin
center	sɛɛn.thəə
centerpoint	sɛɛn.thəə.phoaɲ
central	sɛɛn.trɑɑl
centre	sɛɛn.thəə
century	sɛɛn.tjuu.rii
centurylink	sɛɛn.tjuu.rii.liiŋ
cern	səən
cerner	səə.nəə
cersex	səə.səc
cfd	
ch2m	
cha	caa
chab	cap
chachak	cɑɑ.cɑɑk
chachat	cɑɑ.caat
chacheb	cɑɑ.cəp
chad	chaat
chae	cae
chaek	caek
chaeng	caeŋ
chaeung	caəŋ
chai	caj
chak	cak
chakkrei	cak.krəj
chakr	cak
chakrei	caʔ.krəj
chakto	caʔ.toʔ
chal	cal
cham	caam
chambak	cɑm.ɓɑk
chambok	cɑm.ɓɑk
chamka	cɑm.kaa
chamkar	cɑm.kaa
chamlak	cɑm.lak
chamlang	cɑm.lɑɑŋ
chamna	cɑm.naa
chamnak	cɑm.nak
chamnang	cɑm.nɑɑŋ
chamnaom	cɑm.naom
chamnaot	cɑm.naot
chamnar	cɑm.naa
chamnat	cɑm.nɑɑt
chamnib	cɑm.nəp
champa	cɑm.paa
