#desc	ANT dictionary from <a href="https://antkh.com">antkh.com</a>
#priority	3
កក់លុយទិញផ្ទះ	កិរិយាសព្ទ 1.(បច្ចេកទេស) Put down money on a house <br/>
កក់លើស	នាម 1.(បច្ចេកទេស) (ការកក់លើស) Overbooking <br/>កិរិយាសព្ទ 1.(បច្ចេកទេស) Overbook <br/>
កក់សក់	កិរិយាសព្ទ 1.To wash (or shampoo) the hair. <br/>
កក្កដ	នាម 1.Crab; zodiacal sign of the crab (=cancer) <br/>
កក្កដនិវត្ដន៍	1.Tropic of Cancer. <br/>
កក្កដា	នាម 1.July. <br/>
កក្កដៈ	1.July ▪ ស្មើនឹង​ពាក្យ ៖ កក្ដរាសី<br/>
កក្ងៀង	1.Neck bent to one side. <br/>
កក្ដរាសី	▪ ស្មើនឹង​ពាក្យ ៖ កក្កដៈ<br/>
កក្រិត	គុណនាម 1.Very black; very black and empty. <br/>
កក្រើក	កិរិយាសព្ទ 1.To tremble, shake; to be trembling, shaking; to move under pressure. <br/>
កក្រោះ	1.Dry, empty (of meaning) <br/>
កក្អាក	នាម 1.A particular sound of laughter the sound of repeated over and over. [There are several onomatopoetic words in Khmer for different types of laughter : កកឹ្អក, កក្អៀក, កខឹក] <br/>
កក្អាកកក្អាយ	▪ មើលពាក្យ ៖ កក្អាក<br/>
កក្អិក	▪ មើលពាក្យ ៖ កក្អាក<br/>
កក្អិល	កិរិយាវិសេសន៍ 1.Energetically, vigorously. <br/>
កក្អៀក	▪ មើលពាក្យ ៖ កក្អាក<br/>
កខិក	▪ មើលពាក្យ ៖ កក្អាក<br/>
កខិកកខក់	1.Sound of choking. <br/>កិរិយាសព្ទ 1.To choke (while drinking) <br/>
កខិប	កិរិយាសព្ទ 1.To bend; to be bent. <br/>
កខឹក	កិរិយាសព្ទ 1.To be broken, dislocated. <br/>
កខុប	នាម 1.Name of a fruit tree.  2.Name of an aquatic insect. <br/>
កខ្វក់	នាម 1.(បច្ចេកទេស) (ការធ្វើឲ្យកខ្វក់) Contamination <br/>
កងកម្លាំង	នាម 1.Army, armed forces, military forces. ▪ ស្មើនឹង​ពាក្យ ៖ កងទ័ព<br/>
កងកាំភ្លើងធំ	នាម 1.Artillery.  2.(បច្ចេកទេស) Artillery unit <br/>
កងកេង	នាម 1.Kind of bird with a very large beak and black body, horn bill. ▪ ស្មើនឹង​ពាក្យ ៖ កេងកង<br/>
កងកំលាំង	នាម 1.(បច្ចេកទេស) Armed forces, military forces <br/>
កងកំលាំងទ័ព	1.Armed forces. <br/>
កងកំលាំងបេសកកម្ម	នាម 1.(បច្ចេកទេស) Expeditionary forces <br/>
កងកំលាំងបំបែកខ្លួន	នាម 1.(បច្ចេកទេស) Separatis forces <br/>
កងក្រោយ	នាម 1.Rear guard. <br/>
កងខេមរោះភូមិន្ទ	នាម 1.(បច្ចេកទេស) Royal Khmer Armed Forces <br/>
កងខេមរៈភូមិន្ទ	នាម 1.Royal Khmer Armed Forces (RCAF) <br/>
កងគ្រាប់	នាម 1.(បច្ចេកទេស) Bearing ▪ ស្មើនឹង​ពាក្យ ៖ គ្រាប់បាដាង<br/>
កងចល័ត	នាម 1.(យោធា) Mobile unit (in the army) <br/>
កងចៅ	នាម 1.Female servants in the royal palace. <br/>
កងចំបើងមួយកង	កិរិយាសព្ទ 1.To carry an armful of bay, bracelet. <br/>
កងជីវពល	នាម 1.(បច្ចេកទេស) Militia <br/>
កងដាក់ក្នុងស្បូន	1.(វេជ្ជសាស្ត្រ) Intrauterine device (IUD) <br/>
កងតម្រួត	នាម 1.Brigade. ▪ ស្មើនឹង​ពាក្យ ៖ កងពលតូច<br/>
កងតម្រួតកណ្ដាលនៃក្រុមរក្សាខេត្ដ	1.Central Brigade of the Provincial Guard. <br/>
កងតម្រួតក្រហម	1.Red Guards (in China). <br/>
កងតំរួតយោធា	នាម 1.(បច្ចេកទេស) Military police unit <br/>
កងទាហានជាង	នាម 1.Engineers. ▪ ស្មើនឹង​ពាក្យ ៖ ទាហានវិស្វករ<br/>
កងទ័ពថ្មើរជើង	1.Infantry <br/>
កងទ័ពបំពាក់អាវុធធុនធ្ងន់	នាម 1.(បច្ចេកទេស) Heavy-armed troops <br/>
កងទ័ពបំពាក់អាវុធធុនស្រាល	នាម 1.(បច្ចេកទេស) Leght-armed troops <br/>
កងទ័ពពិសេស	នាម 1.(បច្ចេកទេស) Commando unit, shock troops <br/>
កងទ័ពមួយវាហិនី	1.One army group (any number that is sufficient to fight the enemy). [In ancient times, it was composed of 81 elephants, 81 chariots, 243 horses and soldiers on horseback, and 405 foot soldiers] . <br/>
កងទ័ពរថរទេះ	1.Armor <br/>
កងទ័ពសេះ	1.Cavalry <br/>
កងទ័ពស្រួច	នាម 1.(បច្ចេកទេស) Advanced unit <br/>
កងទ័ពអចិន្ដ្រៃយ៍	នាម 1.Standing army, regular army. <br/>
កងទ័ពអាកាស	នាម 1.(យោធា) Air forces <br/>
កងនាវាចរណ៍ពាណិជ្ជកម្ម	នាម 1.(បច្ចេកទេស) Merchant navy, merchant marine <br/>
កងពន្លត់អគ្គីភ័យ	1.(បច្ចេកទេស) Fire-brigade, fire, fire-engine <br/>
កងពល	1.(យោធា) (កងពលធំ) Division <br/>
កងពលក្រោះ	▪ ស្មើនឹង​ពាក្យ ៖ កងពលរថក្រោះ<br/>
កងពលតូច	នាម 1.(យោធា) Brigade ▪ ស្មើនឹង​ពាក្យ ៖ កងតម្រួត<br/>
កងពលធំ	1.(យោធា) Division <br/>នាម 1.(បច្ចេកទេស) Division <br/>
កងពលរថក្រោះ	នាម 1.Armoured division. ▪ ស្មើនឹង​ពាក្យ ៖ កងពលក្រោះ<br/>
កងពលរបពាសដែក	នាម 1.(បច្ចេកទេស) Armored division <br/>
កងពិសេស	នាម 1.Commando unit, special forces. <br/>
កងព័ន្ធ	នាម 1.Stationery boat with a flag user to remark individual lanes in boat races. <br/>
កងមុខ	1.Vanguard, front-line troops. <br/>
កងយាមល្បាត	នាម 1.Patrol, guard troop.  2.Guard platoon; troops on guard duty <br/>
កងយោធពល	នាម 1.Armed forces. <br/>
កងយោធពលខេមរភូមិន្ទ	1.Royal Cambodian Armed Forces. <br/>
កងយោធពលខេមរៈភូមិន្ទ	នាម 1.The Royal Khmer Armed Forces. <br/>
កងរក្សាខេត្ដ	1.Provincial guard. <br/>
កងរណៈសិរ្ស	1.Troops of the Front. <br/>
កងរណៈសិរ្សសេរីការជាតិ	1.Armed Forces of the National Liberation Front. <br/>
កងរាជអាវុធហត្ថ	នាម 1.(បច្ចេកទេស) Royal military police <br/>
កងរំពង	1.Tumultuous, noisy; noisily. <br/>
កងល្បាត	នាម 1.(បច្ចេកទេស) Patrol unit, guard platoon, patrolman <br/>
កងវរសេនាតូច	នាម 1.(បច្ចេកទេស) Battalion <br/>
កងវរសេនាធំ	នាម 1.(បច្ចេកទេស) Regiment <br/>
កងវរៈសេនាតូច	1.Battalion. <br/>
កងវរៈសេនាធំ	1.Regiment. <br/>
កងសោយ	នាម 1.Name of a type of Khmer music. <br/>
កងអនុសេនាតូច	នាម 1.(យោធា) Platoon. <br/>
កងអនុសេនាធំ	នាម 1.(យោធា) Company <br/>
កងអាកាសចរខេមរៈភូមិន្ទ	1.Royal Khmer Air Force. <br/>
កងអាសារ	1.Legionnaire. <br/>
កងអាសារបរទេស	1.Foreign Legion. <br/>
កងឯកទេស	1.Troop of soldiers composed of rebel rallies (who have rallied to the government). <br/>
កង់ចក្រ	1.Brahmin wheel of power. <br/>
កង់ច្រវាក់	1.Crawler (tractor) track, tread. in chains. <br/>នាម 1.Tread, caterpillar track. <br/>
កង់បែក	1.Flat tire. <br/>
កង់ភ្លឺ	នាម 1.(បច្ចេកទេស) Clear disc ▪ ស្មើនឹង​ពាក្យ ៖ ថាសថ្លា<br/>
កង់មានធ្មេញ	នាម 1.(បច្ចេកទេស) Sproket <br/>
កង់យោងចលករ	នាម 1.(បច្ចេកទេស) Fly wheel <br/>
កង់រទេះ	1.Cart wheel. <br/>
កង់រទេៈ	1.Wheel of a carriage. <br/>
កង់សំរាប់ជិះឡើងភ្នំ	នាម 1.(បច្ចេកទេស) Mountain bike <br/>
កង់សំរាប់ហាត់ប្រាណ	នាម 1.(បច្ចេកទេស) Exercise cycle <br/>
កង់ឡាន	1.Wheel of a car <br/>
កង្កប់ជ្រៅ	នាម 1.(បច្ចេកទេស) Deep placement <br/>
កង្កាញ់	▪ ស្មើនឹង​ពាក្យ ៖ អង្កាញ់<br/>
កង្កុញ	▪ ស្មើនឹង​ពាក្យ ៖ អង្កុញ<br/>
កង្កួច	កិរិយាសព្ទ 1.To call to each other (of elephants) <br/>
កង្កួញ	កិរិយាសព្ទ 1.To prepare to box or to kick, to clench one's fists; to roll up the trunk (of elephants). <br/>
កង្កែប	នាម 1.Frog. <br/>
កង្កែបកូប	នាម 1.A species of large frog whose cry is koop koop. <br/>
កង្កែបបោប	1.Stuffed frog. <br/>
កង្ក្រម	នាម 1.A type of vine with white flowers. <br/>
កង្វល់	1.Worry, anxiety; unrest. ▪ ក្លាយមកពីពាក្យ ៖ ខ្វល់<br/>
កង្វល់ក្រោយការទិញ	នាម 1.(បច្ចេកទេស) (ការកង្វល់ក្រោយការទិញ) Post-purchase anxiety <br/>
កង្វារ	1.Harpoon, hook, pole with a hook, bill-hook harpoon hook. ▪ ក្លាយមកពីពាក្យ ៖ ខ្វារ<br/>នាម 1.(បច្ចេកទេស) Scraper <br/>
កង្វារខ្វារអាចម៍ត្រចៀក	នាម 1.(បច្ចេកទេស) Cerumen curette, earwax curette <br/>
កង្វាលចៀម	នាម 1.(បច្ចេកទេស) Sheepman <br/>
កង្វេរ	នាម 1.(បច្ចេកទេស) Crochet-hook, hook  2.(បច្ចេកទេស) Propeller, ventilator  3.Hooked, stick used to guide or control an elephant, ankus. <br/>
កង្វេរយន្តហោះ	នាម 1.(បច្ចេកទេស) Airplane propeller <br/>
កង្វះការយល់ដឹង	នាម 1.(បច្ចេកទេស) Misunderstanding <br/>
កង្វះកោសិកាឈាមសក្នុងឈាម	នាម 1.(វេជ្ជសាស្ត្រ) Neutropenia <br/>
កង្វះខាត	នាម 1.(បច្ចេកទេស) Dificiency, deficit, insufficiency, shortage, lack <br/>
កង្វះខាតការជំរុញទឹកចិត្ត	នាម 1.(បច្ចេកទេស) Lack of motivation <br/>
កង្វះខាតកំលាំងពលកម្ម	នាម 1.(បច្ចេកទេស) Manpower shortage, shortage of manpower <br/>
កង្វះខាតជាតិដែក	នាម 1.(បច្ចេកទេស) Iron deficiency, deficiency in iron <br/>
កង្វះខាតជាតិទឹក	នាម 1.(បច្ចេកទេស) Water defict, dehydration <br/>
កង្វះខាតជាតិទឹកក្រៅកោសិកា	នាម 1.(វេជ្ជសាស្ត្រ) Inter cellullar dehydration <br/>
កង្វះខាតជីវជាតិ	នាម 1.(បច្ចេកទេស) Vitamin deficiency <br/>
កង្វះខាតឈាមក្រហម	នាម 1.(វេជ្ជសាស្ត្រ) Anemic deficiency <br/>
កង្វះខាតទន្និន័យ	នាម 1.(បច្ចេកទេស) Lack of data <br/>
កង្វះខាតទំនុកចិត្ត	នាម 1.(បច្ចេកទេស) Lack of confidence <br/>
កង្វះខាតបុគ្គលិក	នាម 1.(បច្ចេកទេស) Shortage of staff <br/>
កង្វះខាតប្រាក់ដុល្លា	នាម 1.(បច្ចេកទេស) Dollar gap <br/>
កង្វះខាតប្រាជ្ញាស្មារតី	នាម 1.(បច្ចេកទេស) Mental deficiency <br/>
កង្វះខាតភស្តុតាង	នាម 1.(បច្ចេកទេស) Lack if evidence <br/>
កង្វះខាតភាពស្មោះត្រង់	នាម 1.(បច្ចេកទេស) Lack of evidence <br/>
កង្វះខាតមិនបានរំពឹងទុក	នាម 1.(បច្ចេកទេស) Abnormal loss <br/>
កង្វះខាតមូលនិធិ	នាម 1.(បច្ចេកទេស) Lack of fund <br/>
កង្វះខាតសមភាព	នាម 1.(បច្ចេកទេស) Lack of equality <br/>
កង្វះខាតស្បៀង	នាម 1.(បច្ចេកទេស) Shortage of food <br/>
កង្វះខាតស្រូវ	នាម 1.(បច្ចេកទេស) Rice shortage <br/>
កង្វះឆន្ទៈ	នាម 1.(បច្ចេកទេស) Abulia <br/>
កង្វះជាតិកាល់ស្យូម	នាម 1.(វេជ្ជសាស្ត្រ) Calcium deficiency <br/>
កង្វះជាតិកាល់ស្យូមក្នុងឈាម	នាម 1.(វេជ្ជសាស្ត្រ) Pocalcaemia, hypocalcemia <br/>
កង្វះជាតិខនិជ	នាម 1.(បច្ចេកទេស) Demineralization <br/>
កង្វះជាតិម៉ាញ៉េស្យូមនៅឈាម	នាម 1.(វេជ្ជសាស្ត្រ) Hypomagnesaemia <br/>
កង្វះឈាម	នាម 1.(វេជ្ជសាស្ត្រ) Anaemia, anemia <br/>
កង្វះឈាមក្នុងចរន្តឈាម	នាម 1.(វេជ្ជសាស្ត្រ) Oligaemia <br/>
កង្វះឈាមចិញ្ចឹមបេះដូង	នាម 1.(វេជ្ជសាស្ត្រ) Coronary insufficiency <br/>
កង្វះឈាមទៅចិញ្ចឹម	នាម 1.(វេជ្ជសាស្ត្រ) Ischaemia <br/>
កង្វះដង្ហើម	នាម 1.(បច្ចេកទេស) Respiratory failure, resiratory insufficiency <br/>
កង្វះទឹក	នាម 1.(បច្ចេកទេស) Water deficit <br/>
កង្វះទឹកក្នុងខ្លួន	នាម 1.(បច្ចេកទេស) Dehydration, water deficit <br/>
កង្វះទឹកដៅតំបន់ក្រោមក្រពះ	នាម 1.(វេជ្ជសាស្ត្រ) Hypogalactia <br/>
កង្វះទឹកភ្លោះ	នាម 1.(បច្ចេកទេស) Oligohydramnios <br/>
កង្វះទ្វរបាត	នាម 1.(បច្ចេកទេស) Imperforate anus, imperforated anus <br/>
កង្វះធ្មេញ	នាម 1.(បច្ចេកទេស) Oligodontia <br/>
កង្វះបញ្ញា	នាម 1.(បច្ចេកទេស) Imbecility, mental deficiency, mental retardation, oligophrenia <br/>
កង្វះបណ្តូរអុកស៊ីសែន	នាម 1.(បច្ចេកទេស) Shunting <br/>
កង្វះភាពសុំាទៅនឹងជំងឹ	នាម 1.(បច្ចេកទេស) Immune deficiency <br/>
កង្ហារស្រូបខ្យល់ចេញ	នាម 1.(បច្ចេកទេស) Extractor fan <br/>
កង្ហិត	1.Type of medicinal plant having yellow flowers. <br/>
កង្ហិតខ្មោច	1.Kind of plant. <br/>
កង្ហិតលាបស្រែង	1.Kind of plant used as a cure for certain skin diseases. <br/>
កង្ហែ	នាម 1.Season. <br/>
កង្ហែន	នាម 1.Kind of gray squirrel. <br/>
កច្ចជាតិ	នាម 1.Poisonous plants. <br/>
កច្ចបសត្វ	នាម 1.Cholera, turtles and tortoises. <br/>
កច្រវា	▪ ស្មើនឹង​ពាក្យ ៖ ភ្នាំច្រវា<br/>
កជើង	1.Ankle. <br/>
កញ្ចក	1.Having uneven legs. <br/>នាម 1.Person or animal which has uneven legs; ▪ ស្មើនឹង​ពាក្យ ៖ កំចក<br/>
កញ្ចក់	1.Mirror; glass, pane of glass. <br/>
កញ្ចក់កញ្ចែង	▪ ស្មើនឹង​ពាក្យ ៖ កញ្ឆក់កញ្ជែង<br/>
កញ្ចក់កាំម៉ារ៉ាសំរាប់មើលនៅពេលថត	នាម 1.(បច្ចេកទេស) Viewfinder <br/>
កញ្ចក់គ្រាត	នាម 1.(បច្ចេកទេស) Frosted glass, frosted screen <br/>
កញ្ចក់ឆ្លុះជំហខ្លួនមនុស្ស	នាម 1.(បច្ចេកទេស) Full-length mirror <br/>
កញ្ចក់ឆ្លុះធ្មេញ	នាម 1.(បច្ចេកទេស) Mouth mirror <br/>
កញ្ចក់ឆ្លុះមុខ	នាម 1.(បច្ចេកទេស) Looking glass, mirror <br/>
កញ្ចក់ឆ្លុះរាង៣ជ្រុង	នាម 1.(បច្ចេកទេស) Trifocal lenses <br/>
កញ្ចក់តាំងបង្ហាញ	នាម 1.(បច្ចេកទេស) Desplay case <br/>
កញ្ចក់បង្អួច	នាម 1.(បច្ចេកទេស) Window glass <br/>
កញ្ចក់បញ្ជូនតាមប្រៃសណីយ៍	នាម 1.(បច្ចេកទេស) Plostal package <br/>
កញ្ចក់ប៉ូលកម្ម	នាម 1.(បច្ចេកទេស) Polarizer, polarizer <br/>
កញ្ចក់ប៉ះ	នាម 1.(បច្ចេកវិទ្យា​និង​វិទ្យាសាស្ត្រ) Touch screen <br/>
កញ្ចក់ប្រើរួចបោះចោល	នាម 1.(បច្ចេកទេស) Non-returnable package <br/>
កញ្ចក់ផ្តិតឈាមពិសោធន៍	នាម 1.(វេជ្ជសាស្ត្រ) Slide [ microscopy ], smear [ for microscopic examination ] <br/>
កញ្ចក់ភ្នែក	នាម 1.(បច្ចេកទេស) Comea, keratoderma <br/>
កញ្ចក់មុខយានយន្ត	នាម 1.(បច្ចេកទេស) Windscreen <br/>
កញ្ចន	នាម 1.Gold. <br/>
កញ្ចប់	នាម 1.Pack, parcel, package. <br/>
កញ្ចប់កម្មវិធីកុំព្យូទ័រ	នាម 1.(បច្ចេកវិទ្យា​និង​វិទ្យាសាស្ត្រ) Software package <br/>
កញ្ចប់តូចៗសំរាប់ដាក់ទំនិញរាវ	1.(បច្ចេកទេស) Sachet <br/>
កញ្ចប់ទំនិញ	នាម 1.(បច្ចេកទេស) Pack of items <br/>
កញ្ចប់បារី	1.Cigarette pack. <br/>
កញ្ចប់បារីមួយ	នាម 1.A pack of cigarettes <br/>
កញ្ចប់ប្រាក់បៀវត្ស	នាម 1.(បច្ចេកទេស) Wage packet <br/>
កញ្ចប់ប្រាក់សំណង	នាម 1.(បច្ចេកទេស) Compensaton package <br/>
កញ្ចប់ផលិតផលមួយឯកត្តា	នាម 1.(បច្ចេកទេស) Unit pack <br/>
កញ្ចប់ផ្លាស់ស្ទិក	នាម 1.(បច្ចេកទេស) Blister pack, bubble pack <br/>
កញ្ចប់រង្វាន់	នាម 1.(បច្ចេកទេស) Bonus pack <br/>
កញ្ចប់រួម	នាម 1.(បច្ចេកទេស) Banded pack <br/>
កញ្ចប់សំភារៈសង្គ្រោះបឋម	នាម 1.(បច្ចេកទេស) First-aid kit <br/>
កញ្ចប់ឥវ៉ាន់ផ្ញើបុស្តិ៍	នាម 1.(បច្ចេកទេស) Parcel post <br/>
កញ្ចាញ់ចេក	នាម 1.A small green tree frog. <br/>
កញ្ចាញ់ច្រាស់	នាម 1.Kind of fish កញ្ចាញ់ច្រាស់ term of abuse often applied to older woman, equivalent to English old bag.<br/>
កញ្ចាស់	1.Worn out, very, old. <br/>
កញ្ចាំង	នាម 1.Kind of artistic design. <br/>
កញ្ចឹងក	នាម 1.Nape of the neck, scruff of the neck. <br/>គុណនាម 1.(បច្ចេកទេស) (នៃកញ្ចឹងក) Nuchal <br/>
កញ្ចុប	កិរិយាសព្ទ 1.To be sulky, sullen. <br/>
កញ្ចុំ	នាម 1.A bunch, a cluster. <br/>
កញ្ចុំបាក់តេរី	នាម 1.(វេជ្ជសាស្ត្រ) Bacterial colony <br/>
កញ្ចុំផ្កា	នាម 1.(បច្ចេកទេស) Umbel  2.(បច្ចេកទេស) Inflorescence ▪ ស្មើនឹង​ពាក្យ ៖ កញ្ចុំផ្កាស្រូវ<br/>
កញ្ចុំផ្កាស្រូវ	▪ ស្មើនឹង​ពាក្យ ៖ កញ្ចុំផ្កា<br/>
កញ្ចុំស្លាប	នាម 1.(បច្ចេកទេស) Crista <br/>
កញ្ចុះ	នាម 1.Name of a small fish with two barbs or whiskers. <br/>
កញ្ចេះ	កិរិយាសព្ទ 1.To peel carefully; to pound a small quantity of rice lightly. <br/>
កញ្ចែ	នាម 1.A whistle.  2.Kind of bird. <br/>
កញ្ចោង	នាម 1.Howdah (seat in the back of an elephant) <br/>
កញ្ចោត	1.Having one leg shorter. than the other (s) <br/>
កញ្ចោប	1.Wrapping; a pack, package, something which is wrapped or packed. ▪ មើលពាក្យ ៖ កញ្ចប់<br/>
កញ្ច្រួច	1.Firework (s) (in general rocket) ▪ មើលពាក្យ ៖ កញ្ជ្រួច<br/>
កញ្ច្រែង	1.Basket (in general) <br/>
កញ្ច្រែងវែង	នាម 1.Sieve. <br/>
កញ្ឆក់	1.Snatch, to grab quickly; to steal quickly; to pick pockets. <br/>
កញ្ឆក់កញ្ជែង	កិរិយាសព្ទ 1.To snatch, away to grab and pull away rudely. ▪ ស្មើនឹង​ពាក្យ ៖ កញ្ចក់កញ្ចែង<br/>
កញ្ឆត	1.Receding (of a hairline) ; abnormal. <br/>
កញ្ឆិល	1.Shrunken, worn. ▪ មើលពាក្យ ៖ កញ្ឆើល<br/>
កញ្ឆឹម	1.Small and attractive <br/>
កញ្ឆួង	1.Having a hole. <br/>
កញ្ឆើញ	1.Deformed (especially of the upper lip) <br/>
កញ្ឆើល	1.Shrunken, worn. ▪ មើលពាក្យ ៖ កញ្ឆិល<br/>
កញ្ឆៀវ	នាម 1.Name of a sea, mollusc. <br/>
កញ្ឆេង	កិរិយាសព្ទ 1.To jump for joy <br/>
កញ្ឆែត	នាម 1.An edible aquatic plant. <br/>
កញ្ឆោត	1.Easily duped or flattered, stupid. <br/>
