ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ກະຈອນຍອຍ	ນ.	ກະຈອນໃສ່ຫູທີ່ມີຍອຍຢ່ອນລົງ. 	
ກະຈ້ອນ	ນ.	ສັດສີ່ຕີນແນວນຶ່ງຈຳພວກໄຕ່ໄມ້ ຕົວຂນາດກະແຕ ຂົນສີຮຸຍ. 	
ກະຈວນ	ນ.	ແປ້ງ, ແປ້ງຫອມ, ວ. ມຸ່ນເປັນແປ້ງ, ລະອຽດມຸ່ນ, ເປັນຝຸ່ນ. 	
ກະຈາບ	ນ.	ນົກຈາບ. 	
ກະຈິບ	ນ.	ນົກຈີບ. 	
ກະຈອມປ້ອງ	ນ.	ສຽມ. "ນາງກໍຖືເອົາຍັງກະຈອມປ້ອງອັນເປັນເຄື່ອງຕ້ອງຫົວມັນ" (ເວດສັນຕຣະ) 	
ກະສາ	ນ.	ຊື່ນົກແນວນຶ່ງຈຳພວກກິນປາ ຕົວໃຫຍ່ຄໍຍາວຂົນສີໝົ່ນ (ນົກຄໍກ້າກ ກໍວ່າ) 	
ກະສິກັມ	ນ.	ການເຮັດໄຮ່ໄຖນາ, ການປູກຫວ່ານແລະລ້ຽງສັດ (ປ. ກສິກັມມ) 	
ກະສິການ	(ປ. ກສິກາຣ, ກສິກິຈຈ) 	
ກະສິກິດ	(ປ. ກສິກາຣ, ກສິກິຈຈ) 	
ກະສິກອນ	ນ.	ຜູ່ທຳການປູກຫວ່ານແລະລ້ຽງສັດ (ປ. ກສິກຣ) 	
ກະສິຣະ	ນ.	ນໍ້ານົມ (ປ.) 	
ກະສິຣະທາຣາ	ນ.	ສາຍນໍ້ານົມ, ອາການໄຫລອອກແຫ່ງນໍ້ານົມ (ປ.) 	
ກະສື	ນ.	ຊື່ຜີຈຳພວກນຶ່ງ ໃນຈຳພວກຜີເປົ້າ. (ຕາມຄວາມເຂົ້າໃຈຂອງຄົນບູຮານ) 	
ກະເສຣາ	ນ.	ນໍ້າທິບ, ນໍ້າສັກສິດ. (ພູມີຜາຍກະເສຣາຮວາດລົງມາລ້າງ) (ປ. ກສິຣ) ຄຳ ກສິຣ ຫລື    ກະເສຣາ ນີ້ ແປວ່າ ນໍ້ານົມ ແຕ່ເດີມໝາຍເອົານໍ້ານົມມນຸດ: ມີເຣື່ອງກ່າວໄວ້ໃນຄັມພີ    ປຸຣານະວ່າ ເມື່ອຕັ້ງໂລກຂຶ້ນໃໝ່ໆ ພວກເທວະດາພາກັນເຮັດນໍ້າທິບສເວີຍ ໂດຍເອົານາກ    ກ້ຽວເຂົາສເມນແລ້ວດຶງອິ້ວໄປອິ້ວມາ ໃຫ້ນໍ້າຢາຕ່າງໆໃນເຂົາສເມນນັ້ນໄຫລລົງໃຕ້    ມະຫາສມຸດ ນໍ້າຢາທີ່ໄຫລອອກຈາກເຂົາສເມນນັ້ນເອີ້ນວ່າ "ກສິຣສມຸທຣ" ແປວ່າ    ນໍ້ານົມສມຸດນໍ້ານົມສມຸດນີ້ ຜູ່ໃດໄດ້ກິນແລ້ວບໍ່ຕາຍ ເຫດນັ້ນຈິ່ງເອີ້ນວ່າ    ນໍ້າອະມະຕະ, ເທວະດາຜູ່ໃດໄດ້ກິນນໍ້ານີ້ແລ້ວກໍເລີຍເອີ້ນວ່າ ອະມະຣະ ເຊີ່ງເຮົາ    ອອກສຽງເປັນອະມອນ ແປວ່າ ຜູ່ບໍ່ຕາຍ. 	
ກະແສ	ນ.	ນໍ້າ, ແມ່ນໍ້າ, ທາງ ຫລື ສາຍ (ກະແສລົມ ສາຍລົມ) ຫາງສຽງ, ສຽງເວົ້າ (ຟັງກະແສສຽງ    ເວົ້າ) ຊື່ໜອງໃຫຍ່ແຫ່ງນຶ່ງ ຢູ່ໃນປະເທດຈີນ ເຊີ່ງທຸກວັນນີ້ເອີ້ນວ່າ ຕາລີຟູ    ລາວເຮົາເອີ້ນ ໜອງກະແສຫລືໜອງກະແສແສນຍ່ານ ເລາະລຽບຈ້າຍໜອງໃຫຍ່ນີ້ ເປັນຖິ່ນຖານ    ເດີມຂອງລາວ. 	
ກະແສ	ນ.	ຜ້າແພຢ່າງບາງໆ (ເອີ້ນແພກະແສ) 	
ກະສໍ	ນ.	ຊື່ຕົ້ນມ່ວງແນວນຶ່ງ ໜ່ວຍນ້ອຍ (ເອີ້ນຕົ້ນມ່ວງກະສໍ) 	
ກະສັງ	ນ.	ຊື່ຕົ້ນໄມ້ແນວນຶ່ງ ຄ້າຍຄືຕົ້ນຕູມ ໃບນ້ອຍມົນ ມີກິ່ນຂິວ ໝາກສຸກແລ້ວກິນໄດ້:    (ໝາກຂວິດ ກໍວ່າ) ຊື່ຜັກແນວນຶ່ງ ໃບມົນ ກິ່ນຂິວ. 	
