ຂະຫຍັນຂັນແຂງ	[kʰáɲǎn kʰǎn kʰɛ̌ːŋ]	<ul><li>(see)ຂະຫຍັນ</li></ul>
ຂະຫຍັນ	[kʰáɲǎn]	<ul><li>to be persistent (diligent)</li></ul>
ຂະຫຍັບຂະຫຍາຍ	[kʰáɲápkʰáɲǎːy]	<ul><li>to make wider, to be made wider, to make larger, to be made larger; [vt. and v.i.] to expand/enlarge, to increase</li></ul>
ຂະຫຍັບ	[kʰáɲáp]	<ul><li>[vt. and v.i.] to move/to set in motion, to stir<br>	</li><li>to shift; to move [e.g. from one house to another]</li></ul>
ຂະຫຍາຍເຂດ	[kʰáɲǎːy kʰȅːt]	<ul><li>to expand territory<br>	</li><li>to accomplish expansion</li></ul>
ຂະຫຍາຍຄວາມ	[kʰáɲǎːy kʰwáːm]	<ul><li>to explain</li></ul>
ຂະຫຍາຍຄວາມລັບ	[kʰáɲǎːy kʰwáːm lāp]	<ul><li>to divulge a secret/to give away a secret</li></ul>
ຂະຫຍາຍສຽງ	[kʰáɲǎːy sǐaŋ]	<ul><li>to amplify sound</li></ul>
ຂະຫຍາຍຕົວ	[kʰáɲǎːytùa]	<ul><li>to develop, to intensify/to become stronger/to gain strength; to expand/to widen/to broaden [v.i.]; to spread/to be disseminated</li></ul>
ຂະຫຍາຍແຖວ	[kʰáɲǎːy tʰɛ̌ːu]	<ul><li><p-n>military</p-n>  to open a formation</li></ul>
ຂະຫຍາຍຮູບ	[kʰáɲǎːy hûːp]	<ul><li>to enlarge a photographic portrait</li></ul>
ຂະຫຍາຍ	[kʰáɲǎːy]	<ul><li>to expand/to enlarge, to increase<br>	</li><li>to detect, to reveal/to bring to light, to expose<br>	</li><li>to let out/to spread/to unfurl, to untie/to unbind/to undo; to untangle/to untwine/to unravel<br>	</li><li>to unroll/to unwind/to unfold, to spread out/to lay</li></ul>
ຂະຫຍາດ	[kʰáɲȁːt]	<ul><li>to be afraid [of]/to fear, to be frightened, to dread<br><p-e>Thai</p-e></li></ul>
