#no sort

GEN 2:8	@<p-n> Gênesis  2:8</p-n>	<p>E havia o SENHOR Deus plantado um jardim em Éden ao oriente, e pôs ali ao homem que havia formado.  
GEN 2:9	@<p-n> Gênesis  2:9</p-n>	<p>E havia o SENHOR Deus feito nascer da terra toda árvore agradável à vista, e boa para comer: também a árvore da vida em meio do jardim, e a árvore do conhecimento do bem e do mal.  
GEN 2:10	@<p-n> Gênesis  2:10</p-n>	<p>E saía de Éden um rio para regar o jardim, e dali se repartia em quatro ramificações.  
GEN 2:11	@<p-n> Gênesis  2:11</p-n>	<p>O nome de um era Pisom: este é o que cerca toda a terra de Havilá, onde há ouro:  
GEN 2:12	@<p-n> Gênesis  2:12</p-n>	<p>E o ouro daquela terra é bom; há ali também bdélio e pedra ônix.  
GEN 2:13	@<p-n> Gênesis  2:13</p-n>	<p>O nome do segundo rio é Giom; este é o que rodeia toda a terra de Cuxe.  
GEN 2:14	@<p-n> Gênesis  2:14</p-n>	<p>E o nome do terceiro rio é Tigre; este é o que vai diante da Assíria. E o quarto rio é o Eufrates.  
GEN 2:15	@<p-n> Gênesis  2:15</p-n>	<p>Então o SENHOR Deus tomou o homem, e o pôs no jardim de Éden, para que o lavrasse e o guardasse.  
GEN 2:16	@<p-n> Gênesis  2:16</p-n>	<p>E mandou o SENHOR Deus ao homem, dizendo: De toda árvore do jardim comerás;  
GEN 2:17	@<p-n> Gênesis  2:17</p-n>	<p>Mas da árvore do conhecimento do bem e do mal não comerás dela; porque no dia que dela comeres, morrerás.  
GEN 2:18	@<p-n> Gênesis  2:18</p-n>	<p>E disse o SENHOR Deus: Não é bom que o homem esteja só; farei para ele ajuda idônea para ele.  
GEN 2:19	@<p-n> Gênesis  2:19</p-n>	<p>Formou, pois, o SENHOR Deus da terra todo animal do campo, e toda ave dos céus, e trouxe-os a Adão, para que visse como lhes havia de chamar; e tudo o que Adão chamou aos animais viventes, esse é seu nome.  
GEN 2:20	@<p-n> Gênesis  2:20</p-n>	<p>E pôs Adão nomes a todo animal e ave dos céus e a todo animal do campo: mas para Adão não achou ajuda que estivesse idônea para ele.  
GEN 2:21	@<p-n> Gênesis  2:21</p-n>	<p>E o SENHOR Deus fez cair sonho sobre Adão, e ele adormeceu: então tomou uma de suas costelas, e fechou a carne em seu lugar;  
GEN 2:22	@<p-n> Gênesis  2:22</p-n>	<p>E da costela que o SENHOR Deus tomou do homem, fez uma mulher, e trouxe-a ao homem.  
GEN 2:23	@<p-n> Gênesis  2:23</p-n>	<p>E disse Adão: Esta é agora osso de meus ossos, e carne de minha carne: esta será chamada Mulher, porque do homem foi tomada.  
GEN 2:24	@<p-n> Gênesis  2:24</p-n>	<p>Portanto, deixará o homem a seu pai e a sua mãe, e se achegará à sua mulher, e serão uma só carne.  
GEN 2:25	@<p-n> Gênesis  2:25</p-n>	<p>E estavam ambos nus, Adão e sua mulher, e não se envergonhavam.   </p>
GEN 3:1	@<p-n> Gênesis  3:1</p-n>	<p>Porém a serpente era astuta, mais que todos os animais do campo que o SENHOR Deus havia feito. E ela disse à mulher: Deus vos disse: Não comais de toda árvore do jardim?  
GEN 3:2	@<p-n> Gênesis  3:2</p-n>	<p>E a mulher respondeu à serpente: Do fruto das árvores do jardim podemos comer;  
GEN 3:3	@<p-n> Gênesis  3:3</p-n>	<p>mas do fruto da árvore que está no meio do jardim, Deus disse: Não comereis dele, nem o tocareis, para que não morrais.  
GEN 3:4	@<p-n> Gênesis  3:4</p-n>	<p>Então a serpente disse à mulher: Não morrereis;  
GEN 3:5	@<p-n> Gênesis  3:5</p-n>	<p>Mas Deus sabe que no dia que comerdes dele, vossos olhos serão abertos, e sereis como deuses,  sabendo o bem e o mal.  
GEN 3:6	@<p-n> Gênesis  3:6</p-n>	<p>E a mulher viu que a árvore era boa para se comer, agradável aos olhos, e árvore desejável para se obter conhecimento. E ela tomou de seu fruto, e comeu; e deu também ao seu marido com ela, e ele comeu.  
GEN 3:7	@<p-n> Gênesis  3:7</p-n>	<p>E foram abertos os olhos de ambos, e conheceram que estavam nus. Então coseram folhas de figueira, e fizeram para si aventais.  
GEN 3:8	@<p-n> Gênesis  3:8</p-n>	<p>E ouviram a voz do SENHOR Deus, que passeava no jardim à brisa do dia; e o homem e sua mulher esconderam-se da presença do SENHOR Deus entre as árvores do jardim.  
GEN 3:9	@<p-n> Gênesis  3:9</p-n>	<p>E o SENHOR Deus chamou ao homem, e lhe disse: “Onde estás?  
GEN 3:10	@<p-n> Gênesis  3:10</p-n>	<p>E ele respondeu: “Ouvi tua voz no jardim, e tive medo, porque estava nu; e me escondi”.  
GEN 3:11	@<p-n> Gênesis  3:11</p-n>	<p>E disse-lhe: “Quem te ensinou que estavas nu? Comeste da árvore de que te mandei que não comesses?”  
GEN 3:12	@<p-n> Gênesis  3:12</p-n>	<p>E o homem respondeu: “A mulher que me deste por companheira me deu da árvore, e eu comi”.  
GEN 3:13	@<p-n> Gênesis  3:13</p-n>	<p>Então o SENHOR Deus disse à mulher: “Por que fizeste isto?” E a mulher disse: “A serpente me enganou, e comi”.  
GEN 3:14	@<p-n> Gênesis  3:14</p-n>	<p>E o SENHOR Deus disse à serpente: “Porque fizeste isto, maldita serás entre todos os animais selvagens e entre todos os animais do campo; sobre teu ventre andarás, e pó comerás todos os dias da tua vida.  
GEN 3:15	@<p-n> Gênesis  3:15</p-n>	<p>E porei inimizade entre ti e a mulher, e entre tua descendência e a descendência dela; esta  te ferirá a cabeça, e tu lhe ferirás o calcanhar”.  
GEN 3:16	@<p-n> Gênesis  3:16</p-n>	<p>E para a mulher disse: “Multiplicarei grandemente as tuas dores e teus sofrimentos de parto; com dor darás à luz filhos; e o teu desejo será para o teu marido, e ele te dominará”.  
GEN 3:17	@<p-n> Gênesis  3:17</p-n>	<p>E ao homem disse: “Porque deste ouvidos à voz de tua mulher, e comeste da árvore de que te mandei dizendo, ‘Não comerás dela’, maldita será a terra por causa de ti; com dor comerás dela todos os dias da tua vida;  
GEN 3:18	@<p-n> Gênesis  3:18</p-n>	<p>Espinhos e cardos te produzirá, e comerás erva do campo.  
GEN 3:19	@<p-n> Gênesis  3:19</p-n>	<p>No suor do teu rosto comerás o pão até que voltes à terra, porque dela foste tomado; porque pó és, e ao pó voltarás”.  
GEN 3:20	@<p-n> Gênesis  3:20</p-n>	<p>E chamou o homem o nome de sua mulher, Eva; porquanto ela era mãe de todos o viventes.  
GEN 3:21	@<p-n> Gênesis  3:21</p-n>	<p>E o SENHOR Deus fez ao homem e à sua mulher túnicas de peles, e os vestiu.  
GEN 3:22	@<p-n> Gênesis  3:22</p-n>	<p>E disse o SENHOR Deus: Eis que o homem é como um de Nos sabendo o bem e o mal; agora, pois, para que não estenda sua mão, e tome também da árvore da vida, e coma, e viva para sempre:  
GEN 3:23	@<p-n> Gênesis  3:23</p-n>	<p>E tirou-o o SENHOR do jardim de Éden, para que lavrasse a terra de que foi tomado.  
GEN 3:24	@<p-n> Gênesis  3:24</p-n>	<p>Lançou, pois, fora ao homem, e pôs ao oriente do jardim de Éden querubins, e uma espada acesa que se revolvia a todos os lados, para guardar o caminho da árvore da vida.   </p>
GEN 4:1	@<p-n> Gênesis  4:1</p-n>	<p>E Adão conheceu a sua mulher Eva, a qual concebeu e deu à luz a Caim, e disse: Obtive um homem pelo SENHOR.  
GEN 4:2	@<p-n> Gênesis  4:2</p-n>	<p>E depois deu à luz a seu irmão Abel. E foi Abel pastor de ovelhas, e Caim foi lavrador da terra.  
GEN 4:3	@<p-n> Gênesis  4:3</p-n>	<p>E aconteceu, decorrendo o tempo, que Caim trouxe do fruto da terra uma oferta ao SENHOR.  
GEN 4:4	@<p-n> Gênesis  4:4</p-n>	<p>E Abel trouxe também dos primogênitos de suas ovelhas, e de sua gordura. E olhou o SENHOR com agrado a Abel e à sua oferta;  
GEN 4:5	@<p-n> Gênesis  4:5</p-n>	<p>mas não olhou com bons olhos a Caim e à sua oferta. Caim irritou-se muito, e descaiu-lhe o semblante.  
GEN 4:6	@<p-n> Gênesis  4:6</p-n>	<p>Então o SENHOR disse a Caim: Por que te irritaste, e por que o teu semblante descaiu?  
GEN 4:7	@<p-n> Gênesis  4:7</p-n>	<p>Se bem fizeres, não serás aceito? E se não fizeres bem, o pecado está à porta; contra ti será o seu desejo, porém tu deves dominá-lo.  
GEN 4:8	@<p-n> Gênesis  4:8</p-n>	<p>Depois Caim falou a seu irmão Abel; e aconteceu que, estando eles no campo, Caim se levantou contra seu irmão Abel, e o matou.  
GEN 4:9	@<p-n> Gênesis  4:9</p-n>	<p>E o SENHOR disse a Caim: Onde está teu irmão Abel? E ele respondeu: Não sei; sou eu guarda do meu irmão?  
GEN 4:10	@<p-n> Gênesis  4:10</p-n>	<p>E ele lhe disse: Que fizeste? A voz do sangue do teu irmão clama a mim desde a terra.  
GEN 4:11	@<p-n> Gênesis  4:11</p-n>	<p>Agora, pois, maldito sejas tu da terra que abriu sua boca para receber o sangue de teu irmão de tua mão:  
GEN 4:12	@<p-n> Gênesis  4:12</p-n>	<p>Quando lavrares a terra, não te voltará a dar sua força: errante e fugitivo serás na terra.  
