a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
bustling	adjective <br>movimentado ‹town, street, store› 
busto	masculine noun <ol><li>1 (representação do torso) bust <br><p-l>XXX um busto de bronze/mármore </p-l>YYYa bronze/marble bust <br><p-l>XXX um busto em cera </p-l>YYYa waxwork </li><li>2 (torso) bust </li><li>3 (seios) bust, bosom </li></ol>
bust-up	noun informal <ol><li>1 (quarrel) bate-boca m Brazil informal; discussão f  feia <br><p-l>XXX to have a bust-up with sb </p-l>YYYter um bate-boca com alguém </li><li>2 (break-up) fim m <br><p-l>XXX the bust-up of their marriage </p-l>YYYo fim do casamento deles </li></ol>
busy	<ul><li>A adjective <ol><li>1 (occupied, full of activity) ocupado <br><p-l>XXX to be busy doing sth </p-l>YYYestar ocupado fazendo algo <br><p-l>XXX to keep sb/sth busy </p-l>YYYmanter alguém/algo ocupado <br><p-l>XXX to be busy with sb/sth </p-l>YYYestar ocupado com alguém/algo <br><p-l>XXX to be at one's busiest </p-l>YYYestar muito atarefado <br><p-l>XXX the town's always busy on a Saturday </p-l>YYYa cidade está sempre agitada em um sábado </li><li>2 derogatory (too elaborate) carregado </li><li>3 US (engaged) «telephone line» ocupado <br><p-l>XXX the line's busy </p-l>YYYa linha está ocupada </li><li>B to busy oneself reflexive verb pt, pp busied <br>ocupar-se <br><p-l>XXX to busy oneself with sth/doing sth </p-l>YYYocupar-se com algo/fazendo algo <br><p-l>XXX I busied myself addressing envelopes </p-l>YYYeu me ocupei colocando os endereços nos envelopes <br>IDIOMS <br>to be as busy as a bee <br>estar superocupado <br>to get busy <br>ocupar-se </li></ol></li></ul>
busy bee	noun <br>informal formiguinha f informal <br><p-l>XXX she never stops – she's a real busy bee </p-l>YYYela nunca para – é uma verdadeira formiguinha 
busybody	noun <br>derogatory xereta mf Brazil informal derogatory; cusco m / cusca f Portugal <br>informal derogatory 
busy signal	noun <br>US sinal m  de ocupado 
busílis	masculine noun <br>hitch <br><p-l>XXX é aqui que reside o busílis da questão … </p-l>YYYthis is the crux of the question <br><p-l>XXX ora aí é que está o busílis! </p-l>YYYnow there's the rub! 
but	<ul><li>A conjunction <ol><li>1 (expressing contrast, contradiction) mas <br><p-l>XXX I agree, but I may be wrong </p-l>YYYeu concordo, mas eu posso estar errado <br><p-l>XXX cheap but nourishing </p-l>YYYbarato, mas nutritivo </li><li>2 (expressing reluctance, protest, surprise) mas <br><p-l>XXX he agreed to it, but with reservations </p-l>YYYele concordou, mas com reservas <br><p-l>XXX but we can't afford it! </p-l>YYYmas não podemos pagar isso! <br><p-l>XXX but that's wonderful! </p-l>YYYmas é maravilhoso! </li><li>3 (except) a não ser <br><p-l>XXX I had no choice but to sign the contract </p-l>YYYnão tive opção, a não ser assinar o contrato </li><li>4 (without it being the case that) never a day goes by but she visits him <br>jamais passa um dia sem que ela o visite <br><p-l>XXX there's no doubt but he'll come </p-l>YYYnão há dúvida de que ele virá </li><li>5 (in apologies) mas <br><p-l>XXX I'm sorry, but I can't stay any longer </p-l>YYYdesculpe, mas não posso ficar mais </li><li>6 (for emphasis) mas <br><p-l>XXX not twice, but three times </p-l>YYYnão duas, mas três vezes <br><p-l>XXX nothing, but nothing would make him change his mind </p-l>YYYnada, mas nada o faria mudar de ideia </li><li>7 (adding to the discussion) mas <br><p-l>XXX but first, let's consider the advantages </p-l>YYYmas primeiro, vamos considerar as vantagens </li><li>B adverb <br>só <br><p-l>XXX I can but try </p-l>YYYsó posso chorar <br><p-l>XXX if I had but known </p-l>YYYse ao menos eu tivesse sabido </li><li>C preposition <br>a não ser <br><p-l>XXX anybody but him </p-l>YYYninguém a não ser ele <br><p-l>XXX everybody but Paul will be there </p-l>YYYtodos, menos o Paul, estarão lá <br><p-l>XXX the last day but one </p-l>YYYo penúltimo dia </li><li>D but for preposition phrase <br>(except for) se não fosse <br><p-l>XXX I'd have won but for him </p-l>YYYse não fosse por ele, eu teria vencido </li><li>E but then (again) conjunction phrase <ol><li>1 (on the other hand) mas </li><li>2 (giving explanation) pois <br><p-l>XXX she speaks very good Italian, but then she lived in Rome for years </p-l>YYYela fala muito bem italiano, pois ela morou em Roma por anos </li><li>F noun <br>mas m <br><p-l>XXX no buts: just get out of here </p-l>YYYsem más: simplesmente saia daqui </li></ol></li></ul>
butane	noun uncountable <br>Chemistry butano m 
butano	masculine noun Chemistry <br>butane <br><p-l>XXX gás butano </p-l>YYYbutane gas 
butch	adjective <ol><li>1 informal derogatory (mannish) machona informal derogatory ‹girl, woman, <br>lesbian› </li><li>2 informal (masculine) machão informal ‹man› </li></ol>
butcher	<ul><li>A noun <ol><li>1 (meat seller) açougueiro m Brazil, talhante m Portugal <br><p-l>XXX butcher's (shop) </p-l>YYYaçougue Brazil, talho Portugal <br><p-l>XXX a butcher's boy </p-l>YYYum ajudante de açougueiro </li><li>2 figurative (murderer) carniceiro m </li><li>3 (bungler) trapalhão m / trapalhona f </li><li>B transitive verb <ol><li>1 (slaughter) abater ‹animal› ; (cut up) carnear Brazil, cortar ‹meat, joints, <br>carcass› </li><li>2 figurative (murder) trucidar ‹person, victim, refugees, inhabitants› </li><li>3 (bungle) acabar com, assassinar informal ‹task, play, piece of music› <br>IDIOMS <br>to have/take a butcher's at sb/sth <br>British informal dar uma olhada em alguém/algo: <br><p-l>XXX I'll just have a butcher's and let you know what's left </p-l>YYYsó vou dar uma olhada e já te digo o que sobrou <br>what's the butcher's bill? <br>qual foi o resultado da carnificina? </li></ol></li></ul>
butchery	noun uncountable <ol><li>1 (savage killing) carnificina f </li><li>2 (preparing meat to be sold) esquartejamento m; (trade) ofício m  do <br>açougueiro Brazil, ofício m  do talhante Portugal </li></ol>
butique	feminine noun <ol><li>1 (loja de roupa) boutique </li><li>2 (loja especializada) specialist shop <br><p-l>XXX uma butique de carne </p-l>YYYa specialist butchers <br><p-l>XXX uma butique de pão </p-l>YYYa specialist bakery </li></ol>
butler	noun <br>mordomo m 
butt	noun <br>(barrel) barril m <br><p-l>XXX water/beer butt </p-l>YYYum barril de água/cerveja 
butter	<ul><li>A noun uncountable <br>manteiga f <br><p-l>XXX bread and butter </p-l>YYYpão com manteiga <br><p-l>XXX to spread butter on one's bread </p-l>YYYpassar manteiga no pão <br><p-l>XXX salted/unsalted butter </p-l>YYYmanteiga com/sem sal </li><li>B transitive verb <br>passar manteiga em Brazil, barrar manteiga em Portugal ‹bread, toast› ; untar <br>com manteiga ‹baking-dish› <br>IDIOMS <br>to go through sth like a knife through butter <br>atravessar algo com facilidade: <br><p-l>XXX he ran through the crowd like a knife through butter </p-l>YYYele atravessou a multidão com facilidade <br>to look as if butter wouldn't melt in one's mouth <br>informal parecer ser bonzinho: <br><p-l>XXX he looks like butter wouldn't melt in his mouth but in fact he's a real </p-l>YYYhorror <br>ele parece ser bonzinho mas, na verdade, é um verdadeiro terror <br>PHRASAL VERB <br>butter up: <br>▶ [butter sb up, butter up sb] <br>informal puxar o saco de alguém Brazil informal, dar graxa a alguém Portugal <br>informal ‹person, boss, parent› </li></ul>
butter bean	noun <br>feijão-manteiga m 
buttercup	noun <br>botão-de-ouro m 
butter dish	noun <br>manteigueira f 
butterfingered	adjective <br>informal mão-furada Brazil informal, mãos de manteiga Portugal informal <br>‹person, player› 
butterfingers	noun <br>informal mão-furada mf Brazil informal derogatory; mãos de manteiga mf <br>Portugal informal derogatory 
butterfly	noun <ol><li>1 countable (insect) borboleta f </li><li>2 countable (showy or frivolous person) pessoa f  frívola (norm uma mulher) </li><li>3 uncountable Sport <br>= butterfly stroke <br>IDIOM <br>to have/get butterflies (in the or one's stomach) <br>sentir/dar um frio na barriga: <br><p-l>XXX I always get butterflies in my stomach before I go on stage </p-l>YYYsempre me dá um frio na barriga antes de entrar em palco </li></ol>
butterfly net	noun <br>rede f  para pegar borboletas Brazil, rede f  para apanhar borboletas Portugal 
butterfly nut	noun <br>Building porca f  borboleta 
butterfly stroke	noun <br>nado m  borboleta Brazil, estilo m  mariposa Portugal 
buttermilk	noun uncountable <br>leitelho m 
butternut squash	noun <br>abóbora f  manteiga 
butterscotch	noun uncountable <br>caramelo m 
buttery	<ul><li>A adjective <ol><li>1 (substance, taste) amanteigado ‹substance, taste› </li><li>2 (covered with butter) sujo de manteiga ‹paper, fingers› </li><li>B noun <br>British bar m </li></ol></li></ul>
buttock	noun <br>(of person, of animal) nádega f 
button	<ul><li>A noun <ol><li>1 (on garment) botão m <br><p-l>XXX to do up/to undo a button </p-l>YYYabrir/fechar um botão <br><p-l>XXX informal to be not worth a button </p-l>YYYnão valer um tostão informal </li><li>2 (switch, knob) botão m <br><p-l>XXX to push/press a button </p-l>YYYapertar um botão <br><p-l>XXX informal (right) on the button </p-l>YYY(exactly right) acertou em cheio Brazil, muche Portugal; <br>(punctual) mesmo na hora </li><li>3 US (badge) button m <br><p-l>XXX buttons against whale hunting </p-l>YYYbuttons contra a caça às baleias </li><li>4 (button-shaped thing) botão m <br><p-l>XXX a chocolate button </p-l>YYYum botão de chocolate </li><li>B transitive verb <br>abotoar ‹clothing, shirt, coat› <br><p-l>XXX to button (up) sth, to button sth (up) </p-l>YYYabotoar algo </li><li>C intransitive verb <br>«garment, shirt, coat» abotoar-se <br><p-l>XXX this blouse buttons (up) at the back </p-l>YYYesta blusa abotoa-se nas costas <br>IDIOMS <br>to be a button short <br>ter um parafuso a menos informal: <br><p-l>XXX he didn't understand, he must be a button short </p-l>YYYele não entendeu, deve ter um parafuso a menos <br>to button one's lip <br>informal (stop or refrain from talking) fechar o bico informal <br>to have all one's buttons <br>ter a cabeça no lugar: <br><p-l>XXX you'll not deceive her, she's got all her buttons </p-l>YYYvocê não vai enganá-la, ela é muito equilibrada </li></ol></li></ul>
button-down	adjective <br>com botões no colarinho ‹shirt› <br><p-l>XXX a button-down collar </p-l>YYYum colarinho com botões 
buttonhole	<ul><li>A noun <ol><li>1 (in garment) casa f de botão </li><li>2 (lapel flower) flor f  de lapela </li><li>B transitive verb <br>informal abordar ‹person› <br><p-l>XXX I'll try and buttonhole him after the meeting </p-l>YYYvou tentar abordar ele depois da reunião </li></ol></li></ul>
button mushroom	noun <br>cogumelo m  de Paris 
buttress	<ul><li>A noun <ol><li>1 Building viga f </li><li>2 figurative pilar m <br><p-l>XXX a buttress of democracy </p-l>YYYum pilar da democracia </li><li>B transitive verb <ol><li>1 (support) sustentar ‹wall, building, structure› </li><li>2 figurative sustentar ‹argument, case, policy, (social/political) system› </li></ol></li></ul>
buxo	masculine noun <ol><li>1 Botany (espécie arbórea) box tree </li><li>2 Botany (planta cultivada) box bush or shrub </li><li>3 (madeira) boxwood </li></ol>
buxom	adjective <br>rechonchudo ‹woman, barmaid, matron› 
buy	<ul><li>A transitive verb pt, pp bought <ol><li>1 (purchase) comprar ‹ticket, house, groceries› <br><p-l>XXX she bought it for $500 </p-l>YYYela comprou por $500 <br><p-l>XXX they've made an offer to buy the company </p-l>YYYeles fizeram uma oferta para comprar a empresa <br><p-l>XXX to buy sth from or off sb </p-l>YYYcomprar algo de alguém <br><p-l>XXX to buy sth for sb, to buy sb sth </p-l>YYYcomprar algo para alguém <br><p-l>XXX she bought it for all of us </p-l>YYYela comprou para todos nós <br><p-l>XXX I've bought myself a new dress </p-l>YYYcomprei para mim um novo vestido <br><p-l>XXX to buy in bulk </p-l>YYYcomprar por atacado or em grande quantidade <br><p-l>XXX to buy sth retail/wholesale/online </p-l>YYYcomprar algo no varejo/no atacado/online </li><li>2 figurative (obtain) comprar ‹freedom, happiness› <br><p-l>XXX money can't buy you love/happiness </p-l>YYYo dinheiro não pode lhe comprar amor/felicidade </li><li>3 (bribe) comprar ‹politician, witness› <br><p-l>XXX to buy sb's silence </p-l>YYYcomprar o silêncio de alguém </li><li>4 informal (believe) cair em ‹story, excuse› informal <br><p-l>XXX if you buy that you'll believe anything </p-l>YYYse você cair nessa, vai acreditar em qualquer coisa </li><li>B intransitive verb pt, pp bought <br>(purchase) comprar <br><p-l>XXX we always buy locally </p-l>YYYsempre compramos nas lojas locais <br><p-l>XXX to buy from sb </p-l>YYYcomprar de alguém </li><li>C noun <br>compra f <br><p-l>XXX a good/bad buy </p-l>YYYuma boa/má compra <br>IDIOM <br>to buy it <br>British informal (die) morrer <br>PHRASAL VERBS <br>buy in: <br>▶ [buy sth in, buy in sth] <br>British comprar ‹supplies, food› <br>buy into <br>[buy into sth] <ol><li>1 Business (buy shares in) investir em <br><p-l>XXX their strategy is to buying into smaller companies </p-l>YYYa estratégia deles é investir em empresas menores </li><li>2 informal (believe) cair em ‹idea› informal <br><p-l>XXX I don't buy into the idea that you are what you wear </p-l>YYYeu não caio na ideia de que você é o que você veste <br>buy off: <br>▶ [buy sb off, buy off sb] <br>subornar ‹politician, witness› <br><p-l>XXX he succeeding in buying off the mayor </p-l>YYYele conseguiu subornar o prefeito <br>buy out: <br>▶ [buy sb out, buy out sb] <br>comprar a parte de ‹partner, company› <br><p-l>XXX he bought out his wife in 2009 </p-l>YYYele comprou a parte da esposa em 2009 <br>buy up: <br>▶ [buy sth up, buy up sth] <br>comprar ‹land, shares› <br><p-l>XXX foreign investors have bought up large tracts of agricultural land </p-l>YYYos investidores estrangeiros compraram grandes extensões de terra agrícola </li></ol></li></ul>
buyer	noun <ol><li>1 (purchaser) comprador m / compradora f <br><p-l>XXX a potential buyer </p-l>YYYum comprador em potencial <br><p-l>XXX a buyer's market </p-l>YYYum mercado comprador </li><li>2 (profession) gerente mf  de compras </li></ol>
buying	noun uncountable <br>compra f <br><p-l>XXX buying power </p-l>YYYpoder de compra 
buyout	noun <br>aquisição f (da maioria das ações de uma empresa, especialmente por parte de <br>seus diretores) 
buy-to-let	noun <ol><li>1 uncountable (practice) compra f  de um imóvel para investimento </li><li>2 countable (property) propriedade f  adquirida para investimento </li></ol>
buzina	feminine noun <ol><li>1 (corneta) horn <br><p-l>XXX buzina de caça </p-l>YYYhunting horn </li><li>2 Motor Vehicles (cone de metal) horn </li><li>3 (de carro, navio) horn <br><p-l>XXX os automóveis tocavam as buzinas </p-l>YYYthe automobiles were honking or blowing their horns </li><li>4 Brazil <br><p-l>XXX (raiva) ficar buzina </p-l>YYYto get angry; <br>to get mad informal </li></ol>
buzinadela	feminine noun Portugal informal <br>honk <br><p-l>XXX dar uma buzinadela </p-l>YYYto honk, to give a honk 
buzinar	<ul><li>A intransitive verb <ol><li>1 (apitar) «carro, pessoa» to honk, to honk or blow one's horn <br><p-l>XXX buzinar em comemoração </p-l>YYYto honk or blow one's horns in celebration </li><li>2 Brazil (ficar furioso) to get angry; to get mad informal </li><li>3 Brazil informal (repetir a mesma coisa) to go on informal <br><p-l>XXX buzinar no ouvido de alguém </p-l>YYYto go on at sb </li><li>4 Brazil informal (gritar) to yell informal </li><li>B transitive verb <ol><li>1 (apitar) buzinar o automóvel <br>to honk or blow the car horn </li><li>2 Brazil informal (repetir) to go on about informal </li><li>3 informal (berrar) to bellow; to yell informal </li><li>4 Brazil (alardear) to flaunt </li></ol></li></ul>
buzz	<ul><li>A noun <ol><li>1 (of insect) zumbido m </li><li>2 humorous (noise) burburinho m <br><p-l>XXX a buzz of excitement/anticipation filled the hall </p-l>YYYum burburinho de agitação/expectativa encheu a sala </li><li>3 informal (phone call) ligada f <br><p-l>XXX to give sb a buzz </p-l>YYYdar uma ligada para alguém </li><li>4 informal (thrill, pleasure) I get a real buzz out of surfing <br>o surfe me deixa louco </li><li>B intransitive verb <ol><li>1 (insects' sound) zumbir <br><p-l>XXX flies were buzzing around everywhere </p-l>YYYas moscas estavam zumbindo por todos os lados </li><li>2 figurative (be full of activity) to buzz with sth <br>ferver de algo <br><p-l>XXX the house was buzzing with activity </p-l>YYYa casa estava fervendo de atividade </li><li>C transitive verb <ol><li>1 (call) interfonar para <br><p-l>XXX she buzzed her secretary for some drinks </p-l>YYYela interfonou para a secretária para pedir alguns drinques </li><li>2 informal (phone) dar uma ligada <br><p-l>XXX buzz me when you get to the office </p-l>YYYme dá uma ligada quando chegar no escritório </li><li>3 Aviation informal aproximar-se de ‹crowd, building› <br><p-l>XXX a helicopter buzzed the ship </p-l>YYYum helicóptero se aproximou muito do navio <br>PHRASAL VERB <br>buzz off <br>British informal dar o fora informal <br><p-l>XXX just buzz off! </p-l>YYYdê o fora já! </li></ol></li></ul>
buzzard	noun <ol><li>1 (bird) gavião m </li><li>2 dated (mean person) abutre m </li></ol>
buzzer	noun <br>campainha f 
buzzing	noun uncountable <br>zumbido m <br><p-l>XXX to have a buzzing in one's ears </p-l>YYYter um zumbido no ouvido 
buzz saw	noun <br>US serra f  circular 
buzzword	noun <br>informal palavra f  da moda 
buço	masculine noun <br>fuzz; peach fuzz (on upper lip) US 
bv	abbreviation Portugal <br>(= Bombeiros Voluntários) Voluntary Firefighters 
by	<ul><li>A preposition <ol><li>1 (indicating agency) por <br><p-l>XXX a building destroyed by fire </p-l>YYYum edifício destruído pelo fogo <br><p-l>XXX I was startled by her reaction </p-l>YYYfiquei surpreso com a reação dela <br><p-l>XXX some remarks by Mrs White </p-l>YYYalgumas observações da Sra. White </li><li>2 (identifying author) de <br><p-l>XXX a novel by John Updike </p-l>YYYum romance de John Updike <br><p-l>XXX who's it by? </p-l>YYYde quem é? </li><li>3 (indicating means) de <br><p-l>XXX to travel by bus/train </p-l>YYYviajar de ônibus/trem <br><p-l>XXX to make sth by hand/machine </p-l>YYYfazer algo à mão/máquina <br><p-l>XXX you can reach me by phone </p-l>YYYvocê pode entrar em contato comigo por telefone <br><p-l>XXX to pay by credit card </p-l>YYYpagar com cartão de crédito <br><p-l>XXX to begin by saying that … </p-l>YYYcomeçar dizendo que … </li><li>4 (via, passing through) por <br><p-l>XXX we entered by the back door </p-l>YYYentramos pela porta de trás <br><p-l>XXX we'll get there quicker if we go by Westerham </p-l>YYYchegaremos lá mais rápido se formos por Westerham <br><p-l>XXX by the left/right, quick march! </p-l>YYYMilitary esquerda/direita, marchem! </li><li>5 (near, beside) by the bed/the window <br>perto da cama/janela <br><p-l>XXX come and sit by me </p-l>YYYvenha e sente-se ao meu lado <br><p-l>XXX they have a house by the sea </p-l>YYYeles têm uma casa à beira-mar </li><li>6 (past) por <br><p-l>XXX she walked by me </p-l>YYYela passou por mim </li><li>7 (before, not later than) it must be done by next Thursday <br>deve estar pronto até quinta que vem <br><p-l>XXX they should have been here by now </p-l>YYYeles já deveriam estar aqui <br><p-l>XXX but by then it was too late </p-l>YYYmas então já era muito tarde </li><li>8 (during) de <br><p-l>XXX to travel by day/night </p-l>YYYviajar de dia/de noite </li><li>9 (to the extent or degree of) em torno de <br><p-l>XXX prices have risen/fallen by 10% </p-l>YYYos preços subiram/caíram em torno de 10% </li><li>10 (in measurements, in multiplication, division) por <br><p-l>XXX 10 multiplied by 5 is 50 </li><li>10 vezes 5 é igual a 50 </p-l>YYY▸ a room 10 meters by five <br>uma sala de 10 metros por cinco </li><li>11 (showing rate, quantity) por <br><p-l>XXX to pay by the hour </p-l>YYYpagar por hora <br><p-l>XXX to sell sth by the dozen/the kilo </p-l>YYYvender algo por dúzia/a quilo <br><p-l>XXX billing is by the minute </p-l>YYYa cobrança é por minuto </li><li>12 (in successive degrees, units) day by day <br>dia a dia <br><p-l>XXX one by one </p-l>YYYum a or por um <br><p-l>XXX it was getting worse by the minute </p-l>YYYestava ficando pior a cada minuto </li><li>13 (indicating parentage) he had two children by his first wife <br>ele teve dois filhos com a primeira esposa </li><li>14 (indicating circumstances) por <br><p-l>XXX by accident/mistake </p-l>YYYpor acaso/engano <br><p-l>XXX by candlelight/moonlight </p-l>YYYà luz de vela/à luz da lua <br><p-l>XXX she lives by herself </p-l>YYYela vive sozinha </li><li>15 (according to, from evidence of) por <br><p-l>XXX by the rules </p-l>YYYsegundo as regras <br><p-l>XXX by law </p-l>YYYpor lei <br><p-l>XXX what time is it by your watch? </p-l>YYYque horas são no seu relógio? <br><p-l>XXX it's all right by me </p-l>YYYpor mim está tudo bem <br><p-l>XXX I knew her by her laugh </p-l>YYYeu a reconheci pela risada </li><li>16 (with respect to) por <br><p-l>XXX by birth </p-l>YYYde nascimento <br><p-l>XXX by nature </p-l>YYYpor natureza </li><li>17 Nautical <br><p-l>XXX (in compass directions) north by north west </p-l>YYYnorte para noroeste </li><li>18 (in promises, oaths) por <br><p-l>XXX I swear by Almighty God </p-l>YYYjuro por Deus Todo Poderoso </li><li>B adverb <ol><li>1 (past) the car roared by <br>o carro passou fazendo barulho <br><p-l>XXX she walked on by without stopping </p-l>YYYela passou caminhando sem parar </li><li>2 (near) he lives close by <br>ele mora perto daqui </li><li>3 (in reserve) I have some money put by that we could use <br>tenho algum dinheiro guardado que poderíamos usar </li><li>4 (at sb's home) call by on your way back <br>passa em casa na volta </li><li>C by and by adverb phrase <br><p-l>XXX by and by she realized her mistake </p-l>YYYaos poucos, ela foi percebendo seu erro </li><li>D by and large adverb phrase <br><p-l>XXX by and large I agree with what he said </p-l>YYYno geral, concordo com o que ele disse </li><li>E all by oneself adverb phrase <br><p-l>XXX she was sitting all by herself </p-l>YYYela estava sentada sozinha <br><p-l>XXX he did it all by himself </p-l>YYYele fez tudo sozinho </li><li>F by the by, by the bye adverb phrase <ol><li>1 (incidentally) where's John, by the by? <br>a propósito, cadê o John? </li><li>2 (without importance) but that's by the by <br>mas isso é o de menos </li></ol></li></ul>
bye	noun <br>Sport qualificação f  por ausência da equipe adversária <br><p-l>XXX to have or get a bye </p-l>YYYser qualificado <br>IDIOM <br>by the bye ▶ by F 
bye-bye	exclamation <br>informal tchau informal 
byelaw	noun <br>= bylaw 
by-election	@bye-election  | AmE ˈbaɪəˌlɛkʃən, BrE ˈbʌɪəˌlɛkʃ(ə)n | <br>noun <br>eleição f  suplementar (realizada no Reino Unido para substituir um <br>parlamentar quando este morre ou abandona o cargo) 
byelorussia	proper noun <br>= Belarus 
bygone	<ul><li>A adjective before n <br>remoto ‹days, years, scene› <br><p-l>XXX in bygone days </p-l>YYYem tempos remotos </li><li>B bygones plural noun <br>coisas fpl  do passado <br>IDIOM <br>let bygones be bygones <br>esquecer o passado </li></ul>
bylaw	@byelaw  | AmE ˈbaɪlɔ, BrE ˈbʌɪlɔː | <br>noun <ol><li>1 (of local authority) lei f  municipal </li><li>2 (of company or society) estatuto m </li></ol>
byline	noun <ol><li>1 Journalism assinatura f (num artigo de jornal) </li><li>2 Sport linha f  de fundo </li></ol>
bypass	<ul><li>A noun <ol><li>1 (road) via f  perimetral Brazil, estrada f  de circunvalação Portugal </li><li>2 Medicine ponte f  de safena </li><li>B transitive verb <ol><li>1 (not consult) passar por cima de ‹manager, chief, organization› </li><li>2 (circumvent) evitar ‹issue, difficulty, procedure, regulations› </li><li>3 (travel around) contornar ‹town, region› </li><li>4 Medicine contornar ‹body part› </li></ol></li></ul>
bypass operation	noun <br>Medicine cirurgia f  de revascularização do miocárdio 
byproduct	noun <ol><li>1 (secondary product) subproduto m </li><li>2 (secondary result) consequência f </li></ol>
byroad	noun <br>estrada f  secundária 
bystander	noun <br>transeunte mf 
byte	noun <br>byte m 
byway	noun <ol><li>1 (small road) estrada f  secundária </li><li>2 (little known area) escaninho m <br><p-l>XXX the lesser-known byways of history/literature </p-l>YYYos escaninhos da história/literatura </li></ol>
byword	noun <ol><li>1 figurative (typical example) sinônimo m Brazil, sinónimo m Portugal <br><p-l>XXX its name became a byword for elegance </p-l>YYYseu nome virou sinônimo de elegância </li><li>2 (motto) lema m </li></ol>
by-your-leave	noun <br>pedido m  de desculpa <br><p-l>XXX without so much as a by-your-leave </p-l>YYYsem ao menos um pedido de desculpa 
byzantine	adjective <ol><li>1 (relating to the Eastern Orthodox Church) bizantino ‹empire, architecture, <br>laws› </li><li>2 figurative (complex) incompreensível ‹regulations, traditions› <br><p-l>XXX I found their laws totally Byzantine </p-l>YYYachei suas leis totalmente incompreensíveis <br><p-l>XXX a book of Byzantine complexity </p-l>YYYum livro de uma complexidade inextricável </li></ol>
bácoro	bácora masculine noun, feminine noun <br>Zoology piglet <br>EXPRESSÃO <br>gritar que nem um bácoro <br>to squeal like a stuck pig 
báculo	@báculo pastoral <br>masculine noun Religion <br>crosier 
bálsamo	masculine noun <ol><li>1 Botany balsam </li><li>2 (medicamento) balm <br><p-l>XXX um bálsamo labial </p-l>YYYa lip balm </li><li>3 (consolo) balm <br><p-l>XXX um bálsamo para a alma </p-l>YYYa balm for the soul </li><li>4 (perfume) balsam <br><p-l>XXX o bálsamo aromado e quente das resinas </p-l>YYYthe hot, aromatic balsam of the resins </li></ol>
báltico	adjective <br>Baltic ‹república, tribo, âmbar› 
bárbaro	adjective <ol><li>1 History barbarian ‹povo, invasão› </li><li>2 (cruel) barbaric ‹pessoa› <br><p-l>XXX a polícia acaba de desvendar mais um crime bárbaro que chocou a população </p-l>YYYlocal <br>the police have just solved another barbaric crime that shocked the local <br>population </li><li>3 barbarous ‹estilo, linguagem› <br><p-l>XXX a vingança é um instinto bárbaro </p-l>YYYrevenge is a barbarous instinct </li></ol>
bárbaros	masculine plural noun <br>Barbarians 
bário	masculine noun <br>Chemistry barium 
báscula	feminine noun <ol><li>1 (balança) decimal scale <br><p-l>XXX básculas para pesagem de camiões </p-l>YYYa weighbridge for trucks </li><li>2 (em joalheria) spring <br><p-l>XXX pulseira com fecho de báscula </p-l>YYYbracelet with a spring clasp </li></ol>
básico	<ul><li>A adjective <ol><li>1 (essencial) basic ‹princípio, conhecimento› <br><p-l>XXX um dos conceitos básicos da psicologia </p-l>YYYone of the basic concepts of psychology <br><p-l>XXX um requisito básico </p-l>YYYa basic requirement <br><p-l>XXX saneamento básico </p-l>YYYbasic sanitation <br><p-l>XXX ensino básico </p-l>YYYprimary education </li><li>2 (elementar) basic ‹noção› <br><p-l>XXX princípios básicos de higiene e cidadania </p-l>YYYbasic principals of hygiene and citizenship <br><p-l>XXX um curso básico de programação </p-l>YYYa basic course in programming </li><li>3 (basilar) basic ‹instinto› <br><p-l>XXX as necessidades básicas do Homem </p-l>YYYthe basic needs of Mankind </li><li>4 (simples) basic ‹esquema, equipamento› ; simple, unfussy ‹vestuário› <br><p-l>XXX o PC mais vendido é o modelo básico </p-l>YYYthe top selling PC is the basic model <br><p-l>XXX pode parecer muito básico, mas não é </p-l>YYYit might seem very basic, but it isn't <br><p-l>XXX opte por um vestido básico e bonito </p-l>YYYgo for a nice, simple dress </li><li>5 (pouco desenvolvido) basic <br><p-l>XXX meu conhecimento sobre esse assunto é muito básico </p-l>YYYmy knowledge on this matter is very basic </li><li>6 Chemistry basic, alkali ‹composto, corante› <br><p-l>XXX um sal básico </p-l>YYYa basic salt, an alkali salt </li><li>7 Portugal derogatory (pouco inteligente) thick <br><p-l>XXX nosso baterista era muito básico </p-l>YYYour drummer was very thick <br><p-l>XXX és tão básico! </p-l>YYYyou're so thick! </li><li>B adjective phrase <br><p-l>XXX (essencial) o básico </p-l>YYYthe basics (usu pl) <br><p-l>XXX aprender o básico da programação </p-l>YYYto learn the basics of programming <br>▸ compro sempre o básico </li><li>I always buy the basics </li></ol></li></ul>
bátega	feminine noun <br>sudden shower 
bélgica	feminine noun <br>Belgium 
bélico	adjective <br>arms ‹indústria› ; military ‹poderio, conflict› ; warlike ‹material› <br><p-l>XXX as indústrias bélicas das grandes potências </p-l>YYYthe major powers' arms industries <br><p-l>XXX um conflito bélico entre povos </p-l>YYYa military conflict between people <br><p-l>XXX o poderio bélico de um país </p-l>YYYa country's warlike power 
bétula	feminine noun <br>Botany birch <br><p-l>XXX madeira de bétula </p-l>YYYbirch wood 
