a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
abaixamento	masculine noun <ol><li>1 (de posição, nivel) lowering, drop </li><li>2 (diminuição) decrease <br><p-l>XXX um abaixamento da temperatura do corpo </p-l>YYYa decrease in body temperature <br><p-l>XXX um abaixamento da taxa de juro </p-l>YYYa decrease or fall in the interest rate <br><p-l>XXX um abaixamento dos preços </p-l>YYYa decrease or fall in prices </li><li>3 (abatimento) decline </li></ol>
abaixar	<ul><li>A transitive verb Brazil <ol><li>1 (inclinar para o chão) to lower ‹cabeça› </li><li>2 (diminuir a intensidade de) to lower ‹volume› <br><p-l>XXX abaixe o fogo ao mínimo </p-l>YYYlower the heat to minimum <br><p-l>XXX abaixou a voz para que ninguém escutasse </p-l>YYYhe lowered his voice so nobody could hear </li><li>3 (reduzir) to lower ‹preço, valor, nível› <br><p-l>XXX o remédio abaixa o colesterol </p-l>YYYthe medication lowers cholesterol </li><li>4 (fazer descer) to take down, to drop ‹calças› </li><li>B intransitive verb Brazil <br>(diminuir) «preço» to drop <br><p-l>XXX a temperatura vai abaixar neste fim de semana </p-l>YYYthe temperature is going to drop this weekend </li><li>C abaixar-se pronominal verb Brazil <ol><li>1 (inclinar-se para o chão) «pessoa» to bend over <br><p-l>XXX abaixou-se sobre a cama e beijou-a no rosto </p-l>YYYhe bent over above the bed and kissed her face </li><li>2 (agachar-se) «pessoa» to bend down <br><p-l>XXX o jovem abaixou-se e apanhou uma estrela </p-l>YYYthe young boy bent down and picked up a starfish </li><li>3 (submeter-se) «pessoa» to give in <br><p-l>XXX ele não se abaixa perante os outros e diz o que tem a dizer </p-l>YYYhe won't give in to others and says what he has to say <br>EXPRESSÕES <br>abaixar as calças para alguém <br>to give in to sb <br>abaixar a crista <br>to get off one's high horse </li></ol></li></ul>
abaixo	<ul><li>A adverb <ol><li>1 (da parte superior para a inferior) down <br><p-l>XXX caí escada abaixo </li><li>I fell down the stairs </p-l>YYY▸ vir abaixo <br>to collapse <br><p-l>XXX a torre veio abaixo </p-l>YYYthe tower collapsed </li><li>2 (na parte inferior) below <br><p-l>XXX veja as imagens abaixo </p-l>YYYsee the images below <br><p-l>XXX os abaixo designados </p-l>YYYthe below-named </li><li>3 (em posição inferior a) abaixo de <br>below <br><p-l>XXX abaixo da superfície do solo </p-l>YYYbelow ground level <br><p-l>XXX abaixo da linha do horizonte </p-l>YYYbelow the horizon </li><li>4 (em grau, quantidade, idade, etc) abaixo de <br>below <br><p-l>XXX 3 graus abaixo de zero </p-l>YYYthree degrees below zero <br><p-l>XXX abaixo da linha de pobreza/média nacional </p-l>YYYbelow the poverty line/the national average <br><p-l>XXX ficar abaixo do previsto </p-l>YYYto be far below what one expects or much less than expected </li><li>5 Portugal (em lugar menos elevado) down <br><p-l>XXX vem cá abaixo! </p-l>YYYcome down here! </li><li>B exclamation <br><p-l>XXX (fora!) abaixo a ditadura! </p-l>YYYdown or out with the dictatorship! <br>EXPRESSÃO <br>deitar abaixo alguém <br>to get sb down </li></ol></li></ul>
abaixo-assinado	masculine noun pl abaixo-assinados <br>petition <br><p-l>XXX assinar or subscrever um abaixo-assinado </p-l>YYYto sign a petition 
abajur	masculine noun <ol><li>1 (armação de candeeiro) lampshade </li><li>2 Brazil (candeeiro) lamp </li></ol>
abalada	feminine noun Portugal <br>departure <br><p-l>XXX estar de abalada </p-l>YYYto be about to leave <br><p-l>XXX estou mesmo de abalada! </p-l>YYYI'm just about to leave! <br><p-l>XXX ir de abalada </p-l>YYYto go <br><p-l>XXX vamos lá de abalada! </p-l>YYYlet's go! 
abalado	adjective <ol><li>1 (mal seguro) unstable ‹edifício› </li><li>2 (inseguro) shaky ‹amizade, fé› </li><li>3 (enfraquecido) weak <br><p-l>XXX a doença deixou-o muito abalado </p-l>YYYthe illness has left him very weak </li><li>4 (deprimido, perturbado) upset <br><p-l>XXX ele ficou muito abalado com a notícia </p-l>YYYhe was very upset by the news </li></ol>
abalançar	<ul><li>A transitive verb <ol><li>1 (avaliar) to assess <br><p-l>XXX abalançar o número de vítimas </p-l>YYYto assess the number of victims </li><li>2 (impelir) to drive </li><li>B abalançar-se pronominal verb <br>(atrever-se) «pessoa» to dare <br><p-l>XXX não me abalanço a negar tal teoria </li><li>I don't dare deny such a theory </p-l>YYY(lançar-se) «pessoa» to throw oneself </li></ol></li></ul>
abalar	<ul><li>A transitive verb <ol><li>1 (fazer tremer) to shake, to rock ‹edifício› </li><li>2 (demover) to shake ‹confiança, autoestima› <br><p-l>XXX este fato em nada abalará a nossa amizade </p-l>YYYthis matter won't shake our friendship </li><li>3 (inquietar) to rock ‹país, mundo› </li><li>4 (comover) to shake ‹pessoa› <br><p-l>XXX a notícia abalou-o muito </p-l>YYYthe news really shook him </li><li>5 (enfraquecer) to weaken ‹pessoa, doente› <br><p-l>XXX a doença abalou-o muito </p-l>YYYthe illness really weakened him </li><li>B intransitive verb <br>(partir) «pessoa» to leave <br><p-l>XXX abalou há mais de dois anos! </p-l>YYYhe left over two years ago! </li><li>C abalar-se pronominal verb <ol><li>1 (perder firmeza) «sentimento, amizade» to become shaky </li><li>2 (comover-se) «pessoa» to be shaken </li></ol></li></ul>
abalizado	adjective <ol><li>1 (competente) skilled ‹pessoa› ; expert ‹opinião› <br><p-l>XXX eles não estão abalizados nesta matéria </p-l>YYYthey are not skilled in this subject <br><p-l>XXX estar abalizado para fazer algo </p-l>YYYto be able or competent to do sth </li><li>2 (limitado com baliza) marked ‹lugar› </li></ol>
abalizar	<ul><li>A transitive verb <ol><li>1 (analisar) to assess ‹assunto, questão› <br><p-l>XXX abalizou a questão antes de se decidir </p-l>YYYhe assessed the question before deciding </li><li>2 (balizar, demarcar) to mark out ‹local, lugar› </li><li>B abalizar-se pronominal verb <br>(distinguir-se) «pessoa, artista» to distinguish oneself </li></ol></li></ul>
