hofméster	<p-n>D</p-n> steward (on board a ship).
hoga-hoga	to go on a spree. <i>Uangnya</i> <i>untuk</i> –. He spends wildly.
hoi	(interjection used to get s.o.’s attention) hey! –! <i>Jangan</i> <i>petik</i> <i>bunga</i> <i>di</i> <i>kebun</i> <i>saya</i>! Hey! Don’t pick the flowers in my yard!
hoisum	 → HAISOM.
hojah and hojat	 → HUJAH I, II.
hoka(h)	<p-n>A</p-n> hookah, water pipe, k.o. smoking pipe in which the smoke is drawn through water; → ROKOK <i>hoka</i><p-n>h</p-n>.
Hokbén	clipped form of Hoka Hoka Bento, a chain of popular Japanese restaurants.
hoki I	<p-n>E</p-n> hockey. – <i>és</i> ice hockey. <br><p-l>(<b>ber</b>)<b>main</b> </p-l>– to play hockey. <br><p-l>pehoki </p-l>hockey player.
hoki II	<p-n>C</p-n> luck. <i>Rupanya</i> – <i>belum</i> <i>ada</i> <i>pada</i> <i>almarhum</i>. It seems that the deceased had no luck; t KEBERUNTUNGAN.<br><p-l>hoki-<b>hokian</b> </p-l>trust in blind luck. <i>Usaha</i> <i>rekaman</i> <i>mémang</i> <i>kayak</i> <i>judi</i>, ~. The recording business is really like gambling, trusting in blind luck.
Hokian(g)	<p-n>C</p-n> relating to Fukien province (<i>esp</i> the Amoy and Chang-chow divisions, not Fuchau itself ).
hokie and hokki(e)	 → HOKI II.
hokok	<p-n>Jp</p-n> – <i>kepada</i> to report (in the Japanese way, by bowing or saluting to a superior).
hokokai	(<i>Jp</i> <i>during</i> <i>the</i> <i>occupation</i>) Public Service Association.
hol	<p-n>A</p-n> annual, ritual feast given in commemoration of s.o.’s death.\n<i>menepati</i> – to hold such a feast.
Hol(l)an	 → HOLLANDS.
holiganisme	<p-n>D</p-n> hooliganism.
holisme	(<i>D</i>/<i>E</i>) holism.
holistik	<p-n>E</p-n> holistic.
Hollands	<p-n>D</p-n> Dutch. – <i>spréken</i> to speak Dutch. <i>seorang</i> <i>notaris</i> <i>kawakan</i> <i>yang</i> <i>bisa</i> – <i>spréken</i> an experienced notary public who can speak Dutch.
holomini	<p-n>Pap</p-n> penis-sheath; → KOTÉKA.
holopis	<p-n>Jv</p-n> to work together cooperatively; yo-heave-ho; → TU- WA-GA. – <i>kuntul</i> <i>baris</i> words chanted by a group of workers to keep their concerted movements in rhythm. <bi>berholopis</bi>-<bi>kun</bi>- <bi>tul</bi>-<bi>baris</bi> to work together in a group.
Holosén	<p-n>D</p-n> Holocene.
holé	deception. <i>tukang</i> – swindler.
hom	<p-n>Pap</p-n> taro.
hombo	(in Nias) jumping. - <i>batu</i> stone jumping; → FAHOMBÉ.
hombréng	<p-n>Pr</p-n> [homo bréngsék?] gay, homo.
homing	(<i>E</i> <i>mil</i>) homing.
homo	<p-n>D</p-n> homosexual. <i>orang</i> – a homosexual.<br><p-l>berhomo and <b>menghomo</b> </p-l>to commit homosexual acts with. <i>Dia</i>\n~ S. He committed homosexual acts with S.<br><p-l>menghomoi </p-l>to commit homosexual acts with. <i>Polisi</i> <i>tak</i> <i>dapat</i> <i>memastikan</i> <i>apakah</i> <i>dia</i> <i>benar</i> ~ <i>anak</i>-<i>anak</i> <i>angkatnya</i> <i>itu</i>.\nThe police couldn’t confirm whether he really had committed homosexual acts with his adopted children.<br><p-l>kehomoan </p-l>homosexuality. <i>Para</i> <i>gay</i> <i>yang</i> <i>diwawancarai</i> <i>di</i> <i>ber</i>- <i>bagai</i> <i>tempat</i> <i>tak</i> <i>ada</i> <i>yang</i> <i>mencemaskan</i> ~<i>nya</i> <i>sebagai</i> <i>nasib</i> <i>buruk</i>. None of the gays who were interviewed in various places regretted their homosexuality as a bad fate.
homofil	(<i>D</i>/<i>E</i>) homophile, homosexual.
homofon	(<i>D</i>/<i>E</i>) homophone.
homofoni	(<i>D</i>/<i>E</i>) homophony.
homograf	(<i>D</i>/<i>E</i>) homograph.
homogén	<p-n>D</p-n> homogeneous.\n　<br><p-l>kehomogenan </p-l>homogeneity.
homogénitas	<p-n>D</p-n> homogeneity.
homologasi	(<i>D</i> <i>leg</i>) approval.<br><p-l>menghomologasikan </p-l>to approve.
homologi	(<i>D</i>/<i>E</i>) homology.
homonim	(<i>D</i>/<i>E</i>) homonym.<br><p-l>berhomonim </p-l>homonymous. <i>kata</i>-<i>kata</i> <i>yang</i> ~ homonymous words.\n　<br><p-l>kehomoniman </p-l>homonymy.
homonimi	(<i>D</i>/<i>E</i>) homonymy.
homorgan	<p-n>D</p-n> homorganic (sound).
homoséks	homosexual.
homoséksual	<p-n>E</p-n> and
homoséksualitas	<p-n>D</p-n> homosexuality.
homoséksuil	<p-n>D</p-n> homosexual.
homowan	(male) homosexual. <i>protés</i> <i>kaum</i> – protest of the homo- sexuals.
homowati	female homosexual, lesbian.
hompimpa	a children’s game for three players. They all chant <i>hom</i>- <i>pim</i>-<i>pa</i> and on the last syllable they each hold out a hand face up or face down. The winner is the one whose hand is different from the other two.
homéopat	<p-n>D</p-n> homeopath.
homéopati	<p-n>D</p-n> homeopathy.
honai	<p-n>Pap</p-n> round house.
honar	 → ONAR I.
Honda I	 <br><p-l>1 </p-l>brand name of a Japanese make of motorcycle. <br><p-l>2 </p-l>(in Nias) any brand of motorcycle. – <i>bako</i> a Honda motorcycle purchased from the receipts of a tobacco harvest. – <i>bébék</i> the 80-cc Honda motorcycle resembling a duck.<br><p-l>ber-<b>Honda</b> </p-l>to ride a Honda motorbike. <i>Perampok</i> ~ <i>menyikat</i> <i>TV</i> <i>dan</i> <i>radio</i>. Bandits on a Honda motorbike stole a television and radio set.
honda II	[honoré ( pemerintah) daérah] honorary worker/teacher who works for an honorarium.<br><p-l>menghondakan </p-l>to hire such a worker/teacher, etc. for a hono- rarium/stipend.
honda III	(in Bandung) an <i>oplét</i>.
Hondanisasi	the introduction of Honda outboard motors for\nfishing boats.
Hondawan I	a Honda motorcyclist; → HONDA I.
hondawan II	an honorary worker hired by a regional/local govern- ment; → HONDA II.
hondayung	<p-n>joc</p-n> bicycle; the term is a blend of <i>Honda</i> “Honda” and <i>dayung</i> “pedal.”
hondoh-pondoh	<p-n>M</p-n> in throngs; → BERDUYUN-DUYUN. <i>Meréka</i> <i>itu</i>\n– <i>ke</i> <i>puskésmas</i>. They went in throngs to the clinic.
hong I	culvert, sewer.
hong II	 → BURUNG <i>hong</i>.
hong III	<p-n>Skr</p-n> the Sanskrit and Buddhist “om,” a word signifying the Hindu Trinity, used by Malay medicine men.
Hongaria	Hungary.
hongerloon	<p-n>D</p-n> /hongerlon/ starvation wages.
hongeroedeem	<p-n>D</p-n> /hongerudim/ and
hongerudim	 → H.O. I
honghiam	<p-n>C</p-n> risk.
honghouw	<p-n>C</p-n> empress.
hongi	a heavily armed fleet of praus at the time of the Dutch East India Company (1602–1800) used during a project to destroy nutmeg trees where they were growing in abundance (to keep the market price of nutmegs at a high level). <i>pelayaran</i> – an ex- pedition with such a fleet.
hongkoé	<p-n>C</p-n> → HUNGKUÉ, HUNGKWÉ, HUNKWÉ.
hongsip	<p-n>C</p-n> rheumatism.
honjé	<p-n>J</p-n> k.o. fruit-bearing plant, <i>Nicolaia</i> <i>spp</i>.
honor	clipped form of <br><p-l>honorarium. </p-l>– <i>secara</i> <i>borongan</i> flat pay- ment. <i>Kasino</i> <i>dkk</i> <i>dari</i> <i>Prambors</i> <i>waktu</i> <i>itu</i> <i>minta</i> – <i>secara</i> <i>borongan</i> <i>Rp</i> <i>10</i> <i>juta</i>. Kasino and friends from Prambors at that time asked for a flat payment of Rp 10 million.<br><p-l>menghonor </p-l>to give s.o. a honorarium.
honorarium	<p-n>D</p-n> <br><p-l>1 </p-l>honorarium, remuneration, stipend. <br><p-l>2 </p-l>payment for services.<br><p-l>menghonorarium </p-l>to give a honorarium.
honorifik	<p-n>E</p-n> honorific.
honoris causa	 /honoris kausa/ [h.c.] <p-n>L</p-n> honorary. <i>doktor</i> – hon- orary doctor, doctor h.c.
honorér	<p-n>D</p-n> <br><p-l>1 </p-l>honorary. <i>anggota</i> – honorary member. <br><p-l>2 </p-l>paid by honorarium and not by salary. <i>pegawai</i> – hired on a contract basis (not permanently and consequently receiving a honorar- ium and not a fixed salary).
honyok terhonyok	~ <i>pada</i> slammed against.
honé	 → HONAI.
hooin	<p-n>Jp</p-n> court.
hoop	(<i>D</i> <i>ob</i>) /hop/ head overseer (in sugarcane field); → HOP I.
hoopéng, hooping, hoping	<p-n>C</p-n> close friend.
hop I	(<i>coq</i> <i>D</i>) head, chief.
hop II	stop! (said by city bus conductors to the driver).
hopagén	(<i>D</i> <i>col</i>) police sergeant.
hopbiro	(<i>D</i> <i>col</i>) police headquarters.
hopjaksa	(<i>D</i> <i>col</i>) chief public prosecutor.
hopkantor	(<i>D</i> <i>col</i>) head office.
hopyes	<p-n>D</p-n> hard coffee-flavored caramel.
hopéng and hoping	<p-n>C</p-n> close friend.
horak menghorak	to unveil, unwind; → ORAK I.
horas I	<p-n>Bat</p-n> long live!
horas II	<p-n>Port</p-n> time, hour.
horbo	<p-n>Bat</p-n> water buffalo; → KERBAU.
hordéng	<p-n>D</p-n> curtains, drapery.
horison	(<i>D</i>/<i>E</i>) horizon. – <i>alam</i> visible/apparent horizon. – <i>nyata</i>\ncelestial/rational horizon.
horisontal	(<i>D</i>/<i>E</i>) horizontal.
hormat	<p-n>A</p-n> <br><p-l>1 </p-l>respect, esteem, honor, high regard. <i>dengan</i> – a) with respect, respectfully. b) <i>Dengan</i> – (in correspondence) Dear Sir. <i>dengan</i> <i>segala</i> – with all due respect. <i>diberhentikan</i> <p-n>tidak</p-n> <i>dengan</i> – to be (dis)honorably discharged. <i>kurang</i> – impolite, ill-mannered, rude. <i>merasa</i> – to feel honored. <br><p-l>2 </p-l>courteous, well- mannered, respectful. <i>Gadis</i> <i>itu</i> <i>cantik</i> <i>lagi</i> –. That girl is pretty and well-mannered. <br><p-l>3 </p-l>salute. <i>memberi</i> – <i>pada</i> <i>bendéra</i>/ <i>panji</i> to salute the flag. <br><p-l>4 </p-l>sincere, trustful. – <i>dan</i> <i>salam</i>, – <i>dan</i> <i>takzim</i>/ <i>taklim</i> and – <i>saya</i> (in correspondence) yours faithfully/ truly, sincerely/respectfully yours. – <i>dan</i> <i>salam</i> <i>dari</i> with the compli- ments of. – <i>pada</i> <i>orangtua</i> filial piety.<br><p-l>berhormat </p-l>honored, respected, esteemed. <i>Ia</i> <i>seorang</i> <i>yang</i> ~ <i>di</i> <i>kampungnya</i>. He’s a respected person in his area.<br><p-l>berhormat-<b>hormatan</b> </p-l>to exchange courtesies, be courteous to e.o.<br><p-l>menghormat </p-l>to respect, show respect to.<br><p-l>menghormati</p-l> <br><p-l>1 </p-l>to ( pay) respect (to), show respect for, to pay homage/tribute to, honor. <i>Anak</i>-<i>anak</i> <i>wajib</i> ~ <i>orang</i> <i>tuanya</i>. Children should respect their parents. <i>Perjanjian</i> <i>Saling</i> ~, <i>Persahabatan</i>, <i>dan</i> <i>Kerjasama</i>. Treaty of Mutual Respect, Friendship, and Cooperation (between Indonesia and Papua New Guinea). <i>untuk</i> ~ in honor of. <br><p-l>2 </p-l>to regard, think highly of. <br><p-l>3 </p-l>to look up to. ~ <i>manula</i> to look up to the elderly.<br><p-l>hormat-<b>menghormati</b> </p-l>to exchange courtesies, show respect to e.o.<br><p-l>terhormat</p-l> <br><p-l>1 </p-l>respected, honorable. <i>orang</i> <i>yang</i> ~ persona grata. <i>Bapak</i>-<i>bapak</i> <i>dan</i> <i>Ibu</i>-<i>ibu</i> <i>yang</i> ~! Ladies and Gentlemen! <br><p-l>2 </p-l>high-class. <i>kelab</i> <i>malam</i> <i>yang</i> ~ a high-class nightclub. <br><p-l>3 </p-l>refined. <i>wanita</i> ~ a refined lady. <br><p-l>4 </p-l>dear (salutation to a letter).<br><p-l>kehormatan</p-l> <br><p-l>1 </p-l>courtesy, honor <p-n>mod</p-n>, honorary. <i>barisan</i> ~ honor guard. <i>nama</i> ~ courtesy title, epithet. <i>tamu</i> ~ visiting dignitary. <i>visa</i> ~ courtesy visa. <i>dikebumikan</i> <i>dengan</i> <i>penuh</i> ~ to be in- terred with full honors. ~ <i>prajurit</i> soldier’s honor. <br><p-l>2 </p-l>honor, rep- utation. <br><p-l>3 </p-l>dignity. ~ <i>kemanusiaan</i> human dignity. <br><p-l>4 </p-l>a woman’s\nchastity/purity/honor. <i>Ia</i> <i>kehilangan</i> ~<i>nya</i>. She lost her virgin- ity. ~ <i>kesusilaan</i> decency. <br><p-l>berkehormatan </p-l>to have a sense of honor/self-respect.<br><p-l>penghormat </p-l>that which respects/honors, that which is done as a form of respect/honor. <i>barisan</i> ~ → BARISAN <i>kehormatan</i>.<br><p-l>penghormatan </p-l>high respect/esteem, honor, homage. <i>memberi</i>- <i>kan</i> ~ <i>terakhir</i> <i>kepada</i> <i>pusara</i> <i>almarhum</i> <i>S</i>. to render the last honors to the grave of the late S.
hormon	(<i>D</i>/<i>E</i>) hormone. – <i>kelaki</i>-<i>lakian</i> androgen. – <i>kewanitaan</i>\nestrogen. – <i>pertumbuhan</i> growth hormone.
hormonal	(<i>D</i>/<i>E</i>) hormonal.
Hormuz	<p-n>A</p-n> <i>Selat</i> – Strait of Hormuz.
horok-horok	k.o. dessert made from rice flour.
horor	<p-n>E</p-n> horror. <i>adegan</i>/<i>film</i> – horror scene/film.
horoskop	(<i>D</i>/<i>E</i>) horoscope.
hortikultur(a)	<p-n>D</p-n> horticulture. <i>petani</i> – horticulturist.
hortikulturis	<p-n>E</p-n> horticulturist.
horé	<p-n>E</p-n> hurray! hurrah!
horég	<p-n>Jv</p-n> to shake as a result of a strong force. “<i>Rumah</i> <i>saya</i> <i>terasa</i>\n–,” <i>kata</i> <i>seorang</i> <i>nénék</i>. “I felt my house shaking to its founda- tions,” said an old lady.
hoskut	<p-n>D</p-n> housecoat, dressing gown.
hospital	<p-n>D</p-n> hospital; → RUMAH <i>sakit</i>.\n　<br><p-l>menghospitalkan </p-l>to hospitalize.
hospitalisasi	<p-n>E</p-n> hospitalization.
hosti	<p-n>D</p-n> host, consecrated wafer. – <i>Suci</i> Holy Host.
hostél	<p-n>E</p-n> hostel.
hostés	<p-n>E</p-n> <br><p-l>1 </p-l>hostess, girl in nightclub, etc. <br><p-l>2 </p-l>prostitute.
hot	<p-n>E</p-n> <br><p-l>1 </p-l>hot, sexy, passionate. <i>celana</i> – hot pants. <i>lagu</i>-<i>lagu</i> hot songs. – <i>pants</i> hot pants. <bi>berhot</bi> <bi>pants</bi> to wear hot pants. <br><p-l>2 </p-l>sex- ually aroused, horny. <i>Aku</i> <i>rasa</i> –. I feel horny.<br><p-l>menghotkan </p-l>to jazz up.
hotdog	<p-n>E</p-n> /hotdok/ hotdog.
hotib	 → KHATIB.
hotmiks	<p-n>E</p-n> hot mix.<br><p-l>berhotmiks </p-l>hot mixed. <i>Jalan</i>-<i>jalan</i> <i>utama</i> <i>di</i> <i>kota</i> <i>Purwokerto</i> <i>kini</i> <i>sudah</i> <i>lébar</i> <i>dan</i> ~. The main roads in Purwokerto are now al- ready wide and hot mixed.
hotperdom	<p-n>D</p-n> goddamn!
hotél	<p-n>D</p-n> hotel. <i>keluar</i> – to check out. <i>masuk</i> – to check into a hotel. <i>meninggalkan</i> – to check out of a hotel. – <i>berbintang</i> a hotel that has been given a rating of a number of stars. – <i>berbintang</i> <i>lima</i> a\nfive-star hotel. – <i>bertaraf</i> <i>Internasional</i> a hotel of international standards. – <i>kelas</i> <i>kambing</i>/<i>krésék</i> fleabag hotel. – <i>megah</i> luxury hotel. – <i>melati</i> inn, guesthouse, lodging, non-star hotel; → LOS- MÉN. – <i>mercusuar</i> luxury hotel (under President Soekarno). – <i>prodéo</i> <p-n>euph</p-n> prison, jail. <bi>menghotélprodéokan</bi> to imprison, incarcerate, jail.<br><p-l>sehotél </p-l>in the same hotel (as).<br><p-l>menghotélkan</p-l> <br><p-l>1 </p-l>to put in a hotel. <br><p-l>2 </p-l><p-n>euph</p-n> to imprison.<br><p-l>perhotélan </p-l>hotel <p-n>mod</p-n>. <i>bisnis</i> ~ hotel business. <i>pengelolaan</i>/ <i>manajemén</i> ~ hotel management. <i>sekolah</i> ~ hotel school.
hotélir	<p-n>D</p-n> hotelkeeper.
houder	(<i>D</i> <i>ob</i>) /hoder/ magazine for firearms.
houver	 /hower/ → HOUDER.
howdah	<p-n>A</p-n> seat of platform for one or more persons, <i>usu</i> with a railing and canopy, placed on the back of an elephant.
howitser	<p-n>D</p-n> howitzer.
hoyak	<p-n>Jv</p-n> → OYAK I. <br><p-l>menghoyak-<b>hoyak</b> </p-l>to shake up. <i>Singgasana</i> <i>para</i> <i>déwa</i> (<i>konkrétnya</i>, <i>para</i> <i>menteri</i>) <i>seperti</i> <i>dihoyak</i>-<i>hoyak</i>. It was as if the throne of the gods (i.e., the ministers) had been all shaken up.
hoyong	to swerve; → OYONG I. <i>Tiba</i>-<i>tiba</i> <i>pesawat</i> – <i>ke</i> <i>kiri</i>. All of a sudden the airplane swerved to the left.
hoé	<p-n>C</p-n> “hoey,” i.e., a secret society.
HP I	<p-n>init</p-n> → HÉNPON.
HP II	<p-n>init</p-n> homepage.
HPH	<p-n>init</p-n> → HAK <i>pengusahaan</i> <i>hutan</i>.
HPS	<p-n>init</p-n> → HARI <i>Pangan</i> <i>Sedunia</i>.
HR	[hadis riwayat] hadis transmitted by.
hrs	<p-n>abbr</p-n> → Harus.
HSU	[(Kabupatén) Hulu Sungai Utara] North Hulu Sungai (Re- gency in South Kalimantan).
HT	<p-n>init</p-n> Handy Talky.
HTI	<p-n>init</p-n> → HUTAN <i>Tanaman</i> <i>Industri</i>.
hu	<p-n>C</p-n> piece of paper placed over entrance door of a house as a good luck charm.
Hua	<p-n>A</p-n> He, God (for Islamic mystics).
huana	 → WANNA.
huap	<p-n>S</p-n> → SUAP. <br><p-l>1 </p-l>a bite. <br><p-l>2 </p-l>a mouthful. – <i>lingkung</i> an old custom in which newlyweds put a ball of rice in e.o.’s mouth.
hub	(in acronyms) → HUBUNGAN, PERHUBUNGAN.
hubad	[<i>perhubungan</i> <i>angkatan</i> <i>darat</i>] Army Communications.
hubah	<p-n>A</p-n> love.
hubaya-hubaya	warning! watch out! – <i>jangan</i> absolutely not. <i>Saya</i> <i>berdoa</i> <i>kepada</i> <i>Allah</i> – <i>jangan</i> <i>salah</i> <i>lagi</i>. I prayed to God not to sin again.
hubb	<p-n>A</p-n> love. – <i>ahl</i> <i>al</i>-<i>bayt</i> love for the descendants of Muham- mad. –<i>ul</i> <i>watani</i> <i>minal</i> <i>imani</i> and –<i>ul</i> <i>wathon</i> <i>minal</i> <i>iman</i> (a saying often quoted in newspapers) love of one’s native land is part of faith.
hubin	[hubungan industri] industrial relations.
hububan	<p-n>Jv</p-n> bellows.
hubung	connect, join, link.<br><p-l>berhubung</p-l> <br><p-l>1 </p-l>to be connected (with s.t.), be joined/linked/cou- pled/attached (to s.t.). <i>Paviliun</i> <i>itu</i> ~ <i>dengan</i> <i>rumah</i> <i>induk</i>. The pavilion is connected to the main building. <br><p-l>2 </p-l>to be connected/ related to, in connection (with). <i>Kedatangannya</i> ~ <i>dengan</i> <i>pem</i>- <i>bukaan</i> <i>kantor</i> <i>cabang</i> <i>baru</i>. His arrival was in connection with the opening of a new branch office. <br><p-l>3 </p-l><p-n>coq</p-n> a) since, seeing that.\n~ <i>terlibat</i> <i>dalam</i> <i>gerakan</i> <i>séparatis</i> since he was involved in a separatist movement. b) because of, due to, owing to. ~ <i>naik</i>- <i>nya</i> <i>harga</i> <i>kertas</i> because of the increase in the price of paper. ~ <i>dengan</i> in consequence of, as a result of, in pursuance of, pursu- ant to, on the strength/basis of, in connection with, in reference (or, referring) to. ~ <i>dengan</i> <i>surat</i> <i>Tuan</i> <i>tertanggal</i> <i>6</i> <i>April</i> in reference to your letter of April 6. – <i>péndék</i>/<i>singkat</i> short cir- cuit; → KORSLÉTING.<br><p-l>berhubungan</p-l> <br><p-l>1 </p-l>= <br><p-l>berhubung. <b>2</b> </p-l>to be connected (with e.o.), be\nin contact/touch (with e.o.), be related (to s.t.), have s.t. to do (with). <i>Harap</i> ~ <i>dengan</i> <i>R</i>. Please, contact R. <i>Ini</i> ~ <i>dengan</i> <i>pe</i>- <i>kerjaan</i> <i>Anda</i>. This has to do with your job. <i>Anak</i> <i>itu</i> <i>selalu</i> ~ <i>dengan</i> <i>ibunya</i>. That child is in constant touch with his mother.\n~ <i>badan</i> to have sexual intercourse. <br><p-l>3 </p-l>to communicate (with), get/keep) in touch (with). <i>bejana</i> ~ communicating vessels. <i>tidak</i> ~ to have no connection (with), no bearing (on).<br><p-l>menghubungi </p-l>to communicate with, get in touch with, make contact with, contact (s.o.). <i>tidak</i> <i>dapat</i> <i>dihubungi</i> <i>untuk</i> <i>di</i>- <i>mintai</i> <i>keterangan</i> to be unavailable for comment.<br><p-l>memperhubungi </p-l>to put s.t. or s.o. in contact (with).<br><p-l>menghubungkan </p-l>[and <br><p-l>memperhubungkan </p-l><p-n>infr</p-n>] <br><p-l>1 </p-l>to connect, relate, associate. <br><p-l>2 </p-l>to put s.o. in contact/touch with s.o. else. <i>Hubungkan</i> <i>saya</i> <i>dengan</i> <i>Surabaya</i>. Connect me with Surabaya. <i>Hubungkan</i> <i>saya</i> <i>dengan</i> <i>manajér</i>. Put me through to the man- ager. ~ <i>calon</i> <i>pembeli</i> <i>mobil</i> <i>dengan</i> <i>pramuniaganya</i> to bring the prospective car buyers in contact with the salesman.<br><p-l>terhubung </p-l>connected, related, linked. <i>Di</i> <i>Indonésia</i> <i>hanya</i> <i>Pusat</i> <i>Ilmu</i> <i>Komputer</i> <i>Univérsitas</i> <i>Indonésia</i> <i>yang</i> ~ <i>ke</i> <i>Internét</i>. In Indonesia only the Computer Center of the University of In- donesia is connected to the Internet. <br><p-l>keterhubungan </p-l>connect- edness, relatedness, relationship. <i>Pemilihan</i> <i>adalah</i> <i>éksprési</i> <i>dari</i> <i>rasa</i> ~ <i>seseorang</i> <i>dengan</i> <i>suatu</i> <i>masyarakat</i> <i>tertentu</i>. Elec- tions are an expression of the relationship of a person with a certain community.<br><p-l>hubungan</p-l> <br><p-l>1 </p-l>contact, connection, link(ing), association. <i>putus</i> ~ to lose contact, break up. <br><p-l>2 </p-l>relationship, tie, connection, com- munication, correlation, context. <i>dalam</i> ~ <i>ini</i> in this context. <i>dalam</i> ~ <i>kelompok</i> in groups. <i>yang</i> <i>erat</i> ~<i>nya</i> <i>dengan</i> that/who/ which is closely linked to. <i>memulihkan</i> ~ to restore relations. <i>menggalang</i> ~ <i>erat</i> <i>dengan</i> <i>Iran</i> to cultivate close relations with Iran. <i>prosés</i> <i>awal</i> <i>pemupukan</i> ~ <i>baik</i> the initial process of foster- ing good relations. <br><p-l>3 </p-l>cam. <br><p-l>4 </p-l>coupling (in poetry). ~ <i>antaragama</i> interreligious relationships. ~ <i>antarpulau</i>/<i>antarkepulauan</i> in- terinsular communications. ~ <i>badan</i>/<i>intim</i>/<i>kelamin</i>/<i>tubuh</i> sex- ual relations/intercourse, carnal knowledge. <i>melakukan</i> ~ <i>badan</i> to have sexual intercourse; → BERSEBADAN. ~ <i>bapak</i>-<i>anak</i> patron- client relationship. ~ <i>bawahan</i> subordination. ~ <i>bébas</i> free sex.\n~ <i>dagang</i> trade relations. ~ <i>darah</i> blood relationship, consanguinity. ~ <i>dasar</i> underlying relationship. ~ <i>dérét</i> <p-n>elec</p-n> parallel\nconnection (in wiring). ~ <i>dinas</i> employment. ~ <i>diplomatik</i> dip- lomatic relations. <i>memutuskan</i>/<i>menjalin</i> ~ <i>diplomatik</i> <i>dengan</i> to sever/establish diplomatic relations with. ~ <i>famili</i> family rela- tionship. ~ <i>gelap</i> illicit relations. ~ <i>insani</i> human relations. ~ <i>jabatan</i> employment. ~ <i>jajar</i> <p-n>elec</p-n> parallel connection. ~ <i>kali</i>- <i>mat</i> <p-n>gram</p-n> (sentential) context. ~ <i>kekuasaan</i> power relations.\n~ <i>keluarga</i> family relationship. ~ <i>kerja</i> engagement, employ- ment. ~ <i>masyarakat</i> [humas] public relations; → PR XV. ~ <i>nyawa</i> sweetheart. ~ <i>péndék</i> <p-n>elec</p-n> short circuit; → KOR(T)SLÉTING. ~ <i>persaudaraan</i> ties of blood. <i>tidak</i> <i>ada</i> ~ <i>persaudaraan</i> <i>antara</i> <i>kita</i> there are no ties of blood between us, we are not related to\ne.o. ~ <i>saling</i> <i>melengkapi</i> complementary relationship. <i>séks</i> <i>di</i> <i>luar</i> ~ <i>perkawinan</i> extramarital sexual relations. ~ <i>semenda</i> re- lationship by marriage. <bi>berhubungan</bi> <bi>semenda</bi> to be related by marriage. ~ <i>singkat</i> <p-n>elec</p-n> short circuit; → KOR(T)SLÉTING. ~ <i>suami</i>-<i>istri</i> husband and wife relationship. <i>melakukan</i> ~ <i>suami</i>- <i>istri</i> to have sexual intercourse between husband and wife. ~ <i>susuan</i> relationship by wet nurse. <bi>berhubungan</bi> <bi>susuan</bi> to have had the same wet nurse. ~ <i>télepon</i> telephone connection. ~ <i>téle</i>- <i>pon</i> <i>langsung</i> hot line, direct connection. ~ <i>terbatas</i>/<i>tertutup</i> closed circuit (in electricity). ~ <i>timbal</i>-<i>balik</i> a) correlation, in- teraction. b) two-way (traffic); → LALULINTAS <i>dwimarga</i>. ~ <i>usaha</i> business relationship. <br><p-l>sehubungan </p-l>~ <i>dengan</i> <br><p-l>1 </p-l>in connec- tion with, with regard to. ~ <i>dengan</i> <i>ini</i> in this connection. <br><p-l>2 </p-l>due/ owing to, because of, given. ~ <i>dengan</i> <i>naiknya</i> <i>harga</i> <i>beras</i> due to the increase in the price of rice. <br><p-l>3 </p-l>pursuant to, under. ~ <i>de</i>- <i>ngan</i> <i>Keputusan</i> <i>Diréktur</i> <i>Jénderal</i> <i>Pajak</i> <i>No</i>. … pursuant to Di- rector General of Taxes’ Directive Number ...<br><p-l>penghubung</p-l> <br><p-l>1 </p-l>link, connection, connecting part. <i>kata</i> ~ <p-n>gram</p-n>\nconnecting word. ~ <i>télepon</i> telephone operator. <br><p-l>2 </p-l>liaison, con- tact. <i>perwira</i> ~ liaison officer.<br><p-l>penghubungan </p-l>connecting, relating.<br><p-l>perhubungan </p-l>communications (highway/radio, etc.), relations.\n<i>Menteri</i> ~ [Ménhub] Minister of Communications. <i>memegang</i>\n~ <i>yang</i> <i>baik</i> <i>dengan</i> in good terms with. ~ <i>keluarga</i> <i>semenda</i> affinity. ~ <i>langsung</i> point-to-point communication. ~ <i>majikan</i>- <i>buruh</i> labor relations. ~ <i>perdagangan</i> trade relations.
Hud	<p-n>A</p-n> “Hud”; name of the 11th chapter of the Koran.
hudai	shallow washbasin.
Hudaibi(y)a	<p-n>A</p-n> → PERJANJIAN <i>Hudaibi</i><p-n>y</p-n><i>a</i>.
hudhud	<p-n>A</p-n> hoopoe bird, <i>Upupa</i> <i>epops</i>.
hudud	<p-n>A</p-n> (Islamic) criminal law; → had II.
huduh	 → ODOH.
hudur	<p-n>A</p-n> presence.
hugin	<p-n>C</p-n> donation, gift.
huh	hey! ha! ah! oh! “–, <i>lagi</i>-<i>lagi</i> <i>kak</i> <i>Addy</i> <i>bolos</i>,” <i>katanya</i> <i>di</i> <i>dalam</i> <i>hati</i>. “A-ha, Addy played hooky again,” he said to himself.
hui I	 → HWÉÉ.
hui II	– <i>boléd</i> <p-n>S</p-n> sweet potato, <i>Ipomoea</i> <i>batatas</i>.
