a posteriori and aposteriori	<p-n>L</p-n> retrospectively, in retrospect.
A V	(in music) the sixth tone/note in the ascending scale of C ma- jor.
A VI	car license plate for Banten.
A ’45	[Angkatan ’45] the Generation of 1945.
a-go-go and ago-go I	<p-n>D</p-n> a go-go, go-go.<br><p-l>bera-<b>go</b>-<b>go</b> </p-l>to go-go dance.
a.d. IV	<p-n>abbr</p-n> [atas dasar] at, on the basis of.
A.H. IV	[Anno Hejirae] follows a date in the Islamic calendar.
a.p.	<p-n>abbr</p-n> [atas perintah] on the orders of, by order of.
AA	car license plate for Kedu (Magelang).
aah	ah. –, <i>itu</i> <i>kan</i> <i>proyék</i> <i>swasta</i>. Ah, that’s a private project.
aala and a’ala	dynasty; → RAJAKULA. – <i>Tang</i> Tang dynasty.
aam	<p-n>A</p-n> general. <i>Rois</i> – General Chairman (of the <i>NU</i>); → AM.
aau	ow! ouch!
ab I	(<i>A</i> <i>ob</i>) father.
ab II	<p-n>ob</p-n> a tin opium box/cylinder.
AB III	car license plate for Yogyakarta.
aba I	<p-n>A</p-n> father.
aba II	<p-n>Jv</p-n> <i>pemegang</i> – <i>genderang</i> drum major(ette).<br><p-l>aba-<b>aba</b> </p-l><p-n>mil</p-n> command, signal, word of command. <i>memberikan</i>\n~ <i>kepada</i> to command, give a command to. ~ <i>kerja</i> work in- structions. <i>tanpa</i> ~ without a word. <br><p-l>mengaba-<b>abakan</b> </p-l>to move (one’s hand) in a gesture, gesture with (one’s hand).<br><p-l>mengabakan </p-l>to drill, train (in military exercises).<br><p-l>pengaba</p-l> <br><p-l>1 </p-l>~ <i>genderang</i> drum major(ette). <br><p-l>2 </p-l><p-n>mil</p-n> drill instruc- tor.
aba III	– <i>daba</i> germs, bacteria, bacilli, disease-causing microbes.
abab	<p-n>Jv</p-n> <br><p-l>1 </p-l>breath (from the mouth). <br><p-l>2 </p-l>empty talk. – <i>besar</i> empty talk.<br><p-l>mengababi </p-l>to breathe on.
