#no sort
GEN 2:5	<p-n>@1. Mose  2:5</p-n>	Es war aber noch kein Strauch des Feldes auf Erden, noch irgend ein grünes Kraut auf dem Felde gewachsen; denn Gott der HERR hatte noch nicht regnen lassen auf Erden, und es war kein Mensch vorhanden, um das Land zu bebauen.  
GEN 2:6	<p-n>@1. Mose  2:6</p-n>	Aber ein Dunst stieg auf von der Erde und befeuchtete die ganze Erdoberfläche.  
GEN 2:7	<p-n>@1. Mose  2:7</p-n>	Da bildete Gott der HERR den Menschen, Staub von der Erde, und blies den Odem des Lebens in seine Nase, und also ward der Mensch eine lebendige Seele.  
GEN 2:8	<p-n>@1. Mose  2:8</p-n>	Und Gott der HERR pflanzte einen Garten in Eden gegen Morgen und setzte den Menschen darein, den er gemacht hatte.  
GEN 2:9	<p-n>@1. Mose  2:9</p-n>	Und Gott der HERR ließ allerlei Bäume aus der Erde hervorsprossen, lieblich anzusehen und gut zur Nahrung, und den Baum des Lebens mitten im Garten und den Baum der Erkenntnis des Guten und Bösen.  
GEN 2:10	<p-n>@1. Mose  2:10</p-n>	Und ein Strom ging aus von Eden, zu wässern den Garten; von dort aber teilte er sich und ward zu vier Hauptströmen.  
GEN 2:11	<p-n>@1. Mose  2:11</p-n>	Der erste heißt Pison; das ist der, welcher das ganze Land Chavila umfließt, woselbst das Gold ist;  
GEN 2:12	<p-n>@1. Mose  2:12</p-n>	und das Gold desselbigen Landes ist gut; dort kommt auch das Bedolach vor und der Edelstein Schoham.  
GEN 2:13	<p-n>@1. Mose  2:13</p-n>	Der zweite Strom heißt Gichon; das ist der, welcher das ganze Land Kusch umfließt.  
GEN 2:14	<p-n>@1. Mose  2:14</p-n>	Der dritte Strom heißt Hidekel; das ist der, welcher östlich von Assur fließt. Der vierte Strom ist der Euphrat.  
GEN 2:15	<p-n>@1. Mose  2:15</p-n>	Und Gott der HERR nahm den Menschen und setzte ihn in den Garten Eden, daß er ihn bauete und bewahrete.  
GEN 2:16	<p-n>@1. Mose  2:16</p-n>	Und Gott der HERR gebot dem Menschen und sprach: Du sollst essen von allen Bäumen des Gartens;  
GEN 2:17	<p-n>@1. Mose  2:17</p-n>	aber von dem Baum der Erkenntnis des Guten und des Bösen sollst du nicht essen; denn welchen Tages du davon issest, mußt du unbedingt sterben!  
GEN 2:18	<p-n>@1. Mose  2:18</p-n>	Und Gott der HERR sprach: Es ist nicht gut, daß der Mensch allein sei; ich will ihm eine Gehilfin machen, die ihm entspricht!  
GEN 2:19	<p-n>@1. Mose  2:19</p-n>	Und Gott der HERR bildete aus Erde alle Tiere des Feldes und alle Vögel des Himmels und brachte sie zu dem Menschen, daß er sähe, wie er sie nennen würde, und damit jedes lebendige Wesen den Namen trage, den der Mensch ihm gäbe.  
GEN 2:20	<p-n>@1. Mose  2:20</p-n>	Da gab der Mensch einem jeglichen Vieh und Vogel und allen Tieren des Feldes Namen; aber für den Menschen fand sich keine Gehilfin, die ihm entsprochen hätte.  
GEN 2:21	<p-n>@1. Mose  2:21</p-n>	Da ließ Gott der HERR einen tiefen Schlaf auf den Menschen fallen; und während er schlief, nahm er eine seiner Rippen und verschloß deren Stelle mit Fleisch.  
GEN 2:22	<p-n>@1. Mose  2:22</p-n>	Und Gott der HERR baute aus der Rippe, die er von dem Menschen genommen hatte, ein Weib und brachte sie zu ihm.  
GEN 2:23	<p-n>@1. Mose  2:23</p-n>	Da sprach der Mensch: Das ist nun einmal Bein von meinem Bein und Fleisch von meinem Fleisch! Die soll Männin heißen; denn sie ist dem Mann entnommen!  
GEN 2:24	<p-n>@1. Mose  2:24</p-n>	Darum wird der Mensch seinen Vater und seine Mutter verlassen und seinem Weibe anhangen, daß sie zu einem Fleische werden.  
GEN 2:25	<p-n>@1. Mose  2:25</p-n>	Und sie waren beide nackt, der Mensch und sein Weib, und schämten sich nicht.   
GEN 3:1	<p-n>@1. Mose  3:1</p-n>	Aber die Schlange war listiger als alle Tiere des Feldes, die Gott der HERR gemacht hatte; und sie sprach zum Weibe: Hat Gott wirklich gesagt, ihr dürft nicht essen von jedem Baum im Garten?  
GEN 3:2	<p-n>@1. Mose  3:2</p-n>	Da sprach das Weib zur Schlange: Wir essen von der Frucht der Bäume im Garten;  
GEN 3:3	<p-n>@1. Mose  3:3</p-n>	aber von der Frucht des Baumes mitten im Garten hat Gott gesagt: Esset nicht davon und rührt sie auch nicht an, damit ihr nicht sterbet!  
GEN 3:4	<p-n>@1. Mose  3:4</p-n>	Da sprach die Schlange zum Weibe: Ihr werdet sicherlich nicht sterben!  
GEN 3:5	<p-n>@1. Mose  3:5</p-n>	Sondern Gott weiß: welchen Tages ihr davon esset, werden eure Augen aufgetan und ihr werdet sein wie Gott und wissen, was gut und böse ist.  
GEN 3:6	<p-n>@1. Mose  3:6</p-n>	Als nun das Weib sah, daß von dem Baume gut zu essen wäre und daß er eine Lust für die Augen und ein wertvoller Baum wäre, weil er klug machte, da nahm sie von dessen Frucht und aß und gab zugleich auch ihrem Mann davon, und er aß.  
GEN 3:7	<p-n>@1. Mose  3:7</p-n>	Da wurden ihrer beider Augen aufgetan, und sie wurden gewahr, daß sie nackt waren; und sie banden Feigenblätter um und machten sich Schürzen.  
GEN 3:8	<p-n>@1. Mose  3:8</p-n>	Und sie hörten die Stimme Gottes, des HERRN, der im Garten wandelte beim Wehen des Abendwindes; und der Mensch und sein Weib versteckten sich vor dem Angesicht Gottes des HERRN hinter die Bäume des Gartens.  
GEN 3:9	<p-n>@1. Mose  3:9</p-n>	Da rief Gott der HERR dem Menschen und sprach: Wo bist du?  
GEN 3:10	<p-n>@1. Mose  3:10</p-n>	Er sprach: Ich hörte deine Stimme im Garten und fürchtete mich; denn ich bin nackt, darum verbarg ich mich!  
GEN 3:11	<p-n>@1. Mose  3:11</p-n>	Da sprach er: Wer hat dir gesagt, daß du nackt bist? Hast du etwa von dem Baum gegessen, davon ich dir gebot, du sollest nicht davon essen?  
GEN 3:12	<p-n>@1. Mose  3:12</p-n>	Da sprach der Mensch: Das Weib, das du mir zugesellt hast, die gab mir von dem Baum, und ich aß!  
GEN 3:13	<p-n>@1. Mose  3:13</p-n>	Da sprach Gott der HERR zum Weibe: Warum hast du das getan? Das Weib antwortete: Die Schlange verführte mich, daß ich aß!  
GEN 3:14	<p-n>@1. Mose  3:14</p-n>	Da sprach Gott der HERR zur Schlange: Weil du solches getan hast, so seist du verflucht vor allem Vieh und vor allen Tieren des Feldes! Auf deinem Bauch sollst du kriechen und Erde essen dein Leben lang!  
GEN 3:15	<p-n>@1. Mose  3:15</p-n>	Und ich will Feindschaft setzen zwischen dir und dem Weibe, zwischen deinem Samen und ihrem Samen; derselbe soll dir den Kopf zertreten, und du wirst ihn in die Ferse stechen.  
GEN 3:16	<p-n>@1. Mose  3:16</p-n>	Und zum Weibe sprach er: Ich will dir viele Schmerzen durch häufige Empfängnis bereiten; mit Schmerzen sollst du Kinder gebären; und du sollst nach deinem Manne verlangen, er aber soll herrschen über dich!  
GEN 3:17	<p-n>@1. Mose  3:17</p-n>	Und zu Adam sprach er: Dieweil du gehorcht hast der Stimme deines Weibes und von dem Baum gegessen, davon ich dir gebot und sprach: «Du sollst nicht davon essen», verflucht sei der Erdboden um deinetwillen, mit Mühe sollst du dich davon nähren dein Leben lang;  
GEN 3:18	<p-n>@1. Mose  3:18</p-n>	Dornen und Disteln soll er dir tragen, und du sollst das Gewächs des Feldes essen.  
GEN 3:19	<p-n>@1. Mose  3:19</p-n>	Im Schweiße deines Angesichtes sollst du dein Brot essen, bis daß du wieder zur Erde kehrst, von der du genommen bist; denn du bist Staub und kehrst wieder zum Staub zurück!  
GEN 3:20	<p-n>@1. Mose  3:20</p-n>	Und Adam nannte sein Weib Eva; denn sie wurde die Mutter aller Lebendigen.  
GEN 3:21	<p-n>@1. Mose  3:21</p-n>	Und Gott der HERR machte Adam und seinem Weibe Pelzröcke und bekleidete sie.  
GEN 3:22	<p-n>@1. Mose  3:22</p-n>	Und Gott der HERR sprach: Siehe, der Mensch ist geworden wie unsereiner, insofern er weiß, was gut und böse ist; nun soll er nicht auch noch seine Hand ausstrecken und vom Baume des Lebens nehmen und essen und ewiglich leben!  
GEN 3:23	<p-n>@1. Mose  3:23</p-n>	Deswegen schickte ihn Gott der HERR aus dem Garten Eden, damit er den Erdboden bearbeite, von dem er genommen war.  
GEN 3:24	<p-n>@1. Mose  3:24</p-n>	Und er vertrieb den Menschen und ließ östlich vom Garten Eden die Cherubim lagern mit dem gezückten flammenden Schwert, zu bewahren den Weg zum Baume des Lebens.   
GEN 4:1	<p-n>@1. Mose  4:1</p-n>	Und Adam erkannte sein Weib Eva; sie aber empfing und gebar den Kain. Und sie sprach: Ich habe einen Mann bekommen mit der Hilfe des HERRN!  
GEN 4:2	<p-n>@1. Mose  4:2</p-n>	Und weiter gebar sie seinen Bruder Abel. Und Abel ward ein Schäfer, Kain aber ein Ackersmann.  
GEN 4:3	<p-n>@1. Mose  4:3</p-n>	Es begab sich aber nach Verfluß von Jahren, daß Kain dem HERRN ein Opfer brachte von den Früchten der Erde.  
GEN 4:4	<p-n>@1. Mose  4:4</p-n>	Und Abel, auch er brachte [dar] von den Erstgebornen seiner Schafe und von ihren Fettesten.  
GEN 4:5	<p-n>@1. Mose  4:5</p-n>	Und der HERR sah an Abel und sein Opfer; aber Kain und sein Opfer sah er gar nicht an. Da ergrimmte Kain sehr und ließ den Kopf hängen.  
GEN 4:6	<p-n>@1. Mose  4:6</p-n>	Da sprach der HERR zu Kain: Warum bist du so zornig und lässest den Kopf hängen? Ist's nicht also: Wenn du gut bist, so darfst du dein Haupt erheben?  
GEN 4:7	<p-n>@1. Mose  4:7</p-n>	Bist du aber nicht gut, so lauert die Sünde vor der Tür, und ihre Begierde ist auf dich gerichtet; du aber herrsche über sie!  
GEN 4:8	<p-n>@1. Mose  4:8</p-n>	Da redete Kain mit seinem Bruder Abel. Es begab sich aber, als sie auf dem Felde waren, da erhob sich Kain wider seinen Bruder Abel und schlug ihn tot.  
GEN 4:9	<p-n>@1. Mose  4:9</p-n>	Da sprach der HERR zu Kain: Wo ist dein Bruder Abel? Er sprach: Ich weiß es nicht! Soll ich meines Bruders Hüter sein?  
GEN 4:10	<p-n>@1. Mose  4:10</p-n>	Er aber sprach: Was hast du getan? Die Stimme des Blutes deines Bruders schreit zu mir von der Erde!  
GEN 4:11	<p-n>@1. Mose  4:11</p-n>	Und nun sollst du verbannt sein aus dem Land, das seinen Mund aufgetan hat, das Blut deines Bruders zu empfangen von deiner Hand!  
GEN 4:12	<p-n>@1. Mose  4:12</p-n>	Wenn du das Land bebaust, soll es dir fortan sein Vermögen nicht mehr geben; unstät und flüchtig sollst du sein auf Erden!  
GEN 4:13	<p-n>@1. Mose  4:13</p-n>	Kain sprach zum HERRN: Meine Schuld ist zu groß zum Tragen!  
GEN 4:14	<p-n>@1. Mose  4:14</p-n>	Siehe, du treibst mich heute aus dem Lande, und ich muß mich vor deinem Angesicht verbergen und unstät und flüchtig sein auf Erden. Und es wird geschehen, daß mich totschlägt, wer mich findet.  
GEN 4:15	<p-n>@1. Mose  4:15</p-n>	Da sprach der HERR: Fürwahr, wer Kain totschlägt, zieht sich siebenfache Rache zu! Und der Herr gab dem Kain ein Zeichen, daß ihn niemand erschlüge, der ihn fände.  
GEN 4:16	<p-n>@1. Mose  4:16</p-n>	Und Kain ging aus von dem Angesicht des HERRN und wohnte im Lande Nod, östlich von Eden.  
GEN 4:17	<p-n>@1. Mose  4:17</p-n>	Und Kain erkannte sein Weib; die empfing und gebar den Hanoch. Und da er eben eine Stadt baute, so nannte er sie nach seines Sohnes Namen Hanoch.  
GEN 4:18	<p-n>@1. Mose  4:18</p-n>	Dem Hanoch aber ward Irad geboren, und Irad zeugte Mehujael; Mehujael zeugte Metusael, Metusael zeugte Lamech.  
GEN 4:19	<p-n>@1. Mose  4:19</p-n>	Lamech aber nahm sich zwei Weiber: die eine hieß Ada, die andere Zilla.  
GEN 4:20	<p-n>@1. Mose  4:20</p-n>	Und Ada gebar Jabal; derselbe wurde der Vater der Zeltbewohner und Herdenbesitzer.  
GEN 4:21	<p-n>@1. Mose  4:21</p-n>	Und sein Bruder hieß Jubal; derselbe wurde der Vater aller Harfen und Flötenspieler.  
GEN 4:22	<p-n>@1. Mose  4:22</p-n>	Und Zilla, auch sie gebar den Tubal-Kain, den Meister in allerlei Erz und Eisenwerk. Und die Schwester Tubal-Kains war Naama.  
GEN 4:23	<p-n>@1. Mose  4:23</p-n>	Und Lamech sprach zu seinen Weibern: «Ada und Zilla, hört meine Stimme, ihr Weiber Lamechs, vernehmt meinen Spruch! Einen Mann erschlug ich, weil er mich verwundet, einen Jüngling, weil er mich geschlagen hat;  
GEN 4:24	<p-n>@1. Mose  4:24</p-n>	denn Kain soll siebenfach gerächt werden, Lamech aber siebenundsiebzigfach!»  
GEN 4:25	<p-n>@1. Mose  4:25</p-n>	Und Adam erkannte sein Weib abermal; die gebar einen Sohn und nannte ihn Seth; denn Gott hat mir für Abel einen andern Samen gesetzt, weil Kain ihn umgebracht hat.  
GEN 4:26	<p-n>@1. Mose  4:26</p-n>	Und auch dem Seth ward ein Sohn geboren, den hieß er Enosch. Damals fing man an, den Namen des HERRN anzurufen.   
GEN 5:1	<p-n>@1. Mose  5:1</p-n>	Dies ist das Buch von Adams Geschlecht: Am Tage, da Gott den Menschen schuf, machte er ihn Gott ähnlich;  
GEN 5:2	<p-n>@1. Mose  5:2</p-n>	männlich und weiblich schuf er sie und segnete sie und nannte ihren Namen Adam, am Tage, da er sie schuf.  
GEN 5:3	<p-n>@1. Mose  5:3</p-n>	Und Adam war 130 Jahre alt, als er einen Sohn zeugte, ihm selbst gleich, nach seinem Bilde, und nannte ihn Seth.  
GEN 5:4	<p-n>@1. Mose  5:4</p-n>	Und nachdem er den Seth gezeugt, lebte Adam noch 800 Jahre und zeugte Söhne und Töchter;  
GEN 5:5	<p-n>@1. Mose  5:5</p-n>	also daß Adams ganzes Alter 930 Jahre betrug, als er starb.  
GEN 5:6	<p-n>@1. Mose  5:6</p-n>	Seth war 105 Jahre alt, als er den Enosch zeugte;  
GEN 5:7	<p-n>@1. Mose  5:7</p-n>	und Seth, nachdem er den Enosch gezeugt, lebte 807 Jahre und zeugte Söhne und Töchter;  
GEN 5:8	<p-n>@1. Mose  5:8</p-n>	also daß Seths ganzes Alter 912 Jahre betrug, als er starb.  
GEN 5:9	<p-n>@1. Mose  5:9</p-n>	Enosch war 90 Jahre alt, als er den Kenan zeugte;  
GEN 5:10	<p-n>@1. Mose  5:10</p-n>	und Enosch, nachdem er den Kenan gezeugt, lebte 815 Jahre und zeugte Söhne und Töchter;  
GEN 5:11	<p-n>@1. Mose  5:11</p-n>	also daß Enoschs ganzes Alter 905 Jahre betrug, als er starb.  
GEN 5:12	<p-n>@1. Mose  5:12</p-n>	Kenan war 70 Jahre alt, als er den Mahalaleel zeugte;  
GEN 5:13	<p-n>@1. Mose  5:13</p-n>	und Kenan, nachdem er den Mahalaleel gezeugt, lebte 840 Jahre und zeugte Söhne und Töchter;  
GEN 5:14	<p-n>@1. Mose  5:14</p-n>	also daß Kenans ganzes Alter 910 Jahre betrug, da er starb.  
GEN 5:15	<p-n>@1. Mose  5:15</p-n>	Mahalaleel war 65 Jahre alt, als er den Jared zeugte;  
GEN 5:16	<p-n>@1. Mose  5:16</p-n>	und Mahalaleel, nachdem er den Jared gezeugt, lebte 830 Jahre und hat Söhne und Töchter gezeugt;  
GEN 5:17	<p-n>@1. Mose  5:17</p-n>	also daß Mahalaleels ganzes Alter 895 Jahre betrug, als er starb.  
GEN 5:18	<p-n>@1. Mose  5:18</p-n>	Jared war 162 Jahre alt, als er den Henoch zeugte;  
GEN 5:19	<p-n>@1. Mose  5:19</p-n>	und Jared, nachdem er den Henoch gezeugt, lebte 800 Jahre und zeugte Söhne und Töchter;  
GEN 5:20	<p-n>@1. Mose  5:20</p-n>	also daß Jareds ganzes Alter 962 Jahre betrug, da er starb.  
GEN 5:21	<p-n>@1. Mose  5:21</p-n>	Henoch war 65 Jahre alt, als er den Methusalah zeugte;  
GEN 5:22	<p-n>@1. Mose  5:22</p-n>	und Henoch, nachdem er den Methusalah gezeugt, wandelte er mit Gott 300 Jahre lang und zeugte Söhne und Töchter;  
GEN 5:23	<p-n>@1. Mose  5:23</p-n>	also daß Henochs ganzes Alter 365 Jahre betrug.  
GEN 5:24	<p-n>@1. Mose  5:24</p-n>	Und Henoch wandelte mit Gott und war nicht mehr, weil Gott ihn zu sich genommen hatte.  
GEN 5:25	<p-n>@1. Mose  5:25</p-n>	Methusalah war 187 Jahre alt, als er den Lamech zeugte;  
GEN 5:26	<p-n>@1. Mose  5:26</p-n>	und Methusalah, nachdem er den Lamech gezeugt, lebte 782 Jahre und zeugte Söhne und Töchter;  
