#no sort
LEV 14:55	<p-n>@3. Mose  14:55</p-n>	auch über den Aussatz der Kleider und der Häuser  
LEV 14:56	<p-n>@3. Mose  14:56</p-n>	und über die Geschwulst, den Ausschlag und die weißen Flecken,  
LEV 14:57	<p-n>@3. Mose  14:57</p-n>	um Belehrung zu geben für den Tag der Verunreinigung und der Reinigung. Es ist das Gesetz vom Aussatz.   
LEV 15:1	<p-n>@3. Mose  15:1</p-n>	Und der HERR redete zu Mose und Aaron und sprach:  
LEV 15:2	<p-n>@3. Mose  15:2</p-n>	Redet mit den Kindern Israel und sprecht zu ihnen: Wenn ein Mann einen Ausfluß hat, der von seinem Fleische fließt, so ist er unrein.  
LEV 15:3	<p-n>@3. Mose  15:3</p-n>	Und zwar ist er unrein an diesem Flusse, wenn sein Fleisch den Ausfluß frei fließen läßt; auch wenn sein Fleisch verstopft wird von dem Ausflusse, so ist er unrein.  
LEV 15:4	<p-n>@3. Mose  15:4</p-n>	Jedes Lager, worauf der mit einem Ausfluß Behaftete liegt, und alles, worauf er sitzt, wird unrein;  
LEV 15:5	<p-n>@3. Mose  15:5</p-n>	und wer sein Lager anrührt, soll seine Kleider waschen und sich mit Wasser baden und unrein sein bis zum Abend;  
LEV 15:6	<p-n>@3. Mose  15:6</p-n>	und wer sich auf etwas setzt, worauf der mit einem Ausfluß Behaftete gesessen hat, der soll seine Kleider waschen und sich mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:7	<p-n>@3. Mose  15:7</p-n>	Wer sein Fleisch anrührt, der soll seine Kleider waschen und sich mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:8	<p-n>@3. Mose  15:8</p-n>	Wenn aber der mit einem Ausfluß Behaftete seinen Speichel auswirft auf einen, der rein ist, so soll dieser seine Kleider waschen und sich mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:9	<p-n>@3. Mose  15:9</p-n>	Auch der Sattel und alles, worauf der mit einem Ausfluß Behaftete reitet, wird unrein;  
LEV 15:10	<p-n>@3. Mose  15:10</p-n>	und wer immer etwas anrührt, das unter ihm gewesen ist, der wird unrein sein bis zum Abend. Und wer etwas solches trägt, der soll seine Kleider waschen und sich mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:11	<p-n>@3. Mose  15:11</p-n>	Und wen der mit einem Ausfluß Behaftete anrührt, ohne daß er zuvor die Hände mit Wasser gewaschen hat, der soll seine Kleider waschen und sich mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:12	<p-n>@3. Mose  15:12</p-n>	Wenn er ein irdenes Geschirr anrührt, so soll man es zerbrechen; aber jedes hölzerne Geschirr soll man mit Wasser waschen.  
LEV 15:13	<p-n>@3. Mose  15:13</p-n>	Und wenn er von seinem Ausfluß rein wird, so soll er sieben Tage zählen zu seiner Reinigung, und seine Kleider waschen und sein Fleisch mit lebendigem Wasser baden; so ist er rein.  
LEV 15:14	<p-n>@3. Mose  15:14</p-n>	Und am achten Tage soll er zwei Turteltauben oder zwei junge Tauben nehmen und vor den HERRN kommen, vor die Tür der Stiftshütte, und soll sie dem Priester geben.  
LEV 15:15	<p-n>@3. Mose  15:15</p-n>	Und der Priester soll die eine zum Sündopfer, die andere zum Brandopfer machen und für ihn Sühne erwirken vor dem HERRN, wegen seines Ausflusses.  
LEV 15:16	<p-n>@3. Mose  15:16</p-n>	Wenn einem Mann der Same entgeht, so soll er sein ganzes Fleisch mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:17	<p-n>@3. Mose  15:17</p-n>	Und jedes Kleid und jedes Fell, das mit solchem Samen befleckt ist, soll man mit Wasser waschen, und es bleibt unrein bis zum Abend.  
LEV 15:18	<p-n>@3. Mose  15:18</p-n>	Und wenn ein Mann bei einem Weibe liegt, daß ihm der Same entgeht, so sollen sie sich mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:19	<p-n>@3. Mose  15:19</p-n>	Wenn ein Weib ihres Fleisches Blutfluß hat, so soll sie sieben Tage lang in ihrer Unreinigkeit verbleiben. Wer sie anrührt, der bleibt unrein bis zum Abend.  
LEV 15:20	<p-n>@3. Mose  15:20</p-n>	Und alles, worauf sie in ihrer Unreinigkeit liegt, wird unrein; auch alles, worauf sie sitzt.  
LEV 15:21	<p-n>@3. Mose  15:21</p-n>	Und wer ihr Lager anrührt, der soll seine Kleider waschen und sich mit Wasser baden und bleibt unrein bis zum Abend.  
LEV 15:22	<p-n>@3. Mose  15:22</p-n>	Und wer immer etwas anrührt, worauf sie gesessen hat, der soll seine Kleider waschen und sich mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:23	<p-n>@3. Mose  15:23</p-n>	Auch wer etwas anrührt, das auf ihrem Bette war oder worauf sie gesessen hat, soll unrein sein bis zum Abend.  
LEV 15:24	<p-n>@3. Mose  15:24</p-n>	Und wenn ein Mann bei ihr liegt, und es kommt ihre Unreinigkeit an ihn, der wird sieben Tage lang unrein sein, und das Lager, worauf er gelegen hat, wird unrein sein.  
LEV 15:25	<p-n>@3. Mose  15:25</p-n>	Wenn aber ein Weib ihren Blutfluß eine lange Zeit hat, nicht nur zur gewöhnlichen Zeit, sondern auch über die gewöhnliche Zeit hinaus, so wird sie unrein sein während der ganzen Dauer ihres Flusses; wie in den Tagen ihrer Unreinigkeit soll sie auch dann unrein sein.  
LEV 15:26	<p-n>@3. Mose  15:26</p-n>	Alles, worauf sie liegt während der ganzen Zeit ihres Flusses, soll sein wie das Lager ihrer [monatlichen] Unreinigkeit; auch alles, worauf sie sitzt, wird unrein sein, gleich wie zur Zeit ihrer [monatlichen] Unreinigkeit.  
LEV 15:27	<p-n>@3. Mose  15:27</p-n>	Wer etwas davon anrührt, der wird unrein und soll seine Kleider waschen und sich mit Wasser baden und unrein sein bis zum Abend.  
LEV 15:28	<p-n>@3. Mose  15:28</p-n>	Wird sie aber rein von ihrem Flusse, so soll sie sieben Tage zählen, darnach soll sie rein sein.  
LEV 15:29	<p-n>@3. Mose  15:29</p-n>	Und am achten Tage soll sie zwei Turteltauben oder zwei junge Tauben nehmen und sie zum Priester bringen vor die Tür der Stiftshütte.  
LEV 15:30	<p-n>@3. Mose  15:30</p-n>	Und der Priester soll die eine zum Sündopfer, die andere zum Brandopfer machen und ihr wegen des Flusses ihrer Unreinigkeit Sühne erwirken vor dem HERRN.  
LEV 15:31	<p-n>@3. Mose  15:31</p-n>	Also sollt ihr die Kinder Israel absondern um ihrer Unreinigkeit willen, damit sie in ihrer Unreinigkeit nicht sterben, wenn sie meine Wohnung verunreinigen, die unter ihnen ist.  
LEV 15:32	<p-n>@3. Mose  15:32</p-n>	Dies ist das Gesetz über den, der einen Ausfluß hat, und über den, dem der Same entgeht, daß er unrein wird,  
LEV 15:33	<p-n>@3. Mose  15:33</p-n>	und über die, welche an ihrer Unreinigkeit leidet, und über solche, die einen Fluß haben, es sei ein Mann oder ein Weib, und über einen Mann, der bei einer Unreinen liegt.   
LEV 16:1	<p-n>@3. Mose  16:1</p-n>	Und der Herr redete mit Mose nach dem Tod der beiden Söhne Aarons, als sie vor den HERRN traten.  
LEV 16:2	<p-n>@3. Mose  16:2</p-n>	Und der HERR sprach zu Mose: Sage deinem Bruder Aaron, daß er nicht zu allen Zeiten in das Heiligtum hineingehe hinter den Vorhang vor den Sühndeckel, der auf der Lade ist, damit er nicht sterbe; denn ich will auf dem Sühndeckel in einer Wolke erscheinen.  
LEV 16:3	<p-n>@3. Mose  16:3</p-n>	Damit soll Aaron hineingehen in das Heiligtum: mit einem jungen Farren zum Sündopfer und mit einem Widder zum Brandopfer;  
LEV 16:4	<p-n>@3. Mose  16:4</p-n>	und er soll den heiligen leinenen Leibrock anziehen und soll ein leinenes Unterkleid an seinem Leibe haben und sich mit einem leinenen Gürtel gürten und einen leinenen Kopfbund umbinden (denn das sind die heiligen Kleider) und soll seinen Leib mit Wasser baden und sie anziehen.  
LEV 16:5	<p-n>@3. Mose  16:5</p-n>	Dann soll er von der Gemeinde der Kinder Israel zwei Ziegenböcke nehmen zum Sündopfer und einen Widder zum Brandopfer.  
LEV 16:6	<p-n>@3. Mose  16:6</p-n>	Und Aaron soll den Farren zum Sündopfer für sich selbst herzubringen und sich und seinem Haus Sühne erwirken.  
LEV 16:7	<p-n>@3. Mose  16:7</p-n>	Darnach soll er die beiden Böcke nehmen und sie vor den HERRN stellen, vor die Tür der Stiftshütte,  
LEV 16:8	<p-n>@3. Mose  16:8</p-n>	und soll das Los werfen über die beiden Böcke, ein Los für den HERRN und ein Los für den Asasel.  
LEV 16:9	<p-n>@3. Mose  16:9</p-n>	Und Aaron soll den Bock, auf welchen des HERRN Los fällt, zum Sündopfer machen.  
LEV 16:10	<p-n>@3. Mose  16:10</p-n>	Aber den Bock, auf welchen das Los Asasels fällt, soll er lebendig vor den HERRN stellen, daß er über ihm die Sühne vollziehe und ihn zum Asasel in die Wüste jage.  
LEV 16:11	<p-n>@3. Mose  16:11</p-n>	Und Aaron soll den Farren des Sündopfers, das für ihn selbst bestimmt ist, herzubringen und sich und seinem Haus Sühne erwirken und soll den Farren schächten zum Sündopfer für sich selbst.  
LEV 16:12	<p-n>@3. Mose  16:12</p-n>	Darnach nehme er die Pfanne voll Glut vom Altar, der vor dem HERRN steht, und eine Handvoll wohlriechenden zerstoßenen Räucherwerks und bringe es hinein hinter den Vorhang;  
LEV 16:13	<p-n>@3. Mose  16:13</p-n>	und er tue das Räucherwerk auf das Feuer vor dem HERRN, damit die Wolke vom Räucherwerk den Sühndeckel, der auf dem Zeugnis ist, verhülle, damit er nicht sterbe.  
LEV 16:14	<p-n>@3. Mose  16:14</p-n>	Er soll auch von dem Blut des Farren nehmen und mit seinem Finger gegen den Sühndeckel sprengen, gegen Aufgang. Siebenmal soll er also vor dem Sühndeckel mit seinem Finger vom Blute sprengen.  
LEV 16:15	<p-n>@3. Mose  16:15</p-n>	Darnach soll er den Bock, das Sündopfer des Volkes schächten und von dessen Blut hinein hinter den Vorhang bringen, und soll mit dessen Blute tun, wie er mit des Farren Blut getan hat, und auch damit sprengen auf den Sühndeckel und vor denselben.  
LEV 16:16	<p-n>@3. Mose  16:16</p-n>	Also soll er Sühne erwirken für das Heiligtum wegen der Unreinigkeiten der Kinder Israel und wegen ihrer Übertretungen und aller ihrer Sünden, und soll also tun mit der Stiftshütte, welche sich mitten unter ihren Unreinigkeiten befindet.  
LEV 16:17	<p-n>@3. Mose  16:17</p-n>	Kein Mensch soll in der Stiftshütte sein, wenn er hineingeht, um im Heiligtum die Sühne zu vollziehen, bis er wieder hinausgeht und die Sühne erwirkt hat für sich und sein Haus und die ganze Gemeinde Israel.  
LEV 16:18	<p-n>@3. Mose  16:18</p-n>	Und wenn er zum Altar herauskommt, der vor dem HERRN steht, so soll er von dem Blut des Farren und von dem Blut des Bocks nehmen und auf die Hörner des Altars tun, ringsum,  
LEV 16:19	<p-n>@3. Mose  16:19</p-n>	und soll mit seinem Finger vom Blut siebenmal darauf sprengen und ihn reinigen und von der Unreinigkeit der Kinder Israel heiligen.  
LEV 16:20	<p-n>@3. Mose  16:20</p-n>	Und wenn er die Sühne für das Heiligtum und die Stiftshütte und den Altar erwirkt hat, so soll er den lebendigen Bock herzu bringen,  
LEV 16:21	<p-n>@3. Mose  16:21</p-n>	und Aaron soll seine beiden Hände auf dieses lebendigen Bockes Kopf stützen und auf ihn alle Missetaten der Kinder Israel und alle ihre Übertretungen samt ihren Sünden bekennen, und soll sie dem Bock auf den Kopf legen und ihn durch einen Mann, der bereitsteht, in die Wüste jagen lassen;  
LEV 16:22	<p-n>@3. Mose  16:22</p-n>	daß also der Bock alle ihre Missetaten auf sich in eine Wildnis trage; und er soll ihn in der Wüste loslassen.  
LEV 16:23	<p-n>@3. Mose  16:23</p-n>	Und Aaron soll in die Stiftshütte gehen und die leinenen Kleider ausziehen, die er anzog, als er in das Heiligtum ging, und soll sie daselbst lassen,  
LEV 16:24	<p-n>@3. Mose  16:24</p-n>	und soll seinen Leib mit Wasser baden an heiliger Stätte und seine eigenen Kleider anziehen und hinausgehen und sein und des Volkes Brandopfer verrichten, und Sühnung tun für sich und das Volk.  
LEV 16:25	<p-n>@3. Mose  16:25</p-n>	Und das Fett des Sündopfers soll er auf dem Altar verbrennen.  
LEV 16:26	<p-n>@3. Mose  16:26</p-n>	Der aber, welcher den Bock zum Asasel gejagt hat, soll seine Kleider waschen und seinen Leib mit Wasser baden und darnach in das Lager kommen.  
LEV 16:27	<p-n>@3. Mose  16:27</p-n>	Den Farren des Sündopfers aber und den Bock des Sündopfers, deren Blut zur Sühnung in das Heiligtum gebracht worden ist, soll man hinaus vor das Lager führen und mit Feuer verbrennen, ihre Haut und ihr Fleisch und ihren Mist.  
LEV 16:28	<p-n>@3. Mose  16:28</p-n>	Und der sie verbrannt hat, soll seine Kleider waschen und seinen Leib mit Wasser baden und darnach in das Lager kommen.  
LEV 16:29	<p-n>@3. Mose  16:29</p-n>	Und das soll euch eine ewig gültige Ordnung sein: Am zehnten Tage des siebenten Monats sollt ihr eure Seelen demütigen und kein Werk tun, weder der Einheimische noch der Fremdling, der unter euch weilt.  
LEV 16:30	<p-n>@3. Mose  16:30</p-n>	Denn an diesem Tage wird für euch Sühne erwirkt, euch zu reinigen; von allen euren Sünden sollt ihr vor dem HERRN gereinigt werden.  
LEV 16:31	<p-n>@3. Mose  16:31</p-n>	Darum soll es euch ein Ruhe-Sabbat sein, und ihr sollt eure Seelen demütigen. Das sei eine ewige Ordnung.  
LEV 16:32	<p-n>@3. Mose  16:32</p-n>	Diese Sühne soll ein Priester vollziehen, den man gesalbt und dessen Hand man gefüllt hat, daß er an seines Vaters Statt Priester sei; und er soll die leinenen Kleider anziehen, die heiligen Kleider,  
LEV 16:33	<p-n>@3. Mose  16:33</p-n>	und soll für das Heiligtum und die Stiftshütte und den Altar Sühne erwirken; auch den Priestern und der ganzen Volksgemeinde soll er Sühne schaffen.  
LEV 16:34	<p-n>@3. Mose  16:34</p-n>	Das soll euch zur ewigen Gewohnheit weden, daß ihr für die Kinder Israel Sühne erwirkt wegen allen ihren Sünden, einmal im Jahr. Und man tat, wie der HERR Mose geboten hatte.   
LEV 17:1	<p-n>@3. Mose  17:1</p-n>	Und der HERR redete zu Mose und sprach:  
LEV 17:2	<p-n>@3. Mose  17:2</p-n>	Sage Aaron und seinen Söhnen und allen Kindern Israel und sprich zu ihnen: Das ist's, was der HERR geboten hat, indem er sprach:  
LEV 17:3	<p-n>@3. Mose  17:3</p-n>	Jedermann aus dem Hause Israel, der einen Ochsen, oder ein Lamm, oder eine Ziege im Lager oder außerhalb des Lagers schächtet,  
LEV 17:4	<p-n>@3. Mose  17:4</p-n>	und es nicht vor die Tür der Stiftshütte bringt, daß es dem HERRN zum Opfer gebracht werde vor der Wohnung des HERRN, dem soll es für eine Blutschuld gerechnet werden; er hat Blut vergossen, und es soll derselbe Mensch aus seinem Volk ausgerottet werden.  
LEV 17:5	<p-n>@3. Mose  17:5</p-n>	Darum sollen die Kinder Israel fortan ihre Opfer, die sie jetzt noch auf freiem Felde opfern, vor den HERRN bringen, vor die Tür der Stiftshütte, zum Priester, um sie daselbst dem HERRN als Dankopfer darzubringen.  
LEV 17:6	<p-n>@3. Mose  17:6</p-n>	Und der Priester soll das Blut auf den Altar des HERRN sprengen vor der Tür der Stiftshütte und das Fett verbrennen zum lieblichen Geruch dem HERRN.  
LEV 17:7	<p-n>@3. Mose  17:7</p-n>	Und sie sollen forthin ihre Opfer nicht mehr den Dämonen opfern, denen sie nachbuhlen. Das soll ihnen eine ewig gültige Ordnung sein auf alle ihre Geschlechter.  
LEV 17:8	<p-n>@3. Mose  17:8</p-n>	Und du sollst zu ihnen sagen: Welcher Mensch aus dem Hause Israel oder welcher Fremdling, der unter ihnen wohnt, ein Brandopfer oder sonst ein Schlachtopfer verrichten will  
LEV 17:9	<p-n>@3. Mose  17:9</p-n>	und es nicht vor die Türe der Stiftshütte bringt, daß er es dem HERRN zurichte, der soll ausgerottet werden aus seinem Volk.  
LEV 17:10	<p-n>@3. Mose  17:10</p-n>	Und wenn ein Mensch vom Hause Israel oder ein Fremdling, der unter ihnen wohnt, irgend Blut ißt, wider einen solchen, der Blut ißt, will ich mein Angesicht richten und ihn ausrotten aus seinem Volk;  
LEV 17:11	<p-n>@3. Mose  17:11</p-n>	denn die Seele des Fleisches ist im Blut, und ich habe es euch auf den Altar gegeben, um Sühne zu erwirken für eure Seelen. Denn das Blut ist es, das Sühne erwirkt durch die [in ihm wohnende] Seele.  
LEV 17:12	<p-n>@3. Mose  17:12</p-n>	Darum habe ich den Kindern Israel gesagt: Keine Seele unter euch soll Blut essen; auch kein Fremdling unter euch soll Blut essen.  
LEV 17:13	<p-n>@3. Mose  17:13</p-n>	Und wenn ein Mensch von den Kindern Israel oder ein Fremdling, der unter ihnen wohnt, auf der Jagd ein Wildpret oder Geflügel erwischt, das man essen darf, der soll desselben Blut ausgießen und mit Erde bedecken;  
LEV 17:14	<p-n>@3. Mose  17:14</p-n>	denn alles Fleisches Seele ist sein Blut; es ist mit seiner Seele verbunden. Darum habe ich den Kindern Israel gesagt: Ihr sollt keines Fleisches Blut essen; denn alles Fleisches Seele ist sein Blut. Wer es aber ißt, der soll ausgerottet werden.  
LEV 17:15	<p-n>@3. Mose  17:15</p-n>	Jeder aber, der ein Aas oder Zerrissenes genießt, er sei ein Einheimischer oder ein Fremdling, der soll seine Kleider waschen und sich mit Wasser baden und unrein bleiben bis zum Abend, dann wird er rein.  
LEV 17:16	<p-n>@3. Mose  17:16</p-n>	Wenn er aber sein Kleid nicht waschen und sein Fleisch nicht baden wird, so soll er seine Schuld tragen.   
LEV 18:1	<p-n>@3. Mose  18:1</p-n>	Und der HERR redete zu Mose und sprach: Rede mit den Kindern Israel und sprich zu ihnen:  
LEV 18:2	<p-n>@3. Mose  18:2</p-n>	Ich, der HERR, bin euer Gott!  
LEV 18:3	<p-n>@3. Mose  18:3</p-n>	Ihr sollt nicht tun, wie man im Lande Ägypten tut, wo ihr gewohnt habt, und sollt auch nicht tun, wie man in Kanaan tut, dahin ich euch führen will, und ihr sollt nicht nach ihren Satzungen wandeln;  
LEV 18:4	<p-n>@3. Mose  18:4</p-n>	sondern meine Rechte sollt ihr halten und meine Satzungen beobachten, daß ihr darin wandelt; denn ich bin der HERR, euer Gott.  
LEV 18:5	<p-n>@3. Mose  18:5</p-n>	Und zwar sollt ihr meine Satzungen und meine Rechte beobachten, weil der Mensch, der sie tut, dadurch leben wird. Ich bin der HERR!  
LEV 18:6	<p-n>@3. Mose  18:6</p-n>	Niemand soll sich seiner Blutsverwandten nahen, ihre Scham zu entblößen; ich bin der HERR!  
LEV 18:7	<p-n>@3. Mose  18:7</p-n>	Du sollst die Scham deines Vaters und deiner Mutter nicht entblößen. Es ist deine Mutter, darum sollst du ihre Scham nicht entblößen.  
LEV 18:8	<p-n>@3. Mose  18:8</p-n>	Du sollst die Scham des Weibes deines Vaters nicht entblößen; denn es ist die Scham deines Vaters.  
LEV 18:9	<p-n>@3. Mose  18:9</p-n>	Du sollst die Scham deiner Schwester, die deines Vaters oder deiner Mutter Tochter ist, daheim oder draußen geboren, nicht entblößen.  
LEV 18:10	<p-n>@3. Mose  18:10</p-n>	Die Scham der Tochter deines Sohns oder deiner Tochter Tochter, ihre Scham sollst du nicht entblößen, denn es ist deine Scham.  
LEV 18:11	<p-n>@3. Mose  18:11</p-n>	Du sollst die Scham der Tochter deines Vaters Weibes, die deinem Vater geboren und deine Schwester ist, nicht entblößen.  
LEV 18:12	<p-n>@3. Mose  18:12</p-n>	Du sollst die Scham der Schwester deines Vaters nicht entblößen, denn sie ist deines Vaters nächste Blutsverwandte.  
LEV 18:13	<p-n>@3. Mose  18:13</p-n>	Du sollst die Scham der Schwester deiner Mutter nicht entblößen; denn sie ist deiner Mutter nächste Blutsverwandte.  
LEV 18:14	<p-n>@3. Mose  18:14</p-n>	Du sollst die Scham des Bruders deines Vaters nicht entblößen, du sollst nicht zu seinem Weibe gehen; denn sie ist deine Base.  
LEV 18:15	<p-n>@3. Mose  18:15</p-n>	Du sollst die Scham deiner Sohnsfrau nicht entblößen; denn sie ist deines Sohnes Weib, darum sollst du ihre Scham nicht entblößen.  
LEV 18:16	<p-n>@3. Mose  18:16</p-n>	Du sollst die Scham des Weibes deines Bruders nicht entblößen, denn es ist deines Bruders Scham.  
LEV 18:17	<p-n>@3. Mose  18:17</p-n>	Du sollst nicht zugleich die Scham eines Weibes und ihrer Tochter entblößen, noch ihres Sohnes Tochter oder ihrer Tochter Tochter nehmen, ihre Scham zu entblößen; denn sie ist ihre nächste Blutsverwandte; es wäre eine Schandtat.  
LEV 18:18	<p-n>@3. Mose  18:18</p-n>	Du sollst auch nicht ein Weib zu ihrer Schwester hinzunehmen, wodurch Eifersucht erregt würde, wenn du ihre Scham entblößtest, während jene noch lebt.  
LEV 18:19	<p-n>@3. Mose  18:19</p-n>	Du sollst nicht zum Weibe gehen während ihrer monatlichen Unreinigkeit, ihre Scham zu entblößen.  
LEV 18:20	<p-n>@3. Mose  18:20</p-n>	Auch sollst du deines Nächsten Weib keinen Beischlaf gewähren, sie zu besamen, daß du dich mit ihr verunreinigest.  
LEV 18:21	<p-n>@3. Mose  18:21</p-n>	Du sollst auch von deinen Kindern keines hergeben, daß es dem Moloch geopfert werde, damit du den Namen deines Gottes nicht entweihest; ich bin der HERR!  
LEV 18:22	<p-n>@3. Mose  18:22</p-n>	Du sollst bei keiner Mannsperson liegen wie beim Weib; denn das ist ein Greuel.  
LEV 18:23	<p-n>@3. Mose  18:23</p-n>	Auch sollst du den Beischlaf mit keinem Vieh vollziehen, daß du dich mit ihm verunreinigest. Und kein Weib soll sich zur Begattung vor ein Vieh stellen; das wäre abscheulich!  
LEV 18:24	<p-n>@3. Mose  18:24</p-n>	Ihr sollt euch durch nichts derartiges verunreinigen. Denn durch das alles haben sich die Heiden verunreinigt, die ich vor euch her ausstoßen will.  
LEV 18:25	<p-n>@3. Mose  18:25</p-n>	Und dadurch ist das Land verunreinigt worden. Darum will ich ihre Missetat an ihm heimsuchen, daß das Land seine Einwohner ausspeie.  
LEV 18:26	<p-n>@3. Mose  18:26</p-n>	Ihr aber sollt meine Satzungen und Rechte beobachten und keinen dieser Greuel verüben, weder der Einheimische noch der Fremdling, der unter euch wohnt;  
LEV 18:27	<p-n>@3. Mose  18:27</p-n>	denn alle diese Greuel haben die Leute dieses Landes getan, die vor euch waren, wodurch das Land verunreinigt worden ist.  
LEV 18:28	<p-n>@3. Mose  18:28</p-n>	Damit euch nun das Land nicht ausspeie, wenn ihr es verunreiniget, wie es die Heiden ausgespieen hat, die vor euch gewesen sind,  
LEV 18:29	<p-n>@3. Mose  18:29</p-n>	so soll jeder, der einen dieser Greuel tut, jede Seele, die dergleichen verübt, mitten aus ihrem Volk ausgerottet werden.  
LEV 18:30	<p-n>@3. Mose  18:30</p-n>	So beobachtet denn meine Verordnungen, daß ihr keinen von den greulichen Gebräuchen übet, die man vor euch geübt hat, und euch dadurch nicht verunreiniget. Ich, der HERR, bin euer Gott!   
LEV 19:1	<p-n>@3. Mose  19:1</p-n>	Und der HERR redete zu Mose und sprach:  
LEV 19:2	<p-n>@3. Mose  19:2</p-n>	Rede mit der ganzen Gemeinde der Kinder Israel und sprich zu ihnen: Ihr sollt heilig sein, denn Ich bin heilig, der HERR, euer Gott!  
LEV 19:3	<p-n>@3. Mose  19:3</p-n>	Jedermann fürchte seine Mutter und seinen Vater und beobachte meine Sabbate; denn Ich, der HERR, bin euer Gott.  
LEV 19:4	<p-n>@3. Mose  19:4</p-n>	Ihr sollt euch nicht an die Götzen wenden und sollt euch keine gegossenen Götter machen, denn ich, der HERR, bin euer Gott.  
LEV 19:5	<p-n>@3. Mose  19:5</p-n>	Und wenn ihr dem HERRN ein Dankopfer schlachten wollt, sollt ihr's so opfern, daß es euch angenehm macht.  
LEV 19:6	<p-n>@3. Mose  19:6</p-n>	Es soll aber gegessen werden an dem Tage, da ihr es opfert, und am folgenden Tag; was aber bis zum dritten Tag übrigbleibt, das soll man mit Feuer verbrennen.  
LEV 19:7	<p-n>@3. Mose  19:7</p-n>	Wird aber am dritten Tage davon gegessen, so ist es ein Greuel und wird nicht angenehm sein;  
LEV 19:8	<p-n>@3. Mose  19:8</p-n>	und wer davon ißt, wird seine Missetat tragen, weil er das Heiligtum des HERRN entheiligt hat, und eine solche Seele soll ausgerottet werden aus ihrem Volk.  
LEV 19:9	<p-n>@3. Mose  19:9</p-n>	Wenn ihr die Ernte eures Landes einbringt, sollst du den Rand deines Ackers nicht vollständig abernten und keine Nachlese nach deiner Ernte halten.  
LEV 19:10	<p-n>@3. Mose  19:10</p-n>	Auch sollst du nicht Nachlese halten in deinem Weinberg, noch die abgefallenen Beeren deines Weinberges auflesen, sondern du sollst es den Armen und Fremdlingen lassen; denn ich, der HERR, bin euer Gott.  
LEV 19:11	<p-n>@3. Mose  19:11</p-n>	Ihr sollt einander nicht bestehlen, nicht belügen noch betrügen!  
LEV 19:12	<p-n>@3. Mose  19:12</p-n>	Ihr sollt nicht falsch schwören bei meinem Namen und nicht entheiligen den Namen deines Gottes! Denn Ich bin der HERR.  
LEV 19:13	<p-n>@3. Mose  19:13</p-n>	Du sollst deinen Nächsten weder bedrücken noch berauben. Des Taglöhners Lohn soll nicht über Nacht bei dir bleiben bis zum Morgen.  
LEV 19:14	<p-n>@3. Mose  19:14</p-n>	Du sollst dem Tauben nicht fluchen. Du sollst dem Blinden nichts in den Weg legen, sondern sollst dich fürchten vor deinem Gott; denn Ich bin der HERR!  
LEV 19:15	<p-n>@3. Mose  19:15</p-n>	Ihr sollt keine Ungerechtigkeit begehen im Gericht; du sollst weder die Person des Geringen ansehen, noch die Person des Großen ehren; sondern du sollst deinen Nächsten recht richten.  
LEV 19:16	<p-n>@3. Mose  19:16</p-n>	Du sollst nicht als Verleumder umhergehen unter deinem Volk! Du sollst auch nicht auftreten wider deines Nächsten Blut!  
LEV 19:17	<p-n>@3. Mose  19:17</p-n>	Ich bin der HERR. Du sollst deinen Bruder nicht hassen in deinem Herzen; strafen sollst du deinen Nächsten, daß du nicht seinethalben Schuld tragen müssest!  
LEV 19:18	<p-n>@3. Mose  19:18</p-n>	Du sollst nicht Rache üben, noch Groll behalten gegen die Kinder deines Volkes, sondern du sollst deinen Nächsten lieben wie dich selbst! Denn ich bin der HERR.  
LEV 19:19	<p-n>@3. Mose  19:19</p-n>	Meine Satzungen sollt ihr beobachten. Du sollst bei deinem Vieh nicht zweierlei Arten sich begatten lassen und dein Feld nicht besäen mit vermischtem Samen, und es soll kein Kleid auf deinen Leib kommen, das von zweierlei Garn gewoben ist.  
LEV 19:20	<p-n>@3. Mose  19:20</p-n>	Wenn ein Mann bei einem Weibe liegt und sie beschläft, die eine Dienstmagd und einem andern versprochen, doch nicht losgekauft ist und die Freiheit nicht erlangt hat, die sollen gestraft werden, aber sie sollen nicht sterben; denn sie ist nicht frei gewesen.  
LEV 19:21	<p-n>@3. Mose  19:21</p-n>	Er soll aber für seine Schuld dem HERRN vor die Tür der Stiftshütte einen Widder zum Schuldopfer bringen.  
LEV 19:22	<p-n>@3. Mose  19:22</p-n>	Und der Priester soll ihm Sühne erwirken mit dem Schuldopferwidder vor dem HERRN wegen der Sünde, die er begangen hat; so wird ihm seine Sünde, die er getan hat, vergeben werden.  
LEV 19:23	<p-n>@3. Mose  19:23</p-n>	Wenn ihr in das Land kommt und allerlei Bäume pflanzet, wovon man ißt, sollt ihr die [ersten] Früchte derselben als Vorhaut betrachten. Drei Jahre lang sollt ihr sie für unbeschnitten achten und nicht davon essen.  
