 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
bambalikwa	edges or banks, e.g. Munyama uleenda mubambalikwa aamulonga. The animal is walking along the edges of the river. Also bembelekwa
banangwalu-ngwalu	those who invaded Tonga land from outside, especially the Balozi. e.g. Ninsilamatongo yakacaala, liya lyakainda banangwalu-ngwalu mucisi ca Butonga. The time that invaders were passing through the country of the Batonga, the dwellings of those who had been driven out remained.
banabukwetenyi	a married couple, e.g. Banabukwetenyi bakali kuyandana kapati. = The young married couple loved one another very much.
banakoonsiya milonga	whitee Also banabakoocaala, bacipuwa ngala, bana bakoomenede
banamutipiitipi	seeds of a bush plant, e.g. Kankuli kamunanga kakalijisi a banamutipiitipi basalala bobilo bakali kulangika kuti akali meso aasalala. The small calabash of the witchdoctor had two bright seeds which were like bright eyes. Also banamusimbiisimbi
banasimaanga	children (twins or more) of a woman who bears many chiildren, e.g. Wakajisi bace bakwe botatwe, bobile bakali banasimaanga, Maimbo a Twaambo. He had three young brothers, two were twins Maimbo and Twaambo. Bakali bamaanga. They were twins. Michelo a Mooya a Moonga bakali bamaanga Michelo and Mooya and Moonga were triplets.
banasimukwe	the specific name of a group who come to kill an animal to celebrate the coming-out of the initiated girl. e.g. Kunkolola kulaboola bantu bamwi bategwa banasimukwe: aaba mbobasikuleba nkolola. At the initiation ceremony certain people come who are called banasimukwe: these are the ones who kill an animal for the feast. Also called basikuleba nkolola
bandooma	the upper-class, e.g. Cikolo eciya cakali cabandooma. That school was for the upper-class.
baneene	my grandmother, pl. bamaneene, e.g. Baneene bakafwa mwakali. = My grandmother died last year. Baneene bakafwa mwakali kabalaa myaka mwaanda. My grandmother died when she was a hundred years old.
Bangwalungwalu	invaders from the Caprivi Strip, e.g. Kaindi basinkondo ba Batonga bakali Basitukumba a Bangwalungwalu. In the past the enemies of the Batonga were the Balozi and warriors from the Caprivi Strip.
bankaaka	grandmother, e.g. Michelo walede kuli bankaakanyina masiku ayinda. Michelo slept at her grandmother's last night.
Bankombwe	the name of a clan whose totem is the cock.
Bansaka	the name of a clan whose totems are dogs and bees: Mbana cibwa camazakala kuluma cilatobola. = They are the offspring of a hairy dog whose bite is harmless. e.g. Tujisi bamayi bobile Bansaka. We have two teachers who belong to the Bansaka clan. Bansaka mbajwanyina a Bayuni. = The Bansaka clan has a joking-relationship with the Bayuni clan. They are like cousins.
Bansanje	the name of a clan whose totem is the hare. The clan is praised thus: bana koomaano, the children of wisdom or the hare's cunning. e.g. Mweemba wakakwata mwana wa Bansanje.
Mweemba	married a daughter of the Bansanje clan. = Bantanga the name of a clan, the totem is a cow's head. They are praised as follows: Mbana mbala cikwasa kumatako, uutakwasi tali Muntanga. = The members of this clan have a reputation for releasing wind from the anus, the one who does not is not a true Muntanga. In praising this clan they say, Bana simalabwe; bakumusemo walubulo = They are the childen of the iron centre-pole which upholds the house. Bantanga a Baleya bakali antoomwe kaindi. = The Bantanga and Baleya clans were united long ago.
bantinde	tubers, sing. intinde, e.g. Twakakomena limwi kumunzi katweembela nombe akuyasa bantinde. = We grew up together in the village herding cattle and playing the game of piercing the tubers.
banzeenyuka	grubs eaten in famine time, e.g. banzeenyuka, (sing. nzeenyuka) Banzeenyuka nzyuuka zisabila ciindi cakumwaka. Banzeenyuka are insects which make noise at the beginning of the rainy-season (October). Also nyenze
bapusyi	greedy poor people, e.g. Muli bapusyi mbumwabukila dukayi-dukayi amasiku ati katuya buya tukasese. = You are greedy people who are not ashamed to come proudly at night saying let us just go asking for payment.
basaazwe	small squirrel-sized animals with big bushy tails and white coats, sing. saazwe, e.g. Wakalisamide mabbensu aatukutu twabasaazwe. = He was dressed in the lion-cloth of the skins of small animals.
basangu	Among the Batonga the basangu are good spirits who are invoked to protect people in times of drought, famine, or disease. They are also invoked by hunters and they are said to inhabit pools and are called 'great lion-spirits'. Black goats are sacrificed to them when praying for rain. Abaya bacembele banjidwe basangu bamvwula. = That old woman has been possessed by rain-spirits.
basibuzyukulu	grandparents together with their brothers and sisters, e.g. Muzyukulu wakajwa cilezu casyaanyinakulu. = The grandson pulled the beard of his grandfather.
basimukowa	members of the matrilineal line, sing. simukowa e.g. Basimukowa bamufwu mbabeendelezi badilwe. = The matrilineal line of the dead person leads the mourners.
Basitukumba	name given to waring Balozi who raided the Batonga wearing animal hides (tukumba = hides)
baswaabo	uncle, brother of father, e.g. Wakaakuswaila kuli baswaabo ba Chooka kwalo nkwaakaakutambulwa kabotu. He visited his home of his uncle, Chooka, where he was welcomed. Baswaabo musimbi nkujana baide kuzemba kuzyana. The relatives of the girl were just dancing up and down. basyaacikwaakwa shelled animals, e.g. Mumbali aamulonga balajanika ba syaacikwaakwa banji. Beside the river are found many shelled animals. Also inkumba
batebetebe	weak people, mutebetebe sing., e.g. Bakaindi bakalikuyeeya kuti mbatebetebe bakakomenena mumadolopo. = People of the past thought that people who grew up in the towns were weak.
Bayinde	(Bainde) the name of a clan whose totems are the bull-frog and the pidgeon: In praising this clan they say, *Mbagande.* = They are the big bull frogs; *Mbafwumu.* = They are pidgeons. (The one who keeps pidgeons has to be very humble.) *bana nsimba* = the offspring of the genet or musk-cat; in praising (kutembaula) this clan we say: Bakunongo yabulungu (yacibulo), civwunisyo nimpande. = They are the ones who have a pot of beads, the lid is an mpande shell. e.g. Mwanaangu wakakwata ku *Bayinde.* = My son has married into the Bayinde clan.
Bayuni	the name of a clan whose totem is a bird. In praising this clan they say, *mbana Moola* = The Bayuni are called the children of Moola, because they are said to have come from Moola on the southern shore of the Zambezi (now under Lake Kariba): bansyanga, bana bimbe = the children of the falcon or crested eagle (bayimbili), e.g. Mukowa wa *Bayuni* wakazyila kulamfwu. = The Bayuni clan came from afar.
Bazyamba	the name of a clan whose totem is the hyena. *Bazyamba ngomukowa wabasuntwe.* = The Bazyamba is the clan of the hyena. They are also called balumbu which is the name given to any foreigner from the western province. In praising this clan they say, *Mbana kabanga.*
bbaasi	a bus, (ety. Eng.) pl. mabbaasi, e.g. Bantu bakali kutambaika bbaasi noyakali kweenda kakutumba kasuko. = The people were waving to the bus as it went raising the dust.
bbakumba	a plant, used as a charm, e.g. Ooyu munene ufwepa *bbakumba,* ncobamuyanda kapati basimbi. = This old man smokes the *bbakumba* leaf, that is why the girls love him. Bantu bakali kutamikizya bamakaintu bamwi kuti mbibakasyanga *bbakumba* kujwe aamunzi, lyalo lyakali kucita kuti bantu kabalwana alimwi bunjaka mumunzi kabutamani. = People were falsely accusing some women of planting the *bbakumba* plant east of the village, also at that time it was causing people to fight. Again bickering in the village was endless. Also bakumba, babakumba.
bbala	a letter of the alphabeth, pl. mabala, e.g. *Bbala* litaanzi ngu A, licaalizya ngu Z. = The first letter (of the alphabeth) is A, the last is Z.
	a word, pl. mabala, e.g. *Ndibbala* nzi ndyoolemba kubwaanda? = What word have you written on the wall?
	a mark, a patch of colour, pl. mabala, e.g. Impongo yokwesu ilasiya alimwi ijisi *bbala* lituba ankumo. = Our goat is black and has a white mark on the forehead.
	a wheel-barrow, (ety. Eng.) e.g. Koya ukandeetele *bbala* ndisuse bufwumba. = Go and bring me a wheel-barrow so that I draw the manure.
bbalabala	a ray of light, flame, pl. mabbalabala, e.g. *Bbalabala* lyamulilo lilalibonya kunze aamulundu. = The flame of a fire is seen behind the hill.
bbalangwe	drought, e.g. Akaambo kabbalangwe bantu balwizi bakafwa nzala. = The people of the lake died of hunger because of the drought. Also danga.
bbamba	misfortune, e.g. Ooyu mwana ulaa *bbamba* ncatakwatwi. = This child is cursed with misfortune that is why she doesn't get married. Chimuka tabamuyandi basankwa. Ndiza kuli wakamusambila *bbamba.* = Chimuka is not loved by boys. Perhaps it happened that someone washed off his/her misfortune onto her. (use of charms is implied).
bbanda	evil spirit, pl. zibbanda, e.g. *Ndakabona bbanda lyamuntu.* = I saw the spirit of a person. Also *ceelo*.
	a plain, e.g. *Bananja mbanji mubbanda.* = The lechwe-cobs are many on the plain. Also *cibanda*
bbandama	a smaller type of tick, pl. babbandama, e.g. *Mweembezi walumwa bbandama amubili.* = The herder has been bitten on the body by a small tick. *Ba bbandama mbabaleta bulwazi bwadenkete mubanyama.* = Ticks bring the corridor disease to animals. (As verb *-bbandama* means to sleep flat on stomach)
bbantoomu	lice, e.g. *Ccita naa ninzi cakamupa kuti abuke, antela mbabbantoomu bamungubo ibakamuccaila.* = I do not know what made him get up, perhaps it was lice in the blankets that aroused him.
bbekebbeke	refusal, e.g. *Bota nimwakakomenena mazuba esu akanyina bbekebbeke. Mupati aamba kale nkucita kakwiina mubuzyo.* = It would be good if you had grown up in our day when there was no refusing. When the elder spoke it was done without any questioning.
bbelekelaamwi	community work, cooperative, e.g. *Ncibotu kubeleka bbelekelaamwi nkaambo inga mulimo wamana kufwambaana.* = It is good to work in a cooperative because the work can be completed quickly.
bbenga	a big blade, pl. mabbenga, e.g. *Kobweza bbenga nkagonke nkuni.* = Take a big blade so that I can go and cut firewood. Also panga, cceba.
bbeula	a European axe, a large hatchet, pl. mabbeula, e.g. *Bbeula lyangu lyafwumpa nkaambo lyagonka ansi.* = My big axe is blunt because it has cut the ground.
bbeya	a type of bird, the button-quail, pl. babeya, e.g. *Bbeya ilafwambaana kukatala musankwa naaivwima.* = The button-quail quickly tires when a boy hunts it.
bbimba	covetousness, envy, greed, e.g. *Muka mwiiyi ulaa bbimba abona ncobajisi beenzinyina.* = The wife of the teacher is full of envy when she sees what her friends have. *Ooyu mwana ulaa bbimba, ukasya bamwi kulya.* = This child is greedy, she prevents some from eating.
bbimvwe	jealousy, e.g. *Wakali kuyanda kubacitila bbimvwe.* = He wanted to be jealous of them.
bboopeni	a biro-pen, e.g. *Ili kuli bboopeni yangu?* = Where is my biro?
bbonga	a type of plant, the bulb when cut in strips is eaten raw, pl. mabbonga, Also bonga.
bbooma	a swarm of bees hanging from a branch, pl. mabooma, e.g. *Sicikolo wakauma bbooma lyanzuki amalekani, mpoona zyakaluma bantu banji.* = A pupil struck a swarm of bees with a catapult, thereupon they stung many people.
Bbooma	district douncil, e.g. *Muleli wacisi wakaselukila ku Bbooma.* = The president arrived at the district council.
bboonko	type of plant (botanical name = Amaranthus spinosus) a soda plant, used for relish, like spinach, pl. mabboonko, e.g. *Bboonko ncisyu cibotu ciindi camainza.* = *Bboonko* is good for relish in the rainy season, (similar to cimowa, a soda plant,) e.g. *Koceleka musika abboonko.* = Filter salt from the ashes of *bbonko* stalks. (The plant is burnt, water is added to the ashes and filtered. What remains is the soda which is used to add to okra) Also siamakwia, ibonko.
bbule	a honey-badger, pl. babbule, e.g. *Bbule mmunyama uyandisya kulya mana abuci.* = The honey-badger is an animal who likes eating a comb with larvae. Also cibule, pl. bacibule.
bbululu	relative, e.g. Tuyanda kusonda lufwu *lwabbululu* wesu. = We want to go to the witchdoctor to divine who is responsible for the death of our relative.
bbumbu	below the navel, e.g. Kuli mulawo wakuti mukaintu nasuka lukombokombo *lwamwana* uleelede kulangisya kuti *lwawa* taluwidi *abbumbu* nkaambo inga mwana ooyo takazyali aakukomena. = There is a law which says that when a woman is disposing of the umbilical cord of a child, she should see to it that it does not fall on the body below the navel because if it does the baby will be impotent when it grows up. (Also *ibbumbu*)
