 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
cikata	bundle of dried meat or fibre, e.g. *cikata camitendu* = a bundle of dried strips of meat, e.g. *Kamuya mukalete cikata caloozi tuvwumbe nanda.* = Go and bring a bundle of fibres so that we thatch the house. *Wakapiluka acikata camiyanda.* He returned with a pile of roots.
	a coil, pl. *zikata, cikata calutende* = a coil of runners, *cikata canzoka* = a coiled snake. e.g. *Inzoka yakalivwungaide atala amai pele buyo mutwe nguwakanongomene atala acikata cayo.* The snake was curled up over its eggs but it was only the head which was raised up over its coil.
cikaye	a broken shell or potsherd, pl. zikaye, e.g. Kamubikka mulilo mucikaye tuumpe musamu. = Put fire in a potsherd SO that we burn medicine in it. Mumubikkile mulilo mucikaye mulwazi. = Put fire in a potsherd for the sick. Kaindi nyama bakali kupedwa muzikaye nkaambo kwakanyina mitiba. = Long ago they were given meat in pieces of shells because there were no plates.
cikazi	a piece of wood or metal used for the base for making fire by friction, e.g. Koleta kapisyo a cikazi, tupike mulilo. = Bring a friction stick and the wooden base so that we produce fire. Wakagonkolola cisamu ciyumu camusekese kucita cikazi amane ngooyu nkucigwamagwama ku-panga kalindi kampikilo. = He cut a dry stick from the musekese tree to make a base for the fire, there he is removing the outer part to make a hole for the fire. Also lupika
cikelekele	a butchery, e.g. Kuli nyama mbotu kucikelekele. = There is good meat at the butchery.
cikepe	a boat made of planks, e.g. Tubelesya cikepe notuloba. = We use a boat made of planks when we fish. Also cikwepe
cikkalabalemu	a clay stool, e.g. Cikkalabalemu ncuuno cabulongo cibumbwa ku-mbali acikko munanda. A cikkalabalemu is a clay stool, which is moulded near the fireplace in the house. Mucembele wakamutola musimbi murganda akumukkazika acikkalabalemu. = The old woman took the girl inside the house and made her sit on a fireside clay stool.
cikkali	a container, pl. zikkali, e.g. Bakali kwiile kusiya makoko aabo muzikkali akutija. They were just leaving their beers in containers and running away.
cikkalilo	a place for sitting down a chair, e.g. Murnanda yamilawo cikkalilo cimwi cakazauka. In the court-house one of the seats was torn. Amubape cikkalilo beenzu. Give a seat to the visitors.
cikkalizi	sitting and waiting for a long time, e.g. Ndafwa cikkalizi. = I am fed up sitting and waiting here. Also cilindizi, cikkalilizi, cizungu.
cikkalo	position, e.g. Utakkali acikkalo cangu pe. = Do not sit in my place.
cikkeyi	a yoke pin, pl. zikkeyi, e.g. Bakaiya mazina azintu zyakali kubelesegwa ciindi cakubelesya nombe mbuli majoko, zikkeyi, zitolopo amaketani. = They learnt the names of things which were used when they were using cattle such as yokes, pegs, reins and chains.
cikko	the fireplace, e.g. Kamusibika nsima acikko tujike cilalilo. Put the nsima on the fire so that we cook the evening meal. Kamubikka nkuni zipati-pati acikko. Put large pieces of firewood on the fire.
cikkocci	a scotch-cart, (ety. Eng.) e.g. Musunge basune acikkocci kutegwa mutole mulwazi kucibbadela. = Yoke the oxen to a scotch-cart so that we take the patient to the hospital.
cikkomya	hook at end of chain, e.g. Cakkomonoka cikkomya nitwali kulima. = The hook at the end of the chain became detached when we were ploughing.
cikkweya	a boxing match, a boxing ring, e.g. Ncitwamuka kuboola, twali kulangilizya cikkweya kudolopo. = We were late in coming because we were watching a boxing match in the city. Basankwa bana Namangoma mbabaluulwa kucikkweya kulwana. = The boys of Namangoma are famous for fighting in the ring.
ciko	the main portion of the bridewealth given by the bridegroom to the relatives of the bride, e.g. Ciko ndubono lupegwa kwabo musimbi ciindi naatwalwa. Oolu lubono ndwakuula milimo yamusimbi eeyo njayakubeleka. Alimwi a bula bwakwe. Ciindi notwaamba bula bwamukaintu, twaamba bana bali mwida, abo mbaya kuzyala kooko nkwaatwalwa. = Ciko is the wealth given to the family of the girl when she gets married. This wealth is to be offered as a payment for all the works which she will do. Also it is about her womb. When we say womb of the woman we refer to the childen which are in the womb, the ones which she will produce over there where she is married.
	type or breed of a beast, e.g. Kumpwizi muzeezo wakali kulanganya zyiko zyanombe mboziimpana kukuzyala boombe. Wakasala ciko cabu Bbolani aciko cabu Tonga. As regards the heifers he was studying to see the breeds of the cattle as to how they differed in producing calfs. He chose a Bbolani breed and a Tonga breed.
cikobakoba	garment hanging loosely, pl. zikobakoba, e.g. Bamwi bayanda kapati zisani zikobakoba. = Some prefer clothes which hang loose. Mukaintu uli bubi weelede kusama cikobakoba. = A pregnant woman should wear loose clothes. Also makobo
cikobela	a garment, e.g. Cikobela camwana cakatundila amasuku. = The childs garment has been stained with masuku fruit. Eeci cikobela nciyumu, tacikafwi kufwambaana. = This garment is strong, it will not wear out quickly.
cikobo	low ground excavated by water, e.g. Kamutola nombe zikacele kucikobo. = Take the cattle so that they graze in the depression.
cikoboko	the midday meal, e.g. Casika ciindi cakulya cikoboko. = It is time to eat the midday meal. Also cisusulo, cigoboko
cikobwela	ear-ring, e.g. Kondisamika cikobwela kumatwi. Put the ear-rings on my ears. Also mankwinta-nkwinta.
cikokola	the elbow, e.g. Wanduuma cikokola nitwali kuuma bbola. = S/he struck me with an elbow when playing ball. Ndakacuzuka cikokola nindakawa ijilo. My elbow was bruised when I fell yesterday. Also kakokola.
	a charm said to increase the appetite, e.g. Sicibende wakajana kuti mwinakwe wakali acikokola: tulyo toonse twamwinakwe twakali kufwambaana kumana ansangwa. Sicibende found that his wife had a charm to increase the appetite: all her food-stuffs were quickly finished in the basket.
cikolo	a school, e.g. Cikolo mazuba ano ncibotu nkaambo cipa kupona kabotu. = School these days is good because it helps to live well. Cikolo cakwiiya kujika zilyo cakaliwo kaindi. = A school for learning how to cook food was there long ago.
cikolo-cikolo	characteristic, trait, e.g. Cikolo-cikolo cikozya nyina. Micito ukozya banyina. Kuti banyina kabali batolo, a mwana waba mutolo mbuli banyina. = If a mother is lazy, the child will be lazy like the mother. (Kalenga Bimbe, Sikakoonze muleezyegwa. Sikakoonze ncaakacita wakaciiya kuli Bimbe.) cikolokolo coughing, bronchitis, e.g. Mwanaangu uciswa cikolokolo. = My child has a cough.
cikololo	a scab from not washing, e.g. Ciindi campeyo bana balabaa cikololo amubili akaambo kakuyoowa kusamba. = During the cold season the children get scab on the body because they are afraid to wash.
	cikololo camusozya = the burnt remains of stew in a pot cikoloto debt, e.g. Mebo ndilaa cikoloto kucintoolo cabo. I am in debt at those people's shop. Wakatola cikoloto. = He paid the debt. Wakalya cikoloto. = He incurred a debt. Wakabweedezya cikoloto = He paid back the loan. Also cikwelete.
cikolwe	a type of sorgum, e.g. Oomu mumuunda kwakasyangidwe cikolwe mwakali. = In this field the cikolwe type of sorgum was planted last year. Also nkolwe.
cikomba	a broad shallow hole, pit, dent, e.g. Basune banywa meenda akatelekela mucikomba. = The oxen are drinking water which ran into a shallow hole. Mainza wakali muvwimi ubelesya zikomba kuteya banyama. Mainza was a hunter who used pits to trap animals. Ulaa cikomba amwiindi mpaakaliciside. = This one has a dent in his shin where he was wounded.
cikombe	a scab, dried mucous, pl. zikombe, e.g. Bana batasambi balaa zikombe. Children who do not wash have scabs. Also cinkombe
cikombelelo	place where people pray for their needs, e.g. Tuya kukukombela mvwula kucikombelelo. = We are going to pray for rain at the place of petition. Also cikombelo.
cikombelo	a place of prayer, e.g. Tukapaile kucikombelo. Let us go and pray at the place of the spirits.
cikombo	a clan or matrilineal group, e.g. Mucikombo cesu basimbi tabavwundikwi. In our matrilineal group the girls are not initiated. Also cikoto
	cikombo cabbuyu = thumb of the left hand
cikombokombo	the umbilical cord, e.g. Cikombokombo camwana tacinaloka. = The child's umbilical cord has not fallen off. Also lukombokombo, luliya.
	a hereditary trait, e.g. Chaazu taakali kuleka kubba nkaambo cakali cacikombokombo. Chaazu does not stop stealing because it is a trait he inherited.
cikombole	a brick-mould, e.g. Cikombole cuumya zitina ncipati kapati. = The mould for making bricks is very big. Ndiyanda kuti mubezi akandibambile cikombole. I want the carpenter to make me a wooden brick-mould.
cikomo	skin of animal, e.g. Nobakasika kumbali amulonga, bakakaanga kacembele cikomo cansimba kumeso. = When they reached near the river, they blindfolded the old woman with the skin of a musk cat.
cikonano	an heirloom, inherited property, e.g. Baama bakandisiila cikonano campongo. My mother left me a goat as inheritance. Also cinkono
cikonde	a mixture of fermented and non-fermented meal in water, e.g. Baya kukutila cikonde kucuumbwe camufwu. = They are going to pour a mixture of watered meal on to the grave of the dead person. Lyakafwa basyaanene bakakopa buyo cikonde kumaninzya dilwe. = When my grandfather died they made cikonde to conclude the funeral. Also cikondole
	badly prepared food, e.g. Ooyu mwana wajika kale cikonde cansima. = The child has already half-cooked the nsima.
	armlet, e.g. Bakamwale balasamikwa zikonde ezi zyansambo kuteeti kabalibonya kuti bakajailwa nombe zineneede zilaa mafwuta. The initiates are made to wear armlets of grass so that the people may know that fat cattle were killed for them at their initiation.
cikondole	See cikonde.
cikonga	a cake made by termites underground, e.g. Nitwali kusya sikaulu, twajana cikonga cipati kunsi. = When we were digging for a small type of bee, we found a termite-cake.
cikonkwani	a landmark, signpost, e.g. Cikonkwani ca Munali cijanika kumilundu. = The Munali sign-post (historic site) is found among the hills. (inkanka = surveyor's peg) Also cikwaankwani
cikono	a skill or trait which is handed down within a certain clan, e.g. Cikono camusankwa oyu nkubeza nkaambo basyaanyinakulu bakali kubeza. = What this boy inherited is the skill of carving because his grandfather was carving. (It is different from *lukono* which refers to material objects which are inherited by clan members when a person dies.)
cikonze	the spotted design of a hawk, e.g. *Nkuku zyangu nzyacikonze.* = My chickens have the spotted design of a hawk.
cikonzo	a piece of faeces, pl. *zikonzo*, e.g. *Mubwa walya cikonzo camwana.* = The dog has eaten the baby's excrement.
cikonzya	a likeness, resemblance, e.g. *Aaba bana balaa cikonzya cabausyi.* = These chidren resemble the father. *Bamwi bamakaintu balaa cikonzya kuzintu nzyobabona nobali amada.* Some women take on a resemblance to things they see when they are pregnant. Also *cinkozya*.
cikonzyo	 a scarecrow, e.g. *Umwi mulimi wakafwala cisamu mbuli muntu kuti cibe cikonzyo cabaceta.* = A certain farmer carved a piece of wood as a human being to scare away the monkeys. Also *syaamankwamu*.
cikooko	 a drum of bark used as a bin/bag/container, e.g *Mwamana kwaatebula maila mwaabikke mucikooko.* = When you finish harvesting the millet put it in a container.
cikoolo	a sickness derived from not eating what others eat, loss of appetite, e.g. *Aaka kana ncikoolo ncokakokede.* = The child is thin because of not eating what others eat. *Baneene bakandipa musamu wacikoolo kutegwa ntalike kulya nyama yankuku.* = My grandmother gave me a medicine which takes away loss of appetite so that I would begin to eat chicken.
cikopo	a headache, e.g. *Cikopo cilananuka. Cikopo cilaanzamuka. Cikopo cilaanduka.* The headache is throbbing. I have a splitting headache.
	a measuring tin for beer, e.g. *Wamana kunywa bukoko, undipe cikopo nkaambo nceulisyila bukoko.* When you have finished drinking the beer, please give back the measuring-tin because it is the one I use for selling beer.
	mental dullness, e.g. *Kanchele walo kuzwa mubbuku lyakamwi kusikila mubbuku lyacisambomwi cakali cikopo camutwe.* From Grade one to Grade six Kanchele was dull.
cikoso	a section of a field, e.g. *Uuno mwaka tuya kulima cikoso camuunda mputwakalimide ndongwe.* = This year we are going to plough a section of the field where we planted groundnuts.
cikosokelo	the end, termination, final judgement, last breath of living person, e.g. *Twaambo nitwakasika acikosokelo, mujayi bakamupa mulandu wanombe zyone.* When the discussions reached the final judgement, they gave the murderer a punishment of paying four cattle.
	*cikosokelo camilandu* = court assizes (periodical sessions for administration of civil and criminal justice)
cikosoko	catarrh or mucous in chest, e.g. *Ndatiisole kukola, cikosoko tacizwi amoyo.* When I tried to cough, the phlegm was not released from my throat. Also *cinkoolwa, cikosokoso*.
cikosole	 identity document, e.g. *Ndali kukuzwisya cikosole camutwe ku Bbooma.* = I had gone to take out a registration card at the Civic Centre. Mutinta wakagusya cikosole camutwe akutondezya musilikani.* Mutinta took out her registration card and showed it to the policeman. Also *cinyongole*.
cikosolo	 short form e.g. *Twaambo otu twakalembwa mucikosolo.* These matters were written briefly.
cikosozyo	anything used for cutting, as a scissors/shears, e.g. *Kobelesya cikosozyo kukosola bunyweba nkaambo bula-*
kunenga	kuti ukosole amaanza. = Use the scissors to cut the thread because it will cut you if you try and break it by hand.
cikotamino	a lintel, transom, e.g. Akaambo kakulampa kwangu, ndikotama buya kunjila *acikotamino*. = Because of my height, I bend down while entering under the lintel.
cikoto	a lump, a swelling or hard growth in humans or in animals, e.g. Ulaa *cikoto* mwida mwana ooyu. = That child has a hard lump in the stomach. Mwida lyangu kuli *cikoto* cilimvwisya alimwi cilacisa. = In my stomach there is a lump which can be felt and it hurts. Munsima ndajana *cikoto* cabusu cipati. = In the nsima I found a big lump of uncooked flour.
	a knot, e.g. Bamukowa balyaanga *cikoto* nibanjililwa penzi. = The matrilineal relatives bind themselves in a knot when they are in problems.
	a clan or matrilineal group, e.g. Bazyamba mmukowa uulyaangide *cikoto*. = The Bazyamba are a clan which are tied with a knot, i.e. are united. Also cikombo.
cikowela	wound copper, iron wire
cikoye	an eye-brow, an eye-lid, e.g. Cisamu candicisa *acikoye*. = A stick has hurt my eye-lid. Kuti *cikoye* cabimbabimba inga kuli bakuvwiya. = If your eyelid is trembling it means that there is someone talking about you.
cikoyokoyo	a type of bird, the sandgrouse, e.g. *Cikoyokoyo* cilauluka musinzo mulamfwu kuya kuyandaula meenda akunywa. = The sandgrouse flies a long distance going to find water.
cikozya	resemblance, e.g. Micito yokwa Simeenda ilaa *cikozya* cabausyi. = The deeds of Simeenda resemble the father's. Also cinkonzya.
cikozyanyo	 example, comparison, e.g. *Cikozyanyo* ncaapa cileendelana ancaamba. = The example s/he has given corresponds to what s/he says. Bayi batwaambila *cikozyanyo* casyuumbwa. = The teacher gave us an example of a lion. Also mukozyanyo.
cikuba	maize stalk without the cob, e.g. Kobweza *cikuba* ume musune oyo. = Take a maize stalk and beat that ox. Wamudyokozya *cikuba* mulisyo mweenzinyina. She stabbed her friend in the eye with a maize stalk. Also cimbololo,
	luck in farming, e.g. Baacisya balaa *cikuba* aboobo balaalima mapopwe manji. = My uncle has good luck in farming and so has plenty of maize. Ooyu muntu ulaa *cikuba* ncalaa mapopwe manji myaka yoonse. = This person has luck in farming that is why s/he has much maize every year. Naakasika kumuŋanga Chikupa wakati, "Omunene ndiyanda mucelo wa*cikuba*." = When Chikupa arrived at the witchdoctor he said, "Old man, I want medicine for success in farming."
	girl's plaited hair, e.g. Ooyu musimbi *cikuba* camasusu cili kumutwe ncibotu. = This girl's plaited hair is beautiful.
cikubakuba	a type of disease, e.g. Bacembele baciswa *cikubakuba*. = The old woman is suffering from the cikubakuba illness.
cikubukilo	age of maturity, e.g. Bana nibakaunka kusobana, basankwa ibakali kuyanda kusika *acikubukilo* bakasyaala balayota mulilo abapati. = When the children went off to play, the boys who were about to reach the age of maturity remained warming themselves at the fire with the elders.
cikuka	an open valley, e.g. Mweelede kumupa ciindi kutegwa ambe zyoonse zili kumoyo. Kuti wamwiinganina, inga zimwi zyafwidilila, zyaunka *mucikuka*. You ought to give him time so that he says all that is in his heart. If you restrict him, perhaps some things will be lost and go into the open valley. (i.e. become irretrievable)
cikuku	beer, e.g. Bwaca buyo buzuba mbocinywa cikuku kulaboola bantu bamwi bategwa banasyimukwe. As soon as it dawns, the day when the beer is ready for consumption, some people known as in-laws will come.
cikuku-cikuku	a pretense, e.g. Mukombwe wakati, "Ndicita cikuku-cikuku ne-ndoona natanasika amulyango. Ndipeta mukosi mubbaba nkabela asika umwaambile kuti muvwiminyoko ndamugonka mukosi." = The Cock said, "I will act like a chicken when sleeping before he arrives at the door. I will hide my neck in the wings and so when he arrives tell him that you have cut off his fellowhunter's head."
cikuku-kuku	a flock of little birds, e.g. Ndalikuyamina cikuku-kuku mumaila. = I was scaring away a flock of little birds from the millet.
cikukuzyo	a broom/brush, pl. zikukuzyo, e.g. Kamutema zikukuzyo mukukule lubuwa. = Cut brooms so that you can sweep the court-yard. Konditemenezya cikukuzyo camulubuwa. = Cut me a broom for the court-yard.
cikula	a salt-lick, salted or alkaline earth which cattle lick, e.g. nombe zilya cikula munsi aamulonga Kasiya. = The cattle are licking at the salt-pan near the river Kasiya.
cikulukulu	original, e.g. "Cikulukulu njenanda." = The first wife is the home. (a proverb)
	what is cast-off (wife, clothes etc.), e.g. Wajokelela cikulukulu ncaakalekede. = He returns to the thing which he cast off.
	a lock or padlock for door, e.g. Kocitenda buyo cikulukulu nkaambo cijuzyo cazimina. Just cut a padlock because the key is lost.
	something of long ago, e.g. Ciimbo eco ncoimba ncikulukulu. = That song you sing is of long ago.
cikulwido	a place where hair is cut and clothes dicarded (in the cleansing of a witch), e.g. Baya kukukululwa masusu kucikulwido. They are going to have their hair cut at the barbers. Ooyu mudaala kamumutola kucikulwido akagelwe masusu. Take this old man to have his hair cut at the barbers.
cikumba	cloth made of animal skin, pl. zikumba, e.g. Amulyango bamwi bajazya zikumba zyarņombe. Some use animal skin to close the door. Bantu bensiku bakali kusama zikumba. = In the past people used to wear animal skins. Bamakaintu bakaindi bakali kusama zikumba. The women of long ago used to wear dresses made of animal skin. Also cikutu.
	addled eggs, e.g. Eeli iji tiilyakakonkonwa, bana nobalijika bajana biyo cikumba. This egg was not hatched, when the children boiled it they found it addled. (hard yoke)
cikumbaansi	a sledge, e.g. Wakamulazika mucikumbaansi. = She laid him down on the sledge. Also cilayi
cikumbi	a cloud, e.g. Cikumbi camvwula cilasiya. The rain-cloud is black. Cikumbi camvwula casika afwaafwi. = The rain cloud has come near.
	eight days of cloud cover, e.g. Cikumbi lusele nociliko inga kulatontola. = When there is an eight-day cloud cover it becomes cold indeed. Cikumbi lusele cilaba mwaka amwaka. = Every year there is an eight-day cloud cover.
cikumbilo	a place specially made for incubation, a nest on the ground, e.g. Mucikumbilo kuli mayi kkumi. There are ten eggs in the nest. Cikumbilo cankuku cadilimuka. = The chickens incubator has fallen down. Also cifwuko (for hens), cinteente, (for wild birds)
	a place where beer is brewed, e.g. Bamuka Jeeke bakayanika mimena munanda yacikumbilo cabukoko. = Jeeke's wife dried the yeast in the house where beer is brewed.
	container for brewing beer, e.g. Mwaunka kubacembele mukaletelezye acikumbilo cabukoko. = When you go to the old woman's home, bring along a container for brewing beer.
	a manner of asking for something e.g. Cikumbilo cakwe ncabulemu. = Her manner of asking is polite.
cikumbizyi	a threshold, e.g. Muyaki wakaciyaka kabotu cikumbizyi. = The builder built the threshold well. Also cikunguzyo.
cikumo	the big toe, e.g. Cikumo cangu cilacisa nkaambo ndalinontola. = My big toe is paining because I tripped up over something. Ndayaswa bumvwa acikumo. = I was pierced by a thorn on the big toe. Also calananda cakumaulu.
cikundani	lust (a taboo word) e.g. Utani kubelesyi mulaka wacikundani. = Do not be using lustful language. Also buvwuule, kampuwempuwe.
cikungo	a bunch, bundle, cluster (of drying maize, fish, dry meat, bananas), e.g. Bacijata cikungo canswi nibali kuzela. = They caught a great number of fish when they were fishing. Wacimana kucilya cikungo camabbanana coonse. = He finished off the whole bunch of bananas.
	a mob of people, e.g. Ndajana cikungo cabantu balindilila kuula mapopwe kudolopo. = I found a crowd of people waiting to buy maize in the town. Also kkungo.
cikungu	the base of the spine, the back of an animal, e.g. Banduuma musako kucikungu. = They have beaten me on the lower back with a stick. Mwana wabba cikungu cankuku. = The child has stolen the back of the chicken. Kamucaala nobacingwindi, nobabwa bamicila acikungu. = Stay well you useless ones, you dogs with tails growing from the base of the spine.
	cloak, a long garment, pl. zikungu, e.g. Bapaizi basama zikungu. = Priests wear long garments. Also cibaki.
	abdomen of a black insect, e.g. Ooyo ulaa nguzu anyamune cikungu casimunyewu kutegwa bantu kabamuyoowa akumwaamba "bubbala nombe". = The one who has strength should lift up the abdomen of a black insect so that people will fear him and know that he is powerful.
cikungubulo	sleeping in a group, as when people sleep together at a funeral, e.g. Bantu adilwe baona cikungubulo. = People sleep in a group at a funeral. Bana boona cikungubulo acibuye. = The children are sleeping in a group together on the floor. Also kkungubulo.
cikunguzyo	a threshold, doorstep, e.g. Eeyi nanda mwiibambile cikunguzyo. = Make a threshold for this house. Bukoko ameenda akupiila zyakali kutilwa a cikunguzyo kakwiitwa mazina abantu bakafwa kaindi. = Beer and water for an offering were poured at the threshold calling upon the names of the people who had died long ago. Also cikumbizyi.
cikuni	a log, e.g. Kamusikka cikuni eci uyake mulilo. = Stick this log in the fire so that it lights up. Ndaunkide kukuleta cikuni ncindakasiide jilo musyokwe. = I had gone off to bring the firewood which I had left in the bush yesterday.
cikunka	an ear of sorgum after it has been beaten, pl. makunka, e.g. Komuleka musune acilye buyo cikunka eco. = Let the ox eat that ear of sorgum.
	bleeding gums, e.g. Menyo aabaama akamana kuloka akaambo kacikunka menyo. = The teeth of my mother have finished falling out because of the disease of bleeding gums. Also muhibu.
	a beaded head-dress, e.g. Bamwi bamananga basama *cikunka* cabulungu kumutwe. = Some witchdoctors wear a head-dress of beads.
cikunku	beaded head-dress Also cimpaampwa.
cikunyo	 salt-pan, pl. zikunyo, e.g. nombe zilya *cikunyo* acuulu. = The cattle are licking the salt-pan on the termite-hill. *Muzikunyo* mubwa ubweza bafwulwe. = The dog finds tortoises in the salt-pan. Also cikula.
cikuta	a worn-out hoe, pl. zikuta, e.g. Kocizwisya *cikuta* mumwiini omo tubikke limbi jamba. = Remove the old hoe-blade from within the handle so that we put another.
	a temporary grass-thatched dwelling, e.g. Cikuta cabaneene wacuumpa mwana. = A child burnt down the grass hut of my grandmother. Oomu *muzikuta* basimbi mobakali kuyiila kujika. = It was in these grass huts that the girls learnt how to cook. Cakali ciindi camupeyo, bana abamakaintu bakalibungene acikko *mucikuta* bayota mulilo. = It was the cold season, the children and the women were gathered at the fireplace in the grass-roofed shelter warming themselves at the fire. Also cigongola.
cikuti	a garden/ a small fertile field, e.g. Sunu mukalime *cikuti* camudaala. = Today you should plough the little garden of the old man. Also kkuti, mubunda.
	a valley, depression, glen, pl. zikuti, e.g. Nyika kuno ilukidwe *zikuti*. = The land here is woven with valleys *cikutu* a hide not yet softened, an old skin, e.g. Babombeka *cikutu* caņombe basankwa. = The boys have softened the hide of an animal. Babwa balya *cikutu* camoombe wakafwa. = The dogs have eaten the hide of a dead calf. Also itobo
cikutwilo	a place for making a fire, e.g. Bakutula mulilo *kucikutwilo*. = They have lit a fire at the fireplace.(Ila) Mulilo ukunkile *acikutwilo*. = Light the fire at the fireplace. Mulilo tuumani *acikutwilo* eci. = The fire never goes out in this fireplace. Also cikko.
cikuuku	 early shoots, e.g. Mwana wabona *cikuuku* cabowarjanda. The child has seen the young mushrooms. Also ciguugu, cikuku
cikuye	 a skin, pl. zikuye, e.g. Bamaneene bakaindi bakali kusama *zikuye*. = Our grandmothers of long ago used to wear animal skins. Also cipaya, cisalu, cizwato, cikwiye.
cikuzu	 a fig tree, (Ila) e.g. Bayuni balya nkuyu *mucikuzu*. The birds are eating figs from the fig tree. Also cikuyu.
cikwa	 a shell or covering of anything, like the shell of a tortoise, the slough of a snake, e.g. Nondo ilaa *cikwa* ciyumu kapati kupwaya. = The tortoise has a very hard shell to break. Bana basobana *cikwa* cankumba. = The children are playing with the shell of a snail.
cikwaalala	mildew, a destructive growth of minute fungi on plants, or paper, clothes or leather, e.g. Kuti cibwantu cakkala kaindi munongo, inga caba *cikwaalala*. If sweet beer sits for a long time in an earthen pot, it becomes infected with mildew. Also nkubi.
cikwaangala	 a crow, e.g. *Cikwaangala* waamana mayi ankuku mucisekwe. = A crow has finished the eggs of a chicken in the crate. Also cikwangala, (cikwaangala buwe = a black crow)
cikwaankwani	 a sign-post, pl. zikwaankwani, e.g. *Cikwaankwani* citondezya mugwagwa uya kucikolo cipati cakawa. = The sign-post showing the road to the university has fallen down. Also cikwankwani.
cikwaba	 a rough skinned reptile, such as a toad or a lizard, pl. zikwaba, e.g. Akati aamabwe muzilundu kujanika zikwaba. = Among the stones in the hills reptiles are found. Babwa bajata *cikwaba* mumusena. = The dogs have caught a reptile in the vlei. Also mbulumusanza (large lizard)
cikwabilizyo	anything that gives cover, a canopy, e.g. Ciluli cananda *ncikwabilizyo* camvwula kuti itanikunjili munanda. = The roof of a house provides a shelter from the rain so that it does not enter the house. Cimbayambaya cacibbadela cijisi *cikwabilizyo*. = The hospital vanette has a canopy.
cikwabyo	a shield, a stick to parry blows, e.g. Intobo *ncikwabyo* camasumo. = A shield is a barrier against spears.
Basankwa	bali kulwana maanza cali *ncecikwabyo* cabo. = The boys who were fighting used their hands as to defend themselves.
cikwala	noise, e.g. Nguni oyo ucita *cikwala* amunzi wangu? = Who is that one making noise at my home? Nkaambonzi muyuni oyo ucita *cikwala* cili boobo? = Why is that bird making a noise like that? Also cigwata.
cikwalala	long spotted line on any animal, e.g. Moombe wakazyalwa jilo ulaa *cikwalala* amusana. = The calf which was born yesterday has a long spotted line on it's back.
cikwalibbani	smallpox, e.g. Nokwakamana mpeyo kwakabanjila *cikwalibbani*. = When the cold was over smallpox infected them. cf. intomba.
cikwama	a purse/wallet, a match-box, e.g. Kamundaabila *cikwama* camancisi. = Give me a box of /matches. Koya undiletele *cikwama* camali. = Go and bring me my purse. Also mpotomona.
cikwamaala	a creature who lives in caves, e.g. Syaanasulwe wakatamba ci*kwamaala* abamwi bakkala mumabwe. = = The hare invited a cave-dweller and other reptiles who live among the rocks.
cikwamba	a type of fish, bream, e.g. Ndaula *cikwamba* kumusyika nkaambo balwazi ncobayanda. = I bought a bream at the market because that is what the patients want. Also mpende.
cikwambu	a deep scratch left by thorns or dogs claws, e.g. Aandiluma babwa kwacaala *cikwambu*. = There remains a deep scratch where the dogs bit me. Cisamu candivwalula *cikwambu* akuulu. = The stick marked me with a deep scratch on my leg.
	a troublesome spirit sent to bring problems to a thief, e.g. Muntu wakabba mali wakaapilusya jilo nkaambo *cikwambu* cakamupenzya kumuuma. = The thief who stole money returned it yesterday because a spirit was afflicting him by beating him.
cikwamu	an open bleeding wound, e.g. *Cikwamu* cilaa musana cilacisa. = The bleeding wound on my back is painful. Bulowa bunji bulazwa *acikwamu*. = Much blood is coming out from the open wound. (See verb, -kwamuka)
cikwangala	a type of bird, the crow, e.g. Muyuni *cikwangala* ulalya nyama ibolede. = The bird, the crow, eats rotten meat.
cikwange	what is raw or unripe, e.g. Ooyu mwana wajula cisyu kacicili *cikwange*. This child took the relish off the fire when it was still uncooked. Batupa cakulya *cikwange*. = They have given us uncooked food. Also inkwange, imbisi, cibisi
cikwankwani	a sign-post, e.g. *Cikwankwani* cacikolo cesu cili munsi anzila. = The sign-post for our school is near the path.
cikwasa	bubbling, e.g. Mweenzu ucikkala biyo nkumvwa *cikwasa* citi 'kwakwa-kwa'. = When the visitor had just seated himself there was heard a bubbling sound going 'kwa-kwa-kwa'.
cikwata-buta	present given to boys at girls' initiation dance, e.g. Basankwa boonse bapegwa *cikwata-buta*. = All the boys at the girl's initiation dance have been given food.
cikwati	an inner compartment in a grave, e.g. Kaindi zifwene zyakali kubambwa mbuli *cikwati* mukati. Long ago graves were made with a coffin-shaped compartment inside.
cikweekwe	a disease, the mange, e.g. Zimwi mpongo zyakaba *acikweekwe*. = Some goats got the mange. Also cinkwankwa
cikwekwe	a traditional game that is played in which children dance by turning around. e.g. (a riddle) Zungulu-zungulu *cikwekwe*. Nimbalo.
cikwelebe	a long, thin-bladed dancing axe, pl. *zikwelebe*, e.g. Bamwi bantu bazyanya *zikwelebe*. Some people use dancing-axes when dancing.
cikwelete	a debt, credit, e.g. Bantu balaa *cikwelete* kuli ndime mbanji. = The people who are in debt to me are many. Bantu bajisi *cikwelete* kuli ndime tabajosyi pe. = People who are in debt to me do not pay back at all. Also cikoloto.
cikwelezyo	attractiveness, magnetism, e.g. Mulaka wakalijisi *cikwelezyo* cakali kubotesya bantu banji bakamumvwa kaambaula. His speech had a magnetism which delighted many people who heard him talk.
